# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
1348960000000000.0 8.34322e+19 40125100000.0 8440030000000.0 46740100000000.0 2717790000.0 1228510000000.0 55242000000000.0 154697.0 3211300000000.0 870084000000000.0 2047560000000000.0 925215.0 14290800.0 908349000.0 6040170000.0 1029510000000.0 -5.0 4.59 [-5.0]
1348960000000000.0 7.88864e+19 43915800000.0 9000350000000.0 47922700000000.0 2987190000.0 1319110000000.0 55185400000000.0 173326.0 3464880000000.0 840964000000000.0 1880890000000000.0 1105750.0 17253300.0 1069390000.0 6873360000.0 1108470000000.0 -4.98 4.585 [-4.98]
1348960000000000.0 7.46064e+19 48005300000.0 9584520000000.0 49071000000000.0 3281550000.0 1415190000000.0 55052200000000.0 194247.0 3735140000000.0 811205000000000.0 1724930000000000.0 1319030.0 20785400.0 1256740000.0 7808050000.0 1191660000000.0 -4.96 4.58 [-4.96]
1348960000000000.0 7.05748e+19 52414400000.0 10192700000000.0 50182500000000.0 3602880000.0 1516950000000.0 54842300000000.0 217736.0 4022650000000.0 780924000000000.0 1579240000000000.0 1570560.0 24987700.0 1474310000.0 8854770000.0 1279150000000.0 -4.94 4.574 [-4.94]
1348960000000000.0 6.67706e+19 57150800000.0 10824800000000.0 51255300000000.0 3952040000.0 1624340000000.0 54555500000000.0 243951.0 4327080000000.0 750238000000000.0 1443260000000000.0 1866220.0 29977200.0 1726600000.0 10026200000.0 1371070000000.0 -4.92 4.57 [-4.92]
1348960000000000.0 6.31899e+19 62257300000.0 11481600000000.0 52286000000000.0 4333900000.0 1738020000000.0 54193100000000.0 273526.0 4650700000000.0 719302000000000.0 1316820000000000.0 2214190.0 35890100.0 2018550000.0 11332400000.0 1467340000000.0 -4.9 4.565 [-4.9]
1348960000000000.0 5.9813e+19 67745100000.0 12163000000000.0 53273000000000.0 4749550000.0 1857910000000.0 53755300000000.0 306700.0 4993070000000.0 688229000000000.0 1199320000000000.0 2622440.0 42882900.0 2355910000.0 12787900000.0 1568030000000.0 -4.88 4.56 [-4.88]
1348960000000000.0 5.66272e+19 73637100000.0 12868800000000.0 54214100000000.0 5201480000.0 1984140000000.0 53242900000000.0 343892.0 5354470000000.0 657132000000000.0 1090350000000000.0 3100620.0 51136600.0 2745070000.0 14407000000.0 1673160000000.0 -4.86 4.555 [-4.86]
1348960000000000.0 5.36204e+19 79956600000.0 13598900000000.0 55107500000000.0 5692230000.0 2116810000000.0 52656900000000.0 385565.0 5735160000000.0 626130000000000.0 989495000000000.0 3659730.0 60858900.0 3193270000.0 16205300000.0 1782710000000.0 -4.84 4.551 [-4.84]
1348960000000000.0 5.07816e+19 86727400000.0 14353400000000.0 55951000000000.0 6224380000.0 2255990000000.0 51998500000000.0 432233.0 6135280000000.0 595341000000000.0 896316000000000.0 4312310.0 72288500.0 3708610000.0 18199300000.0 1896650000000.0 -4.82 4.546 [-4.82]
