H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
7.41310e+13	4.55483e+18	2.26838e+09	4.64586e+11	2.51575e+12	1.57751e+08	6.85898e+10	2.99557e+12	9.08318e+03	1.72883e+11	4.66980e+13	1.12988e+14	5.32924e+04	7.89901e+05	4.98054e+07	3.25032e+08	5.57222e+10
7.41310e+13	4.30603e+18	2.48263e+09	4.95476e+11	2.57970e+12	1.73283e+08	7.36209e+10	2.99276e+12	1.01707e+04	1.86570e+11	4.51793e+13	1.03783e+14	6.36888e+04	9.54028e+05	5.86531e+07	3.69970e+08	6.00051e+10
7.41310e+13	4.07182e+18	2.71370e+09	5.27679e+11	2.64182e+12	1.90240e+08	7.89538e+10	2.98579e+12	1.13911e+04	2.01160e+11	4.36223e+13	9.51665e+13	7.59673e+04	1.14976e+06	6.89481e+07	4.20397e+08	6.45189e+10
7.41310e+13	3.85130e+18	2.96274e+09	5.61209e+11	2.70195e+12	2.08747e+08	8.46009e+10	2.97466e+12	1.27609e+04	2.16688e+11	4.20337e+13	8.71155e+13	9.04450e+04	1.38268e+06	8.09062e+07	4.76878e+08	6.92669e+10
7.41310e+13	3.64354e+18	3.23081e+09	5.96074e+11	2.75997e+12	2.28917e+08	9.05713e+10	2.95939e+12	1.42972e+04	2.33181e+11	4.04198e+13	7.96054e+13	1.07484e+05	1.65932e+06	9.47731e+07	5.40041e+08	7.42528e+10
7.41310e+13	3.44774e+18	3.51913e+09	6.32283e+11	2.81575e+12	2.50887e+08	9.68757e+10	2.93999e+12	1.60201e+04	2.50666e+11	3.87873e+13	7.26132e+13	1.27505e+05	1.98720e+06	1.10826e+08	6.10553e+08	7.94785e+10
7.41310e+13	3.26313e+18	3.82894e+09	6.69839e+11	2.86918e+12	2.74791e+08	1.03523e+11	2.91649e+12	1.79516e+04	2.69166e+11	3.71430e+13	6.61157e+13	1.50989e+05	2.37503e+06	1.29379e+08	6.89138e+08	8.49454e+10
7.41310e+13	3.08903e+18	4.16157e+09	7.08745e+11	2.92013e+12	3.00778e+08	1.10521e+11	2.88894e+12	2.01167e+04	2.88702e+11	3.54935e+13	6.00899e+13	1.78492e+05	2.83287e+06	1.50785e+08	7.76566e+08	9.06535e+10
7.41310e+13	2.92473e+18	4.51822e+09	7.48993e+11	2.96851e+12	3.28978e+08	1.17872e+11	2.85739e+12	2.25403e+04	3.09279e+11	3.38451e+13	5.45117e+13	2.10638e+05	3.37227e+06	1.75443e+08	8.73693e+08	9.66031e+10
7.41310e+13	2.76965e+18	4.90028e+09	7.90576e+11	3.01421e+12	3.59545e+08	1.25583e+11	2.82191e+12	2.52528e+04	3.30906e+11	3.22042e+13	4.93586e+13	2.48148e+05	4.00648e+06	2.03800e+08	9.81406e+08	1.02792e+11
7.41310e+13	2.62321e+18	5.30914e+09	8.33479e+11	3.05712e+12	3.92630e+08	1.33655e+11	2.78258e+12	2.82868e+04	3.53588e+11	3.05771e+13	4.46083e+13	2.91840e+05	4.75070e+06	2.36357e+08	1.10067e+09	1.09216e+11
7.41310e+13	2.48489e+18	5.74621e+09	8.77686e+11	3.09717e+12	4.28386e+08	1.42087e+11	2.73951e+12	3.16781e+04	3.77318e+11	2.89695e+13	4.02381e+13	3.42644e+05	5.62228e+06	2.73676e+08	1.23251e+09	1.15873e+11
7.41310e+13	2.35424e+18	6.21335e+09	9.23187e+11	3.13424e+12	4.67013e+08	1.50883e+11	2.69281e+12	3.54723e+04	4.02108e+11	2.73873e+13	3.62276e+13	4.01644e+05	6.64104e+06	3.16380e+08	1.37797e+09	1.22754e+11
7.41310e+13	2.23078e+18	6.71185e+09	9.69948e+11	3.16826e+12	5.08647e+08	1.60034e+11	2.64260e+12	3.97114e+04	4.27933e+11	2.58354e+13	3.25543e+13	4.70027e+05	7.82948e+06	3.65170e+08	1.53822e+09	1.29853e+11
7.41310e+13	2.11403e+18	7.24286e+09	1.01791e+12	3.19916e+12	5.53406e+08	1.69526e+11	2.58904e+12	4.44399e+04	4.54755e+11	2.43186e+13	2.91967e+13	5.49105e+05	9.21293e+06	4.20820e+08	1.71452e+09	1.37162e+11
7.41310e+13	2.00361e+18	7.80791e+09	1.06705e+12	3.22684e+12	6.01445e+08	1.79350e+11	2.53228e+12	4.97126e+04	4.82550e+11	2.28414e+13	2.61346e+13	6.40394e+05	1.08202e+07	4.84191e+08	1.90816e+09	1.44671e+11
7.41310e+13	1.89915e+18	8.40845e+09	1.11730e+12	3.25126e+12	6.52904e+08	1.89489e+11	2.47250e+12	5.55885e+04	5.11283e+11	2.14076e+13	2.33483e+13	7.45579e+05	1.26837e+07	5.56235e+08	2.12052e+09	1.52367e+11
7.41310e+13	1.80030e+18	9.04578e+09	1.16859e+12	3.27230e+12	7.07913e+08	1.99926e+11	2.40991e+12	6.21332e+04	5.40914e+11	2.00206e+13	2.08187e+13	8.66544e+05	1.48399e+07	6.38004e+08	2.35302e+09	1.60238e+11
7.41310e+13	1.70673e+18	9.72121e+09	1.22086e+12	3.28993e+12	7.66591e+08	2.10638e+11	2.34472e+12	6.94187e+04	5.71395e+11	1.86835e+13	1.85272e+13	1.00538e+06	1.73296e+07	7.30653e+08	2.60719e+09	1.68267e+11
7.41310e+13	1.61814e+18	1.04360e+10	1.27402e+12	3.30407e+12	8.29051e+08	2.21600e+11	2.27715e+12	7.75258e+04	6.02678e+11	1.73987e+13	1.64562e+13	1.16443e+06	2.01983e+07	8.35454e+08	2.88458e+09	1.76437e+11
7.41310e+13	1.53425e+18	1.11914e+10	1.32797e+12	3.31467e+12	8.95389e+08	2.32782e+11	2.20746e+12	8.65444e+04	6.34708e+11	1.61680e+13	1.45888e+13	1.34627e+06	2.34971e+07	9.53799e+08	3.18684e+09	1.84728e+11
7.41310e+13	1.45480e+18	1.19886e+10	1.38263e+12	3.32168e+12	9.65698e+08	2.44155e+11	2.13590e+12	9.65744e+04	6.67427e+11	1.49930e+13	1.29086e+13	1.55376e+06	2.72824e+07	1.08721e+09	3.51566e+09	1.93121e+11
7.41310e+13	1.37953e+18	1.28281e+10	1.43786e+12	3.32503e+12	1.04002e+09	2.55680e+11	2.06275e+12	1.07723e+05	7.00763e+11	1.38745e+13	1.14004e+13	1.78999e+06	3.16164e+07	1.23735e+09	3.87281e+09	2.01593e+11
7.41310e+13	1.30821e+18	1.37110e+10	1.49354e+12	3.32469e+12	1.11840e+09	2.67321e+11	1.98827e+12	1.20116e+05	7.34655e+11	1.28132e+13	1.00495e+13	2.05844e+06	3.65682e+07	1.40602e+09	4.26011e+09	2.10118e+11
7.41310e+13	1.24064e+18	1.46382e+10	1.54955e+12	3.32062e+12	1.20092e+09	2.79041e+11	1.91277e+12	1.33895e+05	7.69040e+11	1.18091e+13	8.84233e+12	2.36290e+06	4.22140e+07	1.59517e+09	4.67935e+09	2.18670e+11
7.41310e+13	1.17660e+18	1.56102e+10	1.60574e+12	3.31280e+12	1.28759e+09	2.90797e+11	1.83653e+12	1.49217e+05	8.03849e+11	1.08618e+13	7.76596e+12	2.70752e+06	4.86372e+07	1.80691e+09	5.13240e+09	2.27221e+11
7.41310e+13	1.11590e+18	1.66276e+10	1.66196e+12	3.30118e+12	1.37842e+09	3.02549e+11	1.75986e+12	1.66260e+05	8.39012e+11	9.97088e+12	6.80834e+12	3.09682e+06	5.59290e+07	2.04353e+09	5.62113e+09	2.35741e+11
7.41310e+13	1.05837e+18	1.76907e+10	1.71804e+12	3.28577e+12	1.47341e+09	3.14251e+11	1.68303e+12	1.85222e+05	8.74457e+11	9.13517e+12	5.95820e+12	3.53571e+06	6.41889e+07	2.30745e+09	6.14743e+09	2.44197e+11
7.41310e+13	1.00385e+18	1.87996e+10	1.77381e+12	3.26655e+12	1.57255e+09	3.25860e+11	1.60634e+12	2.06329e+05	9.10113e+11	8.35346e+12	5.20511e+12	4.02943e+06	7.35250e+07	2.60130e+09	6.71315e+09	2.52558e+11
7.41310e+13	9.52159e+17	1.99544e+10	1.82909e+12	3.24352e+12	1.67581e+09	3.37330e+11	1.53008e+12	2.29833e+05	9.45906e+11	7.62421e+12	4.53938e+12	4.58378e+06	8.40544e+07	2.92786e+09	7.32011e+09	2.60788e+11
7.41310e+13	9.03159e+17	2.11546e+10	1.88369e+12	3.21670e+12	1.78314e+09	3.48618e+11	1.45451e+12	2.56024e+05	9.81767e+11	6.94565e+12	3.95208e+12	5.20499e+06	9.59037e+07	3.29010e+09	7.97012e+09	2.68853e+11
7.41310e+13	8.56704e+17	2.23993e+10	1.93739e+12	3.18610e+12	1.89445e+09	3.59674e+11	1.37990e+12	2.85216e+05	1.01762e+12	6.31591e+12	3.43505e+12	5.89954e+06	1.09207e+08	3.69112e+09	8.66492e+09	2.76715e+11
7.41310e+13	8.12666e+17	2.36889e+10	1.99002e+12	3.15178e+12	2.00978e+09	3.70464e+11	1.30649e+12	3.17794e+05	1.05340e+12	5.73290e+12	2.98079e+12	6.67492e+06	1.24114e+08	4.13427e+09	9.40601e+09	2.84336e+11
7.41310e+13	7.70919e+17	2.50219e+10	2.04136e+12	3.11377e+12	2.12902e+09	3.80943e+11	1.23451e+12	3.54166e+05	1.08903e+12	5.19449e+12	2.58246e+12	7.53863e+06	1.40777e+08	4.62301e+09	1.01949e+10	2.91679e+11
7.41310e+13	7.31340e+17	2.63972e+10	2.09119e+12	3.07214e+12	2.25208e+09	3.91070e+11	1.16417e+12	3.94801e+05	1.12445e+12	4.69845e+12	2.23386e+12	8.49876e+06	1.59362e+08	5.16094e+09	1.10329e+10	2.98705e+11
7.41310e+13	6.93811e+17	2.78150e+10	2.13935e+12	3.02695e+12	2.37906e+09	4.00818e+11	1.09564e+12	4.40268e+05	1.15961e+12	4.24235e+12	1.92926e+12	9.56474e+06	1.80057e+08	5.75205e+09	1.19213e+10	3.05377e+11
7.41310e+13	6.58249e+17	2.92696e+10	2.18549e+12	2.97834e+12	2.50952e+09	4.10127e+11	1.02915e+12	4.91081e+05	1.19438e+12	3.82433e+12	1.66381e+12	1.07435e+07	2.03014e+08	6.39962e+09	1.28606e+10	3.11653e+11
7.41310e+13	6.24511e+17	3.07629e+10	2.22952e+12	2.92635e+12	2.64372e+09	4.18986e+11	9.64757e+11	5.48021e+05	1.22876e+12	3.44155e+12	1.43261e+12	1.20470e+07	2.28467e+08	7.10846e+09	1.38522e+10	3.17500e+11
