#depth	Te	cC/dT	dt/dr	d^2T/dr^2
3.86336e+18	1.2964e+03	-2.17e-35
2.31801e+19	1.2929e+03	-2.18e-35	-1.13e-19
5.59814e+19	1.2936e+03	-2.18e-35	1.96e-20	3.81e-39
8.89512e+19	1.2936e+03	-2.18e-35	2.36e-22	-6.18e-40
1.18635e+20	1.2936e+03	-2.18e-35	-2.13e-21	-8.42e-41
1.45351e+20	1.2943e+03	-2.18e-35	2.79e-20	1.19e-39
1.69402e+20	1.2942e+03	-2.18e-35	-1.41e-21	-1.29e-39
1.91055e+20	1.2945e+03	-2.18e-35	1.23e-20	6.67e-40
2.10545e+20	1.2946e+03	-2.18e-35	8.01e-21	-2.30e-40
2.28088e+20	1.2948e+03	-2.18e-35	8.95e-21	5.68e-41
2.43880e+20	1.2948e+03	-2.18e-35	3.29e-21	-3.78e-40
2.58093e+20	1.2950e+03	-2.18e-35	1.30e-20	7.22e-40
2.70886e+20	1.2951e+03	-2.18e-35	6.20e-21	-5.62e-40
2.82401e+20	1.2952e+03	-2.18e-35	1.06e-20	4.05e-40
2.92766e+20	1.2953e+03	-2.18e-35	7.44e-21	-3.23e-40
3.02094e+20	1.2954e+03	-2.18e-35	1.12e-20	4.20e-40
3.10491e+20	1.2954e+03	-2.18e-35	7.49e-21	-4.61e-40
3.18048e+20	1.2955e+03	-2.18e-35	1.03e-20	3.88e-40
3.24850e+20	1.2955e+03	-2.18e-35	7.35e-21	-4.52e-40
3.30972e+20	1.2956e+03	-2.18e-35	1.10e-20	6.30e-40
3.36482e+20	1.2957e+03	-2.18e-35	7.78e-21	-6.18e-40
3.41441e+20	1.2957e+03	-2.18e-35	1.02e-20	5.24e-40
3.45904e+20	1.2957e+03	-2.18e-35	8.51e-21	-4.10e-40
3.49951e+20	1.2958e+03	-2.18e-35	7.25e-21	-3.26e-40
3.53815e+20	1.2957e+03	-2.18e-35	-7.53e-21	-3.82e-39
3.57679e+20	1.2958e+03	-2.18e-35	5.97e-21	3.49e-39
3.61544e+20	1.2957e+03	-2.18e-35	-5.47e-21	-2.96e-39
3.65408e+20	1.2957e+03	-2.18e-35	-1.14e-21	1.12e-39
3.69272e+20	1.2957e+03	-2.18e-35	-3.69e-21	-6.61e-40
3.73137e+20	1.2957e+03	-2.18e-35	1.16e-21	1.26e-39
3.77001e+20	1.2957e+03	-2.18e-35	-5.12e-21	-1.63e-39
3.80866e+20	1.2957e+03	-2.18e-35	-1.47e-21	9.44e-40
3.84438e+20	1.2958e+03	-2.18e-35	3.01e-20	9.61e-39
3.84438e+20	1.2958e+03	-2.18e-35	3.01e-20	0.00e+00
