H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.99526e+15	5.35239e+19	2.11225e+11	2.64104e+13	8.08635e+13	1.57517e+10	4.33153e+12	6.40748e+13	1.33191e+06	1.19116e+13	6.15123e+14	7.58451e+14	1.45400e+07	2.39430e+08	1.05460e+10	4.24844e+10	3.37007e+12	5.99782e+04	7.67442e+06
1.99526e+15	5.07149e+19	2.27731e+11	2.77007e+13	8.16230e+13	1.71236e+10	4.58558e+12	6.27171e+13	1.48985e+06	1.26445e+13	5.78086e+14	6.80145e+14	1.69690e+07	2.81296e+08	1.21459e+10	4.73482e+10	3.55803e+12	7.26065e+04	9.09806e+06
1.99526e+15	4.80582e+19	2.45259e+11	2.90194e+13	8.22957e+13	1.85933e+10	4.84795e+12	6.12805e+13	1.66607e+06	1.34033e+13	5.42124e+14	6.08726e+14	1.97692e+07	3.29847e+08	1.39666e+10	5.26903e+10	3.75092e+12	8.78098e+04	1.07621e+07
1.99526e+15	4.55449e+19	2.63848e+11	3.03648e+13	8.28795e+13	2.01647e+10	5.11816e+12	5.97699e+13	1.86256e+06	1.41868e+13	5.07319e+14	5.43738e+14	2.29913e+07	3.86033e+08	1.60350e+10	5.85482e+10	3.94841e+12	1.06091e+05	1.27031e+07
1.99526e+15	4.31666e+19	2.83534e+11	3.17349e+13	8.33725e+13	2.18414e+10	5.39568e+12	5.81908e+13	2.08158e+06	1.49940e+13	4.73740e+14	4.84740e+14	2.66918e+07	4.50923e+08	1.83809e+10	6.49616e+10	4.15013e+12	1.28049e+05	1.49628e+07
1.99526e+15	4.09157e+19	3.04352e+11	3.31273e+13	8.37730e+13	2.36267e+10	5.67988e+12	5.65489e+13	2.32566e+06	1.58236e+13	4.41450e+14	4.31300e+14	3.09334e+07	5.25710e+08	2.10370e+10	7.19717e+10	4.35565e+12	1.54392e+05	1.75887e+07
1.99526e+15	3.87849e+19	3.26340e+11	3.45397e+13	8.40794e+13	2.55242e+10	5.97008e+12	5.48502e+13	2.59772e+06	1.66746e+13	4.10497e+14	3.82986e+14	3.57868e+07	6.11735e+08	2.40397e+10	7.96222e+10	4.56452e+12	1.85963e+05	2.06347e+07
1.99526e+15	3.67672e+19	3.49511e+11	3.59686e+13	8.42899e+13	2.75348e+10	6.26530e+12	5.31015e+13	2.90062e+06	1.75448e+13	3.80921e+14	3.39422e+14	4.13265e+07	7.10448e+08	2.74274e+10	8.79576e+10	4.77618e+12	2.23743e+05	2.41609e+07
1.99526e+15	3.48564e+19	3.73897e+11	3.74112e+13	8.44033e+13	2.96613e+10	6.56474e+12	5.13096e+13	3.23798e+06	1.84329e+13	3.52743e+14	3.00223e+14	4.76381e+07	8.23497e+08	3.12435e+10	9.70251e+10	4.99009e+12	2.68905e+05	2.82362e+07
1.99526e+15	3.30466e+19	3.99524e+11	3.88642e+13	8.44184e+13	3.19057e+10	6.86748e+12	4.94816e+13	3.61378e+06	1.93371e+13	3.25981e+14	2.65033e+14	5.48156e+07	9.52689e+08	3.55346e+10	1.06872e+11	5.20563e+12	3.22825e+05	3.29375e+07
1.99526e+15	3.13324e+19	4.26414e+11	4.03240e+13	8.43343e+13	3.42699e+10	7.17253e+12	4.76247e+13	4.03248e+06	2.02559e+13	3.00637e+14	2.33513e+14	6.29620e+07	1.10002e+09	4.03514e+10	1.17546e+11	5.42212e+12	3.87120e+05	3.83514e+07
1.99526e+15	2.97085e+19	4.54583e+11	4.17868e+13	8.41502e+13	3.67547e+10	7.47883e+12	4.57465e+13	4.49909e+06	2.11873e+13	2.76705e+14	2.05349e+14	7.21902e+07	1.26767e+09	4.57487e+10	1.29099e+11	5.63886e+12	4.63693e+05	4.45751e+07
1.99526e+15	2.81700e+19	4.84043e+11	4.32484e+13	8.38654e+13	3.93608e+10	7.78527e+12	4.38543e+13	5.01922e+06	2.21293e+13	2.54171e+14	1.80243e+14	8.26229e+07	1.45804e+09	5.17855e+10	1.41578e+11	5.85509e+12	5.54761e+05	5.17163e+07
1.99526e+15	2.67123e+19	5.14802e+11	4.47044e+13	8.34797e+13	4.20886e+10	8.09072e+12	4.19555e+13	5.59927e+06	2.30799e+13	2.33012e+14	1.57911e+14	9.43932e+07	1.67375e+09	5.85256e+10	1.55037e+11	6.07002e+12	6.62882e+05	5.98909e+07
1.99526e+15	2.53310e+19	5.46861e+11	4.61501e+13	8.29929e+13	4.49378e+10	8.39401e+12	4.00577e+13	6.24640e+06	2.40373e+13	2.13199e+14	1.38092e+14	1.07646e+08	1.91762e+09	6.60370e+10	1.69524e+11	6.28279e+12	7.91079e+05	6.92330e+07
1.99526e+15	2.40222e+19	5.80216e+11	4.75807e+13	8.24053e+13	4.79080e+10	8.69397e+12	3.81680e+13	6.96875e+06	2.49993e+13	1.94698e+14	1.20540e+14	1.22541e+08	2.19275e+09	7.43925e+10	1.85089e+11	6.49254e+12	9.42917e+05	7.98947e+07
1.99526e+15	2.27818e+19	6.14860e+11	4.89911e+13	8.17173e+13	5.09985e+10	8.98942e+12	3.62933e+13	7.77560e+06	2.59640e+13	1.77465e+14	1.05030e+14	1.39248e+08	2.50246e+09	8.36696e+10	2.01780e+11	6.69836e+12	1.12252e+06	9.20416e+07
1.99526e+15	2.16064e+19	6.50778e+11	5.03762e+13	8.09297e+13	5.42083e+10	9.27921e+12	3.44403e+13	8.67734e+06	2.69293e+13	1.61456e+14	9.13531e+13	1.57952e+08	2.85034e+09	9.39506e+10	2.19645e+11	6.89932e+12	1.33466e+06	1.05857e+08
1.99526e+15	2.04924e+19	6.87947e+11	5.17304e+13	8.00436e+13	5.75361e+10	9.56219e+12	3.26153e+13	9.68577e+06	2.78932e+13	1.46622e+14	7.93181e+13	1.78849e+08	3.24024e+09	1.05322e+11	2.38727e+11	7.09444e+12	1.58488e+06	1.21541e+08
1.99526e+15	1.94366e+19	7.26339e+11	5.30485e+13	7.90605e+13	6.09801e+10	9.83725e+12	3.08242e+13	1.08142e+07	2.88537e+13	1.32910e+14	6.87525e+13	2.02150e+08	3.67627e+09	1.17875e+11	2.59067e+11	7.28274e+12	1.87960e+06	1.39316e+08
1.99526e+15	1.84360e+19	7.65920e+11	5.43247e+13	7.79824e+13	6.45389e+10	1.01033e+13	2.90724e+13	1.20778e+07	2.98086e+13	1.20265e+14	5.94978e+13	2.28081e+08	4.16278e+09	1.31705e+11	2.80702e+11	7.46323e+12	2.22622e+06	1.59425e+08
1.99526e+15	1.74877e+19	8.06645e+11	5.55534e+13	7.68115e+13	6.82104e+10	1.03594e+13	2.73648e+13	1.34936e+07	3.07558e+13	1.08632e+14	5.14073e+13	2.56879e+08	4.70442e+09	1.46910e+11	3.03665e+11	7.63492e+12	2.63330e+06	1.82134e+08
1.99526e+15	1.65889e+19	8.48469e+11	5.67291e+13	7.55505e+13	7.19932e+10	1.06045e+13	2.57059e+13	1.50810e+07	3.16936e+13	9.79553e+13	4.43480e+13	2.88798e+08	5.30609e+09	1.63593e+11	3.27980e+11	7.79681e+12	3.11067e+06	2.07733e+08
1.99526e+15	1.57371e+19	8.91337e+11	5.78462e+13	7.42024e+13	7.58855e+10	1.08377e+13	2.40994e+13	1.68621e+07	3.26199e+13	8.81783e+13	3.81997e+13	3.24104e+08	5.97296e+09	1.81861e+11	3.53669e+11	7.94791e+12	3.66963e+06	2.36538e+08
1.99526e+15	1.49297e+19	9.35182e+11	5.88993e+13	7.27708e+13	7.98851e+10	1.10583e+13	2.25487e+13	1.88616e+07	3.35329e+13	7.92450e+13	3.28547e+13	3.63073e+08	6.71039e+09	2.01820e+11	3.80743e+11	8.08726e+12	4.32313e+06	2.68892e+08
1.99526e+15	1.41645e+19	9.79929e+11	5.98830e+13	7.12596e+13	8.39900e+10	1.12653e+13	2.10564e+13	2.11076e+07	3.44307e+13	7.11002e+13	2.82161e+13	4.05990e+08	7.52398e+09	2.23580e+11	4.09206e+11	8.21390e+12	5.08598e+06	3.05163e+08
1.99526e+15	1.34391e+19	1.02550e+12	6.07921e+13	6.96732e+13	8.81983e+10	1.14582e+13	1.96246e+13	2.36318e+07	3.53114e+13	6.36900e+13	2.41975e+13	4.53153e+08	8.41952e+09	2.47251e+11	4.39053e+11	8.32691e+12	5.97509e+06	3.45751e+08
1.99526e+15	1.27516e+19	1.07180e+12	6.16216e+13	6.80163e+13	9.25081e+10	1.16363e+13	1.82551e+13	2.64700e+07	3.61732e+13	5.69619e+13	2.07219e+13	5.04865e+08	9.40291e+09	2.72941e+11	4.70264e+11	8.42542e+12	7.00978e+06	3.91085e+08
1.99526e+15	1.20999e+19	1.11873e+12	6.23666e+13	6.62935e+13	9.69165e+10	1.17989e+13	1.69487e+13	2.96627e+07	3.70140e+13	5.08650e+13	1.77208e+13	5.61436e+08	1.04802e+10	3.00754e+11	5.02807e+11	8.50855e+12	8.21188e+06	4.41620e+08
1.99526e+15	1.14820e+19	1.16620e+12	6.30233e+13	6.45111e+13	1.01422e+11	1.19458e+13	1.57062e+13	3.32553e+07	3.78325e+13	4.53514e+13	1.51336e+13	6.23161e+08	1.16574e+10	3.30794e+11	5.36644e+11	8.57558e+12	9.60629e+06	4.97847e+08
1.99526e+15	1.08964e+19	1.21409e+12	6.35880e+13	6.26748e+13	1.06025e+11	1.20765e+13	1.45277e+13	3.72990e+07	3.86269e+13	4.03748e+13	1.29068e+13	6.90337e+08	1.29407e+10	3.63159e+11	5.71717e+11	8.62582e+12	1.12212e+07	5.60284e+08
1.99526e+15	1.03413e+19	1.26228e+12	6.40574e+13	6.07910e+13	1.10721e+11	1.21907e+13	1.34131e+13	4.18516e+07	3.93957e+13	3.58912e+13	1.09932e+13	7.63247e+08	1.43360e+10	3.97938e+11	6.07954e+11	8.65863e+12	1.30883e+07	6.29482e+08
