H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.04713e+14	2.78595e+18	1.14143e+10	1.38251e+12	4.13079e+12	8.75026e+08	2.29305e+11	3.31192e+12	7.49814e+04	6.06172e+11	3.17953e+13	4.00578e+13	8.01561e+05	1.25946e+07	5.49572e+08	2.16498e+09	1.73304e+11	3.22335e+03	3.90708e+05
1.04713e+14	2.63958e+18	1.23055e+10	1.45021e+12	4.17025e+12	9.50757e+08	2.42697e+11	3.24243e+12	8.38081e+04	6.43622e+11	2.99053e+13	3.59015e+13	9.35276e+05	1.48017e+07	6.33152e+08	2.41360e+09	1.83015e+11	3.90025e+03	4.63455e+05
1.04713e+14	2.50117e+18	1.32519e+10	1.51942e+12	4.20529e+12	1.03187e+09	2.56526e+11	3.16884e+12	9.36462e+04	6.82385e+11	2.80661e+13	3.21131e+13	1.08940e+06	1.73620e+07	7.28293e+08	2.68673e+09	1.92985e+11	4.71486e+03	5.48524e+05
1.04713e+14	2.37026e+18	1.42556e+10	1.59004e+12	4.23578e+12	1.11856e+09	2.70767e+11	3.09140e+12	1.04607e+05	7.22406e+11	2.62824e+13	2.86681e+13	1.26672e+06	2.03259e+07	8.36414e+08	2.98632e+09	2.03196e+11	5.69405e+03	6.47798e+05
1.04713e+14	2.24641e+18	1.53185e+10	1.66196e+12	4.26165e+12	1.21104e+09	2.85393e+11	3.01037e+12	1.16812e+05	7.63627e+11	2.45585e+13	2.55423e+13	1.47031e+06	2.37500e+07	9.59080e+08	3.31442e+09	2.13629e+11	6.86979e+03	7.63428e+05
1.04713e+14	2.12920e+18	1.64424e+10	1.73507e+12	4.28278e+12	1.30947e+09	3.00367e+11	2.92606e+12	1.30400e+05	8.05983e+11	2.28981e+13	2.27128e+13	1.70363e+06	2.76975e+07	1.09801e+09	3.67315e+09	2.24264e+11	8.27989e+03	8.97853e+05
1.04713e+14	2.01827e+18	1.76292e+10	1.80923e+12	4.29910e+12	1.41402e+09	3.15654e+11	2.83878e+12	1.45524e+05	8.49400e+11	2.13040e+13	2.01574e+13	1.97048e+06	3.22388e+07	1.25511e+09	4.06473e+09	2.35076e+11	9.96908e+03	1.05383e+06
1.04713e+14	1.91323e+18	1.88808e+10	1.88431e+12	4.31053e+12	1.52485e+09	3.31212e+11	2.74886e+12	1.62359e+05	8.93812e+11	1.97784e+13	1.78546e+13	2.27517e+06	3.74536e+07	1.43246e+09	4.49155e+09	2.46039e+11	1.19906e+04	1.23452e+06
1.04713e+14	1.81377e+18	2.01975e+10	1.96010e+12	4.31700e+12	1.64198e+09	3.46985e+11	2.65665e+12	1.81084e+05	9.39106e+11	1.83235e+13	1.57846e+13	2.62217e+06	4.34264e+07	1.63227e+09	4.95592e+09	2.57122e+11	1.44060e+04	1.44340e+06
1.04713e+14	1.71957e+18	2.15808e+10	2.03643e+12	4.31843e+12	1.76553e+09	3.62926e+11	2.56253e+12	2.01916e+05	9.85205e+11	1.69400e+13	1.39279e+13	3.01663e+06	5.02541e+07	1.85702e+09	5.46038e+09	2.68295e+11	1.72889e+04	1.68448e+06
