# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
104713000000000.0 2.78595e+18 11414300000.0 1382510000000.0 4130790000000.0 875026000.0 229305000000.0 3311920000000.0 74981.4 606172000000.0 31795300000000.0 40057800000000.0 801561.0 12594600.0 549572000.0 2164980000.0 173304000000.0 3223.35 390708.0 -5.0 [-5.0]
104713000000000.0 2.63958e+18 12305500000.0 1450210000000.0 4170250000000.0 950757000.0 242697000000.0 3242430000000.0 83808.1 643622000000.0 29905300000000.0 35901500000000.0 935276.0 14801700.0 633152000.0 2413600000.0 183015000000.0 3900.25 463455.0 -4.98 [-4.98]
104713000000000.0 2.50117e+18 13251900000.0 1519420000000.0 4205290000000.0 1031870000.0 256526000000.0 3168840000000.0 93646.2 682385000000.0 28066100000000.0 32113100000000.0 1089400.0 17362000.0 728293000.0 2686730000.0 192985000000.0 4714.86 548524.0 -4.96 [-4.96]
104713000000000.0 2.37026e+18 14255600000.0 1590040000000.0 4235780000000.0 1118560000.0 270767000000.0 3091400000000.0 104607.0 722406000000.0 26282400000000.0 28668100000000.0 1266720.0 20325900.0 836414000.0 2986320000.0 203196000000.0 5694.05 647798.0 -4.94 [-4.94]
104713000000000.0 2.24641e+18 15318500000.0 1661960000000.0 4261650000000.0 1211040000.0 285393000000.0 3010370000000.0 116812.0 763627000000.0 24558500000000.0 25542300000000.0 1470310.0 23750000.0 959080000.0 3314420000.0 213629000000.0 6869.79 763428.0 -4.92 [-4.92]
104713000000000.0 2.1292e+18 16442400000.0 1735070000000.0 4282780000000.0 1309470000.0 300367000000.0 2926060000000.0 130400.0 805983000000.0 22898100000000.0 22712800000000.0 1703630.0 27697500.0 1098010000.0 3673150000.0 224264000000.0 8279.89 897853.0 -4.9 [-4.9]
104713000000000.0 2.01827e+18 17629200000.0 1809230000000.0 4299100000000.0 1414020000.0 315654000000.0 2838780000000.0 145524.0 849400000000.0 21304000000000.0 20157400000000.0 1970480.0 32238800.0 1255110000.0 4064730000.0 235076000000.0 9969.08 1053830.0 -4.88 [-4.88]
104713000000000.0 1.91323e+18 18880800000.0 1884310000000.0 4310530000000.0 1524850000.0 331212000000.0 2748860000000.0 162359.0 893812000000.0 19778400000000.0 17854600000000.0 2275170.0 37453600.0 1432460000.0 4491550000.0 246039000000.0 11990.6 1234520.0 -4.86 [-4.86]
104713000000000.0 1.81377e+18 20197500000.0 1960100000000.0 4317000000000.0 1641980000.0 346985000000.0 2656650000000.0 181084.0 939106000000.0 18323500000000.0 15784600000000.0 2622170.0 43426400.0 1632270000.0 4955920000.0 257122000000.0 14406.0 1443400.0 -4.84 [-4.84]
104713000000000.0 1.71957e+18 21580800000.0 2036430000000.0 4318430000000.0 1765530000.0 362926000000.0 2562530000000.0 201916.0 985205000000.0 16940000000000.0 13927900000000.0 3016630.0 50254100.0 1857020000.0 5460380000.0 268295000000.0 17288.9 1684480.0 -4.82 [-4.82]
104713000000000.0 1.63035e+18 23032100000.0 2113130000000.0 4314770000000.0 1895600000.0 378984000000.0 2466870000000.0 225099.0 1032020000000.0 15628600000000.0 12266400000000.0 3464200.0 58042600.0 2109400000.0 6007430000.0 279523000000.0 20725.7 1962200.0 -4.8 [-4.8]
