qso         z_abs       NHi     err_NHi   nH    err_nH      Z       err_Z   case

3c263       0.140756    14.49    0.02   -4.14   0.04        0.06    0.05    exc            
3c263       0.140756    14.49    0.02   -4.45   0.01        -0.01    0.04    inc            
pks0637     0.161064    13.60    0.06   -4.29   0.02        1.64    0.05    exc
pks0637     0.161064    13.60    0.06   -4.42   0.01        1.69    0.04    inc
pks0637     0.417539    15.41    0.03   -3.54   0.11        -0.49    0.11    exc
pks0637     0.417539    15.41    0.03   -3.74   0.02        -0.23    0.04    inc
pg1424      0.147104    15.44    0.14   -3.81   0.03        -0.46    0.03    exc
pg1424      0.147104    15.44    0.14   -3.88   0.02        -0.42    0.02    inc
pg1424      0.147104    14.88    0.05   -3.74   0.05        -0.22    0.04    exc
pg1424      0.147104    14.88    0.05   -3.96   0.03        -0.07    0.04    inc
pg0003      0.347579    16.10    0.05   -2.24   0.03        -0.31    0.04    exc  
pg0003      0.347579    16.10    0.05   -3.88   0.03        -1.51    0.04    inc  
pg0003      0.386089    14.81    0.03   -4.12   0.06        -0.65    0.04    exc
pg0003      0.386089    14.81    0.03   -4.07   0.02        -0.68    0.03    inc
pg0003      0.421923    14.17    0.04   -2.66   0.22        0.42    0.23    exc
pg0003      0.421923    14.17    0.04   -4.24   0.02        -0.09    0.03    inc
pg1216      0.282286    15.10    0.05   -2.13   0.15        0.65    0.22    exc
pg1216      0.282286    15.10    0.05   -3.86   0.02        -0.37    0.03    inc
pg1216      0.282286    16.40    0.03   -2.08   0.43        -0.37    0.59    exc
pg1216      0.282286    16.40    0.03   -3.68   0.02        -1.55    0.04    inc
s135712     0.097869    16.49    0.12   -3.76   0.05        -1.49    0.04    exc
s135712     0.097869    16.49    0.12   -4.06   0.02        -1.32    0.04    inc
s135712     0.097869    15.01    0.16   -3.70   0.03        1.35    0.04    exc
s135712     0.097869    15.01    0.16   -4.30   0.03        1.00    0.03    inc
1es1553     0.187764    12.76    0.15   -4.62   0.04        1.37    0.06    exc
1es1553     0.187764    12.76    0.15   -4.63   0.03        1.37    0.06    inc
1es1553     0.187764    13.88    0.01   -4.60   0.04        0.03    0.03    exc
1es1553     0.187764    13.88    0.01   -4.44   0.02        -0.06    0.02    inc
sbs1108     0.463207    18.10    0.12   -2.55   0.03        -0.83    0.04    exc
sbs1108     0.463207    18.10    0.12   -3.49   0.01        -0.92    0.03    inc
sbs1108     0.463207    15.79    0.11   -3.33   0.10        -0.02    0.12    exc
sbs1108     0.463207    15.79    0.11   -3.99   0.02        -0.44    0.05    inc
pg1222      0.378389    15.43    0.04   -2.66   0.05        -0.25    0.06    exc
pg1222      0.378389    15.43    0.04   -3.16   0.03        -0.66    0.02    inc
pg1116      0.138527    13.60    0.23   -3.92   0.02            2    0.0    exc
pg1116      0.138527    13.60    0.23   -4.35   0.00            2    0.0    inc
h1821       0.170006    13.68    0.02   -4.33   0.02        1.30    0.05    exc
h1821       0.170006    13.68    0.02   -4.43   0.01        1.25    0.05    inc
h1821       0.170006    13.35    0.02   -4.30   0.05        1.18    0.13    exc
h1821       0.170006    13.35    0.02   -4.41   0.02        1.15    0.12    inc
h1821       0.224981    15.16    0.02   -3.29   0.08        -0.95    0.07    exc
h1821       0.224981    15.16    0.02   -4.36   0.02        -0.81    0.04    inc
h1821       0.224981    15.13    0.03   -3.29   0.03        -0.44    0.03    exc
h1821       0.224981    15.13    0.03   -3.83   0.04        -0.77    0.03    inc
pg1121      0.192393    14.34    0.09   -3.12   0.07        1.62    0.07    exc
pg1121      0.192393    14.34    0.09   -3.70   0.03        1.33    0.04    inc
pg1121      0.192393    17.70    0.11   -2.35   0.05        -1.66    0.06    exc
pg1121      0.192393    17.70    0.11   -3.08   0.04        -2.08    0.05    inc
pks0405     0.167125    13.46    0.04   -3.98   0.03        0.62    0.02    exc    
pks0405     0.167125    13.46    0.04   -4.17   0.02        0.63    0.02    inc    
pks0405     0.167125    15.98    0.34   -2.73   0.04        -0.18    0.02    exc    
pks0405     0.167125    15.98    0.34   -3.27   0.03        -0.33    0.02    inc    
