#depth	Te	cC/dT	dt/dr	d^2T/dr^2
8.72300e+18	1.1533e+03	-1.72e-35
5.23380e+19	1.1474e+03	-1.72e-35	-8.39e-20
1.26311e+20	1.1461e+03	-1.72e-35	-1.70e-20	8.55e-40
2.00541e+20	1.1470e+03	-1.72e-35	1.33e-20	4.32e-40
2.67350e+20	1.1474e+03	-1.72e-35	5.42e-21	-1.25e-40
3.27513e+20	1.1483e+03	-1.73e-35	1.52e-20	1.72e-40
3.81687e+20	1.1482e+03	-1.73e-35	-1.18e-21	-3.20e-40
4.30462e+20	1.1492e+03	-1.73e-35	2.21e-20	5.03e-40
4.74378e+20	1.1494e+03	-1.73e-35	4.18e-21	-4.29e-40
5.13920e+20	1.1498e+03	-1.74e-35	1.21e-20	2.12e-40
5.49518e+20	1.1499e+03	-1.74e-35	2.66e-21	-2.81e-40
5.81563e+20	1.1505e+03	-1.74e-35	1.74e-20	4.85e-40
6.10411e+20	1.1506e+03	-1.74e-35	4.78e-21	-4.61e-40
6.36381e+20	1.1509e+03	-1.74e-35	1.46e-20	3.97e-40
6.59758e+20	1.1511e+03	-1.74e-35	6.64e-21	-3.58e-40
6.80802e+20	1.1514e+03	-1.74e-35	1.46e-20	4.02e-40
6.99744e+20	1.1515e+03	-1.75e-35	7.39e-21	-4.04e-40
7.16795e+20	1.1517e+03	-1.75e-35	1.37e-20	3.93e-40
7.32143e+20	1.1519e+03	-1.75e-35	8.35e-21	-3.71e-40
7.45959e+20	1.1520e+03	-1.75e-35	1.32e-20	3.70e-40
7.58394e+20	1.1521e+03	-1.75e-35	8.64e-21	-3.86e-40
7.69586e+20	1.1523e+03	-1.75e-35	1.28e-20	3.95e-40
7.79661e+20	1.1524e+03	-1.75e-35	9.83e-21	-3.14e-40
7.88794e+20	1.1524e+03	-1.75e-35	9.24e-21	-6.81e-41
7.97517e+20	1.1524e+03	-1.75e-35	-8.45e-21	-2.03e-39
8.06240e+20	1.1524e+03	-1.75e-35	8.51e-21	1.94e-39
8.14964e+20	1.1524e+03	-1.75e-35	-5.69e-21	-1.63e-39
8.23687e+20	1.1524e+03	-1.75e-35	-7.47e-22	5.66e-40
8.32410e+20	1.1524e+03	-1.75e-35	-1.46e-21	-8.21e-41
8.41134e+20	1.1524e+03	-1.75e-35	-1.41e-22	1.52e-40
8.49857e+20	1.1523e+03	-1.75e-35	-3.30e-21	-3.62e-40
8.58581e+20	1.1523e+03	-1.75e-35	-8.69e-22	2.78e-40
8.66644e+20	1.1525e+03	-1.75e-35	1.88e-20	2.66e-39
8.66644e+20	1.1525e+03	-1.75e-35	1.88e-20	0.00e+00
