H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.94984e+16	4.43721e+20	3.08683e+12	3.69237e+14	9.61213e+14	2.13044e+11	5.94671e+13	6.01312e+14	2.07612e+07	1.94710e+14	4.85903e+15	4.71816e+15	2.35119e+08	4.42836e+09	1.83500e+11	6.84871e+11	4.25596e+13	1.39562e+06	1.66105e+08
1.94983e+16	4.20463e+20	3.30902e+12	3.84876e+14	9.64489e+14	2.30170e+11	6.24990e+13	5.83117e+14	2.31786e+07	2.05038e+14	4.51948e+15	4.19590e+15	2.72549e+08	5.15784e+09	2.09837e+11	7.58360e+11	4.46513e+13	1.68320e+06	1.95079e+08
1.94984e+16	3.98461e+20	3.54296e+12	4.00659e+14	9.66571e+14	2.48339e+11	6.55857e+13	5.64413e+14	2.58716e+07	2.15598e+14	4.19502e+15	3.72473e+15	3.15392e+08	5.99604e+09	2.39582e+11	8.38515e+11	4.67761e+13	2.02784e+06	2.28652e+08
1.94983e+16	3.77627e+20	3.78867e+12	4.16525e+14	9.67403e+14	2.67562e+11	6.87150e+13	5.45255e+14	2.88691e+07	2.26353e+14	3.88595e+15	3.30050e+15	3.64323e+08	6.95682e+09	2.73105e+11	9.25759e+11	4.89269e+13	2.44021e+06	2.67470e+08
1.94983e+16	3.57907e+20	4.04648e+12	4.32445e+14	9.67003e+14	2.87873e+11	7.18797e+13	5.25737e+14	3.22082e+07	2.37292e+14	3.59228e+15	2.91949e+15	4.20115e+08	8.05608e+09	3.10830e+11	1.02058e+12	5.10990e+13	2.93319e+06	3.12280e+08
1.94983e+16	3.39239e+20	4.31657e+12	4.48378e+14	9.65362e+14	3.09287e+11	7.50706e+13	5.05935e+14	3.59267e+07	2.48392e+14	3.31419e+15	2.57802e+15	4.83613e+08	9.31103e+09	3.53206e+11	1.12345e+12	5.32857e+13	3.52151e+06	3.63904e+08
1.94983e+16	3.21560e+20	4.59888e+12	4.64266e+14	9.62467e+14	3.31813e+11	7.82752e+13	4.85930e+14	4.00686e+07	2.59623e+14	3.05153e+15	2.27250e+15	5.55721e+08	1.07406e+10	4.00722e+11	1.23487e+12	5.54798e+13	4.22272e+06	4.23261e+08
1.94983e+16	3.04822e+20	4.89364e+12	4.80074e+14	9.58333e+14	3.55475e+11	8.14851e+13	4.65806e+14	4.46844e+07	2.70971e+14	2.80414e+15	1.99983e+15	6.37472e+08	1.23658e+10	4.53910e+11	1.35534e+12	5.76748e+13	5.05711e+06	4.91367e+08
1.94983e+16	2.88969e+20	5.20080e+12	4.95739e+14	9.52951e+14	3.80272e+11	8.46864e+13	4.45631e+14	4.98304e+07	2.82405e+14	2.57175e+15	1.75685e+15	7.29977e+08	1.42095e+10	5.13338e+11	1.48534e+12	5.98621e+13	6.04884e+06	5.69392e+08
1.94983e+16	2.73954e+20	5.52015e+12	5.11210e+14	9.46341e+14	4.06199e+11	8.78674e+13	4.25488e+14	5.55670e+07	2.93901e+14	2.35406e+15	1.54078e+15	8.34426e+08	1.62963e+10	5.79621e+11	1.62541e+12	6.20345e+13	7.22587e+06	6.58635e+08
1.94983e+16	2.59733e+20	5.85188e+12	5.26436e+14	9.38509e+14	4.33279e+11	9.10174e+13	4.05449e+14	6.19704e+07	3.05439e+14	2.15063e+15	1.34898e+15	9.52190e+08	1.86539e+10	6.53423e+11	1.77603e+12	6.41832e+13	8.62101e+06	7.60518e+08
1.94983e+16	2.46265e+20	6.19599e+12	5.41372e+14	9.29479e+14	4.61515e+11	9.41269e+13	3.85591e+14	6.91191e+07	3.16995e+14	1.96101e+15	1.17911e+15	1.08478e+09	2.13119e+10	7.35446e+11	1.93767e+12	6.62996e+13	1.02717e+07	8.76627e+08
1.94983e+16	2.33504e+20	6.55162e+12	5.55932e+14	9.19260e+14	4.90871e+11	9.71787e+13	3.65978e+14	7.71011e+07	3.28533e+14	1.78469e+15	1.02889e+15	1.23357e+09	2.43006e+10	8.26413e+11	2.11084e+12	6.83735e+13	1.22228e+07	1.00873e+09
1.94983e+16	2.21416e+20	6.91897e+12	5.70075e+14	9.07887e+14	5.21363e+11	1.00164e+14	3.46674e+14	8.60231e+07	3.40036e+14	1.62113e+15	8.96298e+14	1.40038e+09	2.76552e+10	9.27131e+11	2.29598e+12	7.03963e+13	1.45253e+07	1.15878e+09
1.94983e+16	2.09963e+20	7.29753e+12	5.83741e+14	8.95393e+14	5.52972e+11	1.03070e+14	3.27741e+14	9.59973e+07	3.51469e+14	1.46982e+15	7.79507e+14	1.58699e+09	3.14120e+10	1.03843e+12	2.49353e+12	7.23583e+13	1.72381e+07	1.32890e+09
1.94983e+16	1.99115e+20	7.68715e+12	5.96873e+14	8.81802e+14	5.85710e+11	1.05887e+14	3.09233e+14	1.07157e+08	3.62803e+14	1.33030e+15	6.76841e+14	1.79541e+09	3.56101e+10	1.16116e+12	2.70380e+12	7.42487e+13	2.04297e+07	1.52141e+09
1.94983e+16	1.88854e+20	8.08971e+12	6.09487e+14	8.67170e+14	6.19726e+11	1.08617e+14	2.91202e+14	1.19676e+08	3.74036e+14	1.20197e+15	5.86845e+14	2.02852e+09	4.02970e+10	1.29631e+12	2.92680e+12	7.60573e+13	2.41781e+07	1.73880e+09
1.94983e+16	1.79107e+20	8.49853e+12	6.21340e+14	8.51523e+14	6.54574e+11	1.11216e+14	2.73684e+14	1.33651e+08	3.85069e+14	1.08416e+15	5.07889e+14	2.28650e+09	4.55030e+10	1.44472e+12	3.16385e+12	7.77777e+13	2.85763e+07	1.98415e+09
1.94983e+16	1.69882e+20	8.91818e+12	6.32535e+14	8.34923e+14	6.90591e+11	1.13703e+14	2.56724e+14	1.49322e+08	3.95938e+14	9.76278e+14	4.38883e+14	2.57349e+09	5.12864e+10	1.60744e+12	3.41432e+12	7.93967e+13	3.37243e+07	2.26025e+09
1.94983e+16	1.61132e+20	9.34505e+12	6.42928e+14	8.17410e+14	7.27557e+11	1.16051e+14	2.40347e+14	1.66872e+08	4.06579e+14	8.77672e+14	3.78627e+14	2.89091e+09	5.76886e+10	1.78542e+12	3.67887e+12	8.09058e+13	3.97435e+07	2.57056e+09
1.94983e+16	1.52851e+20	9.78167e+12	6.52570e+14	7.99068e+14	7.65677e+11	1.18269e+14	2.24588e+14	1.86573e+08	4.17006e+14	7.87773e+14	3.26153e+14	3.24251e+09	6.47699e+10	1.97980e+12	3.95713e+12	8.22953e+13	4.67681e+07	2.91856e+09
1.94983e+16	1.45005e+20	1.02257e+13	6.61362e+14	7.79944e+14	8.04823e+11	1.20339e+14	2.09465e+14	2.08675e+08	4.27174e+14	7.05962e+14	2.80517e+14	3.63050e+09	7.25797e+10	2.19157e+12	4.24931e+12	8.35560e+13	5.49529e+07	3.30818e+09
1.94983e+16	1.37570e+20	1.06764e+13	6.69268e+14	7.60109e+14	8.44989e+11	1.22257e+14	1.94994e+14	2.33485e+08	4.37059e+14	6.31663e+14	2.40879e+14	4.05781e+09	8.11744e+10	2.42182e+12	4.55535e+12	8.46793e+13	6.44754e+07	3.74363e+09
1.94983e+16	1.30523e+20	1.11324e+13	6.76231e+14	7.39621e+14	8.86107e+11	1.24013e+14	1.81185e+14	2.61330e+08	4.46634e+14	5.64316e+14	2.06521e+14	4.52706e+09	9.06083e+10	2.67153e+12	4.87510e+12	8.56562e+13	7.55334e+07	4.22936e+09
1.94983e+16	1.23867e+20	1.16005e+13	6.82385e+14	7.18552e+14	9.28762e+11	1.25627e+14	1.68050e+14	2.92711e+08	4.55925e+14	5.03420e+14	1.76849e+14	5.04601e+09	1.00975e+11	2.94215e+12	5.20677e+12	8.64784e+13	8.83495e+07	4.76983e+09
1.94983e+16	1.17515e+20	1.20576e+13	6.87199e+14	6.96944e+14	9.71272e+11	1.27022e+14	1.55571e+14	3.27734e+08	4.64754e+14	4.48362e+14	1.51114e+14	5.60509e+09	1.12233e+11	3.23344e+12	5.55382e+12	8.71364e+13	1.03185e+08	5.37080e+09
1.94983e+16	1.11517e+20	1.25248e+13	6.91158e+14	6.74924e+14	1.01527e+12	1.28270e+14	1.43767e+14	3.67195e+08	4.73268e+14	3.98777e+14	1.28974e+14	6.21938e+09	1.24541e+11	3.54760e+12	5.91187e+12	8.76276e+13	1.20322e+08	6.03707e+09
1.94983e+16	1.05832e+20	1.29938e+13	6.94079e+14	6.52553e+14	1.06021e+12	1.29340e+14	1.32623e+14	4.11537e+08	4.81388e+14	3.54165e+14	1.09913e+14	6.88794e+09	1.37925e+11	3.88512e+12	6.28141e+12	8.79444e+13	1.40089e+08	6.77458e+09
1.94983e+16	1.00443e+20	1.34632e+13	6.95941e+14	6.29911e+14	1.10603e+12	1.30231e+14	1.22128e+14	4.61357e+08	4.89095e+14	3.14098e+14	9.35300e+13	7.61327e+09	1.52441e+11	4.24674e+12	6.66163e+12	8.80817e+13	1.62849e+08	7.58931e+09
1.94983e+16	9.53351e+19	1.39319e+13	6.96735e+14	6.07069e+14	1.15272e+12	1.30940e+14	1.12268e+14	5.17326e+08	4.96369e+14	2.78175e+14	7.94759e+13	8.39814e+09	1.68143e+11	4.63312e+12	7.05135e+12	8.80348e+13	1.89005e+08	8.48747e+09
1.94983e+16	9.05011e+19	1.44034e+13	6.96549e+14	5.84116e+14	1.20062e+12	1.31480e+14	1.03031e+14	5.80274e+08	5.03224e+14	2.46035e+14	6.74517e+13	9.24868e+09	1.85118e+11	5.04526e+12	7.44854e+12	8.78030e+13	2.19010e+08	9.47561e+09
1.94983e+16	8.59013e+19	1.48625e+13	6.95127e+14	5.61109e+14	1.24864e+12	1.31816e+14	9.43885e+13	6.50826e+08	5.09559e+14	2.17289e+14	5.71485e+13	1.01557e+10	2.03311e+11	5.48213e+12	7.85424e+12	8.73767e+13	2.53374e+08	1.05604e+10
1.94983e+16	8.15490e+19	1.53229e+13	6.92765e+14	5.38153e+14	1.29787e+12	1.31986e+14	8.63300e+13	7.30141e+08	5.15447e+14	1.91656e+14	4.83621e+13	1.11325e+10	2.22870e+11	5.94534e+12	8.26420e+12	8.67621e+13	2.92652e+08	1.17490e+10
1.94983e+16	7.74271e+19	1.57819e+13	6.89424e+14	5.15301e+14	1.34822e+12	1.31986e+14	7.88315e+13	8.19290e+08	5.20861e+14	1.68830e+14	4.08765e+13	1.21801e+10	2.43827e+11	6.43483e+12	8.67678e+12	8.59584e+13	3.37482e+08	1.30484e+10
1.94983e+16	7.35044e+19	1.62245e+13	6.84897e+14	4.92611e+14	1.39863e+12	1.31789e+14	7.18631e+13	9.19226e+08	5.25720e+14	1.48509e+14	3.44906e+13	1.32858e+10	2.66085e+11	6.94848e+12	9.09258e+12	8.49587e+13	3.88558e+08	1.44656e+10
