# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
1.94984e+16 4.43721e+20 3086830000000.0 369237000000000.0 961213000000000.0 213044000000.0 59467100000000.0 601312000000000.0 20761200.0 194710000000000.0 4859030000000000.0 4718160000000000.0 235119000.0 4428360000.0 183500000000.0 684871000000.0 42559600000000.0 1395620.0 166105000.0 -5.0 [-5.0]
1.94983e+16 4.20463e+20 3309020000000.0 384876000000000.0 964489000000000.0 230170000000.0 62499000000000.0 583117000000000.0 23178600.0 205038000000000.0 4519480000000000.0 4195900000000000.0 272549000.0 5157840000.0 209837000000.0 758360000000.0 44651300000000.0 1683200.0 195079000.0 -4.98 [-4.98]
1.94984e+16 3.98461e+20 3542960000000.0 400659000000000.0 966571000000000.0 248339000000.0 65585700000000.0 564413000000000.0 25871600.0 215598000000000.0 4195020000000000.0 3724730000000000.0 315392000.0 5996040000.0 239582000000.0 838515000000.0 46776100000000.0 2027840.0 228652000.0 -4.96 [-4.96]
1.94983e+16 3.77627e+20 3788670000000.0 416525000000000.0 967403000000000.0 267562000000.0 68715000000000.0 545255000000000.0 28869100.0 226353000000000.0 3885950000000000.0 3300500000000000.0 364323000.0 6956820000.0 273105000000.0 925759000000.0 48926900000000.0 2440210.0 267470000.0 -4.94 [-4.94]
1.94983e+16 3.57907e+20 4046480000000.0 432445000000000.0 967003000000000.0 287873000000.0 71879700000000.0 525737000000000.0 32208200.0 237292000000000.0 3592280000000000.0 2919490000000000.0 420115000.0 8056080000.0 310830000000.0 1020580000000.0 51099000000000.0 2933190.0 312280000.0 -4.92 [-4.92]
1.94983e+16 3.39239e+20 4316570000000.0 448378000000000.0 965362000000000.0 309287000000.0 75070600000000.0 505935000000000.0 35926700.0 248392000000000.0 3314190000000000.0 2578020000000000.0 483613000.0 9311030000.0 353206000000.0 1123450000000.0 53285700000000.0 3521510.0 363904000.0 -4.9 [-4.9]
1.94983e+16 3.2156e+20 4598880000000.0 464266000000000.0 962467000000000.0 331813000000.0 78275200000000.0 485930000000000.0 40068600.0 259623000000000.0 3051530000000000.0 2272500000000000.0 555721000.0 10740600000.0 400722000000.0 1234870000000.0 55479800000000.0 4222720.0 423261000.0 -4.88 [-4.88]
1.94983e+16 3.04822e+20 4893640000000.0 480074000000000.0 958333000000000.0 355475000000.0 81485100000000.0 465806000000000.0 44684400.0 270971000000000.0 2804140000000000.0 1999830000000000.0 637472000.0 12365800000.0 453910000000.0 1355340000000.0 57674800000000.0 5057110.0 491367000.0 -4.86 [-4.86]
1.94983e+16 2.88969e+20 5200800000000.0 495739000000000.0 952951000000000.0 380272000000.0 84686400000000.0 445631000000000.0 49830400.0 282405000000000.0 2571750000000000.0 1756850000000000.0 729977000.0 14209500000.0 513338000000.0 1485340000000.0 59862100000000.0 6048840.0 569392000.0 -4.84 [-4.84]
1.94983e+16 2.73954e+20 5520150000000.0 511210000000000.0 946341000000000.0 406199000000.0 87867400000000.0 425488000000000.0 55567000.0 293901000000000.0 2354060000000000.0 1540780000000000.0 834426000.0 16296300000.0 579621000000.0 1625410000000.0 62034500000000.0 7225870.0 658635000.0 -4.82 [-4.82]
1.94983e+16 2.59733e+20 5851880000000.0 526436000000000.0 938509000000000.0 433279000000.0 91017400000000.0 405449000000000.0 61970400.0 305439000000000.0 2150630000000000.0 1348980000000000.0 952190000.0 18653900000.0 653423000000.0 1776030000000.0 64183200000000.0 8621010.0 760518000.0 -4.8 [-4.8]
1.94983e+16 2.46265e+20 6195990000000.0 541372000000000.0 929479000000000.0 461515000000.0 94126900000000.0 385591000000000.0 69119100.0 316995000000000.0 1961010000000000.0 1179110000000000.0 1084780000.0 21311900000.0 735446000000.0 1937670000000.0 66299600000000.0 10271700.0 876627000.0 -4.78 [-4.78]
1.94983e+16 2.33504e+20 6551620000000.0 555932000000000.0 919260000000000.0 490871000000.0 97178700000000.0 365978000000000.0 77101100.0 328533000000000.0 1784690000000000.0 1028890000000000.0 1233570000.0 24300600000.0 826413000000.0 2110840000000.0 68373500000000.0 12222800.0 1008730000.0 -4.76 [-4.76]
1.94983e+16 2.21416e+20 6918970000000.0 570075000000000.0 907887000000000.0 521363000000.0 100164000000000.0 346674000000000.0 86023100.0 340036000000000.0 1621130000000000.0 896298000000000.0 1400380000.0 27655200000.0 927131000000.0 2295980000000.0 70396300000000.0 14525300.0 1158780000.0 -4.74 [-4.74]
1.94983e+16 2.09963e+20 7297530000000.0 583741000000000.0 895393000000000.0 552972000000.0 103070000000000.0 327741000000000.0 95997300.0 351469000000000.0 1469820000000000.0 779507000000000.0 1586990000.0 31412000000.0 1038430000000.0 2493530000000.0 72358300000000.0 17238100.0 1328900000.0 -4.72 [-4.72]
1.94983e+16 1.99115e+20 7687150000000.0 596873000000000.0 881802000000000.0 585710000000.0 105887000000000.0 309233000000000.0 107157000.0 362803000000000.0 1330300000000000.0 676841000000000.0 1795410000.0 35610100000.0 1161160000000.0 2703800000000.0 74248700000000.0 20429700.0 1521410000.0 -4.7 [-4.7]
1.94983e+16 1.88854e+20 8089710000000.0 609487000000000.0 867170000000000.0 619726000000.0 108617000000000.0 291202000000000.0 119676000.0 374036000000000.0 1201970000000000.0 586845000000000.0 2028520000.0 40297000000.0 1296310000000.0 2926800000000.0 76057300000000.0 24178100.0 1738800000.0 -4.68 [-4.68]
1.94983e+16 1.79107e+20 8498530000000.0 621340000000000.0 851523000000000.0 654574000000.0 111216000000000.0 273684000000000.0 133651000.0 385069000000000.0 1084160000000000.0 507889000000000.0 2286500000.0 45503000000.0 1444720000000.0 3163850000000.0 77777700000000.0 28576300.0 1984150000.0 -4.66 [-4.66]
1.94983e+16 1.69882e+20 8918180000000.0 632535000000000.0 834923000000000.0 690591000000.0 113703000000000.0 256724000000000.0 149322000.0 395938000000000.0 976278000000000.0 438883000000000.0 2573490000.0 51286400000.0 1607440000000.0 3414320000000.0 79396700000000.0 33724300.0 2260250000.0 -4.64 [-4.64]
1.94983e+16 1.61132e+20 9345050000000.0 642928000000000.0 817410000000000.0 727557000000.0 116051000000000.0 240347000000000.0 166872000.0 406579000000000.0 877672000000000.0 378627000000000.0 2890910000.0 57688600000.0 1785420000000.0 3678870000000.0 80905800000000.0 39743500.0 2570560000.0 -4.62 [-4.62]
1.94983e+16 1.52851e+20 9781670000000.0 652570000000000.0 799068000000000.0 765677000000.0 118269000000000.0 224588000000000.0 186573000.0 417006000000000.0 787773000000000.0 326153000000000.0 3242510000.0 64769900000.0 1979800000000.0 3957130000000.0 82295300000000.0 46768100.0 2918560000.0 -4.6 [-4.6]
1.94983e+16 1.45005e+20 10225700000000.0 661362000000000.0 779944000000000.0 804823000000.0 120339000000000.0 209465000000000.0 208675000.0 427174000000000.0 705962000000000.0 280517000000000.0 3630500000.0 72579700000.0 2191570000000.0 4249310000000.0 83556000000000.0 54952900.0 3308180000.0 -4.58 [-4.58]
1.94983e+16 1.3757e+20 10676400000000.0 669268000000000.0 760109000000000.0 844989000000.0 122257000000000.0 194994000000000.0 233485000.0 437059000000000.0 631663000000000.0 240879000000000.0 4057810000.0 81174400000.0 2421820000000.0 4555350000000.0 84679300000000.0 64475400.0 3743630000.0 -4.56 [-4.56]
1.94983e+16 1.30523e+20 11132400000000.0 676231000000000.0 739621000000000.0 886107000000.0 124013000000000.0 181185000000000.0 261330000.0 446634000000000.0 564316000000000.0 206521000000000.0 4527060000.0 90608300000.0 2671530000000.0 4875100000000.0 85656200000000.0 75533400.0 4229360000.0 -4.54 [-4.54]
