H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
2.34423e+13	4.98895e+17	3.46693e+09	3.61560e+11	9.22971e+11	2.73642e+08	6.18918e+10	6.58098e+11	2.66382e+04	1.64196e+11	5.47612e+12	5.86005e+12	3.18185e+05	5.02232e+06	2.01061e+08	6.95004e+08	4.55022e+10	1.52183e+03	1.60402e+05
2.34423e+13	4.72811e+17	3.72244e+09	3.77658e+11	9.28083e+11	2.95985e+08	6.51777e+10	6.40215e+11	2.97353e+04	1.73420e+11	5.11124e+12	5.21578e+12	3.68927e+05	5.86171e+06	2.30392e+08	7.70985e+08	4.78065e+10	1.83475e+03	1.88828e+05
2.34423e+13	4.48127e+17	3.99230e+09	3.93995e+11	9.32143e+11	3.19732e+08	6.85357e+10	6.21650e+11	3.31835e+04	1.82886e+11	4.76035e+12	4.63321e+12	4.27008e+05	6.82819e+06	2.63589e+08	8.54018e+08	5.01522e+10	2.20977e+03	2.21838e+05
2.34423e+13	4.24763e+17	4.27686e+09	4.10538e+11	9.35131e+11	3.44917e+08	7.19568e+10	6.02475e+11	3.70219e+04	1.92578e+11	4.42402e+12	4.10770e+12	4.93354e+05	7.93865e+06	3.01096e+08	9.44607e+08	5.25337e+10	2.65864e+03	2.60101e+05
2.34423e+13	4.02642e+17	4.57638e+09	4.27251e+11	9.37032e+11	3.71560e+08	7.54302e+10	5.82764e+11	4.12930e+04	2.02475e+11	4.10269e+12	3.63470e+12	5.68984e+05	9.21184e+06	3.43401e+08	1.04329e+09	5.49451e+10	3.19529e+03	3.04373e+05
2.34423e+13	3.81693e+17	4.89114e+09	4.44093e+11	9.37828e+11	3.99684e+08	7.89449e+10	5.62594e+11	4.60462e+04	2.12560e+11	3.79664e+12	3.20994e+12	6.55026e+05	1.06685e+07	3.91035e+08	1.15061e+09	5.73795e+10	3.83611e+03	3.55506e+05
2.34423e+13	3.61853e+17	5.22133e+09	4.61022e+11	9.37509e+11	4.29303e+08	8.24892e+10	5.42049e+11	5.13360e+04	2.22811e+11	3.50610e+12	2.82942e+12	7.52712e+05	1.23314e+07	4.44572e+08	1.26713e+09	5.98297e+10	4.60033e+03	4.14455e+05
2.34423e+13	3.43063e+17	5.56723e+09	4.77995e+11	9.36064e+11	4.60437e+08	8.60513e+10	5.21211e+11	5.72258e+04	2.33210e+11	3.23111e+12	2.48932e+12	8.63411e+05	1.42259e+07	5.04639e+08	1.39341e+09	6.22878e+10	5.51064e+03	4.82293e+05
2.34423e+13	3.25268e+17	5.92923e+09	4.94972e+11	9.33487e+11	4.93120e+08	8.96204e+10	5.00165e+11	6.37903e+04	2.43742e+11	2.97161e+12	2.18604e+12	9.88667e+05	1.63798e+07	5.71918e+08	1.53001e+09	6.47454e+10	6.59367e+03	5.60222e+05
2.34423e+13	3.08409e+17	6.30707e+09	5.11892e+11	9.29769e+11	5.27319e+08	9.31805e+10	4.78995e+11	7.11034e+04	2.54379e+11	2.72746e+12	1.91618e+12	1.13004e+06	1.88229e+07	6.47130e+08	1.67754e+09	6.71939e+10	7.88043e+03	6.49590e+05
