H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.58489e+14	1.02779e+20	1.53485e+07	7.47303e+09	2.52341e+11	2.58219e+13	2.91834e+14	2.46131e+03	1.77752e+06	6.98414e+07
1.58489e+14	1.02780e+20	1.68281e+07	8.19387e+09	2.76683e+11	2.83138e+13	3.19994e+14	2.69881e+03	1.94904e+06	7.65809e+07
1.58489e+14	1.02782e+20	1.84502e+07	8.98426e+09	3.03373e+11	3.10462e+13	3.50872e+14	2.95922e+03	2.13712e+06	8.39711e+07
1.58489e+14	1.02784e+20	2.02284e+07	9.85088e+09	3.32639e+11	3.40425e+13	3.84731e+14	3.24478e+03	2.34335e+06	9.20747e+07
1.58489e+14	1.02786e+20	2.21778e+07	1.08011e+10	3.64728e+11	3.73282e+13	4.21859e+14	3.55789e+03	2.56950e+06	1.00961e+08
1.58489e+14	1.02789e+20	2.43145e+07	1.18430e+10	3.99913e+11	4.09311e+13	4.62572e+14	3.90124e+03	2.81748e+06	1.10705e+08
1.58489e+14	1.02793e+20	2.66567e+07	1.29854e+10	4.38495e+11	4.48822e+13	5.07217e+14	4.27774e+03	3.08941e+06	1.21390e+08
1.58489e+14	1.02797e+20	2.92243e+07	1.42380e+10	4.80799e+11	4.92149e+13	5.56173e+14	4.69058e+03	3.38760e+06	1.33108e+08
1.58489e+14	1.02801e+20	3.20402e+07	1.56115e+10	5.27185e+11	5.39661e+13	6.09857e+14	5.14329e+03	3.71459e+06	1.45957e+08
1.58489e+14	1.02806e+20	3.51270e+07	1.71174e+10	5.78047e+11	5.91764e+13	6.68726e+14	5.63971e+03	4.07316e+06	1.60048e+08
1.58489e+14	1.02812e+20	3.85107e+07	1.87687e+10	6.33820e+11	6.48904e+13	7.33284e+14	6.18408e+03	4.46637e+06	1.75501e+08
1.58489e+14	1.02818e+20	4.22200e+07	2.05793e+10	6.94980e+11	7.11569e+13	8.04082e+14	6.78104e+03	4.89759e+06	1.92448e+08
1.58489e+14	1.02826e+20	4.62865e+07	2.25648e+10	7.62045e+11	7.80295e+13	8.81724e+14	7.43570e+03	5.37050e+06	2.11034e+08
