H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.17489e+16	1.24294e+21	1.54157e+11	4.73438e+13	3.85708e+14	1.09354e+16	3.51236e+16	2.64896e+07	2.20769e+09	2.10343e+10
1.17490e+16	1.17288e+21	1.70525e+11	5.10655e+13	3.99649e+14	1.07024e+16	3.25867e+16	3.25141e+07	2.63530e+09	2.42514e+10
1.17489e+16	1.10709e+21	1.88324e+11	5.49828e+13	4.13430e+14	1.04546e+16	3.01883e+16	3.98076e+07	3.13887e+09	2.79033e+10
1.17489e+16	1.04535e+21	2.07663e+11	5.91066e+13	4.27077e+14	1.01940e+16	2.79262e+16	4.86201e+07	3.73131e+09	3.20469e+10
1.17489e+16	9.87354e+20	2.28647e+11	6.34378e+13	4.40526e+14	9.92125e+15	2.57950e+16	5.92428e+07	4.42669e+09	3.67365e+10
1.17489e+16	9.32839e+20	2.51397e+11	6.79805e+13	4.53747e+14	9.63743e+15	2.37901e+16	7.20212e+07	5.24146e+09	4.20346e+10
1.17490e+16	8.81593e+20	2.76038e+11	7.27388e+13	4.66708e+14	9.34385e+15	2.19076e+16	8.73586e+07	6.19433e+09	4.80087e+10
1.17489e+16	8.33383e+20	3.02697e+11	7.77148e+13	4.79372e+14	9.04163e+15	2.01424e+16	1.05729e+08	7.30665e+09	5.47328e+10
1.17489e+16	7.88015e+20	3.31517e+11	8.29135e+13	4.91721e+14	8.73222e+15	1.84900e+16	1.27688e+08	8.60297e+09	6.22887e+10
1.17489e+16	7.45307e+20	3.62649e+11	8.83381e+13	5.03723e+14	8.41670e+15	1.69462e+16	1.53885e+08	1.01110e+10	7.07637e+10
1.17489e+16	7.05073e+20	3.96229e+11	9.39874e+13	5.15342e+14	8.09642e+15	1.55057e+16	1.85072e+08	1.18624e+10	8.02532e+10
1.17489e+16	6.67155e+20	4.32427e+11	9.98642e+13	5.26552e+14	7.77263e+15	1.41642e+16	2.22131e+08	1.38931e+10	9.08606e+10
1.17490e+16	6.31420e+20	4.71427e+11	1.05971e+14	5.37332e+14	7.44676e+15	1.29173e+16	2.66078e+08	1.62434e+10	1.02697e+11
1.17489e+16	5.97718e+20	5.13388e+11	1.12309e+14	5.47657e+14	7.12004e+15	1.17603e+16	3.18092e+08	1.89593e+10	1.15883e+11
1.17489e+16	5.65943e+20	5.58513e+11	1.18882e+14	5.57528e+14	6.79400e+15	1.06890e+16	3.79540e+08	2.20935e+10	1.30553e+11
1.17489e+16	5.35897e+20	6.06872e+11	1.25670e+14	5.66843e+14	6.46897e+15	9.69754e+15	4.51965e+08	2.57011e+10	1.46835e+11
1.17489e+16	5.07558e+20	6.58785e+11	1.32694e+14	5.75663e+14	6.14711e+15	8.78321e+15	5.37198e+08	2.98507e+10	1.64890e+11
1.17489e+16	4.80801e+20	7.14435e+11	1.39944e+14	5.83940e+14	5.82911e+15	7.94131e+15	6.37306e+08	3.46147e+10	1.84870e+11
1.17489e+16	4.55521e+20	7.74013e+11	1.47418e+14	5.91660e+14	5.51615e+15	7.16745e+15	7.54648e+08	4.00750e+10	2.06947e+11
