# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.17489e+16 1.24294e+21 154157000000.0 47343800000000.0 385708000000000.0 1.09354e+16 3.51236e+16 26489600.0 2207690000.0 21034300000.0 -5.0 4.621 [-5.0]
1.1749e+16 1.17288e+21 170525000000.0 51065500000000.0 399649000000000.0 1.07024e+16 3.25867e+16 32514100.0 2635300000.0 24251400000.0 -4.98 4.615 [-4.98]
1.17489e+16 1.10709e+21 188324000000.0 54982800000000.0 413430000000000.0 1.04546e+16 3.01883e+16 39807600.0 3138870000.0 27903300000.0 -4.96 4.609 [-4.96]
1.17489e+16 1.04535e+21 207663000000.0 59106600000000.0 427077000000000.0 1.0194e+16 2.79262e+16 48620100.0 3731310000.0 32046900000.0 -4.94 4.603 [-4.94]
1.17489e+16 9.87354e+20 228647000000.0 63437800000000.0 440526000000000.0 9921250000000000.0 2.5795e+16 59242800.0 4426690000.0 36736500000.0 -4.92 4.597 [-4.92]
1.17489e+16 9.32839e+20 251397000000.0 67980500000000.0 453747000000000.0 9637430000000000.0 2.37901e+16 72021200.0 5241460000.0 42034600000.0 -4.9 4.592 [-4.9]
1.1749e+16 8.81593e+20 276038000000.0 72738800000000.0 466708000000000.0 9343850000000000.0 2.19076e+16 87358600.0 6194330000.0 48008700000.0 -4.88 4.586 [-4.88]
1.17489e+16 8.33383e+20 302697000000.0 77714800000000.0 479372000000000.0 9041630000000000.0 2.01424e+16 105729000.0 7306650000.0 54732800000.0 -4.86 4.581 [-4.86]
1.17489e+16 7.88015e+20 331517000000.0 82913500000000.0 491721000000000.0 8732220000000000.0 1.849e+16 127688000.0 8602970000.0 62288700000.0 -4.84 4.575 [-4.84]
1.17489e+16 7.45307e+20 362649000000.0 88338100000000.0 503723000000000.0 8416700000000000.0 1.69462e+16 153885000.0 10111000000.0 70763700000.0 -4.82 4.57 [-4.82]
1.17489e+16 7.05073e+20 396229000000.0 93987400000000.0 515342000000000.0 8096420000000000.0 1.55057e+16 185072000.0 11862400000.0 80253200000.0 -4.8 4.565 [-4.8]
1.17489e+16 6.67155e+20 432427000000.0 99864200000000.0 526552000000000.0 7772630000000000.0 1.41642e+16 222131000.0 13893100000.0 90860600000.0 -4.78 4.56 [-4.78]
1.1749e+16 6.3142e+20 471427000000.0 105971000000000.0 537332000000000.0 7446760000000000.0 1.29173e+16 266078000.0 16243400000.0 102697000000.0 -4.76 4.555 [-4.76]
1.17489e+16 5.97718e+20 513388000000.0 112309000000000.0 547657000000000.0 7120040000000000.0 1.17603e+16 318092000.0 18959300000.0 115883000000.0 -4.74 4.551 [-4.74]
1.17489e+16 5.65943e+20 558513000000.0 118882000000000.0 557528000000000.0 6794000000000000.0 1.0689e+16 379540000.0 22093500000.0 130553000000.0 -4.72 4.546 [-4.72]
1.17489e+16 5.35897e+20 606872000000.0 125670000000000.0 566843000000000.0 6468970000000000.0 9697540000000000.0 451965000.0 25701100000.0 146835000000.0 -4.7 4.542 [-4.7]
1.17489e+16 5.07558e+20 658785000000.0 132694000000000.0 575663000000000.0 6147110000000000.0 8783210000000000.0 537198000.0 29850700000.0 164890000000.0 -4.68 4.537 [-4.68]
1.17489e+16 4.80801e+20 714435000000.0 139944000000000.0 583940000000000.0 5829110000000000.0 7941310000000000.0 637306000.0 34614700000.0 184870000000.0 -4.66 4.533 [-4.66]
1.17489e+16 4.55521e+20 774013000000.0 147418000000000.0 591660000000000.0 5516150000000000.0 7167450000000000.0 754648000.0 40075000000.0 206947000000.0 -4.64 4.528 [-4.64]
1.17489e+16 4.31624e+20 837684000000.0 155108000000000.0 598802000000000.0 5209180000000000.0 6457400000000000.0 891903000.0 46322600000.0 231304000000.0 -4.62 4.524 [-4.62]
1.17489e+16 4.09032e+20 905675000000.0 163011000000000.0 605343000000000.0 4909020000000000.0 5807540000000000.0 1052150000.0 53460000000.0 258133000000.0 -4.6 4.52 [-4.6]
1.17489e+16 3.87666e+20 978188000000.0 171118000000000.0 611269000000000.0 4616520000000000.0 5213760000000000.0 1238850000.0 61599400000.0 287631000000.0 -4.58 4.516 [-4.58]
1.17489e+16 3.6745e+20 1055380000000.0 179421000000000.0 616565000000000.0 4332490000000000.0 4672380000000000.0 1455940000.0 70867100000.0 320024000000.0 -4.56 4.512 [-4.56]
1.17489e+16 3.4832e+20 1137500000000.0 187910000000000.0 621216000000000.0 4057480000000000.0 4179740000000000.0 1707880000.0 81402300000.0 355533000000.0 -4.54 4.508 [-4.54]
1.17489e+16 3.30214e+20 1224720000000.0 196575000000000.0 625208000000000.0 3792150000000000.0 3732370000000000.0 1999640000.0 93358100000.0 394398000000.0 -4.52 4.504 [-4.52]
1.17489e+16 3.13073e+20 1317240000000.0 205403000000000.0 628529000000000.0 3536870000000000.0 3327060000000000.0 2336850000.0 106903000000.0 436864000000.0 -4.5 4.5 [-4.5]
1.17489e+16 2.96841e+20 1415230000000.0 214380000000000.0 631168000000000.0 3292040000000000.0 2960520000000000.0 2725790000.0 122224000000.0 483199000000.0 -4.48 4.496 [-4.48]
1.17489e+16 2.81466e+20 1518850000000.0 223489000000000.0 633115000000000.0 3057950000000000.0 2629680000000000.0 3173440000.0 139524000000.0 533673000000.0 -4.46 4.492 [-4.46]
1.17489e+16 2.66902e+20 1628270000000.0 232713000000000.0 634359000000000.0 2834760000000000.0 2331760000000000.0 3687600000.0 159024000000.0 588564000000.0 -4.44 4.488 [-4.44]
1.17489e+16 2.53102e+20 1743620000000.0 242033000000000.0 634893000000000.0 2622600000000000.0 2063910000000000.0 4276900000.0 180967000000.0 648164000000.0 -4.42 4.484 [-4.42]
1.17489e+16 2.40028e+20 1865150000000.0 251431000000000.0 634706000000000.0 2421490000000000.0 1823640000000000.0 4951010000.0 205617000000.0 712742000000.0 -4.4 4.481 [-4.4]
