# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
158489000000000.0 1.31196e+19 7356390000.0 3001600000000.0 26946500000000.0 719584000000000.0 2117380000000000.0 1866120.0 177354000.0 1994860000.0 -5.0 [-5.0]
158489000000000.0 1.2345e+19 7945410000.0 3203730000000.0 27858000000000.0 704642000000000.0 1957630000000000.0 2250650.0 210430000.0 2313770000.0 -4.98 [-4.98]
158489000000000.0 1.16213e+19 8571610000.0 3413570000000.0 28753700000000.0 688798000000000.0 1807620000000000.0 2707440.0 249097000.0 2677770000.0 -4.96 [-4.96]
158489000000000.0 1.09452e+19 9238260000.0 3631250000000.0 29631400000000.0 672117000000000.0 1667000000000000.0 3249080.0 294207000.0 3092170000.0 -4.94 [-4.94]
158489000000000.0 1.03123e+19 9946280000.0 3856650000000.0 30489800000000.0 654662000000000.0 1535200000000000.0 3889840.0 346738000.0 3563410000.0 -4.92 [-4.92]
158489000000000.0 9.72018e+18 10700300000.0 4089920000000.0 31326400000000.0 636507000000000.0 1411930000000000.0 4646770.0 407786000.0 4097680000.0 -4.9 [-4.9]
158489000000000.0 9.16556e+18 11503500000.0 4331200000000.0 32139500000000.0 617719000000000.0 1296750000000000.0 5539240.0 478599000.0 4702300000.0 -4.88 [-4.88]
158489000000000.0 8.64582e+18 12359000000.0 4580400000000.0 32927600000000.0 598371000000000.0 1189270000000000.0 6589680.0 560586000.0 5385090000.0 -4.86 [-4.86]
158489000000000.0 8.15817e+18 13269500000.0 4837600000000.0 33689600000000.0 578534000000000.0 1089060000000000.0 7823620.0 655344000.0 6155060000.0 -4.84 [-4.84]
158489000000000.0 7.70085e+18 14241200000.0 5102920000000.0 34423400000000.0 558290000000000.0 995820000000000.0 9271470.0 764658000.0 7020730000.0 -4.82 [-4.82]
158489000000000.0 7.27114e+18 15274900000.0 5376110000000.0 35128200000000.0 537705000000000.0 909109000000000.0 10966200.0 890545000.0 7993280000.0 -4.8 [-4.8]
158489000000000.0 6.86741e+18 16377100000.0 5657470000000.0 35802700000000.0 516870000000000.0 828606000000000.0 12947600.0 1035270000.0 9083250000.0 -4.78 [-4.78]
158489000000000.0 6.48786e+18 17551900000.0 5946870000000.0 36445600000000.0 495850000000000.0 753987000000000.0 15259900.0 1201360000.0 10302600000.0 -4.76 [-4.76]
158489000000000.0 6.13073e+18 18802200000.0 6243990000000.0 37056200000000.0 474720000000000.0 684911000000000.0 17953200.0 1391620000.0 11664500000.0 -4.74 [-4.74]
158489000000000.0 5.79458e+18 20133800000.0 6548910000000.0 37633200000000.0 453557000000000.0 621079000000000.0 21085300.0 1609190000.0 13182600000.0 -4.72 [-4.72]
158489000000000.0 5.47803e+18 21551300000.0 6861390000000.0 38175700000000.0 432436000000000.0 562190000000000.0 24721400.0 1857560000.0 14872000000.0 -4.7 [-4.7]
158489000000000.0 5.17974e+18 23060700000.0 7181690000000.0 38683100000000.0 411434000000000.0 507938000000000.0 28935200.0 2140630000.0 16749000000.0 -4.68 [-4.68]
158489000000000.0 4.89859e+18 24667300000.0 7509430000000.0 39154300000000.0 390617000000000.0 458063000000000.0 33810300.0 2462650000.0 18830400000.0 -4.66 [-4.66]
158489000000000.0 4.63344e+18 26375600000.0 7844160000000.0 39588700000000.0 370052000000000.0 412293000000000.0 39440000.0 2828340000.0 21134600000.0 -4.64 [-4.64]
158489000000000.0 4.38323e+18 28190200000.0 8185480000000.0 39985600000000.0 349805000000000.0 370358000000000.0 45928400.0 3242890000.0 23681800000.0 -4.62 [-4.62]
158489000000000.0 4.1471e+18 30119600000.0 8533630000000.0 40344400000000.0 329938000000000.0 332024000000000.0 53394400.0 3711990000.0 26492200000.0 -4.6 [-4.6]
158489000000000.0 3.92413e+18 32169400000.0 8888070000000.0 40664200000000.0 310505000000000.0 297051000000000.0 61969500.0 4241890000.0 29587800000.0 -4.58 [-4.58]
158489000000000.0 3.71355e+18 34345900000.0 9248420000000.0 40944500000000.0 291560000000000.0 265214000000000.0 71800500.0 4839360000.0 32991600000.0 -4.56 [-4.56]
158489000000000.0 3.51449e+18 36651600000.0 9613840000000.0 41185000000000.0 273147000000000.0 236284000000000.0 83043400.0 5511730000.0 36730600000.0 -4.54 [-4.54]
158489000000000.0 3.32637e+18 39097800000.0 9984290000000.0 41385000000000.0 255313000000000.0 210066000000000.0 95884300.0 6267070000.0 40828400000.0 -4.52 [-4.52]
158489000000000.0 3.14867e+18 41697200000.0 10359800000000.0 41543900000000.0 238100000000000.0 186368000000000.0 110534000.0 7114260000.0 45308600000.0 -4.5 [-4.5]
158489000000000.0 2.98069e+18 44455000000.0 10739800000000.0 41661400000000.0 221538000000000.0 164992000000000.0 127212000.0 8062660000.0 50200800000.0 -4.48 [-4.48]
158489000000000.0 2.82188e+18 47378200000.0 11123300000000.0 41737200000000.0 205654000000000.0 145753000000000.0 146163000.0 9122340000.0 55532700000.0 -4.46 [-4.46]
158489000000000.0 2.6717e+18 50476800000.0 11510000000000.0 41770800000000.0 190470000000000.0 128481000000000.0 167660000.0 10304200000.0 61333600000.0 -4.44 [-4.44]
158489000000000.0 2.52967e+18 53760500000.0 11899400000000.0 41762000000000.0 176000000000000.0 113010000000000.0 192006000.0 11620000000.0 67632700000.0 -4.42 [-4.42]
158489000000000.0 2.39536e+18 57242200000.0 12291000000000.0 41710500000000.0 162258000000000.0 99190400000000.0 219540000.0 13082200000.0 74458000000.0 -4.4 [-4.4]
158489000000000.0 2.26837e+18 60935100000.0 12684500000000.0 41616100000000.0 149248000000000.0 86876200000000.0 250639000.0 14704500000.0 81837300000.0 -4.38 [-4.38]
158489000000000.0 2.14822e+18 64845700000.0 13078700000000.0 41478700000000.0 136968000000000.0 75931200000000.0 285689000.0 16500600000.0 89803700000.0 -4.36 [-4.36]
158489000000000.0 2.03454e+18 68986000000.0 13473000000000.0 41298200000000.0 125412000000000.0 66228100000000.0 325132000.0 18485600000.0 98386100000.0 -4.34 [-4.34]
158489000000000.0 1.92698e+18 73368100000.0 13866700000000.0 41074400000000.0 114573000000000.0 57647200000000.0 369449000.0 20675100000.0 107614000000.0 -4.32 [-4.32]
158489000000000.0 1.8252e+18 78005400000.0 14258900000000.0 40807600000000.0 104436000000000.0 50077300000000.0 419172000.0 23086000000.0 117513000000.0 -4.3 [-4.3]
158489000000000.0 1.72887e+18 82908200000.0 14648700000000.0 40497800000000.0 94985900000000.0 43414200000000.0 474865000.0 25735300000.0 128114000000.0 -4.28 [-4.28]
158489000000000.0 1.63758e+18 88077400000.0 15034100000000.0 40144800000000.0 86195200000000.0 37558000000000.0 537086000.0 28640000000.0 139455000000.0 -4.26 [-4.26]
158489000000000.0 1.55123e+18 93536100000.0 15415100000000.0 39749500000000.0 78053800000000.0 32431800000000.0 606531000.0 31818100000.0 151540000000.0 -4.24 [-4.24]
158489000000000.0 1.46951e+18 99306400000.0 15791500000000.0 39312100000000.0 70529800000000.0 27951900000000.0 684035000.0 35292300000.0 164393000000.0 -4.22 [-4.22]
