H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.17489e+16	1.57804e+21	2.00786e+09	4.60537e+11	3.54220e+12	1.07637e+14	4.64429e+14	2.03964e+05	1.76023e+07	1.47687e+08
1.17490e+16	1.57733e+21	2.20096e+09	5.05015e+11	3.88436e+12	1.18011e+14	5.08990e+14	2.23805e+05	1.93091e+07	1.62024e+08
1.17490e+16	1.57651e+21	2.41252e+09	5.53790e+11	4.25959e+12	1.29383e+14	5.57787e+14	2.45599e+05	2.11825e+07	1.77765e+08
1.17490e+16	1.57564e+21	2.64437e+09	6.07284e+11	4.67113e+12	1.41854e+14	6.11238e+14	2.69529e+05	2.32385e+07	1.95044e+08
1.17490e+16	1.57469e+21	2.89840e+09	6.65953e+11	5.12251e+12	1.55532e+14	6.69757e+14	2.95818e+05	2.54955e+07	2.14018e+08
1.17490e+16	1.57364e+21	3.17670e+09	7.30294e+11	5.61755e+12	1.70536e+14	7.33819e+14	3.24699e+05	2.79731e+07	2.34853e+08
1.17490e+16	1.57251e+21	3.48160e+09	8.00863e+11	6.16055e+12	1.86994e+14	8.03951e+14	3.56433e+05	3.06934e+07	2.57736e+08
1.17489e+16	1.57125e+21	3.81555e+09	8.78254e+11	6.75607e+12	2.05045e+14	8.80689e+14	3.91308e+05	3.36801e+07	2.82870e+08
1.17489e+16	1.56988e+21	4.18135e+09	9.63146e+11	7.40936e+12	2.24848e+14	9.64667e+14	4.29650e+05	3.69606e+07	3.10487e+08
1.17490e+16	1.56839e+21	4.58199e+09	1.05627e+12	8.12608e+12	2.46574e+14	1.05654e+15	4.71816e+05	4.05643e+07	3.40840e+08
1.17489e+16	1.56676e+21	5.02069e+09	1.15841e+12	8.91221e+12	2.70407e+14	1.15704e+15	5.18180e+05	4.45226e+07	3.74195e+08
1.17489e+16	1.56501e+21	5.50107e+09	1.27044e+12	9.77462e+12	2.96560e+14	1.26695e+15	5.69178e+05	4.88713e+07	4.10859e+08
1.17490e+16	1.56309e+21	6.02697e+09	1.39333e+12	1.07208e+13	3.25262e+14	1.38710e+15	6.25297e+05	5.36504e+07	4.51177e+08
1.17489e+16	1.56099e+21	6.60259e+09	1.52814e+12	1.17588e+13	3.56759e+14	1.51842e+15	6.87064e+05	5.89032e+07	4.95519e+08
1.17490e+16	1.55873e+21	7.23266e+09	1.67605e+12	1.28978e+13	3.91337e+14	1.66192e+15	7.55063e+05	6.46776e+07	5.44303e+08
1.17490e+16	1.55623e+21	7.92199e+09	1.83832e+12	1.41476e+13	4.29283e+14	1.81863e+15	8.29988e+05	7.10289e+07	5.98005e+08
1.17490e+16	1.55353e+21	8.67621e+09	2.01636e+12	1.55191e+13	4.70942e+14	1.98977e+15	9.12531e+05	7.80145e+07	6.57119e+08
1.17490e+16	1.55061e+21	9.50119e+09	2.21171e+12	1.70244e+13	5.16676e+14	2.17660e+15	1.00350e+06	8.56997e+07	7.22220e+08
1.17489e+16	1.54744e+21	1.04034e+10	2.42608e+12	1.86767e+13	5.66878e+14	2.38049e+15	1.10381e+06	9.41574e+07	7.93943e+08
1.17490e+16	1.54400e+21	1.13897e+10	2.66132e+12	2.04904e+13	6.22000e+14	2.60289e+15	1.21448e+06	1.03469e+08	8.73003e+08
1.17490e+16	1.54038e+21	1.24683e+10	2.91946e+12	2.24810e+13	6.82540e+14	2.84556e+15	1.33649e+06	1.13717e+08	9.60107e+08
1.17489e+16	1.53636e+21	1.36458e+10	3.20274e+12	2.46670e+13	7.48991e+14	3.10988e+15	1.47132e+06	1.25012e+08	1.05628e+09
1.17489e+16	1.53202e+21	1.49322e+10	3.51370e+12	2.70671e+13	8.21956e+14	3.39786e+15	1.62024e+06	1.37459e+08	1.16243e+09
1.17489e+16	1.52735e+21	1.63364e+10	3.85499e+12	2.97030e+13	9.02065e+14	3.71149e+15	1.78482e+06	1.51182e+08	1.27967e+09
1.17489e+16	1.52224e+21	1.78679e+10	4.22963e+12	3.25989e+13	9.90030e+14	4.05264e+15	1.96694e+06	1.66325e+08	1.40933e+09
1.17489e+16	1.51684e+21	1.95392e+10	4.64088e+12	3.57794e+13	1.08666e+15	4.42397e+15	2.16825e+06	1.83025e+08	1.55262e+09
1.17489e+16	1.51119e+21	2.13624e+10	5.09221e+12	3.92729e+13	1.19277e+15	4.82827e+15	2.39068e+06	2.01441e+08	1.71097e+09
1.17489e+16	1.50484e+21	2.33460e+10	5.58797e+12	4.31140e+13	1.30924e+15	5.26663e+15	2.63771e+06	2.21817e+08	1.88675e+09
1.17489e+16	1.49828e+21	2.55078e+10	6.13201e+12	4.73343e+13	1.43713e+15	5.74371e+15	2.91073e+06	2.44299e+08	2.08119e+09
1.17489e+16	1.49117e+21	2.78589e+10	6.72948e+12	5.19748e+13	1.57747e+15	6.26127e+15	3.21362e+06	2.69167e+08	2.29703e+09
1.17489e+16	1.48369e+21	3.04161e+10	7.38543e+12	5.70771e+13	1.73149e+15	6.82337e+15	3.54918e+06	2.96659e+08	2.53648e+09
1.17489e+16	1.47576e+21	3.31945e+10	8.10573e+12	6.26895e+13	1.90050e+15	7.43325e+15	3.92131e+06	3.27081e+08	2.80249e+09
1.17490e+16	1.46737e+21	3.62106e+10	8.89652e+12	6.88625e+13	2.08591e+15	8.09466e+15	4.33396e+06	3.60747e+08	3.09813e+09
1.17489e+16	1.45846e+21	3.94799e+10	9.76434e+12	7.56515e+13	2.28923e+15	8.81116e+15	4.79165e+06	3.98013e+08	3.42696e+09
1.17489e+16	1.44896e+21	4.30203e+10	1.07166e+13	8.31146e+13	2.51198e+15	9.58660e+15	5.29902e+06	4.39241e+08	3.79260e+09
1.17489e+16	1.43892e+21	4.68466e+10	1.17609e+13	9.13260e+13	2.75608e+15	1.04258e+16	5.86168e+06	4.84893e+08	4.19984e+09
1.17489e+16	1.42847e+21	5.09828e+10	1.29066e+13	1.00362e+14	3.02371e+15	1.13343e+16	6.48523e+06	5.35452e+08	4.65356e+09
1.17489e+16	1.41746e+21	5.54440e+10	1.41633e+13	1.10308e+14	3.31692e+15	1.23163e+16	7.17681e+06	5.91496e+08	5.15992e+09
1.17490e+16	1.40598e+21	6.02519e+10	1.55418e+13	1.21259e+14	3.63822e+15	1.33778e+16	7.94357e+06	6.53639e+08	5.72546e+09
1.17489e+16	1.39415e+21	6.54320e+10	1.70535e+13	1.33317e+14	3.99014e+15	1.45263e+16	8.79196e+06	7.22473e+08	6.35666e+09
1.17489e+16	1.38186e+21	7.10091e+10	1.87130e+13	1.46615e+14	4.37566e+15	1.57666e+16	9.73170e+06	7.98827e+08	7.06276e+09
1.17489e+16	1.36911e+21	7.70039e+10	2.05342e+13	1.61283e+14	4.79776e+15	1.71058e+16	1.07720e+07	8.83537e+08	7.85324e+09
1.17489e+16	1.35606e+21	8.34458e+10	2.25328e+13	1.77467e+14	5.25997e+15	1.85527e+16	1.19217e+07	9.77452e+08	8.73788e+09
1.17490e+16	1.34267e+21	9.03616e+10	2.47274e+13	1.95339e+14	5.76588e+15	2.01145e+16	1.31918e+07	1.08164e+09	9.72927e+09
1.17489e+16	1.32899e+21	9.77708e+10	2.71353e+13	2.15080e+14	6.31959e+15	2.18001e+16	1.45934e+07	1.19719e+09	1.08408e+10
1.17490e+16	1.31505e+21	1.05702e+11	2.97775e+13	2.36892e+14	6.92590e+15	2.36193e+16	1.61384e+07	1.32534e+09	1.20876e+10
1.17490e+16	1.30092e+21	1.14184e+11	3.26761e+13	2.60998e+14	7.58959e+15	2.55831e+16	1.78395e+07	1.46744e+09	1.34868e+10
1.17490e+16	1.28659e+21	1.23239e+11	3.58544e+13	2.87641e+14	8.31614e+15	2.77022e+16	1.97101e+07	1.62498e+09	1.50579e+10
1.17489e+16	1.27211e+21	1.32899e+11	3.93378e+13	3.17087e+14	9.11127e+15	2.99892e+16	2.17646e+07	1.79955e+09	1.68216e+10
