H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.25893e+14	1.47963e+19	1.24652e+09	3.73789e+11	3.26193e+12	5.28420e+10	5.17076e+12	3.88027e+03	1.27972e+11	1.08757e+14	4.45710e+14	1.64385e+05	1.44005e+07	1.40880e+08	4.36417e+10
1.25893e+14	1.39507e+19	1.38542e+09	4.04943e+11	3.39183e+12	5.72268e+10	5.23491e+12	4.34252e+03	1.39152e+11	1.07167e+14	4.15645e+14	2.03450e+05	1.72979e+07	1.63280e+08	4.77441e+10
1.25893e+14	1.31578e+19	1.53692e+09	4.37892e+11	3.52132e+12	6.19114e+10	5.29243e+12	4.85999e+03	1.51213e+11	1.05417e+14	3.87061e+14	2.51112e+05	2.07324e+07	1.88871e+08	5.21442e+10
1.25893e+14	1.24138e+19	1.70193e+09	4.72682e+11	3.65010e+12	6.69139e+10	5.34321e+12	5.43963e+03	1.64215e+11	1.03513e+14	3.59928e+14	3.09116e+05	2.47953e+07	2.18050e+08	5.68552e+10
1.25893e+14	1.17155e+19	1.88144e+09	5.09360e+11	3.77786e+12	7.22532e+10	5.38712e+12	6.08948e+03	1.78222e+11	1.01462e+14	3.34211e+14	3.79539e+05	2.95918e+07	2.51259e+08	6.18904e+10
1.25893e+14	1.10599e+19	2.07646e+09	5.47965e+11	3.90428e+12	7.79486e+10	5.42405e+12	6.81830e+03	1.93299e+11	9.92722e+13	3.09874e+14	4.64837e+05	3.52439e+07	2.88983e+08	6.72627e+10
1.25893e+14	1.04440e+19	2.28815e+09	5.88541e+11	4.02907e+12	8.40214e+10	5.45391e+12	7.63660e+03	2.09515e+11	9.69530e+13	2.86879e+14	5.67915e+05	4.18910e+07	3.31754e+08	7.29843e+10
1.25893e+14	9.86533e+18	2.51766e+09	6.31128e+11	4.15193e+12	9.04916e+10	5.47662e+12	8.55555e+03	2.26937e+11	9.45130e+13	2.65187e+14	6.92199e+05	4.96939e+07	3.80159e+08	7.90673e+10
1.25893e+14	9.32132e+18	2.76625e+09	6.75763e+11	4.27257e+12	9.73806e+10	5.49210e+12	9.58798e+03	2.45633e+11	9.19622e+13	2.44754e+14	8.41727e+05	5.88369e+07	4.34841e+08	8.55234e+10
1.25893e+14	8.80976e+18	3.03529e+09	7.22486e+11	4.39074e+12	1.04711e+11	5.50030e+12	1.07486e+04	2.65675e+11	8.93107e+13	2.25540e+14	1.02124e+06	6.95305e+07	4.96499e+08	9.23628e+10
1.25893e+14	8.32839e+18	3.32610e+09	7.71326e+11	4.50616e+12	1.12501e+11	5.50119e+12	1.20524e+04	2.87117e+11	8.65688e+13	2.07498e+14	1.23629e+06	8.20163e+07	5.65911e+08	9.95964e+10
1.25893e+14	7.87531e+18	3.64020e+09	8.22317e+11	4.61859e+12	1.20774e+11	5.49474e+12	1.35177e+04	3.10029e+11	8.37478e+13	1.90586e+14	1.49338e+06	9.65689e+07	6.43909e+08	1.07233e+11
1.25893e+14	7.44869e+18	3.97917e+09	8.75487e+11	4.72779e+12	1.29551e+11	5.48094e+12	1.51646e+04	3.34473e+11	8.08591e+13	1.74761e+14	1.80011e+06	1.13501e+08	7.31400e+08	1.15280e+11
1.25893e+14	7.04682e+18	4.34467e+09	9.30868e+11	4.83355e+12	1.38851e+11	5.45979e+12	1.70152e+04	3.60506e+11	7.79143e+13	1.59978e+14	2.16531e+06	1.33168e+08	8.29374e+08	1.23745e+11
1.25893e+14	6.66812e+18	4.73846e+09	9.88472e+11	4.93560e+12	1.48693e+11	5.43129e+12	1.90942e+04	3.88180e+11	7.49251e+13	1.46192e+14	2.59926e+06	1.55974e+08	9.38895e+08	1.32633e+11
1.25893e+14	6.31112e+18	5.16231e+09	1.04832e+12	5.03378e+12	1.59095e+11	5.39550e+12	2.14291e+04	4.17542e+11	7.19037e+13	1.33360e+14	3.11387e+06	1.82374e+08	1.06112e+09	1.41949e+11
1.25893e+14	5.97444e+18	5.61810e+09	1.11044e+12	5.12788e+12	1.70074e+11	5.35246e+12	2.40502e+04	4.48633e+11	6.88620e+13	1.21438e+14	3.72294e+06	2.12884e+08	1.19729e+09	1.51693e+11
1.25893e+14	5.65680e+18	6.10781e+09	1.17482e+12	5.21772e+12	1.81642e+11	5.30224e+12	2.69910e+04	4.81485e+11	6.58119e+13	1.10382e+14	4.44237e+06	2.48088e+08	1.34875e+09	1.61869e+11
1.25893e+14	5.35706e+18	6.63364e+09	1.24148e+12	5.30310e+12	1.93816e+11	5.24494e+12	3.02907e+04	5.16136e+11	6.27653e+13	1.00151e+14	5.29054e+06	2.88638e+08	1.51692e+09	1.72473e+11
1.25893e+14	5.07402e+18	7.19733e+09	1.31039e+12	5.38387e+12	2.06595e+11	5.18067e+12	3.39862e+04	5.52575e+11	5.97333e+13	9.06987e+13	6.28844e+06	3.35273e+08	1.70339e+09	1.83504e+11
1.25893e+14	4.80668e+18	7.80119e+09	1.38155e+12	5.45986e+12	2.19989e+11	5.10956e+12	3.81244e+04	5.90821e+11	5.67272e+13	8.19852e+13	7.46024e+06	3.88818e+08	1.90978e+09	1.94956e+11
1.25893e+14	4.55410e+18	8.44743e+09	1.45495e+12	5.53092e+12	2.33998e+11	5.03177e+12	4.27552e+04	6.30870e+11	5.37576e+13	7.39693e+13	8.83353e+06	4.50195e+08	2.13787e+09	2.06821e+11
1.25893e+14	4.31548e+18	9.13886e+09	1.53057e+12	5.59691e+12	2.48629e+11	4.94753e+12	4.79405e+04	6.72739e+11	5.08348e+13	6.66124e+13	1.04399e+07	5.20435e+08	2.38944e+09	2.19088e+11
1.25893e+14	4.08992e+18	9.87763e+09	1.60836e+12	5.65767e+12	2.63874e+11	4.85704e+12	5.37399e+04	7.16395e+11	4.79681e+13	5.98736e+13	1.23153e+07	6.00687e+08	2.66651e+09	2.31744e+11
1.25893e+14	3.87659e+18	1.06656e+10	1.68826e+12	5.71308e+12	2.79711e+11	4.76052e+12	6.02148e+04	7.61777e+11	4.51661e+13	5.37133e+13	1.45000e+07	6.92230e+08	2.97124e+09	2.44775e+11
1.25893e+14	3.67477e+18	1.15052e+10	1.77021e+12	5.76301e+12	2.96126e+11	4.65827e+12	6.74406e+04	8.08845e+11	4.24368e+13	4.80946e+13	1.70403e+07	7.96482e+08	3.30583e+09	2.58164e+11
1.25893e+14	3.48381e+18	1.23987e+10	1.85414e+12	5.80733e+12	3.13095e+11	4.55060e+12	7.54992e+04	8.57547e+11	3.97873e+13	4.29808e+13	1.99880e+07	9.15011e+08	3.67265e+09	2.71890e+11
1.25893e+14	3.30305e+18	1.33485e+10	1.93994e+12	5.84594e+12	3.30591e+11	4.43782e+12	8.44807e+04	9.07815e+11	3.72239e+13	3.83372e+13	2.34014e+07	1.04955e+09	4.07415e+09	2.85928e+11
1.25893e+14	3.13191e+18	1.43567e+10	2.02753e+12	5.87871e+12	3.48582e+11	4.32031e+12	9.44862e+04	9.59583e+11	3.47516e+13	3.41293e+13	2.73467e+07	1.20203e+09	4.51297e+09	3.00253e+11
