# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
125893000000000.0 1.47963e+19 1246520000.0 373789000000.0 3261930000000.0 52842000000.0 5170760000000.0 3880.27 127972000000.0 108757000000000.0 445710000000000.0 164385.0 14400500.0 140880000.0 43641700000.0 -5.0 4.657 [-5.0]
125893000000000.0 1.39507e+19 1385420000.0 404943000000.0 3391830000000.0 57226800000.0 5234910000000.0 4342.52 139152000000.0 107167000000000.0 415645000000000.0 203450.0 17297900.0 163280000.0 47744100000.0 -4.98 4.65 [-4.98]
125893000000000.0 1.31578e+19 1536920000.0 437892000000.0 3521320000000.0 61911400000.0 5292430000000.0 4859.99 151213000000.0 105417000000000.0 387061000000000.0 251112.0 20732400.0 188871000.0 52144200000.0 -4.96 4.644 [-4.96]
125893000000000.0 1.24138e+19 1701930000.0 472682000000.0 3650100000000.0 66913900000.0 5343210000000.0 5439.63 164215000000.0 103513000000000.0 359928000000000.0 309116.0 24795300.0 218050000.0 56855200000.0 -4.94 4.637 [-4.94]
125893000000000.0 1.17155e+19 1881440000.0 509360000000.0 3777860000000.0 72253200000.0 5387120000000.0 6089.48 178222000000.0 101462000000000.0 334211000000000.0 379539.0 29591800.0 251259000.0 61890400000.0 -4.92 4.631 [-4.92]
125893000000000.0 1.10599e+19 2076460000.0 547965000000.0 3904280000000.0 77948600000.0 5424050000000.0 6818.3 193299000000.0 99272200000000.0 309874000000000.0 464837.0 35243900.0 288983000.0 67262700000.0 -4.9 4.625 [-4.9]
125893000000000.0 1.0444e+19 2288150000.0 588541000000.0 4029070000000.0 84021400000.0 5453910000000.0 7636.6 209515000000.0 96953000000000.0 286879000000000.0 567915.0 41891000.0 331754000.0 72984300000.0 -4.88 4.619 [-4.88]
125893000000000.0 9.86533e+18 2517660000.0 631128000000.0 4151930000000.0 90491600000.0 5476620000000.0 8555.55 226937000000.0 94513000000000.0 265187000000000.0 692199.0 49693900.0 380159000.0 79067300000.0 -4.86 4.613 [-4.86]
125893000000000.0 9.32132e+18 2766250000.0 675763000000.0 4272570000000.0 97380600000.0 5492100000000.0 9587.98 245633000000.0 91962200000000.0 244754000000000.0 841727.0 58836900.0 434841000.0 85523400000.0 -4.84 4.607 [-4.84]
125893000000000.0 8.80976e+18 3035290000.0 722486000000.0 4390740000000.0 104711000000.0 5500300000000.0 10748.6 265675000000.0 89310700000000.0 225540000000000.0 1021240.0 69530500.0 496499000.0 92362800000.0 -4.82 4.601 [-4.82]
125893000000000.0 8.32839e+18 3326100000.0 771326000000.0 4506160000000.0 112501000000.0 5501190000000.0 12052.4 287117000000.0 86568800000000.0 207498000000000.0 1236290.0 82016300.0 565911000.0 99596400000.0 -4.8 4.596 [-4.8]
125893000000000.0 7.87531e+18 3640200000.0 822317000000.0 4618590000000.0 120774000000.0 5494740000000.0 13517.7 310029000000.0 83747800000000.0 190586000000000.0 1493380.0 96568900.0 643909000.0 107233000000.0 -4.78 4.591 [-4.78]
125893000000000.0 7.44869e+18 3979170000.0 875487000000.0 4727790000000.0 129551000000.0 5480940000000.0 15164.6 334473000000.0 80859100000000.0 174761000000000.0 1800110.0 113501000.0 731400000.0 115280000000.0 -4.76 4.585 [-4.76]
125893000000000.0 7.04682e+18 4344670000.0 930868000000.0 4833550000000.0 138851000000.0 5459790000000.0 17015.2 360506000000.0 77914300000000.0 159978000000000.0 2165310.0 133168000.0 829374000.0 123745000000.0 -4.74 4.58 [-4.74]
125893000000000.0 6.66812e+18 4738460000.0 988472000000.0 4935600000000.0 148693000000.0 5431290000000.0 19094.2 388180000000.0 74925100000000.0 146192000000000.0 2599260.0 155974000.0 938895000.0 132633000000.0 -4.72 4.575 [-4.72]
125893000000000.0 6.31112e+18 5162310000.0 1048320000000.0 5033780000000.0 159095000000.0 5395500000000.0 21429.1 417542000000.0 71903700000000.0 133360000000000.0 3113870.0 182374000.0 1061120000.0 141949000000.0 -4.7 4.57 [-4.7]
125893000000000.0 5.97444e+18 5618100000.0 1110440000000.0 5127880000000.0 170074000000.0 5352460000000.0 24050.2 448633000000.0 68862000000000.0 121438000000000.0 3722940.0 212884000.0 1197290000.0 151693000000.0 -4.68 4.566 [-4.68]
125893000000000.0 5.6568e+18 6107810000.0 1174820000000.0 5217720000000.0 181642000000.0 5302240000000.0 26991.0 481485000000.0 65811900000000.0 110382000000000.0 4442370.0 248088000.0 1348750000.0 161869000000.0 -4.66 4.561 [-4.66]
125893000000000.0 5.35706e+18 6633640000.0 1241480000000.0 5303100000000.0 193816000000.0 5244940000000.0 30290.7 516136000000.0 62765300000000.0 100151000000000.0 5290540.0 288638000.0 1516920000.0 172473000000.0 -4.64 4.556 [-4.64]
125893000000000.0 5.07402e+18 7197330000.0 1310390000000.0 5383870000000.0 206595000000.0 5180670000000.0 33986.2 552575000000.0 59733300000000.0 90698700000000.0 6288440.0 335273000.0 1703390000.0 183504000000.0 -4.62 4.552 [-4.62]
125893000000000.0 4.80668e+18 7801190000.0 1381550000000.0 5459860000000.0 219989000000.0 5109560000000.0 38124.4 590821000000.0 56727200000000.0 81985200000000.0 7460240.0 388818000.0 1909780000.0 194956000000.0 -4.6 4.547 [-4.6]
125893000000000.0 4.5541e+18 8447430000.0 1454950000000.0 5530920000000.0 233998000000.0 5031770000000.0 42755.2 630870000000.0 53757600000000.0 73969300000000.0 8833530.0 450195000.0 2137870000.0 206821000000.0 -4.58 4.543 [-4.58]
125893000000000.0 4.31548e+18 9138860000.0 1530570000000.0 5596910000000.0 248629000000.0 4947530000000.0 47940.5 672739000000.0 50834800000000.0 66612400000000.0 10439900.0 520435000.0 2389440000.0 219088000000.0 -4.56 4.539 [-4.56]
125893000000000.0 4.08992e+18 9877630000.0 1608360000000.0 5657670000000.0 263874000000.0 4857040000000.0 53739.9 716395000000.0 47968100000000.0 59873600000000.0 12315300.0 600687000.0 2666510000.0 231744000000.0 -4.54 4.534 [-4.54]
125893000000000.0 3.87659e+18 10665600000.0 1688260000000.0 5713080000000.0 279711000000.0 4760520000000.0 60214.8 761777000000.0 45166100000000.0 53713300000000.0 14500000.0 692230000.0 2971240000.0 244775000000.0 -4.52 4.53 [-4.52]
125893000000000.0 3.67477e+18 11505200000.0 1770210000000.0 5763010000000.0 296126000000.0 4658270000000.0 67440.6 808845000000.0 42436800000000.0 48094600000000.0 17040300.0 796482000.0 3305830000.0 258164000000.0 -4.5 4.526 [-4.5]
125893000000000.0 3.48381e+18 12398700000.0 1854140000000.0 5807330000000.0 313095000000.0 4550600000000.0 75499.2 857547000000.0 39787300000000.0 42980800000000.0 19988000.0 915011000.0 3672650000.0 271890000000.0 -4.48 4.522 [-4.48]
125893000000000.0 3.30305e+18 13348500000.0 1939940000000.0 5845940000000.0 330591000000.0 4437820000000.0 84480.7 907815000000.0 37223900000000.0 38337200000000.0 23401400.0 1049550000.0 4074150000.0 285928000000.0 -4.46 4.518 [-4.46]
125893000000000.0 3.13191e+18 14356700000.0 2027530000000.0 5878710000000.0 348582000000.0 4320310000000.0 94486.2 959583000000.0 34751600000000.0 34129300000000.0 27346700.0 1202030000.0 4512970000.0 300253000000.0 -4.44 4.514 [-4.44]
