# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
147911000000000.0 1.98876e+19 1139870000.0 369358000000.0 3564990000000.0 52139600000.0 6000070000000.0 3423.12 125563000000.0 133432000000000.0 610675000000000.0 122282.0 11521600.0 122821000.0 43013800000.0 -5.0 4.671 [-5.0]
147911000000000.0 1.87399e+19 1271860000.0 401615000000.0 3718530000000.0 56590900000.0 6091080000000.0 3833.22 136732000000.0 131927000000000.0 571038000000000.0 152197.0 13902700.0 142912000.0 47218100000.0 -4.98 4.664 [-4.98]
147911000000000.0 1.76643e+19 1416250000.0 435853000000.0 3872370000000.0 61351400000.0 6174630000000.0 4291.59 148793000000.0 130216000000000.0 533240000000000.0 188886.0 16737100.0 165956000.0 51743800000.0 -4.96 4.657 [-4.96]
147911000000000.0 1.66558e+19 1573940000.0 472123000000.0 4026090000000.0 66440600000.0 6250540000000.0 4804.44 161812000000.0 128308000000000.0 497255000000000.0 233763.0 20103700.0 192331000.0 56606500000.0 -4.94 4.65 [-4.94]
147911000000000.0 1.571e+19 1745960000.0 510486000000.0 4179350000000.0 71878400000.0 6318600000000.0 5378.74 175859000000.0 126207000000000.0 463049000000000.0 288517.0 24094400.0 222462000.0 61822100000.0 -4.92 4.643 [-4.92]
147911000000000.0 1.48225e+19 1933310000.0 550989000000.0 4331730000000.0 77686000000.0 6378670000000.0 6022.33 191007000000.0 123924000000000.0 430583000000000.0 355157.0 28815200.0 256818000.0 67406500000.0 -4.9 4.637 [-4.9]
147911000000000.0 1.39895e+19 2137140000.0 593688000000.0 4482900000000.0 83885500000.0 6430590000000.0 6744.1 207328000000.0 121467000000000.0 399816000000000.0 436068.0 34388600.0 295916000.0 73375100000.0 -4.88 4.631 [-4.88]
147911000000000.0 1.32073e+19 2358610000.0 638631000000.0 4632470000000.0 90499900000.0 6474250000000.0 7554.14 224902000000.0 118845000000000.0 370703000000000.0 534076.0 40955900.0 340328000.0 79743400000.0 -4.86 4.624 [-4.86]
147911000000000.0 1.24725e+19 2598990000.0 685869000000.0 4780110000000.0 97552200000.0 6509520000000.0 8463.45 243803000000.0 116069000000000.0 343196000000000.0 652526.0 48679900.0 390684000.0 86526300000.0 -4.84 4.618 [-4.84]
147911000000000.0 1.1782e+19 2859660000.0 735450000000.0 4925480000000.0 105068000000.0 6536330000000.0 9485.3 264117000000.0 113150000000000.0 317250000000000.0 795357.0 57746900.0 447670000.0 93737500000.0 -4.82 4.613 [-4.82]
147911000000000.0 1.11328e+19 3142030000.0 787418000000.0 5068220000000.0 113072000000.0 6554590000000.0 10633.7 285920000000.0 110098000000000.0 292813000000000.0 967215.0 68371200.0 512044000.0 101391000000.0 -4.8 4.607 [-4.8]
