H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.65975e+18	1.12598e+22	6.23766e+14	8.90807e+16	9.22896e+16	4.82075e+13	1.55752e+16	5.86269e+15	1.49799e+11	3.40148e+17	2.31960e+16	2.15772e+16	1.01013e+12	8.89904e+13	2.94478e+15	5.21193e+15	1.21674e+16	8.93238e+10	1.62791e+13
1.65960e+18	1.06895e+22	6.34490e+14	8.69641e+16	8.67770e+16	4.98075e+13	1.54009e+16	5.57432e+15	1.61665e+11	3.25658e+17	2.13392e+16	1.90554e+16	1.04237e+12	9.11637e+13	2.96039e+15	5.05478e+15	1.14244e+16	9.56622e+10	1.68762e+13
1.65960e+18	1.01482e+22	6.45526e+14	8.48895e+16	8.15618e+16	5.14562e+13	1.52188e+16	5.29451e+15	1.74565e+11	3.11716e+17	1.96034e+16	1.68044e+16	1.07588e+12	9.33626e+13	2.97393e+15	4.89345e+15	1.07247e+16	1.02456e+11	1.74942e+13
1.65986e+18	9.63435e+21	6.56186e+14	8.28382e+16	7.66720e+16	5.31346e+13	1.50344e+16	5.02272e+15	1.88627e+11	2.98381e+17	1.79803e+16	1.47961e+16	1.10882e+12	9.53748e+13	2.98117e+15	4.73365e+15	1.00678e+16	1.09758e+11	1.81094e+13
1.65969e+18	9.14661e+21	6.66765e+14	8.08241e+16	7.20715e+16	5.48449e+13	1.48462e+16	4.75880e+15	2.03861e+11	2.85616e+17	1.64659e+16	1.30092e+16	1.14197e+12	9.72740e+13	2.98409e+15	4.57385e+15	9.45152e+15	1.17605e+11	1.87321e+13
1.65964e+18	8.68250e+21	6.77181e+14	7.88277e+16	6.77202e+16	5.65760e+13	1.46489e+16	4.50355e+15	2.20412e+11	2.73300e+17	1.50579e+16	1.14210e+16	1.17525e+12	9.90782e+13	2.98260e+15	4.41211e+15	8.87209e+15	1.26017e+11	1.93592e+13
1.65961e+18	8.24296e+21	6.87468e+14	7.68709e+16	6.36423e+16	5.83548e+13	1.44507e+16	4.25677e+15	2.38400e+11	2.61556e+17	1.37494e+16	1.00133e+16	1.20845e+12	1.00740e+14	2.97645e+15	4.25308e+15	8.33047e+15	1.35053e+11	1.99875e+13
1.65998e+18	7.82673e+21	6.97988e+14	7.49650e+16	5.97988e+16	6.01930e+13	1.42490e+16	4.01894e+15	2.58179e+11	2.50321e+17	1.25375e+16	8.76715e+15	1.24264e+12	1.02368e+14	2.96793e+15	4.09446e+15	7.82469e+15	1.44863e+11	2.06334e+13
1.65983e+18	7.43091e+21	7.08073e+14	7.30731e+16	5.61832e+16	6.20533e+13	1.40421e+16	3.78932e+15	2.79444e+11	2.39538e+17	1.14147e+16	7.66553e+15	1.27587e+12	1.03785e+14	2.95348e+15	3.93812e+15	7.35104e+15	1.55323e+11	2.12647e+13
1.65976e+18	7.05520e+21	7.18145e+14	7.12148e+16	5.27744e+16	6.39526e+13	1.38308e+16	3.56842e+15	3.02712e+11	2.29200e+17	1.03777e+16	6.69262e+15	1.30975e+12	1.05128e+14	2.93599e+15	3.78318e+15	6.90823e+15	1.66648e+11	2.19083e+13
1.65994e+18	6.69788e+21	7.28078e+14	6.93721e+16	4.95494e+16	6.58927e+13	1.36108e+16	3.35677e+15	3.28063e+11	2.19221e+17	9.42338e+15	5.83612e+15	1.34362e+12	1.06373e+14	2.91468e+15	3.62838e+15	6.49377e+15	1.78826e+11	2.25493e+13
1.65971e+18	6.35989e+21	7.37743e+14	6.75747e+16	4.65385e+16	6.78770e+13	1.33942e+16	3.15287e+15	3.55579e+11	2.09771e+17	8.54310e+15	5.08259e+15	1.37677e+12	1.07412e+14	2.88881e+15	3.48052e+15	6.10839e+15	1.91967e+11	2.31792e+13
1.65967e+18	6.03827e+21	7.47459e+14	6.57944e+16	4.36810e+16	6.99125e+13	1.31681e+16	2.95811e+15	3.85528e+11	2.00633e+17	7.73593e+15	4.42091e+15	1.41044e+12	1.08409e+14	2.86053e+15	3.33231e+15	5.74790e+15	2.06102e+11	2.38131e+13
1.65991e+18	5.73323e+21	7.56853e+14	6.40409e+16	4.09935e+16	7.19792e+13	1.29384e+16	2.77224e+15	4.18229e+11	1.91875e+17	6.99628e+15	3.84081e+15	1.44377e+12	1.09276e+14	2.82863e+15	3.18773e+15	5.41201e+15	2.21370e+11	2.44362e+13
1.65993e+18	5.44353e+21	7.66046e+14	6.23134e+16	3.84603e+16	7.40830e+13	1.27047e+16	2.59478e+15	4.53797e+11	1.83477e+17	6.31903e+15	3.33242e+15	1.47680e+12	1.10021e+14	2.79356e+15	3.04651e+15	5.09906e+15	2.37854e+11	2.50506e+13
1.65987e+18	5.16939e+21	7.75334e+14	6.06317e+16	3.60816e+16	7.62558e+13	1.24722e+16	2.42482e+15	4.92629e+11	1.75499e+17	5.69873e+15	2.88783e+15	1.51047e+12	1.10696e+14	2.75711e+15	2.91064e+15	4.80778e+15	2.55732e+11	2.56700e+13
1.65961e+18	4.90858e+21	7.84208e+14	5.89593e+16	3.38350e+16	7.84581e+13	1.22327e+16	2.26380e+15	5.34564e+11	1.67796e+17	5.13397e+15	2.50003e+15	1.54291e+12	1.11215e+14	2.71674e+15	2.77751e+15	4.53600e+15	2.74887e+11	2.62593e+13
1.65962e+18	4.66110e+21	7.92960e+14	5.73170e+16	3.17189e+16	8.07129e+13	1.19915e+16	2.11040e+15	5.80484e+11	1.60431e+17	4.61902e+15	2.16177e+15	1.57546e+12	1.11657e+14	2.67453e+15	2.64891e+15	4.28266e+15	2.95703e+11	2.68415e+13
1.65962e+18	4.42619e+21	8.01549e+14	5.57016e+16	2.97246e+16	8.30186e+13	1.17476e+16	1.96484e+15	6.30604e+11	1.53376e+17	4.15076e+15	1.86692e+15	1.60781e+12	1.12016e+14	2.63047e+15	2.52439e+15	4.04662e+15	3.18263e+11	2.74097e+13
1.65964e+18	4.20362e+21	8.10007e+14	5.41166e+16	2.78476e+16	8.53797e+13	1.15022e+16	1.82718e+15	6.85055e+11	1.46628e+17	3.72572e+15	1.61080e+15	1.64003e+12	1.12299e+14	2.58496e+15	2.40431e+15	3.82673e+15	3.42630e+11	2.79631e+13
1.65969e+18	3.99170e+21	8.18241e+14	5.25481e+16	2.60743e+16	8.77852e+13	1.12526e+16	1.69655e+15	7.44331e+11	1.40135e+17	3.33822e+15	1.38744e+15	1.67161e+12	1.12487e+14	2.53738e+15	2.28795e+15	3.62102e+15	3.68958e+11	2.84906e+13
1.65968e+18	3.79170e+21	8.26391e+14	5.10269e+16	2.44130e+16	9.02561e+13	1.10065e+16	1.57332e+15	8.09036e+11	1.33987e+17	2.98902e+15	1.19419e+15	1.70388e+12	1.12653e+14	2.49020e+15	2.17765e+15	3.42999e+15	3.97620e+11	2.90181e+13
1.65986e+18	3.60087e+21	8.34144e+14	4.95099e+16	2.28419e+16	9.27734e+13	1.07545e+16	1.45725e+15	8.79840e+11	1.28038e+17	2.67349e+15	1.02691e+15	1.73463e+12	1.12697e+14	2.44014e+15	2.07071e+15	3.25068e+15	4.28743e+11	2.94992e+13
1.65995e+18	3.41909e+21	8.41380e+14	4.80046e+16	2.13606e+16	9.53159e+13	1.04985e+16	1.34826e+15	9.56408e+11	1.22302e+17	2.38878e+15	8.82087e+14	1.76423e+12	1.12640e+14	2.38828e+15	1.96754e+15	3.08260e+15	4.62221e+11	2.99400e+13
1.65970e+18	3.24733e+21	8.48731e+14	4.65418e+16	1.99685e+16	9.79399e+13	1.02450e+16	1.24568e+15	1.03967e+12	1.16854e+17	2.13179e+15	7.56803e+14	1.79438e+12	1.12577e+14	2.33727e+15	1.86927e+15	2.92589e+15	4.98551e+11	3.03733e+13
1.65963e+18	3.08428e+21	8.55715e+14	4.51045e+16	1.86596e+16	1.00610e+14	9.99164e+15	1.14923e+15	1.13027e+12	1.11643e+17	1.90037e+15	6.48714e+14	1.82368e+12	1.12450e+14	2.28556e+15	1.77599e+15	2.77874e+15	5.37875e+11	3.07681e+13
1.65977e+18	2.92915e+21	8.62357e+14	4.36868e+16	1.74266e+16	1.03333e+14	9.73670e+15	1.05897e+15	1.22951e+12	1.06636e+17	1.69214e+15	5.55300e+14	1.85233e+12	1.12279e+14	2.23325e+15	1.68663e+15	2.64047e+15	5.80719e+11	3.11302e+13
1.65977e+18	2.78228e+21	8.69048e+14	4.23039e+16	1.62684e+16	1.06155e+14	9.48475e+15	9.74156e+14	1.33795e+12	1.01873e+17	1.50479e+15	4.74813e+14	1.88090e+12	1.12085e+14	2.18141e+15	1.60246e+15	2.51033e+15	6.27444e+11	3.14676e+13
1.65969e+18	2.64211e+21	8.74936e+14	4.09284e+16	1.51763e+16	1.08969e+14	9.22810e+15	8.95604e+14	1.45405e+12	9.72560e+16	1.33713e+15	4.05552e+14	1.90753e+12	1.11803e+14	2.12827e+15	1.52082e+15	2.38775e+15	6.77228e+11	3.17403e+13
