# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
1.65975e+18 1.12598e+22 623766000000000.0 8.90807e+16 9.22896e+16 48207500000000.0 1.55752e+16 5862690000000000.0 149799000000.0 3.40148e+17 2.3196e+16 2.15772e+16 1010130000000.0 88990400000000.0 2944780000000000.0 5211930000000000.0 1.21674e+16 89323800000.0 16279100000000.0 -5.0 [-5.0]
1.6596e+18 1.06895e+22 634490000000000.0 8.69641e+16 8.6777e+16 49807500000000.0 1.54009e+16 5574320000000000.0 161665000000.0 3.25658e+17 2.13392e+16 1.90554e+16 1042370000000.0 91163700000000.0 2960390000000000.0 5054780000000000.0 1.14244e+16 95662200000.0 16876200000000.0 -4.98 [-4.98]
1.6596e+18 1.01482e+22 645526000000000.0 8.48895e+16 8.15618e+16 51456200000000.0 1.52188e+16 5294510000000000.0 174565000000.0 3.11716e+17 1.96034e+16 1.68044e+16 1075880000000.0 93362600000000.0 2973930000000000.0 4893450000000000.0 1.07247e+16 102456000000.0 17494200000000.0 -4.96 [-4.96]
1.65986e+18 9.63435e+21 656186000000000.0 8.28382e+16 7.6672e+16 53134600000000.0 1.50344e+16 5022720000000000.0 188627000000.0 2.98381e+17 1.79803e+16 1.47961e+16 1108820000000.0 95374800000000.0 2981170000000000.0 4733650000000000.0 1.00678e+16 109758000000.0 18109400000000.0 -4.94 [-4.94]
1.65969e+18 9.14661e+21 666765000000000.0 8.08241e+16 7.20715e+16 54844900000000.0 1.48462e+16 4758800000000000.0 203861000000.0 2.85616e+17 1.64659e+16 1.30092e+16 1141970000000.0 97274000000000.0 2984090000000000.0 4573850000000000.0 9451520000000000.0 117605000000.0 18732100000000.0 -4.92 [-4.92]
1.65964e+18 8.6825e+21 677181000000000.0 7.88277e+16 6.77202e+16 56576000000000.0 1.46489e+16 4503550000000000.0 220412000000.0 2.733e+17 1.50579e+16 1.1421e+16 1175250000000.0 99078200000000.0 2982600000000000.0 4412110000000000.0 8872090000000000.0 126017000000.0 19359200000000.0 -4.9 [-4.9]
1.65961e+18 8.24296e+21 687468000000000.0 7.68709e+16 6.36423e+16 58354800000000.0 1.44507e+16 4256770000000000.0 238400000000.0 2.61556e+17 1.37494e+16 1.00133e+16 1208450000000.0 100740000000000.0 2976450000000000.0 4253080000000000.0 8330470000000000.0 135053000000.0 19987500000000.0 -4.88 [-4.88]
1.65998e+18 7.82673e+21 697988000000000.0 7.4965e+16 5.97988e+16 60193000000000.0 1.4249e+16 4018940000000000.0 258179000000.0 2.50321e+17 1.25375e+16 8767150000000000.0 1242640000000.0 102368000000000.0 2967930000000000.0 4094460000000000.0 7824690000000000.0 144863000000.0 20633400000000.0 -4.86 [-4.86]
1.65983e+18 7.43091e+21 708073000000000.0 7.30731e+16 5.61832e+16 62053300000000.0 1.40421e+16 3789320000000000.0 279444000000.0 2.39538e+17 1.14147e+16 7665530000000000.0 1275870000000.0 103785000000000.0 2953480000000000.0 3938120000000000.0 7351040000000000.0 155323000000.0 21264700000000.0 -4.84 [-4.84]
1.65976e+18 7.0552e+21 718145000000000.0 7.12148e+16 5.27744e+16 63952600000000.0 1.38308e+16 3568420000000000.0 302712000000.0 2.292e+17 1.03777e+16 6692620000000000.0 1309750000000.0 105128000000000.0 2935990000000000.0 3783180000000000.0 6908230000000000.0 166648000000.0 21908300000000.0 -4.82 [-4.82]
