H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
6.76079e+15	1.60827e+20	8.59336e+11	1.02430e+14	2.90163e+14	6.28251e+10	1.68592e+13	2.07678e+14	5.72345e+06	4.95088e+13	1.82125e+15	1.95054e+15	6.70236e+07	1.17515e+09	4.96617e+10	1.89643e+11	1.30828e+13	3.25462e+05	4.03076e+07
6.76082e+15	1.52414e+20	9.24063e+11	1.07117e+14	2.92054e+14	6.81245e+10	1.77909e+13	2.02354e+14	6.40146e+06	5.23521e+13	1.70141e+15	1.74174e+15	7.79300e+07	1.37396e+09	5.69714e+10	2.10585e+11	1.37627e+13	3.93273e+05	4.75204e+07
6.76082e+15	1.44452e+20	9.92532e+11	1.11880e+14	2.93610e+14	7.37751e+10	1.87467e+13	1.96805e+14	7.15756e+06	5.52768e+13	1.58613e+15	1.55238e+15	9.04514e+07	1.60331e+09	6.52543e+10	2.33495e+11	1.44564e+13	4.74714e+05	5.59079e+07
6.76080e+15	1.36915e+20	1.06484e+12	1.16711e+14	2.94827e+14	7.97870e+10	1.97240e+13	1.91051e+14	8.00051e+06	5.82777e+13	1.47558e+15	1.38102e+15	1.04798e+08	1.86733e+09	7.46241e+10	2.58519e+11	1.51623e+13	5.72410e+05	6.56435e+07
6.76081e+15	1.29780e+20	1.14112e+12	1.21602e+14	2.95702e+14	8.61714e+10	2.07206e+13	1.85118e+14	8.94044e+06	6.13511e+13	1.36993e+15	1.22626e+15	1.21207e+08	2.17066e+09	8.52060e+10	2.85808e+11	1.58788e+13	6.89471e+05	7.69229e+07
6.76081e+15	1.23024e+20	1.22144e+12	1.26540e+14	2.96228e+14	9.29366e+10	2.17336e+13	1.79026e+14	9.98829e+06	6.44907e+13	1.26923e+15	1.08683e+15	1.39937e+08	2.51839e+09	9.71354e+10	3.15517e+11	1.66039e+13	8.29554e+05	8.99666e+07
6.76082e+15	1.16626e+20	1.30587e+12	1.31515e+14	2.96401e+14	1.00089e+11	2.27600e+13	1.72801e+14	1.11563e+07	6.76904e+13	1.17354e+15	9.61482e+14	1.61271e+08	2.91619e+09	1.10561e+11	3.47809e+11	1.73358e+13	9.96979e+05	1.05024e+08
6.76082e+15	1.10567e+20	1.39450e+12	1.36515e+14	2.96218e+14	1.07636e+11	2.37965e+13	1.66467e+14	1.24587e+07	7.09447e+13	1.08290e+15	8.49007e+14	1.85530e+08	3.37030e+09	1.25644e+11	3.82847e+11	1.80722e+13	1.19684e+06	1.22375e+08
6.76082e+15	1.04827e+20	1.48740e+12	1.41525e+14	2.95676e+14	1.15583e+11	2.48397e+13	1.60050e+14	1.39112e+07	7.42470e+13	9.97261e+14	7.48316e+14	2.13057e+08	3.88761e+09	1.42560e+11	4.20801e+11	1.88108e+13	1.43510e+06	1.42332e+08
6.76082e+15	9.93897e+19	1.58460e+12	1.46533e+14	2.94774e+14	1.23935e+11	2.58861e+13	1.53576e+14	1.55317e+07	7.75908e+13	9.16594e+14	6.58359e+14	2.44233e+08	4.47564e+09	1.61496e+11	4.61840e+11	1.95490e+13	1.71868e+06	1.65236e+08
