H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.51356e+14	3.51643e+18	1.98198e+10	2.19837e+12	5.98884e+12	1.54405e+09	3.71512e+11	4.47028e+12	1.42857e+05	9.88442e+11	3.93301e+13	4.47826e+13	1.64194e+06	2.59856e+07	1.07598e+09	3.91938e+09	2.77345e+11	7.34426e+03	8.22976e+05
1.51356e+14	3.33227e+18	2.13153e+10	2.30010e+12	6.03138e+12	1.67329e+09	3.92041e+11	4.35970e+12	1.59565e+05	1.04618e+12	3.68178e+13	3.99657e+13	1.90856e+06	3.04102e+07	1.23552e+09	4.35611e+09	2.91969e+11	8.86773e+03	9.71584e+05
1.51356e+14	3.15805e+18	2.28980e+10	2.40364e+12	6.06726e+12	1.81105e+09	4.13108e+11	4.24411e+12	1.78168e+05	1.10561e+12	3.43911e+13	3.55971e+13	2.21451e+06	3.55187e+07	1.41646e+09	4.83432e+09	3.06904e+11	1.06963e+04	1.14459e+06
1.51356e+14	2.99320e+18	2.45708e+10	2.50882e+12	6.09633e+12	1.95761e+09	4.34665e+11	4.12391e+12	1.98881e+05	1.16666e+12	3.20548e+13	3.16439e+13	2.56498e+06	4.14053e+07	1.62135e+09	5.35712e+09	3.22120e+11	1.28887e+04	1.34564e+06
1.51356e+14	2.83716e+18	2.63363e+10	2.61545e+12	6.11846e+12	2.11321e+09	4.56657e+11	3.99956e+12	2.21941e+05	1.22921e+12	2.98130e+13	2.80749e+13	2.96567e+06	4.81745e+07	1.85297e+09	5.92775e+09	3.37584e+11	1.55144e+04	1.57883e+06
1.51356e+14	2.68945e+18	2.81967e+10	2.72330e+12	6.13356e+12	2.27803e+09	4.79022e+11	3.87154e+12	2.47610e+05	1.29317e+12	2.76688e+13	2.48601e+13	3.42288e+06	5.59423e+07	2.11436e+09	6.54958e+09	3.53255e+11	1.86553e+04	1.84882e+06
1.51356e+14	2.54956e+18	3.01529e+10	2.83210e+12	6.14152e+12	2.45215e+09	5.01680e+11	3.74033e+12	2.76167e+05	1.35837e+12	2.56244e+13	2.19708e+13	3.94340e+06	6.48363e+07	2.40883e+09	7.22617e+09	3.69092e+11	2.24076e+04	2.16085e+06
1.51356e+14	2.41708e+18	3.22074e+10	2.94162e+12	6.14224e+12	2.63576e+09	5.24567e+11	3.60648e+12	3.07951e+05	1.42472e+12	2.36814e+13	1.93802e+13	4.53492e+06	7.49987e+07	2.73999e+09	7.96106e+09	3.85049e+11	2.68851e+04	2.52083e+06
1.51356e+14	2.29160e+18	3.43615e+10	3.05157e+12	6.13567e+12	2.82895e+09	5.47606e+11	3.47052e+12	3.43337e+05	1.49209e+12	2.18404e+13	1.70627e+13	5.20583e+06	8.65858e+07	3.11176e+09	8.75791e+09	4.01077e+11	3.22215e+04	2.93537e+06
1.51356e+14	2.17274e+18	3.66163e+10	3.16165e+12	6.12172e+12	3.03179e+09	5.70713e+11	3.33300e+12	3.82741e+05	1.56033e+12	2.01014e+13	1.49944e+13	5.96527e+06	9.97687e+07	3.52837e+09	9.62043e+09	4.17121e+11	3.85733e+04	3.41192e+06
1.51356e+14	2.06014e+18	3.89724e+10	3.27155e+12	6.10038e+12	3.24431e+09	5.93804e+11	3.19447e+12	4.26636e+05	1.62932e+12	1.84634e+13	1.31524e+13	6.82319e+06	1.14735e+08	3.99440e+09	1.05524e+10	4.33127e+11	4.61243e+04	3.95878e+06
1.51356e+14	1.95346e+18	4.14303e+10	3.38093e+12	6.07161e+12	3.46649e+09	6.16792e+11	3.05548e+12	4.75555e+05	1.69891e+12	1.69252e+13	1.15158e+13	7.79043e+06	1.31689e+08	4.51476e+09	1.15577e+10	4.49034e+11	5.50877e+04	4.58509e+06
1.51356e+14	1.85238e+18	4.39897e+10	3.48942e+12	6.03541e+12	3.69831e+09	6.39588e+11	2.91656e+12	5.30099e+05	1.76895e+12	1.54846e+13	1.00647e+13	8.87851e+06	1.50854e+08	5.09472e+09	1.26401e+10	4.64780e+11	6.57061e+04	5.30040e+06
1.51356e+14	1.75662e+18	4.66488e+10	3.59661e+12	5.99180e+12	3.93959e+09	6.62094e+11	2.77829e+12	5.90930e+05	1.83928e+12	1.41396e+13	8.78126e+12	1.00999e+07	1.72463e+08	5.73975e+09	1.38030e+10	4.80297e+11	7.82731e+04	6.11656e+06
1.51356e+14	1.66586e+18	4.94086e+10	3.70219e+12	5.94079e+12	4.19041e+09	6.84236e+11	2.64111e+12	6.58856e+05	1.90980e+12	1.28865e+13	7.64794e+12	1.14691e+07	1.96788e+08	6.45610e+09	1.50505e+10	4.95522e+11	9.31332e+04	7.04652e+06
1.51356e+14	1.57985e+18	5.22666e+10	3.80572e+12	5.88247e+12	4.45057e+09	7.05917e+11	2.50554e+12	7.34734e+05	1.98035e+12	1.17224e+13	6.64952e+12	1.30005e+07	2.24103e+08	7.25000e+09	1.63860e+10	5.10382e+11	1.10677e+05	8.10411e+06
1.51356e+14	1.49834e+18	5.52206e+10	3.90678e+12	5.81690e+12	4.71996e+09	7.27052e+11	2.37205e+12	8.19554e+05	2.05078e+12	1.06438e+13	5.77176e+12	1.47098e+07	2.54708e+08	8.12811e+09	1.78127e+10	5.24805e+11	1.31360e+05	9.30469e+06
1.51356e+14	1.42110e+18	5.82680e+10	4.00496e+12	5.74422e+12	4.99840e+09	7.47557e+11	2.24107e+12	9.14438e+05	2.12094e+12	9.64690e+12	5.00162e+12	1.66138e+07	2.88924e+08	9.09747e+09	1.93338e+10	5.38719e+11	1.55710e+05	1.06652e+07
1.51356e+14	1.34787e+18	6.14072e+10	4.09987e+12	5.66452e+12	5.28587e+09	7.67360e+11	2.11296e+12	1.02070e+06	2.19072e+12	8.72746e+12	4.32703e+12	1.87314e+07	3.27105e+08	1.01657e+10	2.09523e+10	5.52052e+11	1.84347e+05	1.22047e+07
1.51356e+14	1.27848e+18	6.46309e+10	4.19100e+12	5.57804e+12	5.58191e+09	7.86365e+11	1.98815e+12	1.13969e+06	2.25993e+12	7.88204e+12	3.73764e+12	2.10797e+07	3.69584e+08	1.13399e+10	2.26701e+10	5.64722e+11	2.17952e+05	1.39426e+07
1.51356e+14	1.21272e+18	6.79363e+10	4.27795e+12	5.48495e+12	5.88648e+09	8.04510e+11	1.86693e+12	1.27308e+06	2.32845e+12	7.10624e+12	3.22349e+12	2.36794e+07	4.16753e+08	1.26282e+10	2.44894e+10	5.76659e+11	2.57344e+05	1.59013e+07
1.51356e+14	1.15040e+18	7.13192e+10	4.36034e+12	5.38549e+12	6.19944e+09	8.21731e+11	1.74958e+12	1.42272e+06	2.39615e+12	6.39592e+12	2.77584e+12	2.65516e+07	4.69012e+08	1.40387e+10	2.64117e+10	5.87788e+11	3.03449e+05	1.81050e+07
