# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
151356000000000.0 3.51643e+18 19819800000.0 2198370000000.0 5988840000000.0 1544050000.0 371512000000.0 4470280000000.0 142857.0 988442000000.0 39330100000000.0 44782600000000.0 1641940.0 25985600.0 1075980000.0 3919380000.0 277345000000.0 7344.26 822976.0 -5.0 [-5.0]
151356000000000.0 3.33227e+18 21315300000.0 2300100000000.0 6031380000000.0 1673290000.0 392041000000.0 4359700000000.0 159565.0 1046180000000.0 36817800000000.0 39965700000000.0 1908560.0 30410200.0 1235520000.0 4356110000.0 291969000000.0 8867.73 971584.0 -4.98 [-4.98]
151356000000000.0 3.15805e+18 22898000000.0 2403640000000.0 6067260000000.0 1811050000.0 413108000000.0 4244110000000.0 178168.0 1105610000000.0 34391100000000.0 35597100000000.0 2214510.0 35518700.0 1416460000.0 4834320000.0 306904000000.0 10696.3 1144590.0 -4.96 [-4.96]
151356000000000.0 2.9932e+18 24570800000.0 2508820000000.0 6096330000000.0 1957610000.0 434665000000.0 4123910000000.0 198881.0 1166660000000.0 32054800000000.0 31643900000000.0 2564980.0 41405300.0 1621350000.0 5357120000.0 322120000000.0 12888.7 1345640.0 -4.94 [-4.94]
151356000000000.0 2.83716e+18 26336300000.0 2615450000000.0 6118460000000.0 2113210000.0 456657000000.0 3999560000000.0 221941.0 1229210000000.0 29813000000000.0 28074900000000.0 2965670.0 48174500.0 1852970000.0 5927750000.0 337584000000.0 15514.4 1578830.0 -4.92 [-4.92]
151356000000000.0 2.68945e+18 28196700000.0 2723300000000.0 6133560000000.0 2278030000.0 479022000000.0 3871540000000.0 247610.0 1293170000000.0 27668800000000.0 24860100000000.0 3422880.0 55942300.0 2114360000.0 6549580000.0 353255000000.0 18655.3 1848820.0 -4.9 [-4.9]
151356000000000.0 2.54956e+18 30152900000.0 2832100000000.0 6141520000000.0 2452150000.0 501680000000.0 3740330000000.0 276167.0 1358370000000.0 25624400000000.0 21970800000000.0 3943400.0 64836300.0 2408830000.0 7226170000.0 369092000000.0 22407.6 2160850.0 -4.88 [-4.88]
151356000000000.0 2.41708e+18 32207400000.0 2941620000000.0 6142240000000.0 2635760000.0 524567000000.0 3606480000000.0 307951.0 1424720000000.0 23681400000000.0 19380200000000.0 4534920.0 74998700.0 2739990000.0 7961060000.0 385049000000.0 26885.1 2520830.0 -4.86 [-4.86]
151356000000000.0 2.2916e+18 34361500000.0 3051570000000.0 6135670000000.0 2828950000.0 547606000000.0 3470520000000.0 343337.0 1492090000000.0 21840400000000.0 17062700000000.0 5205830.0 86585800.0 3111760000.0 8757910000.0 401077000000.0 32221.5 2935370.0 -4.84 [-4.84]
151356000000000.0 2.17274e+18 36616300000.0 3161650000000.0 6121720000000.0 3031790000.0 570713000000.0 3333000000000.0 382741.0 1560330000000.0 20101400000000.0 14994400000000.0 5965270.0 99768700.0 3528370000.0 9620430000.0 417121000000.0 38573.3 3411920.0 -4.82 [-4.82]
151356000000000.0 2.06014e+18 38972400000.0 3271550000000.0 6100380000000.0 3244310000.0 593804000000.0 3194470000000.0 426636.0 1629320000000.0 18463400000000.0 13152400000000.0 6823190.0 114735000.0 3994400000.0 10552400000.0 433127000000.0 46124.3 3958780.0 -4.8 [-4.8]
151356000000000.0 1.95346e+18 41430300000.0 3380930000000.0 6071610000000.0 3466490000.0 616792000000.0 3055480000000.0 475555.0 1698910000000.0 16925200000000.0 11515800000000.0 7790430.0 131689000.0 4514760000.0 11557700000.0 449034000000.0 55087.7 4585090.0 -4.78 [-4.78]
151356000000000.0 1.85238e+18 43989700000.0 3489420000000.0 6035410000000.0 3698310000.0 639588000000.0 2916560000000.0 530099.0 1768950000000.0 15484600000000.0 10064700000000.0 8878510.0 150854000.0 5094720000.0 12640100000.0 464780000000.0 65706.1 5300400.0 -4.76 [-4.76]
151356000000000.0 1.75662e+18 46648800000.0 3596610000000.0 5991800000000.0 3939590000.0 662094000000.0 2778290000000.0 590930.0 1839280000000.0 14139600000000.0 8781260000000.0 10099900.0 172463000.0 5739750000.0 13803000000.0 480297000000.0 78273.1 6116560.0 -4.74 [-4.74]
151356000000000.0 1.66586e+18 49408600000.0 3702190000000.0 5940790000000.0 4190410000.0 684236000000.0 2641110000000.0 658856.0 1909800000000.0 12886500000000.0 7647940000000.0 11469100.0 196788000.0 6456100000.0 15050500000.0 495522000000.0 93133.2 7046520.0 -4.72 [-4.72]
151356000000000.0 1.57985e+18 52266600000.0 3805720000000.0 5882470000000.0 4450570000.0 705917000000.0 2505540000000.0 734734.0 1980350000000.0 11722400000000.0 6649520000000.0 13000500.0 224103000.0 7250000000.0 16386000000.0 510382000000.0 110677.0 8104110.0 -4.7 [-4.7]
151356000000000.0 1.49834e+18 55220600000.0 3906780000000.0 5816900000000.0 4719960000.0 727052000000.0 2372050000000.0 819554.0 2050780000000.0 10643800000000.0 5771760000000.0 14709800.0 254708000.0 8128110000.0 17812700000.0 524805000000.0 131360.0 9304690.0 -4.68 [-4.68]
151356000000000.0 1.4211e+18 58268000000.0 4004960000000.0 5744220000000.0 4998400000.0 747557000000.0 2241070000000.0 914438.0 2120940000000.0 9646900000000.0 5001620000000.0 16613800.0 288924000.0 9097470000.0 19333800000.0 538719000000.0 155710.0 10665200.0 -4.66 [-4.66]
151356000000000.0 1.34787e+18 61407200000.0 4099870000000.0 5664520000000.0 5285870000.0 767360000000.0 2112960000000.0 1020700.0 2190720000000.0 8727460000000.0 4327030000000.0 18731400.0 327105000.0 10165700000.0 20952300000.0 552052000000.0 184347.0 12204700.0 -4.64 [-4.64]
151356000000000.0 1.27848e+18 64630900000.0 4191000000000.0 5578040000000.0 5581910000.0 786365000000.0 1988150000000.0 1139690.0 2259930000000.0 7882040000000.0 3737640000000.0 21079700.0 369584000.0 11339900000.0 22670100000.0 564722000000.0 217952.0 13942600.0 -4.62 [-4.62]
