# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
1.65959e+18 1.27253e+21 3.67228e+16 2.11879e+18 5.76607e+17 8409010000000000.0 4.55953e+17 9.25098e+16 176971000000000.0 4.04774e+18 3.08158e+17 1.08775e+17 109647000000000.0 2.9756e+16 5.83156e+16 1.39028e+17 9.06514e+16 41468700000000.0 517759000000000.0 -5.0 [-5.0]
1.65961e+18 1.20716e+21 3.694e+16 2.04179e+18 5.48089e+17 8473760000000000.0 4.39674e+17 8.57005e+16 189900000000000.0 3.87432e+18 2.71379e+17 8.96075e+16 110521000000000.0 2.99335e+16 5.6556e+16 1.30999e+17 8.71098e+16 44064900000000.0 529703000000000.0 -4.98 [-4.98]
1.65994e+18 1.1444e+21 3.71849e+16 1.96809e+18 5.19281e+17 8534450000000000.0 4.23981e+17 7.90572e+16 203403000000000.0 3.70889e+18 2.37139e+17 7.29473e+16 111333000000000.0 3.00363e+16 5.47908e+16 1.23486e+17 8.36756e+16 46775200000000.0 541071000000000.0 -4.96 [-4.96]
1.65991e+18 1.08442e+21 3.74345e+16 1.89636e+18 4.91041e+17 8603680000000000.0 4.08629e+17 7.27634e+16 218217000000000.0 3.5473e+18 2.05814e+17 5.86269e+16 112066000000000.0 3.01278e+16 5.30105e+16 1.16274e+17 8.03843e+16 49766400000000.0 552559000000000.0 -4.94 [-4.94]
1.65959e+18 1.02701e+21 3.77026e+16 1.82716e+18 4.62801e+17 8675800000000000.0 3.93709e+17 6.67429e+16 234039000000000.0 3.39148e+18 1.77119e+17 4.64455e+16 112722000000000.0 3.01731e+16 5.12336e+16 1.09473e+17 7.71968e+16 52982600000000.0 563707000000000.0 -4.92 [-4.92]
1.65963e+18 9.71335e+20 3.80236e+16 1.75963e+18 4.34004e+17 8755350000000000.0 3.79042e+17 6.09239e+16 251526000000000.0 3.24059e+18 1.50585e+17 3.59946e+16 113374000000000.0 3.01788e+16 4.94545e+16 1.03025e+17 7.40189e+16 56562500000000.0 574928000000000.0 -4.9 [-4.9]
1.65962e+18 9.18804e+20 3.83465e+16 1.69432e+18 4.0599e+17 8834540000000000.0 3.64759e+17 5.55506e+16 269900000000000.0 3.09532e+18 1.27122e+17 2.76034e+16 113919000000000.0 3.01353e+16 4.76804e+16 9.69985e+16 7.09566e+16 60358100000000.0 585488000000000.0 -4.88 [-4.88]
1.65965e+18 8.6874e+20 3.86846e+16 1.63014e+18 3.78597e+17 8929280000000000.0 3.50667e+17 5.05798e+16 290701000000000.0 2.95305e+18 1.06339e+17 2.08438e+16 114417000000000.0 3.00818e+16 4.59148e+16 9.1228e+16 6.79588e+16 64693200000000.0 596160000000000.0 -4.86 [-4.86]
1.65959e+18 8.2116e+20 3.90518e+16 1.56819e+18 3.51507e+17 9020680000000000.0 3.37005e+17 4.59013e+16 312355000000000.0 2.81824e+18 8.77517e+16 1.54303e+16 114832000000000.0 2.99539e+16 4.41735e+16 8.59385e+16 6.49862e+16 69272100000000.0 605880000000000.0 -4.84 [-4.84]
1.65965e+18 7.75156e+20 3.9484e+16 1.50584e+18 3.24421e+17 9137850000000000.0 3.23194e+17 4.16183e+16 337843000000000.0 2.68432e+18 7.17016e+16 1.13352e+16 115290000000000.0 2.98253e+16 4.24519e+16 8.08389e+16 6.19513e+16 74732500000000.0 616294000000000.0 -4.82 [-4.82]
