# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
616593000000000.0 7.97931e+18 2057460000000.0 527685000000000.0 2739910000000000.0 192321000000.0 110652000000000.0 1610610000000000.0 23065200.0 354921000000000.0 1.1727e+16 6602660000000000.0 123993000.0 3754420000.0 362474000000.0 4864930000000.0 170583000000000.0 4396480.0 407623000.0 -5.0 [-5.0]
616594000000000.0 7.4374e+18 2234990000000.0 545354000000000.0 2735110000000000.0 217064000000.0 118485000000000.0 1537480000000000.0 28560400.0 382593000000000.0 1.06636e+16 5640910000000000.0 144799000.0 4247660000.0 404412000000.0 5497680000000.0 178712000000000.0 5467150.0 456253000.0 -4.98 [-4.98]
616594000000000.0 6.91899e+18 2440060000000.0 564578000000000.0 2724540000000000.0 245731000000.0 126753000000000.0 1461010000000000.0 35454400.0 411384000000000.0 9645860000000000.0 4787030000000000.0 169677000.0 4824240000.0 451439000000.0 6212930000000.0 186870000000000.0 6804060.0 507515000.0 -4.96 [-4.96]
616594000000000.0 6.42239e+18 2680080000000.0 585941000000000.0 2707500000000000.0 279056000000.0 135447000000000.0 1381280000000000.0 44124200.0 441089000000000.0 8676280000000000.0 4032470000000000.0 199698000.0 5512330000.0 504898000000.0 7022230000000.0 195000000000000.0 8477470.0 560915000.0 -4.94 [-4.94]
616594000000000.0 5.9442e+18 2965200000000.0 610198000000000.0 2682960000000000.0 318009000000.0 144561000000000.0 1298110000000000.0 55086200.0 471479000000000.0 7754060000000000.0 3366860000000000.0 236320000.0 6352940000.0 566761000000.0 7942250000000.0 203055000000000.0 10582700.0 615785000.0 -4.92 [-4.92]
616594000000000.0 5.47899e+18 3311260000000.0 638471000000000.0 2649350000000000.0 363966000000.0 154105000000000.0 1210930000000000.0 69088600.0 502278000000000.0 6875640000000000.0 2779290000000000.0 281676000.0 7412110000.0 640245000000.0 9000070000000.0 211004000000000.0 13257800.0 671402000.0 -4.9 [-4.9]
616595000000000.0 5.02287e+18 3740830000000.0 672282000000000.0 2604170000000000.0 418481000000.0 163975000000000.0 1119350000000000.0 87121100.0 532723000000000.0 6040030000000000.0 2262150000000000.0 339003000.0 8799650000.0 730451000000.0 10225200000000.0 218756000000000.0 16684900.0 728131000.0 -4.88 [-4.88]
616593000000000.0 4.56787e+18 4294510000000.0 714297000000000.0 2543690000000000.0 484207000000.0 174124000000000.0 1022220000000000.0 110807000.0 561968000000000.0 5239370000000000.0 1805280000000000.0 413788000.0 10717800000.0 846611000000.0 11673300000000.0 226220000000000.0 21167600.0 789181000.0 -4.86 [-4.86]
616590000000000.0 4.10087e+18 5046880000000.0 768939000000000.0 2460840000000000.0 565186000000.0 184344000000000.0 917236000000000.0 142941000.0 588241000000000.0 4460690000000000.0 1397730000000000.0 516468000.0 13578000000.0 1006300000000.0 13444900000000.0 233242000000000.0 27235800.0 866587000.0 -4.84 [-4.84]
616595000000000.0 3.59416e+18 6167830000000.0 844764000000000.0 2339200000000000.0 668769000000.0 193972000000000.0 799191000000000.0 189423000.0 607396000000000.0 3672760000000000.0 1024360000000000.0 671717000.0 18412100000.0 1248860000000.0 15768500000000.0 239483000000000.0 36034800.0 1003130000.0 -4.82 [-4.82]
616589000000000.0 3.09914e+18 7718160000000.0 935676000000000.0 2180620000000000.0 788389000000.0 200982000000000.0 681386000000000.0 253565000.0 615706000000000.0 2936910000000000.0 719429000000000.0 904304000.0 26460600000.0 1594390000000.0 18572000000000.0 243296000000000.0 48577500.0 1287120000.0 -4.8 [-4.8]
616595000000000.0 2.73125e+18 9300900000000.0 1009890000000000.0 2032760000000000.0 898348000000.0 205038000000000.0 591522000000000.0 326331000.0 620995000000000.0 2383030000000000.0 524235000000000.0 1184060000.0 36676300000.0 1959860000000.0 21137900000000.0 243864000000000.0 63610400.0 1693330000.0 -4.78 [-4.78]
616595000000000.0 2.38382e+18 11267300000000.0 1081290000000000.0 1862860000000000.0 1013900000000.0 205796000000000.0 508064000000000.0 423335000.0 619423000000000.0 1876270000000000.0 368870000000000.0 1578810000.0 52080400000.0 2403970000000.0 24000100000000.0 241447000000000.0 84185000.0 2317630000.0 -4.76 [-4.76]
616595000000000.0 2.056e+18 13715900000000.0 1143250000000000.0 1671330000000000.0 1132330000000.0 202475000000000.0 431954000000000.0 557539000.0 612259000000000.0 1414600000000000.0 247325000000000.0 2158200000.0 75812800000.0 2926890000000.0 27161200000000.0 235301000000000.0 113034000.0 3263240000.0 -4.74 [-4.74]
616595000000000.0 1.75221e+18 16683000000000.0 1186220000000000.0 1464090000000000.0 1249620000000.0 194616000000000.0 364058000000000.0 750505000.0 603226000000000.0 1009450000000000.0 156443000000000.0 3037010000.0 112359000000.0 3511180000000.0 30528800000000.0 224784000000000.0 154187000.0 4660040000.0 -4.72 [-4.72]
616595000000000.0 1.49184e+18 19868100000000.0 1200770000000000.0 1263110000000000.0 1363060000000.0 183835000000000.0 306460000000000.0 1023650000.0 599031000000000.0 693686000000000.0 95681400000000.0 4302210000.0 164378000000.0 4104590000000.0 33737500000000.0 210675000000000.0 210913000.0 6528890000.0 -4.7 [-4.7]
616595000000000.0 1.28901e+18 22747000000000.0 1189420000000000.0 1092580000000000.0 1474830000000.0 173371000000000.0 259810000000000.0 1379930000.0 602715000000000.0 480252000000000.0 59642900000000.0 5890030000.0 229596000000.0 4658140000000.0 36377100000000.0 195437000000000.0 282978000.0 8681890000.0 -4.68 [-4.68]
616595000000000.0 1.13422e+18 25110400000000.0 1162440000000000.0 955066000000000.0 1589050000000.0 164694000000000.0 221972000000000.0 1815280000.0 611273000000000.0 342631000000000.0 38778700000000.0 7688120000.0 305584000000.0 5167760000000.0 38390900000000.0 180753000000000.0 369831000.0 10951000000.0 -4.66 [-4.66]
616595000000000.0 1.01255e+18 27006300000000.0 1127440000000000.0 843152000000000.0 1707640000000.0 157668000000000.0 190667000000000.0 2331670000.0 621300000000000.0 251721000000000.0 26190200000000.0 9636110000.0 392055000000.0 5644820000000.0 39896400000000.0 167071000000000.0 472619000.0 13278900000.0 -4.64 [-4.64]
