# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
6760860000000000.0 8.5519e+19 21221100000000.0 5670120000000000.0 3.28142e+16 2033970000000.0 1261780000000000.0 1.87107e+16 245564000.0 4196200000000000.0 1.18943e+17 5.84578e+16 1557440000.0 50400600000.0 5201960000000.0 77884700000000.0 2320940000000000.0 47867500.0 5651610000.0 -5.0 [-5.0]
6760840000000000.0 7.92271e+19 23603900000000.0 5941750000000000.0 3.27257e+16 2340700000000.0 1361390000000000.0 1.76598e+16 309443000.0 4533940000000000.0 1.06805e+17 4.92349e+16 1829920000.0 57406800000.0 5789430000000.0 87512300000000.0 2407990000000000.0 60445200.0 6195110000.0 -4.98 [-4.98]
6760820000000000.0 7.31362e+19 26483400000000.0 6254000000000000.0 3.25381e+16 2704130000000.0 1466980000000000.0 1.65546e+16 391503000.0 4883190000000000.0 9.52636e+16 4.10701e+16 2164850000.0 66120100000.0 6481220000000.0 98543800000000.0 2493830000000000.0 76522900.0 6741430000.0 -4.96 [-4.96]
6760830000000000.0 6.71902e+19 30067100000000.0 6626340000000000.0 3.22309e+16 3140780000000.0 1579190000000000.0 1.53889e+16 498478000.0 5242010000000000.0 8.42696e+16 3.38401e+16 2585920000.0 77415600000.0 7326030000000.0 111324000000000.0 2577860000000000.0 97377900.0 7294470000.0 -4.94 [-4.94]
6760810000000000.0 6.12894e+19 34662000000000.0 7081910000000000.0 3.17536e+16 3668750000000.0 1696290000000000.0 1.41496e+16 639612000.0 5597760000000000.0 7.37613e+16 2.74221e+16 3130180000.0 92770300000.0 8401260000000.0 126380000000000.0 2659560000000000.0 124702000.0 7871970000.0 -4.92 [-4.92]
6760970000000000.0 5.51669e+19 41079600000000.0 7693170000000000.0 3.10345e+16 4345970000000.0 1823410000000000.0 1.27808e+16 837929000.0 5951980000000000.0 6.33701e+16 2.15538e+16 3885770000.0 115621000000.0 9886040000000.0 145087000000000.0 2738280000000000.0 162738000.0 8574130000.0 -4.9 [-4.9]
6760830000000000.0 4.88184e+19 50296400000000.0 8501120000000000.0 2.99269e+16 5191640000000.0 1946300000000000.0 1.12962e+16 1117540000.0 6246150000000000.0 5.32653e+16 1.63628e+16 4990870000.0 153070000000.0 12074700000000.0 168844000000000.0 2808570000000000.0 216652000.0 9767620000.0 -4.88 [-4.88]
6760780000000000.0 4.28294e+19 62332800000000.0 9430390000000000.0 2.84995e+16 6158010000000.0 2050600000000000.0 9853910000000000.0 1489920000.0 6459440000000000.0 4.40894e+16 1.21243e+16 6511950000.0 209020000000.0 14937900000000.0 195797000000000.0 2858110000000000.0 289913000.0 11832400000.0 -4.86 [-4.86]
6760830000000000.0 3.75609e+19 76834300000000.0 1.03861e+16 2.6878e+16 7193740000000.0 2131470000000000.0 8555410000000000.0 1964800000.0 6610070000000000.0 3.61289e+16 8870650000000000.0 8521730000.0 287505000000.0 18377300000000.0 224403000000000.0 2881170000000000.0 386298000.0 15035400000.0 -4.84 [-4.84]
6760830000000000.0 3.28627e+19 94483900000000.0 1.1336e+16 2.5038e+16 8289200000000.0 2183160000000000.0 7387310000000000.0 2582940000.0 6698280000000000.0 2.91174e+16 6385490000000000.0 11277700000.0 402032000000.0 22525500000000.0 255528000000000.0 2874490000000000.0 515955000.0 19935800000.0 -4.82 [-4.82]
6760860000000000.0 2.86844e+19 115565000000000.0 1.21928e+16 2.30046e+16 9400390000000.0 2196580000000000.0 6362290000000000.0 3394560000.0 6727310000000000.0 2.29976e+16 4522670000000000.0 15113900000.0 570067000000.0 27332200000000.0 288818000000000.0 2834310000000000.0 690910000.0 27122500000.0 -4.8 [-4.8]
6760830000000000.0 2.47496e+19 141725000000000.0 1.29552e+16 2.07191e+16 10562700000000.0 2169400000000000.0 5421320000000000.0 4535860000.0 6715090000000000.0 1.74139e+16 3049440000000000.0 20732200000.0 822956000000.0 32895100000000.0 325344000000000.0 2754270000000000.0 937582000.0 37538800000.0 -4.78 [-4.78]
6760810000000000.0 2.13759e+19 170494000000000.0 1.34594e+16 1.8428e+16 11685500000000.0 2106510000000000.0 4629670000000000.0 6074260000.0 6709060000000000.0 1.28774e+16 2019850000000000.0 28538000000.0 1174500000000.0 38697300000000.0 361128000000000.0 2639420000000000.0 1268520000.0 51296100000.0 -4.76 [-4.76]
6760830000000000.0 1.84018e+19 201781000000000.0 1.37235e+16 1.61477e+16 12826100000000.0 2017350000000000.0 3933480000000000.0 8225140000.0 6737940000000000.0 9183530000000000.0 1288610000000000.0 39384400000.0 1659170000000.0 44760700000000.0 396078000000000.0 2491070000000000.0 1720020000.0 68980200000.0 -4.74 [-4.74]
6760830000000000.0 1.59626e+19 231851000000000.0 1.37227e+16 1.40916e+16 13976700000000.0 1921780000000000.0 3347350000000000.0 11082900000.0 6825560000000000.0 6486690000000000.0 820378000000000.0 53231400000.0 2278250000000.0 50714600000000.0 426805000000000.0 2325520000000000.0 2304410000.0 89685300000.0 -4.72 [-4.72]
6760830000000000.0 1.40315e+19 258104000000000.0 1.35207e+16 1.23512e+16 15160800000000.0 1835850000000000.0 2860930000000000.0 14682000000.0 6958180000000000.0 4645520000000000.0 535421000000000.0 69489000000.0 3021430000000.0 56406200000000.0 451793000000000.0 2159000000000000.0 3026870000.0 112147000000.0 -4.7 [-4.7]
6760830000000000.0 1.25291e+19 279347000000000.0 1.31951e+16 1.09353e+16 16375800000000.0 1766210000000000.0 2463610000000000.0 18951300000.0 7103910000000000.0 3433810000000000.0 365666000000000.0 87226400000.0 3866110000000.0 61729800000000.0 470607000000000.0 2003600000000000.0 3881880000.0 135215000000.0 -4.68 [-4.68]
6760830000000000.0 1.12949e+19 296849000000000.0 1.27994e+16 9737690000000000.0 17647900000000.0 1707340000000000.0 2127150000000000.0 24030500000.0 7244240000000000.0 2588360000000000.0 256718000000000.0 106517000000.0 4833990000000.0 66856100000000.0 484975000000000.0 1856930000000000.0 4900360000.0 159081000000.0 -4.66 [-4.66]
6760830000000000.0 1.02719e+19 310980000000000.0 1.23675e+16 8726440000000000.0 18959400000000.0 1657390000000000.0 1844290000000000.0 29908300000.0 7365170000000000.0 1993280000000000.0 185396000000000.0 126927000000.0 5913110000000.0 71699800000000.0 495162000000000.0 1721540000000000.0 6091060000.0 183442000000.0 -4.64 [-4.64]
6760830000000000.0 9.38114e+18 322696000000000.0 1.19103e+16 7836280000000000.0 20338900000000.0 1611810000000000.0 1598180000000000.0 36862600000.0 7467340000000000.0 1548280000000000.0 135416000000000.0 148889000000.0 7147860000000.0 76445000000000.0 502543000000000.0 1592440000000000.0 7507800000.0 208779000000.0 -4.62 [-4.62]
6760830000000000.0 8.61079e+18 332143000000000.0 1.14453e+16 7063240000000000.0 21756800000000.0 1570220000000000.0 1388010000000000.0 44868100000.0 7544910000000000.0 1217550000000000.0 100443000000000.0 171902000000.0 8516300000000.0 80929500000000.0 506974000000000.0 1472330000000000.0 9158710000.0 234789000000.0 -4.6 [-4.6]
6760830000000000.0 7.93295e+18 339773000000000.0 1.098e+16 6382270000000000.0 23220800000000.0 1531320000000000.0 1206770000000000.0 54099300000.0 7599450000000000.0 965798000000000.0 75302700000000.0 195990000000.0 10034600000000.0 85199500000000.0 508984000000000.0 1359850000000000.0 11084500000.0 261605000000.0 -4.58 [-4.58]
6760830000000000.0 7.32954e+18 345836000000000.0 1.05181e+16 5777590000000000.0 24729000000000.0 1494070000000000.0 1049820000000000.0 64724700000.0 7631760000000000.0 771253000000000.0 56899400000000.0 221077000000.0 11713500000000.0 89242600000000.0 508830000000000.0 1254270000000000.0 13326300000.0 289300000000.0 -4.56 [-4.56]
6760830000000000.0 6.7879e+18 350534000000000.0 1.00625e+16 5237770000000000.0 26279800000000.0 1457810000000000.0 913570000000000.0 76927600000.0 7642880000000000.0 619195000000000.0 43249800000000.0 247047000000.0 13563000000000.0 93049100000000.0 506756000000000.0 1155100000000000.0 15929400000.0 317922000000.0 -4.54 [-4.54]
6760830000000000.0 6.29966e+18 354060000000000.0 9616840000000000.0 4754890000000000.0 27867600000000.0 1422250000000000.0 795362000000000.0 90873100000.0 7633840000000000.0 499547000000000.0 33059600000000.0 273711000000.0 15582900000000.0 96579900000000.0 502868000000000.0 1062290000000000.0 18937600000.0 347475000000.0 -4.52 [-4.52]
6760830000000000.0 5.8574e+18 356585000000000.0 9183280000000000.0 4321470000000000.0 29490400000000.0 1387110000000000.0 692671000000000.0 106767000000.0 7606030000000000.0 404685000000000.0 25385000000000.0 300910000000.0 17776800000000.0 99820800000000.0 497326000000000.0 975535000000000.0 22403800000.0 378003000000.0 -4.5 [-4.5]
6760830000000000.0 5.45491e+18 358236000000000.0 8763040000000000.0 3931230000000000.0 31145600000000.0 1352180000000000.0 603341000000000.0 124838000000.0 7560740000000000.0 328969000000000.0 19560200000000.0 328468000000.0 20148200000000.0 102759000000000.0 490294000000000.0 894501000000000.0 26385900000.0 409535000000.0 -4.48 [-4.48]
6760830000000000.0 5.08856e+18 359166000000000.0 8358110000000000.0 3580220000000000.0 32818900000000.0 1317420000000000.0 525881000000000.0 145243000000.0 7499300000000000.0 268425000000000.0 15134700000000.0 356138000000.0 22678500000000.0 105331000000000.0 481830000000000.0 819327000000000.0 30931900000.0 442082000000.0 -4.46 [-4.46]
6760830000000000.0 4.75299e+18 359460000000000.0 7968200000000000.0 3262770000000000.0 34506900000000.0 1282700000000000.0 458405000000000.0 168306000000.0 7423040000000000.0 219589000000000.0 11748900000000.0 383791000000.0 25381100000000.0 107577000000000.0 472194000000000.0 749320000000000.0 36118100000.0 475683000000.0 -4.44 [-4.44]
6760760000000000.0 4.44467e+18 359226000000000.0 7593380000000000.0 2975080000000000.0 36213700000000.0 1247950000000000.0 399586000000000.0 194306000000.0 7333040000000000.0 180031000000000.0 9145970000000.0 411238000000.0 28253300000000.0 109489000000000.0 461503000000000.0 684202000000000.0 42019600000.0 510367000000.0 -4.42 [-4.42]
6760770000000000.0 4.16087e+18 358550000000000.0 7234040000000000.0 2714050000000000.0 37936400000000.0 1213180000000000.0 348317000000000.0 223538000000.0 7230670000000000.0 147887000000000.0 7137500000000.0 438300000000.0 31289800000000.0 111062000000000.0 449889000000000.0 623757000000000.0 48715200000.0 546169000000.0 -4.4 [-4.4]
6760780000000000.0 3.89897e+18 357480000000000.0 6889680000000000.0 2476850000000000.0 39670400000000.0 1178370000000000.0 303615000000000.0 256324000000.0 7116810000000000.0 121682000000000.0 5581930000000.0 464782000000.0 34480400000000.0 112278000000000.0 437449000000000.0 567736000000000.0 56288800000.0 583069000000.0 -4.38 [-4.38]
6760790000000000.0 3.65679e+18 356091000000000.0 6560240000000000.0 2260940000000000.0 41413300000000.0 1143540000000000.0 264609000000000.0 293026000000.0 6992560000000000.0 100254000000000.0 4373020000000.0 490534000000.0 37820400000000.0 113151000000000.0 424318000000000.0 515854000000000.0 64835300000.0 621091000000.0 -4.36 [-4.36]
6760810000000000.0 3.43233e+18 354420000000000.0 6245050000000000.0 2064170000000000.0 43162900000000.0 1108710000000000.0 230568000000000.0 334043000000.0 6858870000000000.0 82684600000000.0 3430700000000.0 515392000000.0 41298300000000.0 113667000000000.0 410581000000000.0 467882000000000.0 74460000000.0 660243000000.0 -4.34 [-4.34]
6760830000000000.0 3.22408e+18 352515000000000.0 5943900000000000.0 1884700000000000.0 44914500000000.0 1073950000000000.0 200868000000000.0 379761000000.0 6716740000000000.0 68256900000000.0 2694830000000.0 539211000000.0 44899100000000.0 113831000000000.0 396351000000000.0 423611000000000.0 85265700000.0 700517000000.0 -4.32 [-4.32]
6760830000000000.0 3.03033e+18 350389000000000.0 5655840000000000.0 1720800000000000.0 46666700000000.0 1039250000000000.0 174936000000000.0 430670000000.0 6566870000000000.0 56376300000000.0 2118440000000.0 561850000000.0 48607900000000.0 113633000000000.0 381687000000000.0 382803000000000.0 97379600000.0 741904000000.0 -4.3 [-4.3]
6760790000000000.0 2.84998e+18 348090000000000.0 5380770000000000.0 1571040000000000.0 48415400000000.0 1004710000000000.0 152309000000000.0 487211000000.0 6410220000000000.0 46586200000000.0 1666600000000.0 583199000000.0 52405700000000.0 113084000000000.0 366708000000000.0 345267000000000.0 110920000000.0 784375000000.0 -4.28 [-4.28]
