# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
6606960000000000.0 8.31572e+19 20927700000000.0 5560410000000000.0 3.2001e+16 2008840000000.0 1237980000000000.0 1.81934e+16 244152000.0 4114660000000000.0 1.15587e+17 5.67415e+16 1532810000.0 49379600000.0 5080090000000.0 75925800000000.0 2260550000000000.0 47555400.0 5524770000.0 -5.0 [-5.0]
6606950000000000.0 7.7034e+19 23273900000000.0 5825760000000000.0 3.19095e+16 2311180000000.0 1335350000000000.0 1.71692e+16 307597000.0 4444720000000000.0 1.03776e+17 4.77742e+16 1801360000.0 56258500000.0 5655050000000.0 85333900000000.0 2345730000000000.0 60032700.0 6056260000.0 -4.98 [-4.98]
6607010000000000.0 7.11079e+19 26113500000000.0 6131630000000000.0 3.17226e+16 2669850000000.0 1438710000000000.0 1.60925e+16 389180000.0 4786520000000000.0 9.25436e+16 3.98366e+16 2131770000.0 64826900000.0 6333130000000.0 96124400000000.0 2429770000000000.0 75999400.0 6591500000.0 -4.96 [-4.96]
6606930000000000.0 6.53202e+19 29639900000000.0 6494920000000000.0 3.14157e+16 3099510000000.0 1548050000000000.0 1.49572e+16 495254000.0 5135900000000000.0 8.18488e+16 3.281e+16 2546580000.0 75915200000.0 7159630000000.0 108616000000000.0 2512130000000000.0 96650700.0 7131210000.0 -4.94 [-4.94]
6606900000000000.0 5.95794e+19 34167900000000.0 6940590000000000.0 3.09436e+16 3620070000000.0 1662400000000000.0 1.37503e+16 635470000.0 5482970000000000.0 7.16265e+16 2.65765e+16 3083540000.0 91014800000.0 8213000000000.0 123324000000000.0 2591990000000000.0 123766000.0 7697170000.0 -4.92 [-4.92]
6607030000000000.0 5.36268e+19 40484900000000.0 7538050000000000.0 3.02363e+16 4286750000000.0 1786360000000000.0 1.24184e+16 832148000.0 5827920000000000.0 6.1525e+16 2.08815e+16 3828340000.0 113471000000.0 9666880000000.0 141598000000000.0 2669020000000000.0 161457000.0 8384700000.0 -4.9 [-4.9]
6606930000000000.0 4.74438e+19 49564500000000.0 8328390000000000.0 2.91471e+16 5119780000000.0 1906080000000000.0 1.09722e+16 1109660000.0 6113460000000000.0 5.16909e+16 1.58376e+16 4918490000.0 150297000000.0 11811700000000.0 164829000000000.0 2737890000000000.0 214909000.0 9552460000.0 -4.88 [-4.88]
6606890000000000.0 4.16081e+19 61433400000000.0 9238270000000000.0 2.77447e+16 6071790000000.0 2007500000000000.0 9566390000000000.0 1479370000.0 6319280000000000.0 4.27583e+16 1.17206e+16 6421440000.0 205458000000.0 14624300000000.0 191233000000000.0 2786440000000000.0 287596000.0 11582800000.0 -4.86 [-4.86]
6606930000000000.0 3.64811e+19 75720800000000.0 1.01725e+16 2.61542e+16 7091340000000.0 2085890000000000.0 8302200000000000.0 1950740000.0 6463970000000000.0 3.50162e+16 8566500000000000.0 8408090000.0 282855000000.0 18002900000000.0 219238000000000.0 2808840000000000.0 383237000.0 14736000000.0 -4.84 [-4.84]
6606880000000000.0 3.18747e+19 93295500000000.0 1.11122e+16 2.43352e+16 8178730000000.0 2136180000000000.0 7156170000000000.0 2569660000.0 6547580000000000.0 2.81443e+16 6141910000000000.0 11155700000.0 396893000000.0 22115900000000.0 250027000000000.0 2801660000000000.0 512902000.0 19602600000.0 -4.82 [-4.82]
6606930000000000.0 2.78618e+19 113772000000000.0 1.19291e+16 2.23682e+16 9255680000000.0 2147440000000000.0 6172910000000000.0 3366870000.0 6573350000000000.0 2.22697e+16 4363830000000000.0 14916300000.0 561301000000.0 26784700000000.0 282195000000000.0 2762480000000000.0 684980000.0 26625700000.0 -4.8 [-4.8]
6606930000000000.0 2.40314e+19 139514000000000.0 1.26696e+16 2.0132e+16 10396600000000.0 2119630000000000.0 5257950000000000.0 4499610000.0 6558920000000000.0 1.68391e+16 2937090000000000.0 20472400000.0 810964000000.0 32245900000000.0 317956000000000.0 2683700000000000.0 929700000.0 36883300000.0 -4.78 [-4.78]
6606930000000000.0 2.07461e+19 167832000000000.0 1.31556e+16 1.78908e+16 11497500000000.0 2056680000000000.0 4488210000000000.0 6028440000.0 6551120000000000.0 1.24287e+16 1941040000000000.0 28207200000.0 1158610000000.0 37941100000000.0 352992000000000.0 2570650000000000.0 1258330000.0 50454800000.0 -4.76 [-4.76]
6606930000000000.0 1.78554e+19 198547000000000.0 1.34038e+16 1.56657e+16 12614400000000.0 1968250000000000.0 3812300000000000.0 8166040000.0 6578860000000000.0 8848470000000000.0 1236170000000000.0 38953100000.0 1637790000000.0 43881400000000.0 387134000000000.0 2424890000000000.0 1706510000.0 67890200000.0 -4.74 [-4.74]
6606920000000000.0 1.54921e+19 227923000000000.0 1.33929e+16 1.36677e+16 13741300000000.0 1874410000000000.0 3244280000000000.0 11001900000.0 6665090000000000.0 6247890000000000.0 787071000000000.0 52638700000.0 2248570000000.0 49698800000000.0 417010000000000.0 2262890000000000.0 2285730000.0 88252100000.0 -4.72 [-4.72]
6606930000000000.0 1.36218e+19 253490000000000.0 1.31878e+16 1.19789e+16 14902300000000.0 1790420000000000.0 2772720000000000.0 14570500000.0 6795010000000000.0 4475410000000000.0 514066000000000.0 68680300000.0 2981360000000.0 55259100000000.0 441261000000000.0 2100260000000000.0 3001320000.0 110311000000.0 -4.7 [-4.7]
6606930000000000.0 1.21668e+19 274134000000000.0 1.28647e+16 1.06062e+16 16094500000000.0 1722530000000000.0 2387590000000000.0 18799700000.0 6937060000000000.0 3309400000000000.0 351404000000000.0 86151000000.0 3813480000000.0 60457400000000.0 459471000000000.0 1948740000000000.0 3847750000.0 132937000000.0 -4.68 [-4.68]
6606930000000000.0 1.09727e+19 291099000000000.0 1.24755e+16 9447130000000000.0 17340200000000.0 1665270000000000.0 2061950000000000.0 23815800000.0 7072750000000000.0 2496990000000000.0 247033000000000.0 105096000000.0 4764130000000.0 65451800000000.0 473324000000000.0 1806120000000000.0 4853690000.0 156299000000.0 -4.66 [-4.66]
6606930000000000.0 9.98027e+18 304812000000000.0 1.20517e+16 8466240000000000.0 18626100000000.0 1616510000000000.0 1787630000000000.0 29628300000.0 7189700000000000.0 1923350000000000.0 178467000000000.0 125161000000.0 5825620000000.0 70178800000000.0 483161000000000.0 1674210000000000.0 6030990000.0 180174000000.0 -4.64 [-4.64]
6606880000000000.0 9.11647e+18 316164000000000.0 1.16041e+16 7603400000000000.0 19976900000000.0 1572020000000000.0 1549140000000000.0 36495600000.0 7288010000000000.0 1494570000000000.0 130424000000000.0 146723000000.0 7038490000000.0 74801500000000.0 490245000000000.0 1548560000000000.0 7430250000.0 204986000000.0 -4.62 [-4.62]
6606930000000000.0 8.36921e+18 325333000000000.0 1.11501e+16 6853840000000000.0 21367600000000.0 1531490000000000.0 1345430000000000.0 44405000000.0 7362720000000000.0 1175620000000000.0 96769000000000.0 169315000000.0 8383410000000.0 79181000000000.0 494512000000000.0 1431660000000000.0 9061530000.0 230463000000.0 -4.6 [-4.6]
6606930000000000.0 7.71082e+18 332713000000000.0 1.06951e+16 6193040000000000.0 22801700000000.0 1493420000000000.0 1169650000000000.0 53525600000.0 7414820000000000.0 932594000000000.0 72550400000000.0 192961000000.0 9875420000000.0 83339400000000.0 496384000000000.0 1322100000000000.0 10964300000.0 256738000000.0 -4.58 [-4.58]
6606870000000000.0 7.12459e+18 338572000000000.0 1.02438e+16 5606110000000000.0 24279900000000.0 1457000000000000.0 1017390000000000.0 64024000000.0 7445310000000000.0 744732000000000.0 54814000000000.0 217575000000.0 11525900000000.0 87284100000000.0 496180000000000.0 1219250000000000.0 13179400000.0 283868000000.0 -4.56 [-4.56]
6606880000000000.0 6.59886e+18 343107000000000.0 9799390000000000.0 5082710000000000.0 25798200000000.0 1421580000000000.0 885390000000000.0 76067300000.0 7455180000000000.0 598043000000000.0 41673300000000.0 243029000000.0 13340700000000.0 90986200000000.0 494082000000000.0 1122800000000000.0 15749100000.0 311897000000.0 -4.54 [-4.54]
6606930000000000.0 6.12446e+18 346506000000000.0 9364640000000000.0 4614010000000000.0 27354400000000.0 1386810000000000.0 770735000000000.0 89843000000.0 7445580000000000.0 482461000000000.0 31849800000000.0 269172000000.0 15325700000000.0 94430700000000.0 490252000000000.0 1032410000000000.0 18720900000.0 340850000000.0 -4.52 [-4.52]
6606930000000000.0 5.69467e+18 348916000000000.0 8941650000000000.0 4193360000000000.0 28944000000000.0 1352440000000000.0 671157000000000.0 105539000000.0 7417630000000000.0 390835000000000.0 24452500000000.0 295818000000.0 17480100000000.0 97582900000000.0 484783000000000.0 947956000000000.0 22144000000.0 370751000000.0 -4.5 [-4.5]
6606930000000000.0 5.30418e+18 350492000000000.0 8532380000000000.0 3815220000000000.0 30561900000000.0 1318340000000000.0 584702000000000.0 123346000000.0 7372710000000000.0 317827000000000.0 18847400000000.0 322774000000.0 19800200000000.0 100417000000000.0 477826000000000.0 869286000000000.0 26070200000.0 401623000000.0 -4.48 [-4.48]
6606930000000000.0 4.94815e+18 351359000000000.0 8137660000000000.0 3474550000000000.0 32199800000000.0 1284370000000000.0 509600000000000.0 143481000000.0 7312110000000000.0 259333000000000.0 14583100000000.0 349853000000.0 22282100000000.0 102913000000000.0 469523000000000.0 796137000000000.0 30556700000.0 433496000000.0 -4.46 [-4.46]
6606930000000000.0 4.62204e+18 351616000000000.0 7757690000000000.0 3166470000000000.0 33851900000000.0 1250440000000000.0 444186000000000.0 166237000000.0 7237130000000000.0 212152000000000.0 11320800000000.0 376902000000.0 24932200000000.0 105091000000000.0 460081000000000.0 728030000000000.0 35674500000.0 466401000000.0 -4.44 [-4.44]
6606880000000000.0 4.32241e+18 351360000000000.0 7392550000000000.0 2887260000000000.0 35522200000000.0 1216480000000000.0 387170000000000.0 191883000000.0 7148800000000000.0 173935000000000.0 8812770000000.0 403736000000.0 27747600000000.0 106943000000000.0 449617000000000.0 664689000000000.0 41496800000.0 500365000000.0 -4.42 [-4.42]
6606880000000000.0 4.04665e+18 350669000000000.0 7042520000000000.0 2634010000000000.0 37207100000000.0 1182520000000000.0 337494000000000.0 220705000000.0 7048460000000000.0 142888000000000.0 6877970000000.0 430169000000.0 30720500000000.0 108455000000000.0 438244000000000.0 605933000000000.0 48099700000.0 535413000000.0 -4.4 [-4.4]
6606890000000000.0 3.79201e+18 349598000000000.0 6707050000000000.0 2403700000000000.0 38904200000000.0 1148500000000000.0 294144000000000.0 253049000000.0 6936940000000000.0 117558000000000.0 5378390000000.0 456039000000.0 33849300000000.0 109633000000000.0 426091000000000.0 551413000000000.0 55571500000.0 571543000000.0 -4.38 [-4.38]
6606900000000000.0 3.55653e+18 348215000000000.0 6386080000000000.0 2194100000000000.0 40609500000000.0 1114480000000000.0 256331000000000.0 289249000000.0 6815310000000000.0 96848700000000.0 4213200000000.0 481177000000.0 37121600000000.0 110466000000000.0 413252000000000.0 500951000000000.0 64001900000.0 608770000000.0 -4.36 [-4.36]
6606920000000000.0 3.33834e+18 346562000000000.0 6079090000000000.0 2003120000000000.0 42320700000000.0 1080460000000000.0 223340000000000.0 329692000000.0 6684530000000000.0 79873200000000.0 3305180000000.0 505425000000.0 40527400000000.0 110953000000000.0 399832000000000.0 454303000000000.0 73492800000.0 647095000000.0 -4.34 [-4.34]
6606920000000000.0 3.13584e+18 344678000000000.0 5785730000000000.0 1828900000000000.0 44033700000000.0 1046510000000000.0 194555000000000.0 374769000000.0 6545520000000000.0 65931300000000.0 2596030000000.0 528645000000.0 44052100000000.0 111093000000000.0 385924000000000.0 411262000000000.0 84147900000.0 686515000000.0 -4.32 [-4.32]
6606910000000000.0 2.94752e+18 342585000000000.0 5505300000000000.0 1669820000000000.0 45746800000000.0 1012630000000000.0 169430000000000.0 424942000000.0 6399050000000000.0 54454700000000.0 2040760000000.0 550704000000.0 47680800000000.0 110883000000000.0 371609000000000.0 371600000000000.0 96088300000.0 727021000000.0 -4.3 [-4.3]
6606910000000000.0 2.77215e+18 340320000000000.0 5237410000000000.0 1524460000000000.0 47456800000000.0 978906000000000.0 147503000000000.0 480682000000.0 6245980000000000.0 44994500000000.0 1605330000000.0 571490000000.0 51397200000000.0 110329000000000.0 356985000000000.0 335110000000000.0 109437000000.0 768585000000.0 -4.28 [-4.28]
6606900000000000.0 2.60857e+18 337901000000000.0 4981490000000000.0 1391520000000000.0 49161100000000.0 945359000000000.0 128364000000000.0 542503000000.0 6087000000000000.0 37184900000000.0 1263320000000.0 590912000000.0 55181100000000.0 109436000000000.0 342127000000000.0 301592000000000.0 124330000000.0 811188000000.0 -4.26 [-4.26]
6606880000000000.0 2.45584e+18 335342000000000.0 4737070000000000.0 1269880000000000.0 50857300000000.0 912054000000000.0 111662000000000.0 610951000000.0 5922920000000000.0 30732200000000.0 994408000000.0 608883000000.0 59012200000000.0 108214000000000.0 327127000000000.0 270856000000000.0 140909000000.0 854788000000.0 -4.24 [-4.24]
6606880000000000.0 2.31311e+18 332663000000000.0 4503730000000000.0 1158620000000000.0 52542800000000.0 879053000000000.0 97099200000000.0 686575000000.0 5754530000000000.0 25397800000000.0 782832000000.0 625326000000.0 62860500000000.0 106663000000000.0 312051000000000.0 242761000000000.0 159325000000.0 899349000000.0 -4.22 [-4.22]
6606880000000000.0 2.17939e+18 329855000000000.0 4280690000000000.0 1056660000000000.0 54217300000000.0 846357000000000.0 84379900000000.0 770126000000.0 5582240000000000.0 20979000000000.0 616037000000.0 640171000000.0 66716100000000.0 104809000000000.0 296967000000000.0 217055000000000.0 179760000000.0 944808000000.0 -4.2 [-4.2]
