H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.51356e+14	1.99485e+18	4.91132e+11	1.25777e+14	6.41996e+14	4.61295e+10	2.63828e+13	3.89240e+14	5.45852e+06	8.46703e+13	2.94871e+15	1.75002e+15	3.03720e+07	9.26151e+08	8.76402e+10	1.12675e+12	4.07253e+13	1.05623e+06	9.91852e+07
1.51356e+14	1.86142e+18	5.31132e+11	1.29751e+14	6.41553e+14	5.19099e+10	2.82535e+13	3.72786e+14	6.74158e+06	9.13501e+13	2.68773e+15	1.50131e+15	3.53462e+07	1.04479e+09	9.77266e+10	1.27330e+12	4.27021e+13	1.31080e+06	1.11412e+08
1.51356e+14	1.73392e+18	5.76948e+11	1.34013e+14	6.39867e+14	5.85879e+10	3.02314e+13	3.55533e+14	8.34750e+06	9.83228e+13	2.43747e+15	1.27989e+15	4.12534e+07	1.18177e+09	1.08949e+11	1.43875e+12	4.46897e+13	1.62775e+06	1.24399e+08
1.51356e+14	1.61181e+18	6.30114e+11	1.38682e+14	6.36804e+14	6.63411e+10	3.23189e+13	3.37483e+14	1.03641e+07	1.05554e+14	2.19830e+15	1.08350e+15	4.83266e+07	1.34259e+09	1.21559e+11	1.62594e+12	4.66781e+13	2.02344e+06	1.38011e+08
1.51356e+14	1.49448e+18	6.92696e+11	1.43913e+14	6.32162e+14	7.53826e+10	3.45147e+13	3.18609e+14	1.29063e+07	1.12993e+14	1.97048e+15	9.09766e+14	5.68794e+07	1.53556e+09	1.35940e+11	1.83827e+12	4.86541e+13	2.51918e+06	1.52072e+08
1.51356e+14	1.38105e+18	7.67639e+11	1.49922e+14	6.25669e+14	8.59877e+10	3.68163e+13	2.98849e+14	1.61296e+07	1.20569e+14	1.75379e+15	7.56380e+14	6.73492e+07	1.77334e+09	1.52680e+11	2.08049e+12	5.06050e+13	3.14374e+06	1.66376e+08
1.51356e+14	1.27043e+18	8.59467e+11	1.57026e+14	6.16909e+14	9.85379e+10	3.92196e+13	2.78081e+14	2.02569e+07	1.28180e+14	1.54767e+15	6.21033e+14	8.03913e+07	2.07684e+09	1.72753e+11	2.35947e+12	5.25164e+13	3.93826e+06	1.80789e+08
1.51356e+14	1.16116e+18	9.75349e+11	1.65698e+14	6.05193e+14	1.13546e+11	4.17076e+13	2.56106e+14	2.56122e+07	1.35636e+14	1.35113e+15	5.01570e+14	9.70445e+07	2.48227e+09	1.97802e+11	2.68518e+12	5.43678e+13	4.96291e+06	1.95511e+08
1.51356e+14	1.05159e+18	1.12704e+12	1.76656e+14	5.89484e+14	1.31711e+11	4.42423e+13	2.32675e+14	3.26897e+07	1.42628e+14	1.16303e+15	3.96115e+14	1.19068e+08	3.05661e+09	2.30715e+11	3.07254e+12	5.61214e+13	6.31207e+06	2.11991e+08
1.51356e+14	9.37834e+17	1.33814e+12	1.91180e+14	5.67679e+14	1.54244e+11	4.67439e+13	2.07107e+14	4.24097e+07	1.48563e+14	9.79571e+14	3.01844e+14	1.50014e+08	3.94314e+09	2.77217e+11	3.55269e+12	5.77237e+13	8.16468e+06	2.35020e+08
