# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
151356000000000.0 1.99485e+18 491132000000.0 125777000000000.0 641996000000000.0 46129500000.0 26382800000000.0 389240000000000.0 5458520.0 84670300000000.0 2948710000000000.0 1750020000000000.0 30372000.0 926151000.0 87640200000.0 1126750000000.0 40725300000000.0 1056230.0 99185200.0 -5.0 [-5.0]
151356000000000.0 1.86142e+18 531132000000.0 129751000000000.0 641553000000000.0 51909900000.0 28253500000000.0 372786000000000.0 6741580.0 91350100000000.0 2687730000000000.0 1501310000000000.0 35346200.0 1044790000.0 97726600000.0 1273300000000.0 42702100000000.0 1310800.0 111412000.0 -4.98 [-4.98]
151356000000000.0 1.73392e+18 576948000000.0 134013000000000.0 639867000000000.0 58587900000.0 30231400000000.0 355533000000000.0 8347500.0 98322800000000.0 2437470000000000.0 1279890000000000.0 41253400.0 1181770000.0 108949000000.0 1438750000000.0 44689700000000.0 1627750.0 124399000.0 -4.96 [-4.96]
151356000000000.0 1.61181e+18 630114000000.0 138682000000000.0 636804000000000.0 66341100000.0 32318900000000.0 337483000000000.0 10364100.0 105554000000000.0 2198300000000000.0 1083500000000000.0 48326600.0 1342590000.0 121559000000.0 1625940000000.0 46678100000000.0 2023440.0 138011000.0 -4.94 [-4.94]
151356000000000.0 1.49448e+18 692696000000.0 143913000000000.0 632162000000000.0 75382600000.0 34514700000000.0 318609000000000.0 12906300.0 112993000000000.0 1970480000000000.0 909766000000000.0 56879400.0 1535560000.0 135940000000.0 1838270000000.0 48654100000000.0 2519180.0 152072000.0 -4.92 [-4.92]
151356000000000.0 1.38105e+18 767639000000.0 149922000000000.0 625669000000000.0 85987700000.0 36816300000000.0 298849000000000.0 16129600.0 120569000000000.0 1753790000000000.0 756380000000000.0 67349200.0 1773340000.0 152680000000.0 2080490000000.0 50605000000000.0 3143740.0 166376000.0 -4.9 [-4.9]
151356000000000.0 1.27043e+18 859467000000.0 157026000000000.0 616909000000000.0 98537900000.0 39219600000000.0 278081000000000.0 20256900.0 128180000000000.0 1547670000000000.0 621033000000000.0 80391300.0 2076840000.0 172753000000.0 2359470000000.0 52516400000000.0 3938260.0 180789000.0 -4.88 [-4.88]
151356000000000.0 1.16116e+18 975349000000.0 165698000000000.0 605193000000000.0 113546000000.0 41707600000000.0 256106000000000.0 25612200.0 135636000000000.0 1351130000000000.0 501570000000000.0 97044500.0 2482270000.0 197802000000.0 2685180000000.0 54367800000000.0 4962910.0 195511000.0 -4.86 [-4.86]
151356000000000.0 1.05159e+18 1127040000000.0 176656000000000.0 589484000000000.0 131711000000.0 44242300000000.0 232675000000000.0 32689700.0 142628000000000.0 1163030000000000.0 396115000000000.0 119068000.0 3056610000.0 230715000000.0 3072540000000.0 56121400000000.0 6312070.0 211991000.0 -4.84 [-4.84]
151356000000000.0 9.37834e+17 1338140000000.0 191180000000000.0 567679000000000.0 154244000000.0 46743900000000.0 207107000000000.0 42409700.0 148563000000000.0 979571000000000.0 301844000000000.0 150014000.0 3943140000.0 277217000000.0 3552690000000.0 57723700000000.0 8164680.0 235020000.0 -4.82 [-4.82]
151355000000000.0 8.12608e+17 1662320000000.0 211606000000000.0 535023000000000.0 183202000000.0 48955000000000.0 178107000000000.0 56745500.0 152063000000000.0 792705000000000.0 215264000000000.0 198571000.0 5514700000.0 350048000000.0 4194510000000.0 59026700000000.0 10919400.0 281505000.0 -4.8 [-4.8]
151356000000000.0 7.08221e+17 2044140000000.0 231845000000000.0 499720000000000.0 212516000000.0 50377200000000.0 153205000000000.0 74384400.0 153660000000000.0 638827000000000.0 153801000000000.0 263229000.0 7782980000.0 438989000000.0 4856140000000.0 59546400000000.0 14480100.0 365137000.0 -4.78 [-4.78]
151356000000000.0 6.22218e+17 2467290000000.0 249663000000000.0 463634000000000.0 241084000000.0 51072800000000.0 132451000000000.0 95732700.0 154155000000000.0 513109000000000.0 110514000000000.0 345884000.0 10862800000.0 538640000000.0 5513130000000.0 59346500000000.0 18978900.0 487124000.0 -4.76 [-4.76]
151356000000000.0 5.40313e+17 2999600000000.0 266543000000000.0 422061000000000.0 270855000000.0 50849000000000.0 113153000000000.0 124638000.0 152921000000000.0 397359000000000.0 75950100000000.0 464611000.0 15577500000.0 659024000000.0 6247170000000.0 58333900000000.0 25206200.0 675260000.0 -4.74 [-4.74]
151356000000000.0 4.62721e+17 3667570000000.0 280515000000000.0 375195000000000.0 300884000000.0 49489200000000.0 95573300000000.0 165494000.0 150441000000000.0 292088000000000.0 49152200000000.0 643043000.0 22942800000.0 798927000000.0 7053840000000.0 56300200000000.0 34056300.0 961778000.0 -4.72 [-4.72]
