# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
1.09647e+16 4.79289e+20 612068000000.0 109996000000000.0 473235000000000.0 40101000000.0 16264900000000.0 443967000000000.0 2663580.0 49012500000000.0 5651200000000000.0 9129650000000000.0 21287300.0 378908000.0 20639000000.0 113913000000.0 13298000000000.0 -5.0 4.547 [-5.0]
1.09647e+16 4.53718e+20 665018000000.0 116335000000000.0 481470000000000.0 43905500000.0 17361400000000.0 439179000000000.0 2986840.0 52491100000000.0 5383190000000000.0 8286950000000000.0 25154900.0 451165000.0 24023500000.0 128242000000.0 14179900000000.0 -4.98 4.543 [-4.98]
1.09648e+16 4.29598e+20 721810000000.0 122886000000000.0 489251000000000.0 48037700000.0 18512900000000.0 433768000000000.0 3349690.0 56150600000000.0 5117220000000000.0 7508890000000000.0 29678000.0 536160000.0 27917000000.0 144137000000.0 15097700000000.0 -4.96 4.538 [-4.96]
1.09648e+16 4.06828e+20 782616000000.0 129644000000000.0 496553000000000.0 52516300000.0 19719200000000.0 427746000000000.0 3756290.0 59987800000000.0 4854130000000000.0 6792010000000000.0 34957100.0 635937000.0 32388700000.0 161745000000.0 16051200000000.0 -4.94 4.534 [-4.94]
1.09648e+16 3.85322e+20 847630000000.0 136606000000000.0 503362000000000.0 57361400000.0 20980000000000.0 421133000000000.0 4211490.0 64001900000000.0 4594850000000000.0 6132570000000000.0 41106700.0 752830000.0 37516200000.0 181219000000.0 17039800000000.0 -4.92 4.529 [-4.92]
1.09648e+16 3.65007e+20 917081000000.0 143766000000000.0 509659000000000.0 62596700000.0 22295400000000.0 413951000000000.0 4720990.0 68192700000000.0 4340220000000000.0 5527340000000000.0 48259100.0 889500000.0 43385500000.0 202719000000.0 18062600000000.0 -4.9 4.525 [-4.9]
1.09647e+16 3.45804e+20 991127000000.0 151116000000000.0 515422000000000.0 68239600000.0 23663500000000.0 406215000000000.0 5290570.0 72554800000000.0 4091050000000000.0 4972820000000000.0 56559900.0 1048970000.0 50093400000.0 226425000000.0 19118800000000.0 -4.88 4.521 [-4.88]
1.09647e+16 3.27649e+20 1070010000000.0 158648000000000.0 520630000000000.0 74313600000.0 25083600000000.0 397948000000000.0 5927340.0 77087200000000.0 3848030000000000.0 4465830000000000.0 66180400.0 1234670000.0 57745200000.0 252508000000.0 20206400000000.0 -4.86 4.516 [-4.86]
1.09648e+16 3.10481e+20 1153890000000.0 166354000000000.0 525284000000000.0 80835500000.0 26553600000000.0 389185000000000.0 6638080.0 81782600000000.0 3611810000000000.0 4003350000000000.0 77300800.0 1450460000.0 66462000000.0 281181000000.0 21324900000000.0 -4.84 4.512 [-4.84]
1.09648e+16 2.94241e+20 1242970000000.0 174223000000000.0 529360000000000.0 87826700000.0 28071500000000.0 379953000000000.0 7431310.0 86637400000000.0 3382970000000000.0 3582310000000000.0 90136000.0 1700710000.0 76373600000.0 312638000000.0 22472200000000.0 -4.82 4.508 [-4.82]
1.09648e+16 2.78873e+20 1337440000000.0 182244000000000.0 532848000000000.0 95305700000.0 29634300000000.0 370286000000000.0 8316200.0 91643700000000.0 3161970000000000.0 3199740000000000.0 104921000.0 1990350000.0 87626200000.0 347102000000.0 23646300000000.0 -4.8 4.504 [-4.8]
1.09648e+16 2.6433e+20 1437520000000.0 190404000000000.0 535735000000000.0 103294000000.0 31239800000000.0 360222000000000.0 9303290.0 96797200000000.0 2949240000000000.0 2852850000000000.0 121923000.0 2324890000.0 100379000000.0 384792000000.0 24845000000000.0 -4.78 4.5 [-4.78]
1.09648e+16 2.50562e+20 1543310000000.0 198687000000000.0 538010000000000.0 111803000000.0 32883400000000.0 349794000000000.0 10403400.0 102086000000000.0 2745080000000000.0 2539010000000000.0 141432000.0 2710470000.0 114809000000.0 425952000000.0 26065700000000.0 -4.76 4.496 [-4.76]
1.09648e+16 2.37526e+20 1655040000000.0 207080000000000.0 539665000000000.0 120852000000.0 34561600000000.0 339042000000000.0 11629800.0 107506000000000.0 2549750000000000.0 2255600000000000.0 163780000.0 3154000000.0 131108000000.0 470824000000.0 27305700000000.0 -4.74 4.492 [-4.74]
1.09648e+16 2.25181e+20 1772770000000.0 215560000000000.0 540689000000000.0 130448000000.0 36269000000000.0 328007000000000.0 12995700.0 113044000000000.0 2363440000000000.0 2000160000000000.0 189319000.0 3663010000.0 149485000000.0 519670000000.0 28561900000000.0 -4.72 4.488 [-4.72]
1.09648e+16 2.13489e+20 1896720000000.0 224113000000000.0 541078000000000.0 140611000000.0 38001800000000.0 316735000000000.0 14518300.0 118693000000000.0 2186240000000000.0 1770440000000000.0 218461000.0 4246050000.0 170172000000.0 572743000000.0 29830800000000.0 -4.7 4.484 [-4.7]
1.09648e+16 2.02413e+20 2026930000000.0 232714000000000.0 540823000000000.0 151345000000.0 39754100000000.0 305269000000000.0 16214100.0 124440000000000.0 2018200000000000.0 1564300000000000.0 251639000.0 4912400000.0 193417000000.0 630323000000.0 31109000000000.0 -4.68 4.48 [-4.68]
1.09648e+16 1.91921e+20 2163560000000.0 241346000000000.0 539923000000000.0 162663000000.0 41520600000000.0 293653000000000.0 18103700.0 130273000000000.0 1859390000000000.0 1379710000000000.0 289348000.0 5672390000.0 219491000000.0 692679000000.0 32392300000000.0 -4.66 4.476 [-4.66]
1.09648e+16 1.81982e+20 2306740000000.0 249984000000000.0 538374000000000.0 174577000000.0 43295800000000.0 281933000000000.0 20210100.0 136179000000000.0 1709730000000000.0 1214800000000000.0 332127000.0 6537420000.0 248688000000.0 760086000000.0 33676800000000.0 -4.64 4.472 [-4.64]
1.09647e+16 1.72564e+20 2456420000000.0 258601000000000.0 536173000000000.0 187084000000.0 45073000000000.0 270154000000000.0 22556900.0 142146000000000.0 1569080000000000.0 1067740000000000.0 380547000.0 7519730000.0 281322000000.0 832837000000.0 34957800000000.0 -4.62 4.468 [-4.62]
1.09647e+16 1.63641e+20 2612730000000.0 267174000000000.0 533324000000000.0 200194000000.0 46846200000000.0 258361000000000.0 25173800.0 148161000000000.0 1437260000000000.0 936887000000000.0 435261000.0 8633000000.0 317734000000.0 911210000000.0 36230900000000.0 -4.6 4.464 [-4.6]
1.09648e+16 1.55186e+20 2775680000000.0 275676000000000.0 529828000000000.0 213908000000.0 48609200000000.0 246598000000000.0 28092600.0 154213000000000.0 1314040000000000.0 820665000000000.0 496965000.0 9891950000.0 358288000000.0 995488000000.0 37491200000000.0 -4.58 4.461 [-4.58]
1.09648e+16 1.47173e+20 2945240000000.0 284077000000000.0 525688000000000.0 228226000000.0 50354700000000.0 234905000000000.0 31350000.0 160287000000000.0 1199160000000000.0 717622000000000.0 566425000.0 11312600000.0 403375000000.0 1085950000000.0 38733700000000.0 -4.56 4.457 [-4.56]
1.09648e+16 1.3958e+20 3121380000000.0 292348000000000.0 520911000000000.0 243144000000.0 52076200000000.0 223323000000000.0 34986200.0 166371000000000.0 1092320000000000.0 626458000000000.0 644460000.0 12912400000.0 453407000000.0 1182870000000.0 39953100000000.0 -4.54 4.453 [-4.54]
1.09647e+16 1.32383e+20 3304030000000.0 300459000000000.0 515505000000000.0 258662000000.0 53767200000000.0 211893000000000.0 39047900.0 172451000000000.0 993203000000000.0 545964000000000.0 731964000.0 14709700000.0 508820000000.0 1286490000000.0 41143700000000.0 -4.52 4.449 [-4.52]
1.09647e+16 1.25563e+20 3493100000000.0 308379000000000.0 509481000000000.0 274776000000.0 55421300000000.0 200650000000000.0 43587700.0 178515000000000.0 901487000000000.0 474982000000000.0 829902000.0 16724800000.0 570080000000.0 1397070000000.0 42300300000000.0 -4.5 4.446 [-4.5]
1.09648e+16 1.191e+20 3688570000000.0 316081000000000.0 502858000000000.0 291486000000.0 57032300000000.0 189630000000000.0 48665300.0 184550000000000.0 816811000000000.0 412539000000000.0 939319000.0 18979100000.0 637672000000.0 1514820000000.0 43416900000000.0 -4.48 4.442 [-4.48]
1.09648e+16 1.12974e+20 3890170000000.0 323531000000000.0 495647000000000.0 308778000000.0 58593700000000.0 178863000000000.0 54345700.0 190540000000000.0 738814000000000.0 357708000000000.0 1061300000.0 21495300000.0 712100000000.0 1639950000000.0 44487700000000.0 -4.46 4.438 [-4.46]
1.09648e+16 1.07169e+20 4097770000000.0 330696000000000.0 487863000000000.0 326653000000.0 60100200000000.0 168378000000000.0 60705800.0 196474000000000.0 667132000000000.0 309659000000000.0 1197050000.0 24297900000.0 793903000000.0 1772630000000.0 45507400000000.0 -4.44 4.435 [-4.44]
1.09648e+16 1.01666e+20 4311100000000.0 337545000000000.0 479526000000000.0 345101000000.0 61545800000000.0 158199000000000.0 67830400.0 202338000000000.0 601399000000000.0 267623000000000.0 1347820000.0 27412700000.0 883631000000.0 1913020000000.0 46470100000000.0 -4.42 4.431 [-4.42]
1.09648e+16 9.6451e+19 4529960000000.0 344046000000000.0 470658000000000.0 364119000000.0 62925600000000.0 148349000000000.0 75816400.0 208118000000000.0 541254000000000.0 230917000000000.0 1514960000.0 30867000000.0 981853000000.0 2061210000000.0 47370300000000.0 -4.4 4.427 [-4.4]
1.09648e+16 9.15082e+19 4754020000000.0 350170000000000.0 461285000000000.0 383698000000.0 64234400000000.0 138846000000000.0 84772400.0 213802000000000.0 486335000000000.0 198932000000000.0 1699870000.0 34689100000.0 1089150000000.0 2217290000000.0 48202400000000.0 -4.38 4.424 [-4.38]
