# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
39810700000000.0 1.6745e+18 2229030000.0 361048000000.0 1485870000000.0 161383000.0 56008200000.0 1490630000000.0 10966.7 144439000000.0 18922500000000.0 33923100000000.0 87045.8 1327370.0 70217000.0 363297000.0 44127800000.0 -5.0 4.566 [-5.0]
39810700000000.0 1.58495e+18 2422350000.0 382065000000.0 1512600000000.0 176568000.0 59785000000.0 1476650000000.0 12278.5 154880000000.0 18082900000000.0 30832100000000.0 102877.0 1582980.0 81845100.0 409510000.0 47099500000.0 -4.98 4.561 [-4.98]
39810700000000.0 1.50046e+18 2629570000.0 403802000000.0 1537960000000.0 193041000.0 63751700000.0 1460580000000.0 13746.7 165877000000.0 17243500000000.0 27970400000000.0 121376.0 1884040.0 95240700.0 460860000.0 50196900000.0 -4.96 4.557 [-4.96]
39810700000000.0 1.42072e+18 2851430000.0 426251000000.0 1561900000000.0 210884000.0 67909900000.0 1442470000000.0 15388.9 177432000000.0 16407600000000.0 25326400000000.0 142954.0 2237890.0 110647000.0 517824000.0 53419000000.0 -4.94 4.552 [-4.94]
39810700000000.0 1.34543e+18 3088720000.0 449403000000.0 1584370000000.0 230184000.0 72260200000.0 1422350000000.0 17224.7 189545000000.0 15578500000000.0 22888700000000.0 168078.0 2652990.0 128336000.0 580915000.0 56764200000.0 -4.92 4.547 [-4.92]
39810700000000.0 1.27433e+18 3342230000.0 473247000000.0 1605320000000.0 251027000.0 76802100000.0 1400270000000.0 19275.7 202216000000.0 14759200000000.0 20645900000000.0 197278.0 3138940.0 148613000.0 650679000.0 60230400000.0 -4.9 4.543 [-4.9]
39810700000000.0 1.2072e+18 3613110000.0 497781000000.0 1624690000000.0 273539000.0 81538600000.0 1376310000000.0 21570.8 215453000000.0 13952600000000.0 18587700000000.0 231184.0 3706770.0 171818000.0 727660000.0 63813200000.0 -4.88 4.538 [-4.88]
39810700000000.0 1.14376e+18 3901890000.0 522974000000.0 1642440000000.0 297774000.0 86461700000.0 1350520000000.0 24132.6 229234000000.0 13161300000000.0 16702200000000.0 270455.0 4368880.0 198331000.0 812502000.0 67510000000.0 -4.86 4.534 [-4.86]
39810700000000.0 1.08378e+18 4209290000.0 548802000000.0 1658540000000.0 323810000.0 91565400000.0 1322990000000.0 26989.3 243543000000.0 12387800000000.0 14978700000000.0 315849.0 5139370.0 228573000.0 905871000.0 71316400000.0 -4.84 4.53 [-4.84]
39810700000000.0 1.02705e+18 4536150000.0 575238000000.0 1672920000000.0 351731000.0 96843400000.0 1293800000000.0 30173.7 258366000000.0 11634400000000.0 13406800000000.0 368228.0 6034130.0 263013000.0 1008450000.0 75226700000.0 -4.82 4.525 [-4.82]
