H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
9.33254e+14	3.93940e+19	5.11801e+10	8.44170e+12	3.53599e+13	3.64193e+09	1.29825e+12	3.52577e+13	2.45725e+05	3.43263e+12	4.48255e+14	7.92531e+14	1.98144e+06	3.11085e+07	1.65419e+09	8.66684e+09	1.04720e+12
9.33254e+14	3.72897e+19	5.56208e+10	8.93257e+12	3.59926e+13	3.98604e+09	1.38610e+12	3.49236e+13	2.75244e+05	3.68045e+12	4.28121e+14	7.20469e+14	2.34187e+06	3.70892e+07	1.92770e+09	9.76743e+09	1.11757e+12
9.33255e+14	3.53043e+19	6.03811e+10	9.44023e+12	3.65929e+13	4.35941e+09	1.47838e+12	3.45402e+13	3.08295e+05	3.94146e+12	4.08028e+14	6.53752e+14	2.76308e+06	4.41317e+07	2.24273e+09	1.09902e+10	1.19090e+12
9.33253e+14	3.34289e+19	6.54718e+10	9.96423e+12	3.71594e+13	4.76325e+09	1.57502e+12	3.41081e+13	3.45203e+05	4.21542e+12	3.88052e+14	5.92069e+14	3.25407e+06	5.24069e+07	2.60499e+09	1.23470e+10	1.26719e+12
9.33253e+14	3.16593e+19	7.09225e+10	1.05049e+13	3.76910e+13	5.20079e+09	1.67623e+12	3.36289e+13	3.86561e+05	4.50300e+12	3.68272e+14	5.35216e+14	3.82611e+06	6.21128e+07	3.02084e+09	1.38490e+10	1.34637e+12
9.33253e+14	2.99881e+19	7.67485e+10	1.10618e+13	3.81864e+13	5.67370e+09	1.78196e+12	3.31038e+13	4.32822e+05	4.80394e+12	3.48752e+14	4.82906e+14	4.49120e+06	7.34741e+07	3.49745e+09	1.55094e+10	1.42839e+12
9.33253e+14	2.84096e+19	8.29713e+10	1.16348e+13	3.86445e+13	6.18428e+09	1.89220e+12	3.25341e+13	4.84583e+05	5.11830e+12	3.29561e+14	4.34877e+14	5.26335e+06	8.67469e+07	4.04280e+09	1.73416e+10	1.51317e+12
9.33253e+14	2.69175e+19	8.96040e+10	1.22230e+13	3.90640e+13	6.73393e+09	2.00677e+12	3.19214e+13	5.42373e+05	5.44558e+12	3.10759e+14	3.90862e+14	6.15760e+06	1.02220e+08	4.66575e+09	1.93607e+10	1.60063e+12
9.33255e+14	2.55054e+19	9.66508e+10	1.28255e+13	3.94440e+13	7.32306e+09	2.12538e+12	3.12672e+13	6.06663e+05	5.78495e+12	2.92397e+14	3.50593e+14	7.19014e+06	1.20218e+08	5.37624e+09	2.15841e+10	1.69069e+12
9.33254e+14	2.41712e+19	1.04158e+11	1.34427e+13	3.97834e+13	7.95648e+09	2.24823e+12	3.05741e+13	6.78575e+05	6.13719e+12	2.74531e+14	3.13876e+14	8.38286e+06	1.41119e+08	6.18514e+09	2.40248e+10	1.78317e+12
9.33254e+14	2.29090e+19	1.12129e+11	1.40734e+13	4.00813e+13	8.63460e+09	2.37497e+12	2.98443e+13	7.58743e+05	6.50131e+12	2.57205e+14	2.80454e+14	9.75656e+06	1.65337e+08	7.10462e+09	2.67019e+10	1.87793e+12
9.33253e+14	2.17146e+19	1.20582e+11	1.47166e+13	4.03368e+13	9.35901e+09	2.50533e+12	2.90800e+13	8.48071e+05	6.87678e+12	2.40457e+14	2.50099e+14	1.13357e+07	1.93342e+08	8.14804e+09	2.96334e+10	1.97481e+12
9.33254e+14	2.05842e+19	1.29533e+11	1.53714e+13	4.05490e+13	1.01313e+10	2.63903e+12	2.82842e+13	9.47562e+05	7.26302e+12	2.24322e+14	2.22593e+14	1.31473e+07	2.25658e+08	9.33011e+09	3.28384e+10	2.07362e+12
9.33253e+14	1.95140e+19	1.39002e+11	1.60369e+13	4.07171e+13	1.09532e+10	2.77581e+12	2.74595e+13	1.05839e+06	7.65954e+12	2.08823e+14	1.97721e+14	1.52225e+07	2.62881e+08	1.06673e+10	3.63372e+10	2.17415e+12
9.33253e+14	1.85007e+19	1.48997e+11	1.67116e+13	4.08405e+13	1.18255e+10	2.91523e+12	2.66093e+13	1.18172e+06	8.06543e+12	1.93990e+14	1.75287e+14	1.75936e+07	3.05647e+08	1.21767e+10	4.01497e+10	2.27614e+12
9.33253e+14	1.75411e+19	1.59533e+11	1.73941e+13	4.09184e+13	1.27492e+10	3.05689e+12	2.57366e+13	1.31896e+06	8.47997e+12	1.79834e+14	1.55096e+14	2.02978e+07	3.54687e+08	1.38781e+10	4.42979e+10	2.37933e+12
9.33253e+14	1.66320e+19	1.70619e+11	1.80830e+13	4.09501e+13	1.37251e+10	3.20034e+12	2.48448e+13	1.47164e+06	8.90234e+12	1.66367e+14	1.36965e+14	2.33754e+07	4.10802e+08	1.57923e+10	4.88041e+10	2.48344e+12
9.33253e+14	1.57708e+19	1.82269e+11	1.87767e+13	4.09353e+13	1.47541e+10	3.34516e+12	2.39375e+13	1.64155e+06	9.33180e+12	1.53593e+14	1.20720e+14	2.68717e+07	4.74877e+08	1.79424e+10	5.36908e+10	2.58816e+12
9.33253e+14	1.49549e+19	1.94493e+11	1.94735e+13	4.08735e+13	1.58369e+10	3.49086e+12	2.30181e+13	1.83067e+06	9.76750e+12	1.41513e+14	1.06199e+14	3.08358e+07	5.47886e+08	2.03532e+10	5.89809e+10	2.69316e+12
9.33253e+14	1.41818e+19	2.07297e+11	2.01717e+13	4.07643e+13	1.69738e+10	3.63692e+12	2.20903e+13	2.04119e+06	1.02085e+13	1.30121e+14	9.32514e+13	3.53215e+07	6.30895e+08	2.30513e+10	6.46978e+10	2.79809e+12
9.33253e+14	1.34492e+19	2.20689e+11	2.08692e+13	4.06074e+13	1.81651e+10	3.78281e+12	2.11577e+13	2.27560e+06	1.06539e+13	1.19409e+14	8.17341e+13	4.03874e+07	7.25073e+08	2.60658e+10	7.08652e+10	2.90257e+12
9.33254e+14	1.27549e+19	2.34670e+11	2.15638e+13	4.04027e+13	1.94106e+10	3.92799e+12	2.02239e+13	2.53672e+06	1.11027e+13	1.09365e+14	7.15114e+13	4.60966e+07	8.31690e+08	2.94275e+10	7.75067e+10	3.00621e+12
