# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
933254000000000.0 3.9394e+19 51180100000.0 8441700000000.0 35359900000000.0 3641930000.0 1298250000000.0 35257700000000.0 245725.0 3432630000000.0 448255000000000.0 792531000000000.0 1981440.0 31108500.0 1654190000.0 8666840000.0 1047200000000.0 -5.0 4.561 [-5.0]
933254000000000.0 3.72897e+19 55620800000.0 8932570000000.0 35992600000000.0 3986040000.0 1386100000000.0 34923600000000.0 275244.0 3680450000000.0 428121000000000.0 720469000000000.0 2341870.0 37089200.0 1927700000.0 9767430000.0 1117570000000.0 -4.98 4.557 [-4.98]
933255000000000.0 3.53043e+19 60381100000.0 9440230000000.0 36592900000000.0 4359410000.0 1478380000000.0 34540200000000.0 308295.0 3941460000000.0 408028000000000.0 653752000000000.0 2763080.0 44131700.0 2242730000.0 10990200000.0 1190900000000.0 -4.96 4.552 [-4.96]
933253000000000.0 3.34289e+19 65471800000.0 9964230000000.0 37159400000000.0 4763250000.0 1575020000000.0 34108100000000.0 345203.0 4215420000000.0 388052000000000.0 592069000000000.0 3254070.0 52406900.0 2604990000.0 12347000000.0 1267190000000.0 -4.94 4.547 [-4.94]
933253000000000.0 3.16593e+19 70922500000.0 10504900000000.0 37691000000000.0 5200790000.0 1676230000000.0 33628900000000.0 386561.0 4503000000000.0 368272000000000.0 535216000000000.0 3826110.0 62112800.0 3020840000.0 13849000000.0 1346370000000.0 -4.92 4.543 [-4.92]
933253000000000.0 2.99881e+19 76748500000.0 11061800000000.0 38186400000000.0 5673700000.0 1781960000000.0 33103800000000.0 432822.0 4803940000000.0 348752000000000.0 482906000000000.0 4491200.0 73474100.0 3497450000.0 15509400000.0 1428390000000.0 -4.9 4.538 [-4.9]
933253000000000.0 2.84096e+19 82971300000.0 11634800000000.0 38644500000000.0 6184280000.0 1892200000000.0 32534100000000.0 484583.0 5118300000000.0 329561000000000.0 434877000000000.0 5263350.0 86746900.0 4042800000.0 17341600000.0 1513170000000.0 -4.88 4.534 [-4.88]
933253000000000.0 2.69175e+19 89604000000.0 12223000000000.0 39064000000000.0 6733930000.0 2006770000000.0 31921400000000.0 542373.0 5445580000000.0 310759000000000.0 390862000000000.0 6157600.0 102220000.0 4665750000.0 19360700000.0 1600630000000.0 -4.86 4.53 [-4.86]
933255000000000.0 2.55054e+19 96650800000.0 12825500000000.0 39444000000000.0 7323060000.0 2125380000000.0 31267200000000.0 606663.0 5784950000000.0 292397000000000.0 350593000000000.0 7190140.0 120218000.0 5376240000.0 21584100000.0 1690690000000.0 -4.84 4.525 [-4.84]
933254000000000.0 2.41712e+19 104158000000.0 13442700000000.0 39783400000000.0 7956480000.0 2248230000000.0 30574100000000.0 678575.0 6137190000000.0 274531000000000.0 313876000000000.0 8382860.0 141119000.0 6185140000.0 24024800000.0 1783170000000.0 -4.82 4.521 [-4.82]
