H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.09648e+16	2.77461e+20	1.23485e+13	5.97805e+15	5.55470e+16	8.24861e+11	9.67347e+14	4.86340e+16	4.14222e+07	3.19671e+15	4.48287e+17	3.30275e+17	6.81923e+08	3.31410e+10	4.48569e+12	7.19079e+13	3.54744e+15
1.09649e+16	2.60158e+20	1.33745e+13	6.23415e+15	5.62396e+16	9.38530e+11	1.05904e+15	4.74302e+16	5.12541e+07	3.52355e+15	4.16187e+17	2.91357e+17	7.77936e+08	3.66685e+10	4.91506e+12	7.92079e+13	3.67213e+15
1.09649e+16	2.43732e+20	1.45230e+13	6.50233e+15	5.68762e+16	1.06991e+12	1.15834e+15	4.61092e+16	6.35891e+07	3.87696e+15	3.85186e+17	2.56131e+17	8.89150e+08	4.05696e+10	5.38152e+12	8.73159e+13	3.79921e+15
1.09648e+16	2.28065e+20	1.58089e+13	6.78266e+15	5.74486e+16	1.22184e+12	1.26566e+15	4.46697e+16	7.91059e+07	4.25836e+15	3.55244e+17	2.24190e+17	1.01790e+09	4.48821e+10	5.88755e+12	9.63380e+13	3.92826e+15
1.09649e+16	2.13177e+20	1.72758e+13	7.08279e+15	5.79542e+16	1.39903e+12	1.38196e+15	4.31203e+16	9.87096e+07	4.66984e+15	3.26463e+17	1.95392e+17	1.16902e+09	4.97555e+10	6.44413e+12	1.06390e+14	4.05893e+15
1.09648e+16	1.98958e+20	1.89608e+13	7.40609e+15	5.83801e+16	1.60640e+12	1.50779e+15	4.14565e+16	1.23601e+08	5.11221e+15	2.98823e+17	1.69427e+17	1.34693e+09	5.52943e+10	7.05804e+12	1.17620e+14	4.19064e+15
1.09650e+16	1.85358e+20	2.09088e+13	7.75734e+15	5.87125e+16	1.84925e+12	1.64333e+15	3.96823e+16	1.55207e+08	5.58457e+15	2.72351e+17	1.46085e+17	1.55747e+09	6.16764e+10	7.74204e+12	1.30224e+14	4.32329e+15
1.09648e+16	1.72307e+20	2.32036e+13	8.14789e+15	5.89334e+16	2.13648e+12	1.78965e+15	3.77934e+16	1.95704e+08	6.08780e+15	2.47037e+17	1.25160e+17	1.81006e+09	6.92013e+10	8.51588e+12	1.44391e+14	4.45531e+15
1.09647e+16	1.59728e+20	2.59399e+13	8.58865e+15	5.90267e+16	2.47720e+12	1.94715e+15	3.57920e+16	2.47723e+08	6.61996e+15	2.22870e+17	1.06422e+17	2.11577e+09	7.82780e+10	9.40928e+12	1.60513e+14	4.58722e+15
1.09647e+16	1.47493e+20	2.93097e+13	9.10624e+15	5.89694e+16	2.88907e+12	2.11828e+15	3.36607e+16	3.15817e+08	7.18411e+15	1.99726e+17	8.96206e+16	2.49488e+09	8.96733e+10	1.04766e+13	1.79073e+14	4.71797e+15
1.09648e+16	1.35498e+20	3.35706e+13	9.73073e+15	5.87111e+16	3.39091e+12	2.30329e+15	3.13882e+16	4.05873e+08	7.77313e+15	1.77560e+17	7.45886e+16	2.97682e+09	1.04662e+11	1.18041e+13	2.00756e+14	4.84660e+15
1.09648e+16	1.23492e+20	3.92232e+13	1.05172e+16	5.81598e+16	4.01479e+12	2.50236e+15	2.89329e+16	5.28202e+08	8.37399e+15	1.56145e+17	6.10767e+16	3.61759e+09	1.25876e+11	1.35623e+13	2.26926e+14	4.97194e+15
1.09647e+16	1.11238e+20	4.71956e+13	1.15554e+16	5.71743e+16	4.80763e+12	2.71367e+15	2.62578e+16	7.00703e+08	8.96309e+15	1.35224e+17	4.88854e+16	4.52647e+09	1.58806e+11	1.60506e+13	2.59575e+14	5.08957e+15
1.09650e+16	9.93644e+19	5.77603e+13	1.28037e+16	5.57271e+16	5.75407e+12	2.91991e+15	2.35403e+16	9.33741e+08	9.49645e+15	1.15637e+17	3.83585e+16	5.75049e+09	2.06125e+11	1.92444e+13	2.96777e+14	5.18654e+15
1.09652e+16	8.82962e+19	7.10407e+13	1.41952e+16	5.38751e+16	6.83185e+12	3.10962e+15	2.09220e+16	1.23893e+09	9.96069e+15	9.77774e+16	2.95214e+16	7.33693e+09	2.70971e+11	2.30684e+13	3.36846e+14	5.25458e+15
1.09649e+16	7.80210e+19	8.80059e+13	1.57268e+16	5.15151e+16	8.03250e+12	3.26587e+15	1.84316e+16	1.64181e+09	1.03169e+16	8.16464e+16	2.23698e+16	9.51871e+09	3.65852e+11	2.78508e+13	3.81823e+14	5.28858e+15
1.09653e+16	6.83359e+19	1.09827e+14	1.73953e+16	4.86518e+16	9.38819e+12	3.39083e+15	1.60507e+16	2.19071e+09	1.05972e+16	6.67353e+16	1.64472e+16	1.25557e+10	5.04236e+11	3.36592e+13	4.32186e+14	5.28163e+15
1.09650e+16	5.95896e+19	1.36604e+14	1.90338e+16	4.53648e+16	1.08246e+13	3.46438e+15	1.38954e+16	2.92668e+09	1.07958e+16	5.34809e+16	1.18185e+16	1.67950e+10	7.04668e+11	4.04121e+13	4.86582e+14	5.22487e+15
1.09648e+16	5.16373e+19	1.69677e+14	2.05906e+16	4.16376e+16	1.23499e+13	3.48217e+15	1.19389e+16	3.95247e+09	1.09442e+16	4.16570e+16	8.25295e+15	2.29143e+10	9.99404e+11	4.82664e+13	5.46001e+14	5.10924e+15
1.09651e+16	4.49455e+19	2.05731e+14	2.17767e+16	3.78741e+16	1.38321e+13	3.44410e+15	1.03014e+16	5.29771e+09	1.10738e+16	3.20667e+16	5.73428e+15	3.10994e+10	1.39446e+12	5.64547e+13	6.03775e+14	4.94567e+15
1.09648e+16	3.90329e+19	2.45216e+14	2.26734e+16	3.40573e+16	1.53625e+13	3.36934e+15	8.84839e+15	7.10677e+09	1.12194e+16	2.40238e+16	3.85632e+15	4.19092e+10	1.91424e+12	6.50858e+13	6.60602e+14	4.73659e+15
1.09648e+16	3.40238e+19	2.85859e+14	2.32024e+16	3.03940e+16	1.69180e+13	3.26930e+15	7.60233e+15	9.48954e+09	1.14094e+16	1.76957e+16	2.55578e+15	5.57008e+10	2.57711e+12	7.38993e+13	7.13633e+14	4.49315e+15
1.09648e+16	2.97264e+19	3.26744e+14	2.33978e+16	2.69215e+16	1.85346e+13	3.15343e+15	6.51325e+15	1.26243e+10	1.16504e+16	1.27546e+16	1.65557e+15	7.29797e+10	3.41227e+12	8.29042e+13	7.62623e+14	4.22164e+15
1.09648e+16	2.62053e+19	3.64493e+14	2.32614e+16	2.38316e+16	2.02168e+13	3.04043e+15	5.58767e+15	1.66197e+10	1.19449e+16	9.20460e+15	1.08259e+15	9.36623e+10	4.43049e+12	9.18620e+13	8.04786e+14	3.94041e+15
1.09648e+16	2.34478e+19	3.95991e+14	2.28795e+16	2.12682e+16	2.19266e+13	2.94607e+15	4.83185e+15	2.13487e+10	1.22445e+16	6.83492e+15	7.38278e+14	1.16403e+11	5.58569e+12	1.00323e+14	8.37346e+14	3.67544e+15
1.09648e+16	2.12303e+19	4.21891e+14	2.23488e+16	1.91202e+16	2.36880e+13	2.86877e+15	4.20417e+15	2.68681e+10	1.25232e+16	5.22643e+15	5.25090e+14	1.40952e+11	6.88685e+12	1.08390e+14	8.61779e+14	3.42900e+15
1.09647e+16	1.93260e+19	4.44065e+14	2.17217e+16	1.72241e+16	2.55499e+13	2.79951e+15	3.65801e+15	3.34605e+10	1.27773e+16	4.04094e+15	3.79800e+14	1.67934e+11	8.38955e+12	1.16382e+14	8.80934e+14	3.19169e+15
1.09649e+16	1.77044e+19	4.62427e+14	2.10388e+16	1.55798e+16	2.74712e+13	2.73802e+15	3.19279e+15	4.10797e+10	1.29886e+16	3.17471e+15	2.80862e+14	1.96656e+11	1.00670e+13	1.24024e+14	8.94262e+14	2.97031e+15
1.09648e+16	1.62452e+19	4.78186e+14	2.03069e+16	1.40821e+16	2.95223e+13	2.67871e+15	2.77803e+15	5.02164e+10	1.31692e+16	2.49683e+15	2.08243e+14	2.28110e+11	1.20176e+13	1.31762e+14	9.04219e+14	2.75412e+15
1.09648e+16	1.49726e+19	4.91145e+14	1.95623e+16	1.27681e+16	3.16279e+13	2.62338e+15	2.42316e+15	6.06885e+10	1.33031e+16	1.98663e+15	1.56710e+14	2.61135e+11	1.41734e+13	1.39139e+14	9.09628e+14	2.55288e+15
1.09647e+16	1.38476e+19	5.01720e+14	1.88139e+16	1.16049e+16	3.37785e+13	2.56987e+15	2.11780e+15	7.26335e+10	1.33922e+16	1.59483e+15	1.19264e+14	2.95610e+11	1.65330e+13	1.46038e+14	9.10780e+14	2.36527e+15
1.09648e+16	1.28331e+19	5.10339e+14	1.80643e+16	1.05570e+16	3.60035e+13	2.51696e+15	1.85075e+15	8.64168e+10	1.34439e+16	1.28602e+15	9.12830e+13	3.31817e+11	1.91516e+13	1.52649e+14	9.08671e+14	2.18767e+15
1.09648e+16	1.19163e+19	5.17183e+14	1.73213e+16	9.61368e+15	3.82888e+13	2.46418e+15	1.61786e+15	1.02204e+11	1.34587e+16	1.04168e+15	7.02490e+13	3.69462e+11	2.20263e+13	1.58873e+14	9.03407e+14	2.02050e+15
1.09647e+16	1.10829e+19	5.22489e+14	1.65895e+16	8.76128e+15	4.06357e+13	2.41125e+15	1.41422e+15	1.20262e+11	1.34391e+16	8.46738e+14	5.42830e+13	4.08400e+11	2.51728e+13	1.64712e+14	8.95282e+14	1.86310e+15
1.09648e+16	1.03234e+19	5.26480e+14	1.58740e+16	7.99030e+15	4.30424e+13	2.35808e+15	1.23621e+15	1.40867e+11	1.33879e+16	6.90448e+14	4.20866e+13	4.48419e+11	2.86009e+13	1.70157e+14	8.84615e+14	1.71526e+15
1.09648e+16	9.62890e+18	5.29245e+14	1.51760e+16	7.29237e+15	4.54889e+13	2.30422e+15	1.08072e+15	1.64266e+11	1.33060e+16	5.64652e+14	3.27355e+13	4.89200e+11	3.23011e+13	1.75087e+14	8.71406e+14	1.57686e+15
1.09648e+16	8.99281e+18	5.31062e+14	1.45004e+16	6.65922e+15	4.79751e+13	2.25004e+15	9.44808e+14	1.90789e+11	1.31967e+16	4.62987e+14	2.55346e+13	5.30538e+11	3.62858e+13	1.79579e+14	8.56118e+14	1.44742e+15
1.09647e+16	8.40665e+18	5.31940e+14	1.38450e+16	6.08277e+15	5.05016e+13	2.19505e+15	8.25657e+14	2.20841e+11	1.30613e+16	3.80256e+14	1.99469e+13	5.72200e+11	4.05666e+13	1.83582e+14	8.38838e+14	1.32620e+15
1.09648e+16	7.86889e+18	5.32157e+14	1.32156e+16	5.55997e+15	5.30555e+13	2.13983e+15	7.21833e+14	2.54618e+11	1.29031e+16	3.13148e+14	1.56233e+13	6.13817e+11	4.51086e+13	1.87052e+14	8.19849e+14	1.21366e+15
