H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.98107e+13	1.03934e+18	6.04866e+10	2.42368e+13	1.64932e+14	3.88831e+09	3.50652e+12	1.42671e+14	1.77424e+05	9.84987e+12	1.64876e+15	1.73741e+15	1.79411e+06	7.01309e+07	7.41934e+09	9.32748e+10	6.64162e+12
3.98107e+13	9.76109e+17	6.40734e+10	2.50738e+13	1.66992e+14	4.28810e+09	3.77798e+12	1.40210e+14	2.13491e+05	1.08135e+13	1.55637e+15	1.54877e+15	2.06578e+06	7.96664e+07	8.42289e+09	1.06316e+11	7.08269e+12
3.98107e+13	9.16472e+17	6.79575e+10	2.59155e+13	1.68868e+14	4.73850e+09	4.06919e+12	1.37519e+14	2.57854e+05	1.18568e+13	1.46488e+15	1.37646e+15	2.37984e+06	9.03206e+07	9.53973e+09	1.21027e+11	7.54003e+12
3.98107e+13	8.60203e+17	7.21821e+10	2.67636e+13	1.70552e+14	5.24698e+09	4.38124e+12	1.34598e+14	3.12505e+05	1.29823e+13	1.37450e+15	1.21964e+15	2.74348e+06	1.02218e+08	1.07798e+10	1.37604e+11	8.01294e+12
3.98107e+13	8.07085e+17	7.68002e+10	2.76209e+13	1.72036e+14	5.82241e+09	4.71522e+12	1.31450e+14	3.79946e+05	1.41927e+13	1.28557e+15	1.07726e+15	3.16532e+06	1.15506e+08	1.21537e+10	1.56260e+11	8.50043e+12
3.98107e+13	7.56808e+17	8.18535e+10	2.84867e+13	1.73312e+14	6.47460e+09	5.07224e+12	1.28072e+14	4.63409e+05	1.54931e+13	1.19846e+15	9.47786e+14	3.65458e+06	1.30309e+08	1.36716e+10	1.77282e+11	9.00236e+12
3.98107e+13	7.09241e+17	8.74282e+10	2.93685e+13	1.74372e+14	7.21627e+09	5.45348e+12	1.24468e+14	5.66816e+05	1.68838e+13	1.11335e+15	8.30698e+14	4.22411e+06	1.46851e+08	1.53467e+10	2.00931e+11	9.51702e+12
3.98107e+13	6.64176e+17	9.36092e+10	3.02716e+13	1.75203e+14	8.06194e+09	5.86009e+12	1.20638e+14	6.95161e+05	1.83662e+13	1.03048e+15	7.25064e+14	4.88860e+06	1.65372e+08	1.71933e+10	2.27536e+11	1.00433e+13
3.98107e+13	6.21412e+17	1.00505e+11	3.12036e+13	1.75792e+14	9.02890e+09	6.29315e+12	1.16583e+14	8.54750e+05	1.99405e+13	9.50036e+14	6.29987e+14	5.66623e+06	1.86178e+08	1.92283e+10	2.57476e+11	1.05797e+13
3.98107e+13	5.80808e+17	1.08261e+11	3.21773e+13	1.76122e+14	1.01383e+10	6.75378e+12	1.12305e+14	1.05352e+06	2.16054e+13	8.72255e+14	5.44729e+14	6.58026e+06	2.09707e+08	2.14744e+10	2.91162e+11	1.11244e+13
3.98107e+13	5.42086e+17	1.17044e+11	3.32035e+13	1.76171e+14	1.14158e+10	7.24314e+12	1.07795e+14	1.30195e+06	2.33601e+13	7.97187e+14	4.68285e+14	7.65824e+06	2.36452e+08	2.39573e+10	3.29180e+11	1.16764e+13
3.98107e+13	5.05047e+17	1.27105e+11	3.43041e+13	1.75913e+14	1.28945e+10	7.76275e+12	1.03043e+14	1.61360e+06	2.52010e+13	7.24898e+14	3.99947e+14	8.93764e+06	2.67191e+08	2.67169e+10	3.72204e+11	1.22342e+13
3.98107e+13	4.69539e+17	1.38784e+11	3.55104e+13	1.75310e+14	1.46144e+10	8.31339e+12	9.80468e+13	2.00586e+06	2.71202e+13	6.55524e+14	3.39080e+14	1.04688e+07	3.03117e+08	2.98138e+10	4.20990e+11	1.27950e+13
3.98107e+13	4.35397e+17	1.52554e+11	3.68653e+13	1.74313e+14	1.66252e+10	8.89548e+12	9.27968e+13	2.50159e+06	2.91058e+13	5.89159e+14	2.85044e+14	1.23202e+07	3.46041e+08	3.33412e+10	4.76471e+11	1.33556e+13
3.98107e+13	4.02375e+17	1.69086e+11	3.84272e+13	1.72850e+14	1.89922e+10	9.50925e+12	8.72722e+13	3.13208e+06	3.11403e+13	5.25765e+14	2.37187e+14	1.45879e+07	3.98739e+08	3.74437e+10	5.39942e+11	1.39130e+13
3.98107e+13	3.70169e+17	1.89406e+11	4.02826e+13	1.70816e+14	2.18027e+10	1.01543e+13	8.14376e+13	3.94140e+06	3.31975e+13	4.65219e+14	1.94857e+14	1.74151e+07	4.65784e+08	4.23597e+10	6.13238e+11	1.44635e+13
3.98107e+13	3.38335e+17	2.15174e+11	4.25644e+13	1.68037e+14	2.51803e+10	1.08282e+13	7.52272e+13	4.99530e+06	3.52324e+13	4.07228e+14	1.57382e+14	2.10309e+07	5.55173e+08	4.84997e+10	6.99176e+11	1.50030e+13
3.98107e+13	3.06280e+17	2.49248e+11	4.54861e+13	1.64224e+14	2.93038e+10	1.15240e+13	6.85394e+13	6.39744e+06	3.71654e+13	3.51323e+14	1.24127e+14	2.58349e+07	6.82084e+08	5.66102e+10	8.02278e+11	1.55243e+13
