# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
39810700000000.0 1.03934e+18 60486600000.0 24236800000000.0 164932000000000.0 3888310000.0 3506520000000.0 142671000000000.0 177424.0 9849870000000.0 1648760000000000.0 1737410000000000.0 1794110.0 70130900.0 7419340000.0 93274800000.0 6641620000000.0 -5.0 [-5.0]
39810700000000.0 9.76109e+17 64073400000.0 25073800000000.0 166992000000000.0 4288100000.0 3777980000000.0 140210000000000.0 213491.0 10813500000000.0 1556370000000000.0 1548770000000000.0 2065780.0 79666400.0 8422890000.0 106316000000.0 7082690000000.0 -4.98 [-4.98]
39810700000000.0 9.16472e+17 67957500000.0 25915500000000.0 168868000000000.0 4738500000.0 4069190000000.0 137519000000000.0 257854.0 11856800000000.0 1464880000000000.0 1376460000000000.0 2379840.0 90320600.0 9539730000.0 121027000000.0 7540030000000.0 -4.96 [-4.96]
39810700000000.0 8.60203e+17 72182100000.0 26763600000000.0 170552000000000.0 5246980000.0 4381240000000.0 134598000000000.0 312505.0 12982300000000.0 1374500000000000.0 1219640000000000.0 2743480.0 102218000.0 10779800000.0 137604000000.0 8012940000000.0 -4.94 [-4.94]
39810700000000.0 8.07085e+17 76800200000.0 27620900000000.0 172036000000000.0 5822410000.0 4715220000000.0 131450000000000.0 379946.0 14192700000000.0 1285570000000000.0 1077260000000000.0 3165320.0 115506000.0 12153700000.0 156260000000.0 8500430000000.0 -4.92 [-4.92]
39810700000000.0 7.56808e+17 81853500000.0 28486700000000.0 173312000000000.0 6474600000.0 5072240000000.0 128072000000000.0 463409.0 15493100000000.0 1198460000000000.0 947786000000000.0 3654580.0 130309000.0 13671600000.0 177282000000.0 9002360000000.0 -4.9 [-4.9]
39810700000000.0 7.09241e+17 87428200000.0 29368500000000.0 174372000000000.0 7216270000.0 5453480000000.0 124468000000000.0 566816.0 16883800000000.0 1113350000000000.0 830698000000000.0 4224110.0 146851000.0 15346700000.0 200931000000.0 9517020000000.0 -4.88 [-4.88]
39810700000000.0 6.64176e+17 93609200000.0 30271600000000.0 175203000000000.0 8061940000.0 5860090000000.0 120638000000000.0 695161.0 18366200000000.0 1030480000000000.0 725064000000000.0 4888600.0 165372000.0 17193300000.0 227536000000.0 10043300000000.0 -4.86 [-4.86]
39810700000000.0 6.21412e+17 100505000000.0 31203600000000.0 175792000000000.0 9028900000.0 6293150000000.0 116583000000000.0 854750.0 19940500000000.0 950036000000000.0 629987000000000.0 5666230.0 186178000.0 19228300000.0 257476000000.0 10579700000000.0 -4.84 [-4.84]
39810700000000.0 5.80808e+17 108261000000.0 32177300000000.0 176122000000000.0 10138300000.0 6753780000000.0 112305000000000.0 1053520.0 21605400000000.0 872255000000000.0 544729000000000.0 6580260.0 209707000.0 21474400000.0 291162000000.0 11124400000000.0 -4.82 [-4.82]
39810700000000.0 5.42086e+17 117044000000.0 33203500000000.0 176171000000000.0 11415800000.0 7243140000000.0 107795000000000.0 1301950.0 23360100000000.0 797187000000000.0 468285000000000.0 7658240.0 236452000.0 23957300000.0 329180000000.0 11676400000000.0 -4.8 [-4.8]
