# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
933251000000000.0 2.39531e+19 1390040000000.0 584119000000000.0 4221430000000000.0 88536400000.0 84679200000000.0 3556000000000000.0 4127450.0 243075000000000.0 3.89033e+16 3.71254e+16 40017700.0 1599420000.0 179957000000.0 2438370000000.0 166163000000000.0 -5.0 [-5.0]
933251000000000.0 2.24832e+19 1478740000000.0 604677000000000.0 4272800000000000.0 98180300000.0 91394800000000.0 3486340000000000.0 5004820.0 267024000000000.0 3.65993e+16 3.29493e+16 46195500.0 1813270000.0 203745000000.0 2776280000000.0 176932000000000.0 -4.98 [-4.98]
933253000000000.0 2.10964e+19 1575550000000.0 625471000000000.0 4319170000000000.0 109103000000.0 98603600000000.0 3410600000000000.0 6089570.0 292936000000000.0 3.4327e+16 2.91478e+16 53368900.0 2052420000.0 230166000000.0 3157160000000.0 188076000000000.0 -4.96 [-4.96]
933253000000000.0 1.97868e+19 1681580000000.0 646543000000000.0 4360200000000000.0 121493000000.0 106325000000000.0 3328740000000000.0 7432180.0 320846000000000.0 3.20933e+16 2.56987e+16 61711000.0 2319720000.0 259438000000.0 3586110000000.0 199575000000000.0 -4.94 [-4.94]
933253000000000.0 1.85491e+19 1798360000000.0 667970000000000.0 4395570000000000.0 135582000000.0 114579000000000.0 3240760000000000.0 9095810.0 350774000000000.0 2.99063e+16 2.25795e+16 71435500.0 2618640000.0 291802000000.0 4068870000000.0 211408000000000.0 -4.92 [-4.92]
933253000000000.0 1.73778e+19 1927440000000.0 689873000000000.0 4425110000000000.0 151638000000.0 123397000000000.0 3146830000000000.0 11161000.0 382804000000000.0 2.77715e+16 1.97629e+16 82792900.0 2953410000.0 327546000000.0 4612180000000.0 223554000000000.0 -4.9 [-4.9]
933252000000000.0 1.62675e+19 2071080000000.0 712421000000000.0 4448590000000000.0 170003000000.0 132817000000000.0 3047050000000000.0 13731800.0 417000000000000.0 2.56931e+16 1.72247e+16 96090400.0 3329330000.0 367007000000.0 5224020000000.0 235992000000000.0 -4.88 [-4.88]
933250000000000.0 1.52147e+19 2231960000000.0 735842000000000.0 4465450000000000.0 191054000000.0 142855000000000.0 2941480000000000.0 16934200.0 453324000000000.0 2.36787e+16 1.49462e+16 111722000.0 3753820000.0 410610000000.0 5912470000000.0 248680000000000.0 -4.86 [-4.86]
933251000000000.0 1.4215e+19 2413490000000.0 760431000000000.0 4475240000000000.0 215256000000.0 153536000000000.0 2830220000000000.0 20930300.0 491742000000000.0 2.17334e+16 1.29069e+16 130176000.0 4236400000.0 458889000000.0 6687320000000.0 261577000000000.0 -4.84 [-4.84]
933250000000000.0 1.32606e+19 2619780000000.0 786479000000000.0 4477320000000000.0 243207000000.0 164896000000000.0 2712900000000000.0 25939400.0 532255000000000.0 1.98561e+16 1.10817e+16 152042000.0 4788150000.0 512493000000.0 7563350000000.0 274679000000000.0 -4.82 [-4.82]
933250000000000.0 1.23484e+19 2856990000000.0 814603000000000.0 4470990000000000.0 275620000000.0 176962000000000.0 2589580000000000.0 32232500.0 574751000000000.0 1.80513e+16 9454650000000000.0 178135000.0 5427690000.0 572441000000.0 8554760000000.0 287932000000000.0 -4.8 [-4.8]
933250000000000.0 1.14757e+19 3133350000000.0 845623000000000.0 4455270000000000.0 313370000000.0 189749000000000.0 2460410000000000.0 40157800.0 619016000000000.0 1.63245e+16 8010680000000000.0 209540000.0 6182480000.0 640218000000.0 9677650000000.0 301259000000000.0 -4.78 [-4.78]
933253000000000.0 1.06362e+19 3459810000000.0 880502000000000.0 4428680000000000.0 357555000000.0 203258000000000.0 2324950000000000.0 50191900.0 664780000000000.0 1.46735e+16 6731390000000000.0 247707000.0 7091800000.0 718031000000.0 10956300000000.0 314617000000000.0 -4.76 [-4.76]
933256000000000.0 9.82568e+18 3852220000000.0 920702000000000.0 4389530000000000.0 409546000000.0 217498000000000.0 2183070000000000.0 62955300.0 711629000000000.0 1.3101e+16 5602650000000000.0 294700000.0 8218680000.0 809379000000.0 12418800000000.0 327914000000000.0 -4.74 [-4.74]
933253000000000.0 9.03291e+18 4336050000000.0 968452000000000.0 4334790000000000.0 471462000000.0 232491000000000.0 2033300000000000.0 79404400.0 759041000000000.0 1.15971e+16 4603610000000000.0 353659000.0 9664830000.0 919965000000.0 14115300000000.0 341122000000000.0 -4.72 [-4.72]
933251000000000.0 8.24976e+18 4949700000000.0 1026850000000000.0 4259550000000000.0 545820000000.0 248115000000000.0 1874660000000000.0 100845000.0 805716000000000.0 1.01584e+16 3721170000000000.0 429525000.0 11607000000.0 1059210000000.0 16105900000000.0 354116000000000.0 -4.7 [-4.7]
933248000000000.0 7.45935e+18 5763150000000.0 1101320000000000.0 4156120000000000.0 636783000000.0 264255000000000.0 1704220000000000.0 129495000.0 849915000000000.0 8768700000000000.0 2937280000000000.0 531127000.0 14386200000.0 1244740000000.0 18506700000000.0 366770000000000.0 -4.68 [-4.68]
933254000000000.0 6.63164e+18 6917570000000.0 1201560000000000.0 4008860000000000.0 751341000000.0 280481000000000.0 1516350000000000.0 169488000.0 887871000000000.0 7396310000000000.0 2230640000000000.0 676835000.0 18753000000.0 1512090000000.0 21543600000000.0 378840000000000.0 -4.66 [-4.66]
933254000000000.0 5.70395e+18 8757260000000.0 1346400000000000.0 3779350000000000.0 901958000000.0 295064000000000.0 1299350000000000.0 230325000.0 910136000000000.0 5964310000000000.0 1572050000000000.0 914712000.0 26802600000.0 1945140000000.0 25756200000000.0 389533000000000.0 -4.64 [-4.64]
933254000000000.0 5.01587e+18 10681400000000.0 1471730000000000.0 3557150000000000.0 1042400000000.0 304674000000000.0 1131700000000000.0 299453000.0 925145000000000.0 4882030000000000.0 1149950000000000.0 1205280000.0 37257600000.0 2420960000000.0 29675800000000.0 394515000000000.0 -4.62 [-4.62]
