#depth	Te	cC/dT	dt/dr	d^2T/dr^2
3.12173e+22	2.2630e+04	4.09e-37
1.87304e+23	2.2258e+04	3.99e-37	-1.49e-21
5.36287e+23	2.2049e+04	3.96e-37	-4.66e-22	2.28e-45
1.46987e+24	2.1607e+04	3.84e-37	-3.11e-22	1.09e-46
3.10166e+24	2.1369e+04	3.78e-37	-1.29e-22	9.91e-47
5.22297e+24	2.1121e+04	3.70e-37	-1.04e-22	1.05e-47
7.98069e+24	2.0791e+04	3.60e-37	-1.06e-22	-6.80e-49
1.15657e+25	2.0366e+04	3.47e-37	-1.05e-22	2.18e-49
1.55324e+25	1.9974e+04	3.34e-37	-1.01e-22	9.90e-49
1.92797e+25	1.9597e+04	3.21e-37	-1.04e-22	-9.43e-49
2.28040e+25	1.9217e+04	3.07e-37	-1.11e-22	-1.79e-48
2.61669e+25	1.8830e+04	2.94e-37	-1.18e-22	-2.14e-48
2.93086e+25	1.8462e+04	2.81e-37	-1.23e-22	-1.87e-48
3.22537e+25	1.8083e+04	2.67e-37	-1.31e-22	-2.62e-48
3.51345e+25	1.7687e+04	2.52e-37	-1.38e-22	-2.67e-48
3.79460e+25	1.7282e+04	2.37e-37	-1.46e-22	-2.93e-48
4.06624e+25	1.6867e+04	2.22e-37	-1.55e-22	-3.26e-48
4.33113e+25	1.6433e+04	2.06e-37	-1.65e-22	-3.87e-48
4.59098e+25	1.5973e+04	1.88e-37	-1.79e-22	-5.21e-48
4.84478e+25	1.5486e+04	1.69e-37	-1.95e-22	-6.38e-48
5.08920e+25	1.4980e+04	1.50e-37	-2.12e-22	-7.22e-48
5.31446e+25	1.4485e+04	1.31e-37	-2.34e-22	-1.02e-47
5.51346e+25	1.4008e+04	1.12e-37	-2.56e-22	-1.22e-47
5.68841e+25	1.3546e+04	9.45e-38	-2.82e-22	-1.56e-47
5.84244e+25	1.3097e+04	7.69e-38	-3.12e-22	-2.07e-47
5.97754e+25	1.2661e+04	5.98e-38	-3.46e-22	-2.70e-47
6.09549e+25	1.2237e+04	4.31e-38	-3.86e-22	-3.63e-47
6.19804e+25	1.1827e+04	2.67e-38	-4.31e-22	-4.81e-47
6.28677e+25	1.1430e+04	1.07e-38	-4.82e-22	-6.13e-47
6.36349e+25	1.1043e+04	-5.16e-39	-5.44e-22	-8.69e-47
6.42955e+25	1.0682e+04	-2.02e-38	-5.93e-22	-8.18e-47
6.48701e+25	1.0276e+04	-3.75e-38	-7.50e-22	-2.90e-46
6.53455e+25	9.9343e+03	-5.24e-38	-8.33e-22	-2.01e-46
6.57299e+25	9.5790e+03	-6.82e-38	-9.93e-22	-4.47e-46
6.60535e+25	9.2352e+03	-8.39e-38	-1.19e-21	-6.74e-46
6.63149e+25	8.8859e+03	-1.00e-37	-1.50e-21	-1.33e-45
6.65205e+25	8.5601e+03	-1.16e-37	-1.83e-21	-1.87e-45
6.66797e+25	8.4856e+03	-1.20e-37	-5.30e-22	9.27e-45
6.68410e+25	8.3490e+03	-1.26e-37	-7.49e-22	-1.20e-45
6.70508e+25	8.1926e+03	-1.34e-37	-6.60e-22	3.79e-46
6.73234e+25	7.9668e+03	-1.45e-37	-7.32e-22	-2.36e-46
6.76407e+25	7.7204e+03	-1.58e-37	-7.55e-22	-6.96e-47
6.79572e+25	7.4988e+03	-1.70e-37	-7.22e-22	1.07e-46
6.82663e+25	7.2368e+03	-1.85e-37	-8.41e-22	-3.82e-46
6.85510e+25	7.0394e+03	-1.96e-37	-7.65e-22	2.96e-46
6.88181e+25	6.7790e+03	-2.12e-37	-9.43e-22	-6.46e-46
6.90639e+25	6.6009e+03	-2.23e-37	-8.26e-22	5.43e-46
6.92915e+25	6.3431e+03	-2.40e-37	-1.08e-21	-1.04e-45
6.94997e+25	6.1871e+03	-2.50e-37	-8.82e-22	1.10e-45
6.96935e+25	5.9262e+03	-2.69e-37	-1.24e-21	-1.70e-45
6.98705e+25	5.7857e+03	-2.79e-37	-9.79e-22	1.82e-45
7.00308e+25	5.5355e+03	-2.98e-37	-1.41e-21	-2.44e-45
7.01783e+25	5.4262e+03	-3.07e-37	-9.29e-22	4.10e-45
7.03137e+25	5.1708e+03	-3.28e-37	-1.67e-21	-4.84e-45
7.04366e+25	5.0691e+03	-3.37e-37	-1.09e-21	6.19e-45
7.05434e+25	4.8392e+03	-3.57e-37	-1.90e-21	-6.70e-45
7.06420e+25	4.7944e+03	-3.62e-37	-5.87e-22	1.73e-44
7.07297e+25	4.5721e+03	-3.83e-37	-2.24e-21	-1.67e-44
7.08098e+25	4.5049e+03	-3.89e-37	-1.10e-21	1.87e-44
7.08802e+25	4.3471e+03	-4.05e-37	-1.98e-21	-1.11e-44
7.09528e+25	4.2599e+03	-4.14e-37	-1.33e-21	9.99e-45
7.10284e+25	4.0922e+03	-4.32e-37	-1.96e-21	-7.43e-45
7.11024e+25	4.0279e+03	-4.39e-37	-1.03e-21	1.49e-44
7.11744e+25	3.8871e+03	-4.55e-37	-1.73e-21	-8.64e-45
7.12487e+25	3.8233e+03	-4.62e-37	-9.46e-22	1.16e-44
7.13262e+25	3.6973e+03	-4.77e-37	-1.44e-21	-5.62e-45
7.14085e+25	3.6217e+03	-4.87e-37	-9.80e-22	5.95e-45
7.14972e+25	3.4981e+03	-5.02e-37	-1.23e-21	-2.52e-45
7.15898e+25	3.4336e+03	-5.10e-37	-7.58e-22	5.58e-45
7.16877e+25	3.3231e+03	-5.24e-37	-9.99e-22	-2.17e-45
7.17929e+25	3.2571e+03	-5.33e-37	-6.62e-22	3.38e-45
7.19077e+25	3.1519e+03	-5.47e-37	-8.11e-22	-1.15e-45
7.20309e+25	3.0862e+03	-5.57e-37	-5.63e-22	2.13e-45
7.21650e+25	2.9854e+03	-5.71e-37	-6.65e-22	-6.76e-46
7.23097e+25	2.9229e+03	-5.80e-37	-4.53e-22	1.54e-45
7.24415e+25	2.8694e+03	-5.88e-37	-4.26e-22	2.19e-46
7.25858e+25	2.7860e+03	-6.00e-37	-5.12e-22	-5.25e-46
7.27416e+25	2.7323e+03	-6.08e-37	-3.62e-22	1.01e-45
7.29124e+25	2.6498e+03	-6.20e-37	-4.27e-22	-3.38e-46
7.30968e+25	2.5954e+03	-6.28e-37	-3.10e-22	6.65e-46
7.32645e+25	2.5494e+03	-6.36e-37	-2.88e-22	1.40e-46
7.34484e+25	2.4783e+03	-6.46e-37	-3.42e-22	-2.61e-46
7.36468e+25	2.4302e+03	-6.54e-37	-2.54e-22	4.63e-46
7.38643e+25	2.3585e+03	-6.64e-37	-2.92e-22	-1.51e-46
7.40991e+25	2.3089e+03	-6.72e-37	-2.22e-22	3.11e-46
7.43128e+25	2.2670e+03	-6.78e-37	-2.06e-22	8.02e-47
7.45469e+25	2.2038e+03	-6.87e-37	-2.39e-22	-1.25e-46
7.47996e+25	2.1601e+03	-6.93e-37	-1.82e-22	2.37e-46
7.50296e+25	2.1223e+03	-6.99e-37	-1.72e-22	4.26e-47
7.52817e+25	2.0648e+03	-7.06e-37	-2.02e-22	-1.03e-46
7.55538e+25	2.0258e+03	-7.11e-37	-1.50e-22	1.98e-46
7.58519e+25	1.9669e+03	-7.17e-37	-1.75e-22	-7.29e-47
7.61738e+25	1.9249e+03	-7.22e-37	-1.37e-22	1.24e-46
7.64667e+25	1.8890e+03	-7.26e-37	-1.29e-22	2.96e-47
7.67877e+25	1.8371e+03	-7.30e-37	-1.43e-22	-3.96e-47
7.71343e+25	1.7987e+03	-7.33e-37	-1.16e-22	8.06e-47
7.74496e+25	1.7662e+03	-7.35e-37	-1.08e-22	2.78e-47
7.77951e+25	1.7189e+03	-7.36e-37	-1.21e-22	-3.37e-47
7.81682e+25	1.6843e+03	-7.38e-37	-9.73e-23	6.72e-47
7.85076e+25	1.6549e+03	-7.38e-37	-9.08e-23	2.03e-47
7.88796e+25	1.6121e+03	-7.36e-37	-1.02e-22	-2.64e-47
7.92812e+25	1.5810e+03	-7.35e-37	-8.12e-23	5.40e-47
7.97213e+25	1.5373e+03	-7.30e-37	-8.79e-23	-1.34e-47
8.01964e+25	1.5052e+03	-7.27e-37	-7.09e-23	3.75e-47
8.06287e+25	1.4786e+03	-7.23e-37	-6.46e-23	1.54e-47
8.11025e+25	1.4407e+03	-7.15e-37	-7.07e-23	-1.16e-47
8.16139e+25	1.4140e+03	-7.09e-37	-5.48e-23	3.28e-47
8.21743e+25	1.3773e+03	-6.97e-37	-5.80e-23	-5.11e-48
8.27794e+25	1.3526e+03	-6.90e-37	-4.28e-23	2.65e-47
8.34424e+25	1.3191e+03	-6.75e-37	-4.47e-23	-2.63e-48
8.41581e+25	1.2996e+03	-6.68e-37	-2.86e-23	2.36e-47
8.48244e+25	1.2850e+03	-6.62e-37	-2.25e-23	9.47e-48
8.55725e+25	1.2663e+03	-6.52e-37	-2.20e-23	5.47e-49
8.63768e+25	1.2670e+03	-6.55e-37	8.39e-25	2.99e-47
8.70566e+25	1.2831e+03	-6.66e-37	2.70e-23	4.38e-47
8.76226e+25	1.3005e+03	-6.76e-37	3.26e-23	1.05e-47
8.82379e+25	1.3151e+03	-6.82e-37	2.09e-23	-1.67e-47
8.90378e+25	1.3487e+03	-6.92e-37	3.72e-23	1.80e-47
8.98313e+25	1.4421e+03	-7.13e-37	1.37e-22	1.46e-46
9.03433e+25	1.5620e+03	-7.23e-37	3.51e-22	6.28e-46
9.05992e+25	1.6457e+03	-7.23e-37	4.91e-22	8.17e-46
9.07349e+25	1.6946e+03	-7.21e-37	4.86e-22	-4.95e-47
9.08375e+25	1.7189e+03	-7.19e-37	2.32e-22	-2.42e-45
9.09579e+25	1.7359e+03	-7.15e-37	1.25e-22	-7.93e-46
9.11144e+25	1.7726e+03	-7.10e-37	2.07e-22	4.67e-46
9.13178e+25	1.8213e+03	-7.02e-37	2.12e-22	2.11e-47
9.15616e+25	1.8913e+03	-6.91e-37	2.72e-22	2.31e-46
