# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
218776000000000.0 1.16186e+19 8457810000.0 1587200000000.0 7760300000000.0 594519000.0 237980000000.0 8645580000000.0 36391.0 608631000000.0 124883000000000.0 268776000000000.0 241629.0 3642030.0 214416000.0 1281520000.0 192252000000.0 -5.0 4.584 [-5.0]
218776000000000.0 1.09895e+19 9230620000.0 1687510000000.0 7934830000000.0 652165000.0 254934000000.0 8610210000000.0 40756.7 655377000000.0 120264000000000.0 245915000000000.0 287497.0 4376770.0 251482000.0 1453140000.0 206320000000.0 -4.98 4.579 [-4.98]
218776000000000.0 1.03968e+19 10062200000.0 1791780000000.0 8103070000000.0 714982000.0 272852000000.0 8562720000000.0 45653.1 705002000000.0 115576000000000.0 224600000000000.0 341449.0 5248740.0 294443000.0 1644980000.0 221083000000.0 -4.96 4.574 [-4.96]
218776000000000.0 9.83828e+18 10956500000.0 1900030000000.0 8264600000000.0 783398000.0 291766000000.0 8503200000000.0 51146.4 757596000000.0 110840000000000.0 204769000000000.0 404815.0 6281460.0 344151000.0 1859020000.0 236548000000.0 -4.94 4.569 [-4.94]
218776000000000.0 9.31158e+18 11916800000.0 2012240000000.0 8419120000000.0 857768000.0 311691000000.0 8431740000000.0 57299.2 813186000000.0 106074000000000.0 186346000000000.0 479081.0 7502100.0 401574000.0 2097510000.0 252719000000.0 -4.92 4.564 [-4.92]
218776000000000.0 8.8149e+18 12947600000.0 2128440000000.0 8566260000000.0 938612000.0 332660000000.0 8348480000000.0 64198.4 871868000000.0 101299000000000.0 169272000000000.0 566017.0 8942040.0 467794000.0 2362700000.0 269593000000.0 -4.9 4.559 [-4.9]
218776000000000.0 8.3461e+18 14051900000.0 2248570000000.0 8705750000000.0 1026250000.0 354669000000.0 8253570000000.0 71915.0 933608000000.0 96531300000000.0 153473000000000.0 667542.0 10637100.0 544037000.0 2657220000.0 287172000000.0 -4.88 4.554 [-4.88]
218776000000000.0 7.90358e+18 15234400000.0 2372610000000.0 8837250000000.0 1121180000.0 377735000000.0 8147240000000.0 80549.0 998455000000.0 91790800000000.0 138887000000000.0 785930.0 12628700.0 631674000.0 2983720000.0 305447000000.0 -4.86 4.549 [-4.86]
218776000000000.0 7.48569e+18 16499100000.0 2500530000000.0 8960470000000.0 1223870000.0 401862000000.0 8029760000000.0 90203.5 1066410000000.0 87094700000000.0 125448000000000.0 923738.0 14964000.0 732244000.0 3345100000.0 324408000000.0 -4.84 4.545 [-4.84]
218776000000000.0 7.09098e+18 17850500000.0 2632260000000.0 9075150000000.0 1334790000.0 427047000000.0 7901440000000.0 100995.0 1137460000000.0 82460100000000.0 113093000000000.0 1083880.0 17696700.0 847462000.0 3744410000.0 344040000000.0 -4.82 4.54 [-4.82]
218776000000000.0 6.71822e+18 19294500000.0 2767780000000.0 9180990000000.0 1454580000.0 453303000000.0 7762650000000.0 113072.0 1211650000000.0 77903300000000.0 101763000000000.0 1269770.0 20888600.0 979244000.0 4184740000.0 364321000000.0 -4.8 4.536 [-4.8]
218776000000000.0 6.36583e+18 20833700000.0 2906910000000.0 9277780000000.0 1583500000.0 480582000000.0 7613730000000.0 126551.0 1288830000000.0 73438400000000.0 91389400000000.0 1484990.0 24609000.0 1129730000.0 4669760000.0 385233000000.0 -4.78 4.532 [-4.78]
218776000000000.0 6.03262e+18 22472400000.0 3049550000000.0 9365270000000.0 1722000000.0 508853000000.0 7455150000000.0 141585.0 1368940000000.0 69079100000000.0 81914400000000.0 1733720.0 28936400.0 1301290000.0 5203140000.0 406749000000.0 -4.76 4.527 [-4.76]
218776000000000.0 5.71746e+18 24214900000.0 3195530000000.0 9443220000000.0 1870540000.0 538082000000.0 7287400000000.0 158347.0 1451890000000.0 64837700000000.0 73278700000000.0 2020640.0 33960100.0 1496560000.0 5788770000.0 428839000000.0 -4.74 4.523 [-4.74]
218776000000000.0 5.41926e+18 26065800000.0 3344710000000.0 9511420000000.0 2029540000.0 568223000000.0 7111020000000.0 177028.0 1537580000000.0 60724800000000.0 65425200000000.0 2351060.0 39780800.0 1718460000.0 6430810000.0 451465000000.0 -4.72 4.519 [-4.72]
218776000000000.0 5.1371e+18 28028400000.0 3496840000000.0 9569670000000.0 2199320000.0 599208000000.0 6926640000000.0 197829.0 1625860000000.0 56750900000000.0 58300800000000.0 2730690.0 46509300.0 1970160000.0 7133430000.0 474583000000.0 -4.7 4.515 [-4.7]
218776000000000.0 4.87001e+18 30106700000.0 3651720000000.0 9617770000000.0 2380260000.0 630971000000.0 6734890000000.0 220984.0 1716600000000.0 52923600000000.0 51851600000000.0 3166090.0 54272100.0 2255200000.0 7901220000.0 498149000000.0 -4.68 4.511 [-4.68]
218776000000000.0 4.61715e+18 32304600000.0 3809100000000.0 9655540000000.0 2572690000.0 663436000000.0 6536450000000.0 246751.0 1809660000000.0 49249500000000.0 46027000000000.0 3664500.0 63209700.0 2577460000.0 8738830000.0 522108000000.0 -4.66 4.507 [-4.66]
218776000000000.0 4.3777e+18 34625600000.0 3968680000000.0 9682800000000.0 2776900000.0 696519000000.0 6332070000000.0 275417.0 1904870000000.0 45733800000000.0 40778400000000.0 4233910.0 73478200.0 2941180000.0 9651160000.0 546404000000.0 -4.64 4.503 [-4.64]
218776000000000.0 4.15092e+18 37072600000.0 4130140000000.0 9699410000000.0 2993120000.0 730119000000.0 6122510000000.0 307300.0 2002040000000.0 42380400000000.0 36059700000000.0 4883120.0 85251100.0 3350980000.0 10643300000.0 570974000000.0 -4.62 4.499 [-4.62]
218776000000000.0 3.93604e+18 39647200000.0 4293090000000.0 9705200000000.0 3221410000.0 764121000000.0 5908560000000.0 342740.0 2100950000000.0 39191300000000.0 31826500000000.0 5621650.0 98719100.0 3811900000.0 11720500000.0 595749000000.0 -4.6 4.495 [-4.6]
218776000000000.0 3.73247e+18 42353700000.0 4457260000000.0 9700060000000.0 3462110000.0 798437000000.0 5691050000000.0 382155.0 2201460000000.0 36168100000000.0 28037800000000.0 6460360.0 114095000.0 4329430000.0 12888000000.0 620656000000.0 -4.58 4.491 [-4.58]
218776000000000.0 3.53958e+18 45192800000.0 4622120000000.0 9683910000000.0 3715190000.0 832925000000.0 5470860000000.0 425989.0 2303350000000.0 33310600000000.0 24654500000000.0 7410860.0 131610000.0 4909470000.0 14151300000.0 645614000000.0 -4.56 4.487 [-4.56]
218776000000000.0 3.3568e+18 48166900000.0 4787290000000.0 9656660000000.0 3980790000.0 867475000000.0 5248820000000.0 474750.0 2406420000000.0 30617600000000.0 21640000000000.0 8485930.0 151520000.0 5558430000.0 15515900000.0 670540000000.0 -4.54 4.483 [-4.54]
