H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
5.01229e+17	1.84587e+22	1.88025e+14	7.32022e+16	1.62451e+17	1.29449e+13	1.04762e+16	9.44962e+15	1.01686e+10	4.50775e+17	5.94566e+16	9.65170e+16	1.59925e+11	1.13794e+13	8.50139e+14	3.64169e+15	2.10082e+16
5.01192e+17	1.75286e+22	1.94185e+14	7.20806e+16	1.53446e+17	1.35126e+13	1.04503e+16	9.11813e+15	1.06536e+10	4.32490e+17	5.59158e+16	8.70618e+16	1.67899e+11	1.21218e+13	8.77502e+14	3.59822e+15	1.99369e+16
5.01239e+17	1.66453e+22	2.00443e+14	7.09606e+16	1.44938e+17	1.40929e+13	1.04224e+16	8.79036e+15	1.11573e+10	4.14916e+17	5.25041e+16	7.84083e+16	1.76086e+11	1.28901e+13	9.04613e+14	3.55263e+15	1.89117e+16
5.01199e+17	1.58046e+22	2.06790e+14	6.98382e+16	1.36880e+17	1.46854e+13	1.03905e+16	8.46560e+15	1.16815e+10	3.97986e+17	4.92206e+16	7.04958e+16	1.84477e+11	1.36844e+13	9.31402e+14	3.50408e+15	1.79292e+16
5.01202e+17	1.50080e+22	2.13292e+14	6.87376e+16	1.29278e+17	1.52910e+13	1.03573e+16	8.14503e+15	1.22228e+10	3.81769e+17	4.60711e+16	6.32842e+16	1.93174e+11	1.45104e+13	9.58131e+14	3.45347e+15	1.69932e+16
5.01189e+17	1.42509e+22	2.19854e+14	6.76357e+16	1.22095e+17	1.59078e+13	1.03209e+16	7.82926e+15	1.27861e+10	3.66161e+17	4.30553e+16	5.67169e+16	2.02055e+11	1.53572e+13	9.84312e+14	3.40063e+15	1.60994e+16
5.01216e+17	1.35315e+22	2.26482e+14	6.65311e+16	1.15311e+17	1.65418e+13	1.02817e+16	7.51764e+15	1.33840e+10	3.51165e+17	4.01707e+16	5.07514e+16	2.11094e+11	1.62195e+13	1.00972e+15	3.34594e+15	1.52461e+16
5.01194e+17	1.28484e+22	2.33223e+14	6.54445e+16	1.08898e+17	1.71797e+13	1.02387e+16	7.21107e+15	1.39938e+10	3.36752e+17	3.74209e+16	4.53382e+16	2.20475e+11	1.71141e+13	1.03495e+15	3.28864e+15	1.44339e+16
5.01221e+17	1.22002e+22	2.40027e+14	6.43626e+16	1.02846e+17	1.78311e+13	1.01932e+16	6.90998e+15	1.46385e+10	3.22915e+17	3.48042e+16	4.04399e+16	2.30054e+11	1.80238e+13	1.05939e+15	3.22968e+15	1.36610e+16
5.01218e+17	1.15829e+22	2.46803e+14	6.32721e+16	9.71166e+16	1.84852e+13	1.01426e+16	6.61398e+15	1.53096e+10	3.09575e+17	3.23180e+16	3.60095e+16	2.39766e+11	1.89406e+13	1.08265e+15	3.16837e+15	1.29234e+16
5.01195e+17	1.09982e+22	2.53723e+14	6.22037e+16	9.17117e+16	1.91548e+13	1.00895e+16	6.32402e+15	1.60175e+10	2.96799e+17	2.99626e+16	3.20167e+16	2.49835e+11	1.98840e+13	1.10556e+15	3.10533e+15	1.22245e+16
5.01188e+17	1.04433e+22	2.60695e+14	6.11400e+16	8.66099e+16	1.98388e+13	1.00333e+16	6.04037e+15	1.67669e+10	2.84532e+17	2.77351e+16	2.84229e+16	2.60109e+11	2.08346e+13	1.12741e+15	3.04086e+15	1.15610e+16
