H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
2.18776e+14	7.30132e+18	2.52254e+11	1.17143e+14	9.08564e+14	1.39844e+10	1.46624e+13	8.67072e+14	4.65407e+05	3.89657e+13	1.14308e+16	1.39975e+16	5.31775e+06	2.20679e+08	2.48190e+10	3.29340e+11	2.96110e+13
2.18776e+14	6.86096e+18	2.66989e+11	1.21739e+14	9.24234e+14	1.53589e+10	1.58225e+13	8.56957e+14	5.53895e+05	4.29522e+13	1.08846e+16	1.25770e+16	6.12894e+06	2.52585e+08	2.83961e+10	3.77129e+11	3.17636e+13
2.18776e+14	6.44693e+18	2.82856e+11	1.26376e+14	9.38927e+14	1.69016e+10	1.70712e+13	8.45462e+14	6.62097e+05	4.73028e+13	1.03377e+16	1.12732e+16	7.06762e+06	2.88524e+08	3.24135e+10	4.31158e+11	3.40117e+13
2.18776e+14	6.05607e+18	2.99822e+11	1.31021e+14	9.52632e+14	1.86293e+10	1.84133e+13	8.32570e+14	7.94590e+05	5.20410e+13	9.79118e+15	1.00756e+16	8.14961e+06	3.28737e+08	3.69082e+10	4.92382e+11	3.63612e+13
2.18776e+14	5.68763e+18	3.18136e+11	1.35690e+14	9.65271e+14	2.05731e+10	1.98547e+13	8.18297e+14	9.57315e+05	5.71855e+13	9.24738e+15	8.98007e+15	9.40163e+06	3.73782e+08	4.19270e+10	5.61542e+11	3.88059e+13
2.18776e+14	5.34003e+18	3.37978e+11	1.40387e+14	9.76780e+14	2.27652e+10	2.14014e+13	8.02653e+14	1.15761e+06	6.27569e+13	8.70823e+15	7.97985e+15	1.08518e+07	4.24178e+08	4.75168e+10	6.39583e+11	4.13431e+13
2.18776e+14	5.01204e+18	3.59568e+11	1.45123e+14	9.87133e+14	2.52430e+10	2.30603e+13	7.85670e+14	1.40466e+06	6.87774e+13	8.17572e+15	7.06903e+15	1.25345e+07	4.80541e+08	5.37303e+10	7.27573e+11	4.39701e+13
2.18776e+14	4.70297e+18	3.83252e+11	1.49933e+14	9.96281e+14	2.80513e+10	2.48368e+13	7.67383e+14	1.70959e+06	7.52577e+13	7.65227e+15	6.24321e+15	1.44937e+07	5.43756e+08	6.06282e+10	8.26487e+11	4.66779e+13
2.18776e+14	4.41038e+18	4.09166e+11	1.54794e+14	1.00419e+15	3.12360e+10	2.67368e+13	7.47753e+14	2.08696e+06	8.22191e+13	7.13865e+15	5.49352e+15	1.67707e+07	6.14303e+08	6.82586e+10	9.38002e+11	4.94703e+13
2.18776e+14	4.13236e+18	4.37566e+11	1.59703e+14	1.01082e+15	3.48571e+10	2.87686e+13	7.26754e+14	2.55553e+06	8.96832e+13	6.63520e+15	4.81344e+15	1.94165e+07	6.92774e+08	7.66732e+10	1.06408e+12	5.23499e+13
2.18776e+14	3.86987e+18	4.69215e+11	1.64770e+14	1.01606e+15	3.89930e+10	3.09373e+13	7.04505e+14	3.13682e+06	9.76412e+13	6.14560e+15	4.20201e+15	2.25187e+07	7.81198e+08	8.59789e+10	1.20559e+12	5.52913e+13
2.18776e+14	3.62086e+18	5.04540e+11	1.70007e+14	1.01986e+15	4.37278e+10	3.32500e+13	6.80964e+14	3.86014e+06	1.06104e+14	5.67000e+15	3.65210e+15	2.61575e+07	8.80781e+08	9.62565e+10	1.36493e+12	5.82955e+13
2.18776e+14	3.38441e+18	5.44254e+11	1.75476e+14	1.02211e+15	4.91634e+10	3.57124e+13	6.56145e+14	4.76161e+06	1.15066e+14	5.20974e+15	3.15913e+15	3.04436e+07	9.93615e+08	1.07623e+11	1.54433e+12	6.13523e+13
2.18776e+14	3.15875e+18	5.89200e+11	1.81235e+14	1.02268e+15	5.54305e+10	3.83333e+13	6.29973e+14	5.88968e+06	1.24530e+14	4.76465e+15	2.71726e+15	3.55087e+07	1.12204e+09	1.20213e+11	1.74715e+12	6.44607e+13
2.18776e+14	2.94321e+18	6.40676e+11	1.87417e+14	1.02141e+15	6.26884e+10	4.11198e+13	6.02464e+14	7.30457e+06	1.34470e+14	4.33600e+15	2.32294e+15	4.15352e+07	1.27014e+09	1.34252e+11	1.97658e+12	6.76068e+13
2.18776e+14	2.73625e+18	7.00382e+11	1.94174e+14	1.01808e+15	7.11451e+10	4.40816e+13	5.73528e+14	9.08812e+06	1.44853e+14	3.92396e+15	1.97141e+15	4.87604e+07	1.44330e+09	1.50038e+11	2.23739e+12	7.07845e+13
2.18776e+14	2.53765e+18	7.70708e+11	2.01758e+14	1.01243e+15	8.10355e+10	4.72184e+13	5.43196e+14	1.13408e+07	1.55608e+14	3.53010e+15	1.65998e+15	5.75152e+07	1.65071e+09	1.68074e+11	2.53386e+12	7.39692e+13
2.18776e+14	2.34566e+18	8.55025e+11	2.10475e+14	1.00404e+15	9.26869e+10	5.05352e+13	5.11311e+14	1.42063e+07	1.66651e+14	3.15378e+15	1.38426e+15	6.82576e+07	1.90556e+09	1.89103e+11	2.87334e+12	7.71492e+13
2.18776e+14	2.15858e+18	9.58480e+11	2.20803e+14	9.92372e+14	1.06536e+11	5.40362e+13	4.77689e+14	1.78840e+07	1.77850e+14	2.79424e+15	1.14061e+15	8.16674e+07	2.22972e+09	2.14348e+11	3.26578e+12	8.03074e+13
2.18776e+14	1.97387e+18	1.08925e+12	2.33432e+14	9.76382e+14	1.23186e+11	5.77086e+13	4.41955e+14	2.26701e+07	1.88962e+14	2.44990e+15	9.24902e+14	9.88275e+07	2.66101e+09	2.45880e+11	3.72625e+12	8.34262e+13
2.18776e+14	1.78856e+18	1.26095e+12	2.49442e+14	9.54456e+14	1.43479e+11	6.15185e+13	4.03614e+14	2.90166e+07	1.99571e+14	2.11866e+15	7.33821e+14	1.21588e+08	3.26996e+09	2.87394e+11	4.27786e+12	8.64664e+13
2.18775e+14	1.59703e+18	1.50000e+12	2.70725e+14	9.23665e+14	1.68798e+11	6.53812e+13	3.61646e+14	3.77361e+07	2.08905e+14	1.79492e+15	5.62881e+14	1.53581e+08	4.20437e+09	3.46076e+11	4.96475e+12	8.93692e+13
2.18776e+14	1.38586e+18	1.87077e+12	3.01204e+14	8.77001e+14	2.01785e+11	6.90129e+13	3.13506e+14	5.06617e+07	2.15144e+14	1.46262e+15	4.04754e+14	2.04018e+08	5.85936e+09	4.38707e+11	5.89519e+12	9.20020e+13
2.18775e+14	1.20423e+18	2.32667e+12	3.33114e+14	8.23857e+14	2.36361e+11	7.15650e+13	2.70583e+14	6.70021e+07	2.18378e+14	1.18091e+15	2.89086e+14	2.73367e+08	8.33683e+09	5.56403e+11	6.89652e+12	9.34848e+13
2.18775e+14	1.05749e+18	2.83086e+12	3.61528e+14	7.69716e+14	2.69985e+11	7.30500e+13	2.35149e+14	8.66587e+07	2.20113e+14	9.52914e+14	2.08780e+14	3.61826e+08	1.16907e+10	6.88098e+11	7.88704e+12	9.37908e+13
2.18774e+14	9.18298e+17	3.47127e+12	3.89387e+14	7.06626e+14	3.05352e+11	7.32431e+13	2.02026e+14	1.13347e+08	2.19479e+14	7.42335e+14	1.44598e+14	4.89689e+08	1.68565e+10	8.48973e+11	9.00645e+12	9.28838e+13
2.18776e+14	7.86963e+17	4.28350e+12	4.13941e+14	6.34649e+14	3.41347e+11	7.18027e+13	1.71663e+14	1.51155e+08	2.17205e+14	5.49998e+14	9.45775e+13	6.82928e+08	2.49802e+10	1.03852e+12	1.02531e+13	9.04256e+13
2.18776e+14	6.67274e+17	5.26349e+12	4.31063e+14	5.57217e+14	3.76721e+11	6.86908e+13	1.44699e+14	2.06488e+08	2.15135e+14	3.84794e+14	5.81504e+13	9.80312e+08	3.75218e+10	1.24767e+12	1.15666e+13	8.62087e+13
2.18774e+14	5.68666e+17	6.27338e+12	4.37405e+14	4.84576e+14	4.11007e+11	6.48425e+13	1.22165e+14	2.83804e+08	2.15657e+14	2.62576e+14	3.50976e+13	1.39664e+09	5.48432e+10	1.45487e+12	1.27680e+13	8.07684e+13
2.18775e+14	4.93733e+17	7.15593e+12	4.34673e+14	4.24055e+14	4.45362e+11	6.14003e+13	1.04003e+14	3.82344e+08	2.18848e+14	1.82863e+14	2.19402e+13	1.90033e+09	7.59755e+10	1.64698e+12	1.37288e+13	7.50951e+13
2.18776e+14	4.36523e+17	7.87784e+12	4.26577e+14	3.74884e+14	4.80899e+11	5.86463e+13	8.91962e+13	5.01197e+08	2.23229e+14	1.31629e+14	1.43883e+13	2.46115e+09	1.00390e+11	1.82558e+12	1.44619e+13	6.96807e+13
2.18775e+14	3.91055e+17	8.46429e+12	4.15511e+14	3.34118e+14	5.18030e+11	5.64303e+13	7.68526e+13	6.41709e+08	2.27737e+14	9.73987e+13	9.80089e+12	3.06786e+09	1.28241e+11	1.99485e+12	1.50185e+13	6.46110e+13
2.18775e+14	3.53763e+17	8.94071e+12	4.02792e+14	2.99665e+14	5.56732e+11	5.45986e+13	6.64454e+13	8.05624e+08	2.31847e+14	7.36795e+13	6.87666e+12	3.71411e+09	1.59715e+11	2.15669e+12	1.54358e+13	5.98936e+13
2.18775e+14	3.22072e+17	9.32980e+12	3.88979e+14	2.69764e+14	5.97118e+11	5.29945e+13	5.75256e+13	9.97348e+08	2.35370e+14	5.65500e+13	4.91929e+12	4.40276e+09	1.95435e+11	2.31269e+12	1.57427e+13	5.54559e+13
2.18775e+14	2.94773e+17	9.64527e+12	3.74625e+14	2.43630e+14	6.39006e+11	5.15587e+13	4.98747e+13	1.21955e+09	2.38201e+14	4.39473e+13	3.57738e+12	5.12853e+09	2.35566e+11	2.46245e+12	1.59541e+13	5.12996e+13
2.18775e+14	2.70901e+17	9.89921e+12	3.60033e+14	2.20572e+14	6.82337e+11	5.02359e+13	4.32845e+13	1.47623e+09	2.40326e+14	3.44894e+13	2.63518e+12	5.88902e+09	2.80430e+11	2.60580e+12	1.60827e+13	4.74020e+13
2.18776e+14	2.49815e+17	1.01012e+13	3.45440e+14	2.00102e+14	7.27001e+11	4.89927e+13	3.75972e+13	1.77143e+09	2.41755e+14	2.72895e+13	1.96198e+12	6.68022e+09	3.30260e+11	2.74230e+12	1.61379e+13	4.37499e+13
2.18776e+14	2.31024e+17	1.02591e+13	3.30994e+14	1.81832e+14	7.72904e+11	4.78029e+13	3.26788e+13	2.10982e+09	2.42520e+14	2.17396e+13	1.47369e+12	7.49805e+09	3.85291e+11	2.87147e+12	1.61272e+13	4.03287e+13
2.18776e+14	2.14125e+17	1.03785e+13	3.16763e+14	1.65428e+14	8.20011e+11	4.66430e+13	2.84112e+13	2.49739e+09	2.42658e+14	1.74090e+13	1.11445e+12	8.33889e+09	4.45858e+11	2.99281e+12	1.60564e+13	3.71189e+13
2.18776e+14	1.98868e+17	1.04654e+13	3.02859e+14	1.50671e+14	8.68192e+11	4.55052e+13	2.47093e+13	2.93938e+09	2.42207e+14	1.40077e+13	8.48002e+11	9.19658e+09	5.12056e+11	3.10576e+12	1.59310e+13	3.41157e+13
2.18776e+14	1.85029e+17	1.05244e+13	2.89341e+14	1.37358e+14	9.17339e+11	4.43806e+13	2.14950e+13	3.44208e+09	2.41204e+14	1.13173e+13	6.48670e+11	1.00655e+10	5.84017e+11	3.20987e+12	1.57559e+13	3.13090e+13
2.18776e+14	1.72427e+17	1.05596e+13	2.76250e+14	1.25319e+14	9.67310e+11	4.32634e+13	1.87023e+13	4.01213e+09	2.39688e+14	9.17631e+12	4.98474e+11	1.09397e+10	6.61808e+11	3.30463e+12	1.55355e+13	2.86897e+13
2.18776e+14	1.60916e+17	1.05750e+13	2.63621e+14	1.14412e+14	1.01766e+12	4.21505e+13	1.62753e+13	4.65704e+09	2.37696e+14	7.46409e+12	3.84624e+11	1.18130e+10	7.45424e+11	3.38967e+12	1.52740e+13	2.62496e+13
2.18776e+14	1.50371e+17	1.05736e+13	2.51468e+14	1.04513e+14	1.06858e+12	4.10394e+13	1.41651e+13	5.38420e+09	2.35264e+14	6.08838e+12	2.97842e+11	1.26796e+10	8.34813e+11	3.46460e+12	1.49753e+13	2.39797e+13
2.18776e+14	1.40686e+17	1.05583e+13	2.39800e+14	9.55122e+13	1.11996e+12	3.99293e+13	1.23296e+13	6.20198e+09	2.32428e+14	4.97856e+12	2.31374e+11	1.35338e+10	9.29872e+11	3.52922e+12	1.46433e+13	2.18717e+13
2.18776e+14	1.31765e+17	1.05311e+13	2.28606e+14	8.73150e+13	1.17169e+12	3.88179e+13	1.07320e+13	7.11980e+09	2.29216e+14	4.07944e+12	1.80215e+11	1.43703e+10	1.03044e+12	3.58301e+12	1.42814e+13	1.99157e+13
2.18776e+14	1.23533e+17	1.04939e+13	2.17886e+14	7.98431e+13	1.22364e+12	3.77066e+13	9.34168e+12	8.14705e+09	2.25662e+14	3.34898e+12	1.40708e+11	1.51835e+10	1.13625e+12	3.62581e+12	1.38932e+13	1.81046e+13
2.18776e+14	1.15919e+17	1.04487e+13	2.07628e+14	7.30196e+13	1.27575e+12	3.65959e+13	8.13080e+12	9.29466e+09	2.21794e+14	2.75353e+12	1.10080e+11	1.59696e+10	1.24700e+12	3.65749e+12	1.34818e+13	1.64295e+13
2.18776e+14	1.08862e+17	1.03966e+13	1.97815e+14	6.67828e+13	1.32793e+12	3.54862e+13	7.07597e+12	1.05744e+10	2.17640e+14	2.26679e+12	8.62592e+10	1.67239e+10	1.36236e+12	3.67782e+12	1.30504e+13	1.48823e+13
2.18776e+14	1.02308e+17	1.03382e+13	1.88427e+14	6.10761e+13	1.38010e+12	3.43783e+13	6.15665e+12	1.19992e+10	2.13224e+14	1.86784e+12	6.76784e+10	1.74423e+10	1.48190e+12	3.68664e+12	1.26018e+13	1.34551e+13
