H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
2.51188e+16	2.13509e+21	6.40334e+11	1.74919e+14	1.09726e+15	2.37065e+13	1.25191e+15	2.03157e+06	7.87084e+13	2.14754e+16	5.45140e+16	1.46757e+08	1.07508e+10	8.74702e+10	1.72386e+13
2.51188e+16	2.01647e+21	7.03737e+11	1.87398e+14	1.12992e+15	2.55021e+13	1.25426e+15	2.27215e+06	8.49750e+13	2.08259e+16	5.01972e+16	1.78258e+08	1.27203e+10	1.00028e+11	1.86415e+13
2.51188e+16	1.90500e+21	7.72337e+11	2.00449e+14	1.16184e+15	2.74088e+13	1.25474e+15	2.54256e+06	9.16696e+13	2.01565e+16	4.61495e+16	2.16030e+08	1.50217e+10	1.14175e+11	2.01265e+13
2.51189e+16	1.80046e+21	8.46759e+11	2.14089e+14	1.19288e+15	2.94399e+13	1.25338e+15	2.84972e+06	9.88492e+13	1.94705e+16	4.23668e+16	2.61242e+08	1.77055e+10	1.30058e+11	2.16939e+13
2.51188e+16	1.70172e+21	9.26456e+11	2.28278e+14	1.22304e+15	3.15757e+13	1.25011e+15	3.18760e+06	1.06414e+14	1.87692e+16	3.88209e+16	3.15173e+08	2.08298e+10	1.47937e+11	2.33500e+13
2.51188e+16	1.60894e+21	1.01268e+12	2.43055e+14	1.25215e+15	3.38424e+13	1.24499e+15	3.57090e+06	1.14490e+14	1.80568e+16	3.55163e+16	3.79467e+08	2.44614e+10	1.67949e+11	2.50922e+13
2.51188e+16	1.52158e+21	1.10532e+12	2.58416e+14	1.28023e+15	3.62347e+13	1.23802e+15	3.99794e+06	1.23042e+14	1.73363e+16	3.24386e+16	4.55846e+08	2.86717e+10	1.90344e+11	2.69237e+13
2.51188e+16	1.43929e+21	1.20508e+12	2.74359e+14	1.30716e+15	3.87585e+13	1.22921e+15	4.47844e+06	1.32096e+14	1.66103e+16	2.95771e+16	5.46514e+08	3.35495e+10	2.15353e+11	2.88448e+13
2.51188e+16	1.36176e+21	1.31240e+12	2.90874e+14	1.33283e+15	4.14173e+13	1.21860e+15	5.01876e+06	1.41663e+14	1.58818e+16	2.69221e+16	6.53934e+08	3.91907e+10	2.43227e+11	3.08563e+13
2.51188e+16	1.28868e+21	1.42744e+12	3.07972e+14	1.35728e+15	4.42115e+13	1.20623e+15	5.62164e+06	1.51742e+14	1.51541e+16	2.44631e+16	7.80816e+08	4.56997e+10	2.74267e+11	3.29596e+13
2.51188e+16	1.21975e+21	1.55085e+12	3.25634e+14	1.38035e+15	4.71442e+13	1.19209e+15	6.29812e+06	1.62344e+14	1.44294e+16	2.21898e+16	9.30493e+08	5.31995e+10	3.08739e+11	3.51528e+13
2.51189e+16	1.15474e+21	1.68301e+12	3.43848e+14	1.40199e+15	5.02171e+13	1.17625e+15	7.05583e+06	1.73474e+14	1.37107e+16	2.00926e+16	1.10668e+09	6.18258e+10	3.46973e+11	3.74362e+13
2.51189e+16	1.09334e+21	1.82431e+12	3.62608e+14	1.42219e+15	5.34263e+13	1.15875e+15	7.90238e+06	1.85111e+14	1.30003e+16	1.81608e+16	1.31373e+09	7.17359e+10	3.89334e+11	3.98104e+13
2.51189e+16	1.03537e+21	1.97532e+12	3.81905e+14	1.44091e+15	5.67742e+13	1.13967e+15	8.84967e+06	1.97260e+14	1.23010e+16	1.63850e+16	1.55658e+09	8.31025e+10	4.36181e+11	4.22736e+13
2.51189e+16	9.80562e+20	2.13567e+12	4.01684e+14	1.45807e+15	6.02491e+13	1.11905e+15	9.89773e+06	2.09878e+14	1.16145e+16	1.47555e+16	1.84035e+09	9.61003e+10	4.87935e+11	4.48235e+13
2.51189e+16	9.28855e+20	2.30736e+12	4.21988e+14	1.47361e+15	6.38671e+13	1.09698e+15	1.10782e+07	2.23036e+14	1.09434e+16	1.32655e+16	2.17204e+09	1.10959e+11	5.44888e+11	4.74547e+13
2.51189e+16	8.79979e+20	2.48995e+12	4.42756e+14	1.48749e+15	6.76135e+13	1.07351e+15	1.23931e+07	2.36673e+14	1.02895e+16	1.19044e+16	2.55855e+09	1.27908e+11	6.07564e+11	5.01675e+13
2.51189e+16	8.33739e+20	2.68368e+12	4.63932e+14	1.49965e+15	7.14767e+13	1.04871e+15	1.38569e+07	2.50745e+14	9.65441e+15	1.06634e+16	3.00809e+09	1.47212e+11	6.76424e+11	5.29571e+13
2.51189e+16	7.90028e+20	2.88919e+12	4.85532e+14	1.51012e+15	7.54590e+13	1.02272e+15	1.54837e+07	2.65269e+14	9.03980e+15	9.53480e+15	3.52960e+09	1.69151e+11	7.51949e+11	5.58204e+13
2.51189e+16	7.48687e+20	3.10732e+12	5.07502e+14	1.51880e+15	7.95523e+13	9.95601e+14	1.73017e+07	2.80217e+14	8.44684e+15	8.51051e+15	4.13410e+09	1.94064e+11	8.34603e+11	5.87510e+13
2.51189e+16	7.09521e+20	3.33735e+12	5.29767e+14	1.52569e+15	8.37359e+13	9.67462e+14	1.93153e+07	2.95516e+14	7.87648e+15	7.58219e+15	4.83246e+09	2.22291e+11	9.25055e+11	6.17464e+13
2.51189e+16	6.72493e+20	3.58058e+12	5.52340e+14	1.53077e+15	8.80162e+13	9.38432e+14	2.15543e+07	3.11199e+14	7.32980e+15	6.74367e+15	5.63800e+09	2.54212e+11	1.02372e+12	6.47978e+13
2.51189e+16	6.37455e+20	3.83768e+12	5.75160e+14	1.53401e+15	9.23779e+13	9.08604e+14	2.40534e+07	3.27230e+14	6.80709e+15	5.98739e+15	6.56601e+09	2.90280e+11	1.13118e+12	6.78987e+13
2.51189e+16	6.04234e+20	4.10705e+12	5.98107e+14	1.53538e+15	9.67922e+13	8.78084e+14	2.68120e+07	3.43500e+14	6.30886e+15	5.30618e+15	7.63108e+09	3.30925e+11	1.24821e+12	7.10439e+13
2.51189e+16	5.72819e+20	4.39117e+12	6.21231e+14	1.53488e+15	1.01273e+14	8.47026e+14	2.98864e+07	3.60081e+14	5.83568e+15	4.69475e+15	8.85256e+09	3.76671e+11	1.37520e+12	7.42225e+13
2.51189e+16	5.43042e+20	4.68870e+12	6.44381e+14	1.53249e+15	1.05784e+14	8.15523e+14	3.32940e+07	3.76850e+14	5.38740e+15	4.14644e+15	1.02495e+10	4.28065e+11	1.51296e+12	7.74274e+13
2.51189e+16	5.14860e+20	5.00102e+12	6.67567e+14	1.52823e+15	1.10328e+14	7.83724e+14	3.70846e+07	3.93835e+14	4.96388e+15	3.65617e+15	1.18448e+10	4.85714e+11	1.66200e+12	8.06487e+13
2.51189e+16	4.88167e+20	5.32781e+12	6.90691e+14	1.52209e+15	1.14885e+14	7.51756e+14	4.12957e+07	4.10972e+14	4.56487e+15	3.21852e+15	1.36623e+10	5.50263e+11	1.82302e+12	8.38763e+13
2.51189e+16	4.62865e+20	5.66876e+12	7.13654e+14	1.51405e+15	1.19432e+14	7.19713e+14	4.59728e+07	4.28198e+14	4.19005e+15	2.82850e+15	1.57283e+10	6.22416e+11	1.99677e+12	8.71001e+13
2.51189e+16	4.38899e+20	6.02401e+12	7.36418e+14	1.50416e+15	1.23959e+14	6.87726e+14	5.11606e+07	4.45505e+14	3.83871e+15	2.48179e+15	1.80712e+10	7.02888e+11	2.18384e+12	9.03087e+13
2.51189e+16	4.16186e+20	6.39349e+12	7.58883e+14	1.49242e+15	1.28445e+14	6.55903e+14	5.69241e+07	4.62829e+14	3.51039e+15	2.17409e+15	2.07232e+10	7.92513e+11	2.38495e+12	9.34902e+13
2.51189e+16	3.94678e+20	6.77790e+12	7.81020e+14	1.47887e+15	1.32885e+14	6.24365e+14	6.33348e+07	4.80170e+14	3.20427e+15	1.90158e+15	2.37190e+10	8.92141e+11	2.60061e+12	9.66319e+13
2.51189e+16	3.74274e+20	7.17482e+12	8.02638e+14	1.46350e+15	1.37240e+14	5.93200e+14	7.04422e+07	4.97414e+14	2.91956e+15	1.66053e+15	2.70943e+10	1.00270e+12	2.83188e+12	9.97251e+13
2.51189e+16	3.54959e+20	7.58726e+12	8.23788e+14	1.44638e+15	1.41521e+14	5.62522e+14	7.83752e+07	5.14608e+14	2.65543e+15	1.44785e+15	3.08933e+10	1.12521e+12	3.07882e+12	1.02752e+14
