# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
36307800000000.0 7.8159e+17 5284920000.0 555620000000.0 1430650000000.0 416456000.0 94958700000.0 1026270000000.0 40273.6 252044000000.0 8602090000000.0 9279590000000.0 478733.0 7559350.0 303946000.0 1057800000.0 69961700000.0 2269.47 241163.0 -5.0 [-5.0]
36307800000000.0 7.40717e+17 5675610000.0 580485000000.0 1438860000000.0 450571000.0 100027000000.0 998710000000.0 44959.3 266276000000.0 8032010000000.0 8262200000000.0 555257.0 8825800.0 348380000.0 1173740000.0 73523600000.0 2736.66 284004.0 -4.98 [-4.98]
36307800000000.0 7.02039e+17 6088380000.0 605730000000.0 1445450000000.0 486846000.0 105210000000.0 970076000000.0 50176.3 280887000000.0 7483450000000.0 7341930000000.0 642879.0 10284600.0 398684000.0 1300460000.0 77151200000.0 3296.67 333772.0 -4.96 [-4.96]
36307800000000.0 6.65432e+17 6523780000.0 631305000000.0 1450390000000.0 525335000.0 110493000000.0 940475000000.0 55983.9 295853000000.0 6957360000000.0 6511440000000.0 743010.0 11961300.0 455537000.0 1438750000.0 80835800000.0 3967.12 391476.0 -4.94 [-4.94]
36307800000000.0 6.30781e+17 6982500000.0 657162000000.0 1453640000000.0 566098000.0 115863000000.0 910026000000.0 62450.9 311149000000.0 6454470000000.0 5763740000000.0 857236.0 13884600.0 519681000.0 1589410000.0 84568000000.0 4768.9 458258.0 -4.92 [-4.92]
36307800000000.0 5.9796e+17 7464410000.0 683223000000.0 1455190000000.0 609113000.0 121297000000.0 878841000000.0 69642.5 326734000000.0 5975230000000.0 5091960000000.0 987189.0 16085800.0 591924000.0 1753320000.0 88338200000.0 5726.45 535419.0 -4.9 [-4.9]
36307800000000.0 5.66879e+17 7970260000.0 709436000000.0 1455010000000.0 654447000.0 126782000000.0 847051000000.0 77647.7 342585000000.0 5520010000000.0 4489890000000.0 1134800.0 18599700.0 673146000.0 1931330000.0 92134800000.0 6868.71 624402.0 -4.88 [-4.88]
36307800000000.0 5.37441e+17 8500350000.0 735732000000.0 1453090000000.0 702119000.0 132298000000.0 814784000000.0 86560.5 358672000000.0 5088920000000.0 3951550000000.0 1302150.0 21464700.0 764305000.0 2124300000.0 95945900000.0 8229.62 726837.0 -4.86 [-4.86]
36307800000000.0 5.09556e+17 9054870000.0 762036000000.0 1449410000000.0 752140000.0 137826000000.0 782169000000.0 96486.5 374962000000.0 4681910000000.0 3471250000000.0 1491480.0 24722900.0 866432000.0 2333150000.0 99758900000.0 9849.03 844553.0 -4.84 [-4.84]
36307800000000.0 4.83141e+17 9633950000.0 788270000000.0 1443960000000.0 804514000.0 143344000000.0 749339000000.0 107545.0 391422000000.0 4298760000000.0 3043720000000.0 1705260.0 28420100.0 980641000.0 2558760000.0 103560000000.0 11773.5 979589.0 -4.82 [-4.82]
