#depth	Te	cC/dT	dt/dr	d^2T/dr^2
7.81384e+20	3.2877e+04	2.15e-38
4.68830e+21	3.2876e+04	2.15e-38	-1.21e-22
1.13302e+22	3.2872e+04	2.15e-38	-5.64e-22	-6.30e-44
1.80114e+22	3.2870e+04	2.15e-38	-3.01e-22	4.16e-44
2.40247e+22	3.2871e+04	2.15e-38	5.15e-23	6.18e-44
2.94372e+22	3.2865e+04	2.15e-38	-1.09e-21	-2.23e-43
3.43087e+22	3.2866e+04	2.15e-38	1.65e-22	2.72e-43
3.86931e+22	3.2863e+04	2.15e-38	-6.76e-22	-2.02e-43
4.26394e+22	3.2863e+04	2.15e-38	-9.88e-23	1.54e-43
4.61911e+22	3.2862e+04	2.15e-38	-2.21e-22	-3.64e-44
4.93878e+22	3.2861e+04	2.15e-38	-1.69e-22	1.74e-44
5.22650e+22	3.2860e+04	2.15e-38	-6.21e-22	-1.66e-43
5.48545e+22	3.2860e+04	2.15e-38	-8.79e-23	2.17e-43
5.71851e+22	3.2859e+04	2.15e-38	-4.44e-22	-1.61e-43
5.92827e+22	3.2858e+04	2.15e-38	-2.12e-22	1.16e-43
6.11706e+22	3.2857e+04	2.15e-38	-4.45e-22	-1.30e-43
6.28697e+22	3.2857e+04	2.15e-38	-1.69e-22	1.72e-43
6.43989e+22	3.2856e+04	2.15e-38	-4.34e-22	-1.83e-43
6.57752e+22	3.2856e+04	2.15e-38	-2.22e-22	1.63e-43
6.70139e+22	3.2856e+04	2.15e-38	-3.98e-22	-1.50e-43
6.81287e+22	3.2855e+04	2.15e-38	-2.31e-22	1.58e-43
6.91321e+22	3.2855e+04	2.15e-38	-3.92e-22	-1.70e-43
7.00351e+22	3.2855e+04	2.15e-38	-2.47e-22	1.69e-43
7.08538e+22	3.2855e+04	2.15e-38	-3.68e-22	-1.55e-43
7.16356e+22	3.2854e+04	2.15e-38	-2.60e-22	1.39e-43
7.24174e+22	3.2854e+04	2.15e-38	-3.18e-22	-7.49e-44
