H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
6.16594e+14	7.35981e+18	2.27713e+12	5.45493e+14	2.71149e+15	2.21107e+11	1.18457e+14	1.51977e+15	2.94628e+07	3.82221e+14	1.05288e+16	5.57658e+15	1.47951e+08	4.32362e+09	4.06886e+11	5.47551e+12	1.77334e+14	5.64614e+06	4.62351e+08
6.16594e+14	6.84748e+18	2.48504e+12	5.64582e+14	2.70099e+15	2.50213e+11	1.26697e+14	1.44420e+15	3.65639e+07	4.10931e+14	9.52422e+15	4.73316e+15	1.73303e+08	4.90896e+09	4.54105e+11	6.18722e+12	1.85417e+14	7.02586e+06	5.14391e+08
6.16594e+14	6.35679e+18	2.72815e+12	5.85771e+14	2.68406e+15	2.84027e+11	1.35359e+14	1.36540e+15	4.54919e+07	4.40555e+14	8.56724e+15	3.98779e+15	2.03875e+08	5.60681e+09	5.07734e+11	6.99224e+12	1.93470e+14	8.75240e+06	5.68621e+08
6.16594e+14	5.88386e+18	3.01686e+12	6.09797e+14	2.65968e+15	3.23559e+11	1.44440e+14	1.28316e+15	5.67844e+07	4.70870e+14	7.65643e+15	3.32986e+15	2.41138e+08	6.45804e+09	5.69706e+11	7.90805e+12	2.01454e+14	1.09250e+07	6.24271e+08
6.16594e+14	5.42455e+18	3.36662e+12	6.37771e+14	2.62639e+15	3.70141e+11	1.53941e+14	1.19710e+15	7.11888e+07	5.01588e+14	6.78992e+15	2.74976e+15	2.87239e+08	7.52932e+09	6.43205e+11	8.95900e+12	2.09317e+14	1.36829e+07	6.80750e+08
6.16595e+14	4.97538e+18	3.79945e+12	6.71104e+14	2.58178e+15	4.25248e+11	1.63750e+14	1.10694e+15	8.96891e+07	5.31948e+14	5.96722e+15	2.24019e+15	3.45371e+08	8.92884e+09	7.33155e+11	1.01724e+13	2.16968e+14	1.72089e+07	7.38437e+08
6.16593e+14	4.52683e+18	4.35640e+12	7.12461e+14	2.52207e+15	4.91695e+11	1.73840e+14	1.01123e+15	1.13989e+08	5.61162e+14	5.17835e+15	1.78938e+15	4.21074e+08	1.08581e+10	8.48674e+11	1.16069e+13	2.24340e+14	2.18196e+07	8.00001e+08
6.16591e+14	4.06833e+18	5.10877e+12	7.65959e+14	2.44074e+15	5.73251e+11	1.83990e+14	9.08178e+14	1.46820e+08	5.87510e+14	4.41348e+15	1.38834e+15	5.24468e+08	1.37167e+10	1.00652e+12	1.33527e+13	2.31255e+14	2.80372e+07	8.77159e+08
6.16595e+14	3.57165e+18	6.22380e+12	8.39956e+14	2.32184e+15	6.77389e+11	1.93591e+14	7.92482e+14	1.94134e+08	6.07021e+14	3.64089e+15	1.02112e+15	6.79793e+08	1.85121e+10	1.24490e+12	1.56332e+13	2.37407e+14	3.70148e+07	1.01021e+09
6.16589e+14	3.07603e+18	7.79784e+12	9.30928e+14	2.16312e+15	7.99733e+11	2.00668e+14	6.74679e+14	2.60391e+08	6.15372e+14	2.90778e+15	7.15431e+14	9.15802e+08	2.66396e+10	1.59112e+12	1.84387e+13	2.41253e+14	4.99665e+07	1.29144e+09
