H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
5.75440e+14	6.86190e+18	2.12825e+12	5.08917e+14	2.52447e+15	2.06815e+11	1.10553e+14	1.41509e+15	2.76139e+07	3.56746e+14	9.81778e+15	5.20534e+15	1.38586e+08	4.04699e+09	3.80214e+11	5.10462e+12	1.65329e+14	5.29646e+06	4.32409e+08
5.75439e+14	6.38534e+18	2.32200e+12	5.26682e+14	2.51472e+15	2.33959e+11	1.18229e+14	1.34492e+15	3.42554e+07	3.83507e+14	8.88279e+15	4.41976e+15	1.62315e+08	4.59502e+09	4.24346e+11	5.76692e+12	1.72855e+14	6.58828e+06	4.81209e+08
5.75439e+14	5.92807e+18	2.54842e+12	5.46358e+14	2.49900e+15	2.65527e+11	1.26304e+14	1.27168e+15	4.26118e+07	4.11148e+14	7.99079e+15	3.72426e+15	1.90906e+08	5.24701e+09	4.74406e+11	6.51724e+12	1.80366e+14	8.20576e+06	5.31995e+08
5.75437e+14	5.48749e+18	2.81716e+12	5.68656e+14	2.47635e+15	3.02422e+11	1.34770e+14	1.19526e+15	5.31776e+07	4.39436e+14	7.14184e+15	3.11035e+15	2.25742e+08	6.04188e+09	5.32225e+11	7.37047e+12	1.87810e+14	1.02403e+07	5.84134e+08
5.75439e+14	5.05947e+18	3.14282e+12	5.94619e+14	2.44545e+15	3.45913e+11	1.43634e+14	1.11526e+15	6.66582e+07	4.68116e+14	6.33377e+15	2.56884e+15	2.68833e+08	7.04141e+09	6.00747e+11	8.34981e+12	1.95145e+14	1.28231e+07	6.37019e+08
5.75442e+14	4.64069e+18	3.54577e+12	6.25564e+14	2.40404e+15	3.97370e+11	1.52784e+14	1.03137e+15	8.39786e+07	4.96474e+14	5.56625e+15	2.09300e+15	3.23154e+08	8.34666e+09	6.84579e+11	9.48131e+12	2.02288e+14	1.61255e+07	6.90934e+08
5.75438e+14	4.22321e+18	4.06338e+12	6.63880e+14	2.34862e+15	4.59351e+11	1.62196e+14	9.42497e+14	1.06694e+08	5.23772e+14	4.83108e+15	1.67251e+15	3.93803e+08	1.01433e+10	7.92070e+11	1.08164e+13	2.09160e+14	2.04381e+07	7.48455e+08
5.75436e+14	3.79556e+18	4.76343e+12	7.13526e+14	2.27294e+15	5.35524e+11	1.71675e+14	8.46558e+14	1.37421e+08	5.48428e+14	4.11691e+15	1.29781e+15	4.90339e+08	1.28065e+10	9.39042e+11	1.24442e+13	2.15620e+14	2.62573e+07	8.20079e+08
5.75440e+14	3.33411e+18	5.79704e+12	7.82032e+14	2.16304e+15	6.32540e+11	1.80647e+14	7.39216e+14	1.81560e+08	5.66785e+14	3.39806e+15	9.55606e+14	6.34853e+08	1.72563e+10	1.16022e+12	1.45621e+13	2.21358e+14	3.46340e+07	9.43019e+08
5.75435e+14	2.87036e+18	7.26673e+12	8.66976e+14	2.01511e+15	7.47160e+11	1.87291e+14	6.29138e+14	2.43655e+08	5.74586e+14	2.71288e+15	6.69111e+14	8.55481e+08	2.48431e+10	1.48357e+12	1.71846e+13	2.24979e+14	4.67667e+07	1.20422e+09
5.75440e+14	2.53160e+18	8.74456e+12	9.35334e+14	1.87939e+15	8.51367e+11	1.91172e+14	5.46420e+14	3.13238e+08	5.79760e+14	2.20464e+15	4.88640e+14	1.11783e+09	3.43519e+10	1.82207e+12	1.95475e+13	2.25550e+14	6.11616e+07	1.57771e+09
5.75440e+14	2.21203e+18	1.05756e+13	1.00122e+15	1.72375e+15	9.60979e+11	1.92050e+14	4.69619e+14	4.05641e+08	5.78523e+14	1.74048e+15	3.45005e+14	1.48623e+09	4.86313e+10	2.23332e+12	2.21777e+13	2.23404e+14	8.08027e+07	2.15128e+09
5.75440e+14	1.91014e+18	1.28543e+13	1.05880e+15	1.54823e+15	1.07347e+12	1.89184e+14	3.99471e+14	5.32951e+08	5.71867e+14	1.31722e+15	2.32349e+14	2.02450e+09	7.05768e+10	2.71844e+12	2.50829e+13	2.17862e+14	1.08263e+08	3.02034e+09
5.75440e+14	1.62928e+18	1.56251e+13	1.09933e+15	1.35741e+15	1.18515e+12	1.82084e+14	3.36720e+14	7.15544e+08	5.63020e+14	9.43738e+14	1.47577e+14	2.83960e+09	1.04416e+11	3.26298e+12	2.81897e+13	2.08299e+14	1.47411e+08	4.30852e+09
5.75440e+14	1.38623e+18	1.86384e+13	1.11383e+15	1.17036e+15	1.29321e+12	1.72041e+14	2.83222e+14	9.75256e+08	5.58132e+14	6.48962e+14	9.02212e+13	4.02303e+09	1.53037e+11	3.82006e+12	3.11814e+13	1.95286e+14	2.01672e+08	6.05198e+09
5.75440e+14	1.19600e+18	2.13887e+13	1.10384e+15	1.01074e+15	1.39928e+12	1.62114e+14	2.39850e+14	1.31601e+09	5.60669e+14	4.48251e+14	5.60164e+13	5.52199e+09	2.14441e+11	4.34069e+12	3.36589e+13	1.81096e+14	2.70961e+08	8.07923e+09
5.75440e+14	1.05105e+18	2.36520e+13	1.07888e+15	8.82177e+14	1.50732e+12	1.53831e+14	2.04739e+14	1.73347e+09	5.68073e+14	3.18943e+14	3.62734e+13	7.22598e+09	2.86119e+11	4.81872e+12	3.55486e+13	1.67392e+14	3.54601e+08	1.02220e+10
5.75440e+14	9.37144e+17	2.54685e+13	1.04613e+15	7.77577e+14	1.61945e+12	1.47088e+14	1.75685e+14	2.23043e+09	5.77082e+14	2.33599e+14	2.43922e+13	9.07817e+09	3.67908e+11	5.26557e+12	3.69604e+13	1.54595e+14	4.53806e+08	1.24253e+10
5.75436e+14	8.44531e+17	2.69254e+13	1.00958e+15	6.90698e+14	1.73622e+12	1.41487e+14	1.51276e+14	2.81367e+09	5.85824e+14	1.75130e+14	1.69175e+13	1.10519e+10	4.60402e+11	5.68863e+12	3.79977e+13	1.42728e+14	5.70689e+08	1.46775e+10
5.75439e+14	7.66893e+17	2.80951e+13	9.71124e+14	6.16953e+14	1.85754e+12	1.36657e+14	1.30532e+14	3.49413e+09	5.93415e+14	1.33594e+14	1.20059e+13	1.31376e+10	5.64653e+11	6.09162e+12	3.87363e+13	1.31690e+14	7.08084e+08	1.69847e+10
