H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.25892e+15	9.85685e+19	2.52142e+10	6.10098e+12	4.00948e+13	8.67396e+11	5.26347e+13	8.73773e+04	2.22942e+12	9.33751e+14	2.65497e+15	6.33382e+06	4.51726e+08	3.47297e+09	7.34585e+11
1.25892e+15	9.31138e+19	2.77325e+10	6.54057e+12	4.13094e+13	9.34240e+11	5.28413e+13	9.78438e+04	2.41301e+12	9.08980e+14	2.45308e+15	7.71093e+06	5.35461e+08	3.97746e+09	7.95410e+11
1.25892e+15	8.79857e+19	3.04594e+10	7.00114e+12	4.25012e+13	1.00540e+12	5.29766e+13	1.09601e+05	2.60979e+12	8.83180e+14	2.26305e+15	9.36582e+06	6.33503e+08	4.54701e+09	8.59923e+11
1.25892e+15	8.31624e+19	3.34091e+10	7.48303e+12	4.36675e+13	1.08110e+12	5.30400e+13	1.22807e+05	2.82042e+12	8.56459e+14	2.08447e+15	1.13503e+07	7.48092e+08	5.18888e+09	9.28225e+11
1.25893e+15	7.86240e+19	3.65970e+10	7.98656e+12	4.48056e+13	1.16153e+12	5.30311e+13	1.37645e+05	3.04556e+12	8.28935e+14	1.91692e+15	1.37249e+07	8.81786e+08	5.91098e+09	1.00041e+12
1.25892e+15	7.43515e+19	4.00388e+10	8.51203e+12	4.59131e+13	1.24691e+12	5.29496e+13	1.54314e+05	3.28583e+12	8.00720e+14	1.75996e+15	1.65606e+07	1.03750e+09	6.72192e+09	1.07657e+12
1.25893e+15	7.03227e+19	4.37436e+10	9.05935e+12	4.69881e+13	1.33723e+12	5.27952e+13	1.72936e+05	3.54109e+12	7.71919e+14	1.61305e+15	1.99397e+07	1.21858e+09	7.63195e+09	1.15682e+12
1.25892e+15	6.65324e+19	4.77456e+10	9.62939e+12	4.80270e+13	1.43310e+12	5.25685e+13	1.93963e+05	3.81333e+12	7.42672e+14	1.47605e+15	2.39586e+07	1.42872e+09	8.64948e+09	1.24112e+12
1.25893e+15	6.29600e+19	5.20549e+10	1.02220e+13	4.90283e+13	1.53448e+12	5.22696e+13	2.17575e+05	4.10238e+12	7.13097e+14	1.34837e+15	2.87288e+07	1.67223e+09	9.78638e+09	1.32958e+12
1.25893e+15	5.95917e+19	5.66917e+10	1.08376e+13	4.99898e+13	1.64159e+12	5.18987e+13	2.44083e+05	4.40868e+12	6.83310e+14	1.22958e+15	3.43793e+07	1.95393e+09	1.10545e+10	1.42222e+12
1.25892e+15	5.64144e+19	6.16735e+10	1.14757e+13	5.09097e+13	1.75449e+12	5.14566e+13	2.73821e+05	4.73256e+12	6.53420e+14	1.11928e+15	4.10592e+07	2.27927e+09	1.24667e+10	1.51908e+12
1.25892e+15	5.34163e+19	6.70223e+10	1.21367e+13	5.17860e+13	1.87334e+12	5.09440e+13	3.07168e+05	5.07433e+12	6.23545e+14	1.01706e+15	4.89407e+07	2.65439e+09	1.40366e+10	1.62014e+12
1.25892e+15	5.05861e+19	7.27592e+10	1.28204e+13	5.26169e+13	1.99823e+12	5.03621e+13	3.44542e+05	5.43420e+12	5.93800e+14	9.22491e+14	5.82212e+07	3.08621e+09	1.57792e+10	1.72539e+12
1.25892e+15	4.79135e+19	7.89062e+10	1.35268e+13	5.34006e+13	2.12922e+12	4.97119e+13	3.86402e+05	5.81229e+12	5.64288e+14	8.35185e+14	6.91280e+07	3.58248e+09	1.77103e+10	1.83479e+12
1.25892e+15	4.53889e+19	8.54854e+10	1.42555e+13	5.41355e+13	2.26634e+12	4.89951e+13	4.33259e+05	6.20863e+12	5.35119e+14	7.54738e+14	8.19203e+07	4.15187e+09	1.98468e+10	1.94828e+12
1.25892e+15	4.30041e+19	9.25245e+10	1.50064e+13	5.48201e+13	2.40965e+12	4.82137e+13	4.85734e+05	6.62346e+12	5.06393e+14	6.80770e+14	9.68955e+07	4.80411e+09	2.22062e+10	2.06576e+12
1.25892e+15	4.07503e+19	1.00046e+11	1.57793e+13	5.54529e+13	2.55910e+12	4.73697e+13	5.44449e+05	7.05654e+12	4.78201e+14	6.12893e+14	1.14392e+08	5.55004e+09	2.48078e+10	2.18713e+12
1.25892e+15	3.86191e+19	1.08070e+11	1.65733e+13	5.60322e+13	2.71450e+12	4.64651e+13	6.10042e+05	7.50733e+12	4.50623e+14	5.50731e+14	1.34791e+08	6.40169e+09	2.76724e+10	2.31226e+12
1.25892e+15	3.66032e+19	1.16619e+11	1.73877e+13	5.65568e+13	2.87569e+12	4.55025e+13	6.83274e+05	7.97547e+12	4.23737e+14	4.93927e+14	1.58526e+08	7.37248e+09	3.08215e+10	2.44099e+12
1.25892e+15	3.46960e+19	1.25717e+11	1.82220e+13	5.70254e+13	3.04249e+12	4.44850e+13	7.64990e+05	8.46052e+12	3.97616e+14	4.42122e+14	1.86089e+08	8.47724e+09	3.42779e+10	2.57312e+12
1.25892e+15	3.28912e+19	1.35387e+11	1.90750e+13	5.74366e+13	3.21462e+12	4.34158e+13	8.56121e+05	8.96189e+12	3.72321e+14	3.94983e+14	2.18032e+08	9.73238e+09	3.80656e+10	2.70845e+12
1.25892e+15	3.11828e+19	1.45651e+11	1.99457e+13	5.77893e+13	3.39178e+12	4.22984e+13	9.57692e+05	9.47884e+12	3.47902e+14	3.52188e+14	2.54974e+08	1.11560e+10	4.22097e+10	2.84673e+12
1.25892e+15	2.95653e+19	1.56530e+11	2.08330e+13	5.80823e+13	3.57358e+12	4.11366e+13	1.07085e+06	1.00107e+13	3.24408e+14	3.13414e+14	2.97610e+08	1.27681e+10	4.67367e+10	2.98766e+12
1.25892e+15	2.80336e+19	1.68047e+11	2.17355e+13	5.83147e+13	3.75961e+12	3.99345e+13	1.19686e+06	1.05565e+13	3.01871e+14	2.78369e+14	3.46717e+08	1.45904e+10	5.16738e+10	3.13095e+12
1.25892e+15	2.65827e+19	1.80223e+11	2.26518e+13	5.84854e+13	3.94944e+12	3.86964e+13	1.33719e+06	1.11154e+13	2.80317e+14	2.46760e+14	4.03169e+08	1.66472e+10	5.70500e+10	3.27626e+12
1.25892e+15	2.52083e+19	1.93069e+11	2.35798e+13	5.85935e+13	4.14240e+12	3.74271e+13	1.49329e+06	1.16861e+13	2.59770e+14	2.18325e+14	4.67903e+08	1.89640e+10	6.28942e+10	3.42319e+12
1.25892e+15	2.39060e+19	2.06604e+11	2.45176e+13	5.86381e+13	4.33795e+12	3.61311e+13	1.66693e+06	1.22676e+13	2.40239e+14	1.92797e+14	5.41990e+08	2.15697e+10	6.92375e+10	3.57135e+12
1.25892e+15	2.26720e+19	2.20844e+11	2.54634e+13	5.86185e+13	4.53551e+12	3.48135e+13	1.86012e+06	1.28589e+13	2.21729e+14	1.69933e+14	6.26603e+08	2.44949e+10	7.61104e+10	3.72029e+12
1.25892e+15	2.15025e+19	2.35804e+11	2.64150e+13	5.85343e+13	4.73442e+12	3.34792e+13	2.07508e+06	1.34587e+13	2.04238e+14	1.49500e+14	7.23031e+08	2.77733e+10	8.35445e+10	3.86955e+12
1.25892e+15	2.03941e+19	2.51496e+11	2.73699e+13	5.83847e+13	4.93398e+12	3.21335e+13	2.31427e+06	1.40659e+13	1.87755e+14	1.31279e+14	8.32688e+08	3.14408e+10	9.15721e+10	4.01862e+12
1.25892e+15	1.93435e+19	2.67928e+11	2.83257e+13	5.81694e+13	5.13349e+12	3.07815e+13	2.58051e+06	1.46792e+13	1.72267e+14	1.15067e+14	9.57121e+08	3.55365e+10	1.00225e+11	4.16698e+12
1.25892e+15	1.83477e+19	2.85107e+11	2.92794e+13	5.78883e+13	5.33221e+12	2.94282e+13	2.87694e+06	1.52974e+13	1.57753e+14	1.00674e+14	1.09801e+09	4.01019e+10	1.09536e+11	4.31407e+12
1.25892e+15	1.74036e+19	3.03038e+11	3.02284e+13	5.75410e+13	5.52941e+12	2.80787e+13	3.20710e+06	1.59193e+13	1.44188e+14	8.79223e+13	1.25720e+09	4.51817e+10	1.19536e+11	4.45930e+12
1.25892e+15	1.65086e+19	3.21721e+11	3.11696e+13	5.71278e+13	5.72433e+12	2.67378e+13	3.57499e+06	1.65434e+13	1.31543e+14	7.66527e+13	1.43666e+09	5.08233e+10	1.30257e+11	4.60208e+12
1.25892e+15	1.56601e+19	3.41154e+11	3.20996e+13	5.66488e+13	5.91621e+12	2.54103e+13	3.98513e+06	1.71686e+13	1.19785e+14	6.67155e+13	1.63853e+09	5.70771e+10	1.41728e+11	4.74178e+12
1.25892e+15	1.48557e+19	3.61333e+11	3.30154e+13	5.61045e+13	6.10434e+12	2.41006e+13	4.44265e+06	1.77934e+13	1.08880e+14	5.79707e+13	1.86512e+09	6.39966e+10	1.53979e+11	4.87776e+12
1.25892e+15	1.40930e+19	3.82248e+11	3.39134e+13	5.54956e+13	6.28800e+12	2.28131e+13	4.95334e+06	1.84168e+13	9.87905e+13	5.02906e+13	2.11889e+09	7.16382e+10	1.67037e+11	5.00939e+12
1.25892e+15	1.33700e+19	4.03887e+11	3.47901e+13	5.48228e+13	6.46645e+12	2.15514e+13	5.52376e+06	1.90374e+13	8.94783e+13	4.35587e+13	2.40246e+09	8.00600e+10	1.80924e+11	5.13597e+12
1.25892e+15	1.26844e+19	4.26233e+11	3.56419e+13	5.40872e+13	6.63907e+12	2.03194e+13	6.16134e+06	1.96540e+13	8.09035e+13	3.76689e+13	2.71864e+09	8.93243e+10	1.95665e+11	5.25686e+12
1.25892e+15	1.20344e+19	4.49264e+11	3.64652e+13	5.32903e+13	6.80519e+12	1.91201e+13	6.87440e+06	2.02654e+13	7.30261e+13	3.25258e+13	3.07037e+09	9.94941e+10	2.11276e+11	5.37139e+12
1.25892e+15	1.14181e+19	4.72957e+11	3.72563e+13	5.24336e+13	6.96423e+12	1.79566e+13	7.67248e+06	2.08703e+13	6.58055e+13	2.80429e+13	3.46079e+09	1.10636e+11	2.27773e+11	5.47890e+12
1.25892e+15	1.08339e+19	4.97285e+11	3.80117e+13	5.15189e+13	7.11564e+12	1.68312e+13	8.56636e+06	2.14677e+13	5.92015e+13	2.41424e+13	3.89317e+09	1.22817e+11	2.45165e+11	5.57874e+12
1.25892e+15	1.02799e+19	5.22216e+11	3.87277e+13	5.05485e+13	7.25891e+12	1.57460e+13	9.56815e+06	2.20564e+13	5.31742e+13	2.07545e+13	4.37094e+09	1.36106e+11	2.63458e+11	5.67027e+12
1.25892e+15	9.75472e+18	5.47709e+11	3.94009e+13	4.95247e+13	7.39356e+12	1.47028e+13	1.06916e+07	2.26352e+13	4.76848e+13	1.78170e+13	4.89765e+09	1.50574e+11	2.82650e+11	5.75288e+12
1.25892e+15	9.25678e+18	5.73724e+11	4.00277e+13	4.84503e+13	7.51918e+12	1.37028e+13	1.19521e+07	2.32030e+13	4.26955e+13	1.52740e+13	5.47695e+09	1.66289e+11	3.02734e+11	5.82598e+12
