# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
8.12908e+17 1.19772e+22 389204000000000.0 7.80332e+16 9.95641e+16 28973300000000.0 1.28632e+16 6517940000000000.0 32201500000.0 3.37296e+17 2.95162e+16 3.13233e+16 472466000000.0 40034500000000.0 1812940000000000.0 4195140000000000.0 1.35244e+16 32438300000.0 7164490000000.0 -5.0 [-5.0]
8.12866e+17 1.13698e+22 398009000000000.0 7.64056e+16 9.37931e+16 29957100000000.0 1.27589e+16 6221080000000000.0 34056100000.0 3.23138e+17 2.72959e+16 2.77961e+16 490597000000.0 41641600000000.0 1841780000000000.0 4097420000000000.0 1.27504e+16 34487000000.0 7468130000000.0 -4.98 [-4.98]
8.12831e+17 1.07944e+22 406914000000000.0 7.48148e+16 8.83628e+16 30962000000000.0 1.26524e+16 5930990000000000.0 36042900000.0 3.09607e+17 2.52026e+16 2.4628e+16 509207000000.0 43250800000000.0 1868970000000000.0 3997980000000000.0 1.20194e+16 36655900000.0 7780920000000.0 -4.96 [-4.96]
8.12929e+17 1.02492e+22 415966000000000.0 7.3258e+16 8.32445e+16 31987200000000.0 1.25422e+16 5648600000000000.0 38178400000.0 2.96639e+17 2.32357e+16 2.17885e+16 528476000000.0 44877700000000.0 1894850000000000.0 3896280000000000.0 1.13292e+16 38955800000.0 8105890000000.0 -4.94 [-4.94]
8.12872e+17 9.72895e+21 424618000000000.0 7.16807e+16 7.84096e+16 33004400000000.0 1.24248e+16 5372920000000000.0 40443800000.0 2.84114e+17 2.13871e+16 1.92452e+16 547403000000.0 46408900000000.0 1916270000000000.0 3792720000000000.0 1.06729e+16 41371100000.0 8430210000000.0 -4.92 [-4.92]
8.12839e+17 9.23682e+21 433518000000000.0 7.01495e+16 7.38578e+16 34053200000000.0 1.23054e+16 5104940000000000.0 42890600000.0 2.72159e+17 1.96566e+16 1.69737e+16 567111000000.0 47955800000000.0 1936600000000000.0 3687890000000000.0 1.00558e+16 43934800000.0 8767940000000.0 -4.9 [-4.9]
8.12955e+17 8.76965e+21 442275000000000.0 6.86288e+16 6.95718e+16 35118500000000.0 1.21822e+16 4844780000000000.0 45525900000.0 2.60686e+17 1.80382e+16 1.49493e+16 586875000000.0 49437800000000.0 1953650000000000.0 3582550000000000.0 9473300000000000.0 46644000000.0 9109920000000.0 -4.88 [-4.88]
8.12899e+17 8.32618e+21 451039000000000.0 6.71271e+16 6.55222e+16 36197400000000.0 1.20538e+16 4592380000000000.0 48349900000.0 2.4967e+17 1.65283e+16 1.31471e+16 607053000000.0 50888100000000.0 1968290000000000.0 3475470000000000.0 8924060000000000.0 49499100000.0 9459830000000.0 -4.86 [-4.86]
8.12884e+17 7.90452e+21 459572000000000.0 6.56342e+16 6.17036e+16 37272800000000.0 1.19201e+16 4347990000000000.0 51373300000.0 2.39078e+17 1.51226e+16 1.15444e+16 627358000000.0 52272000000000.0 1979720000000000.0 3367910000000000.0 8406240000000000.0 52510900000.0 9814470000000.0 -4.84 [-4.84]
8.12943e+17 7.50503e+21 468248000000000.0 6.417e+16 5.81043e+16 38384600000000.0 1.17838e+16 4111320000000000.0 54656700000.0 2.28956e+17 1.38153e+16 1.01234e+16 648224000000.0 53624300000000.0 1989110000000000.0 3260370000000000.0 7919980000000000.0 55709400000.0 10179800000000.0 -4.82 [-4.82]
8.12959e+17 7.12628e+21 476818000000000.0 6.27248e+16 5.47099e+16 39504600000000.0 1.16434e+16 3883300000000000.0 58181200000.0 2.19248e+17 1.26038e+16 8865580000000000.0 669370000000.0 54916300000000.0 1995740000000000.0 3152710000000000.0 7463150000000000.0 59082700000.0 10550900000000.0 -4.8 [-4.8]
8.1294e+17 6.76608e+21 485218000000000.0 6.12831e+16 5.15051e+16 40641400000000.0 1.14975e+16 3663390000000000.0 61976300000.0 2.09909e+17 1.14818e+16 7753680000000000.0 690508000000.0 56115900000000.0 1998810000000000.0 3045220000000000.0 7033130000000000.0 62636100000.0 10923800000000.0 -4.78 [-4.78]
8.12917e+17 6.42484e+21 493626000000000.0 5.98695e+16 4.84814e+16 41793000000000.0 1.13483e+16 3451760000000000.0 66069200000.0 2.00976e+17 1.04448e+16 6771780000000000.0 712217000000.0 57275900000000.0 1999910000000000.0 2938140000000000.0 6630520000000000.0 66397600000.0 11306000000000.0 -4.76 [-4.76]
8.12894e+17 6.10019e+21 501686000000000.0 5.84597e+16 4.56266e+16 42936700000000.0 1.11934e+16 3248370000000000.0 70459600000.0 1.92379e+17 9487930000000000.0 5905720000000000.0 733841000000.0 58333800000000.0 1997470000000000.0 2831820000000000.0 6252200000000000.0 70358200000.0 11688200000000.0 -4.74 [-4.74]
8.1289e+17 5.79247e+21 509807000000000.0 5.70702e+16 4.2932e+16 44112900000000.0 1.10355e+16 3053170000000000.0 75220000000.0 1.84149e+17 8607370000000000.0 5144800000000000.0 755900000000.0 59330900000000.0 1992730000000000.0 2726670000000000.0 5897810000000000.0 74555000000.0 12077200000000.0 -4.72 [-4.72]
8.12859e+17 5.50006e+21 517777000000000.0 5.56902e+16 4.03871e+16 45306200000000.0 1.0873e+16 2866110000000000.0 80358600000.0 1.76241e+17 7797790000000000.0 4476020000000000.0 777996000000.0 60232700000000.0 1984900000000000.0 2622770000000000.0 5565420000000000.0 78985600000.0 12466900000000.0 -4.7 [-4.7]
8.12886e+17 5.22315e+21 525717000000000.0 5.43356e+16 3.79866e+16 46513800000000.0 1.07079e+16 2687260000000000.0 85904100000.0 1.68685e+17 7055340000000000.0 3889650000000000.0 800714000000.0 61091600000000.0 1975460000000000.0 2520560000000000.0 5255040000000000.0 83678900000.0 12865300000000.0 -4.68 [-4.68]
8.12869e+17 4.96013e+21 533492000000000.0 5.29925e+16 3.5719e+16 47734700000000.0 1.05386e+16 2516420000000000.0 91885100000.0 1.61428e+17 6375270000000000.0 3375820000000000.0 823504000000.0 61857000000000.0 1963220000000000.0 2420060000000000.0 4964220000000000.0 88635500000.0 13263200000000.0 -4.66 [-4.66]
8.12857e+17 4.70979e+21 540905000000000.0 5.16536e+16 3.35762e+16 48946800000000.0 1.03646e+16 2353370000000000.0 98326400000.0 1.54448e+17 5752800000000000.0 2926050000000000.0 846189000000.0 62517400000000.0 1947990000000000.0 2321540000000000.0 4691450000000000.0 93870600000.0 13658300000000.0 -4.64 [-4.64]
8.12867e+17 4.47271e+21 548409000000000.0 5.03378e+16 3.15535e+16 50198800000000.0 1.01882e+16 2198180000000000.0 105300000000.0 1.47773e+17 5184830000000000.0 2533670000000000.0 869383000000.0 63126400000000.0 1931260000000000.0 2225170000000000.0 4436800000000000.0 99415900000.0 14058000000000.0 -4.62 [-4.62]
8.12888e+17 4.2479e+21 555757000000000.0 4.90401e+16 2.96444e+16 51458700000000.0 1.00091e+16 2050710000000000.0 112827000000.0 1.41382e+17 4667280000000000.0 2191500000000000.0 892865000000.0 63665500000000.0 1912660000000000.0 2131220000000000.0 4198770000000000.0 105288000000.0 14458400000000.0 -4.6 [-4.6]
8.12877e+17 4.03417e+21 562882000000000.0 4.77526e+16 2.78396e+16 52726100000000.0 9826230000000000.0 1910590000000000.0 120944000000.0 1.35245e+17 4196200000000000.0 1893250000000000.0 916422000000.0 64122000000000.0 1891950000000000.0 2039600000000000.0 3975880000000000.0 111496000000.0 14855700000000.0 -4.58 [-4.58]
