H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.20226e+14	3.38332e+18	1.21165e+10	1.52191e+12	4.73006e+12	9.21923e+08	2.50321e+11	3.90219e+12	7.66321e+04	6.60618e+11	3.88225e+13	5.10222e+13	7.93251e+05	1.24350e+07	5.54927e+08	2.25984e+09	1.90345e+11	3.06022e+03	3.82648e+05
1.20226e+14	3.20528e+18	1.30756e+10	1.59814e+12	4.78005e+12	1.00275e+09	2.65254e+11	3.82623e+12	8.56813e+04	7.02356e+11	3.65866e+13	4.58088e+13	9.27052e+05	1.46400e+07	6.40210e+08	2.52262e+09	2.01273e+11	3.70609e+03	4.54826e+05
1.20226e+14	3.03697e+18	1.40954e+10	1.67620e+12	4.82506e+12	1.08948e+09	2.80713e+11	3.74528e+12	9.57714e+04	7.45650e+11	3.44038e+13	4.10472e+13	1.08155e+06	1.72026e+07	7.37434e+08	2.81171e+09	2.12514e+11	4.48415e+03	5.39387e+05
1.20226e+14	2.87781e+18	1.51784e+10	1.75598e+12	4.86494e+12	1.18235e+09	2.96673e+11	3.65961e+12	1.07017e+05	7.90448e+11	3.22804e+13	3.67084e+13	1.25960e+06	2.01748e+07	8.48082e+08	3.12922e+09	2.24051e+11	5.42038e+03	6.38246e+05
1.20226e+14	2.72726e+18	1.63269e+10	1.83739e+12	4.89960e+12	1.28161e+09	3.13106e+11	3.56953e+12	1.19545e+05	8.36690e+11	3.02220e+13	3.27637e+13	1.46440e+06	2.36150e+07	9.73801e+08	3.47742e+09	2.35865e+11	6.54573e+03	7.53596e+05
1.20226e+14	2.58481e+18	1.75431e+10	1.92028e+12	4.92890e+12	1.38747e+09	3.29978e+11	3.47534e+12	1.33495e+05	8.84307e+11	2.82334e+13	2.91855e+13	1.69953e+06	2.75886e+07	1.11641e+09	3.85865e+09	2.47933e+11	7.89685e+03	8.87929e+05
1.20226e+14	2.45001e+18	1.88292e+10	2.00454e+12	4.95274e+12	1.50013e+09	3.47249e+11	3.37740e+12	1.49024e+05	9.33223e+11	2.63187e+13	2.59474e+13	1.96894e+06	3.21689e+07	1.27789e+09	4.27538e+09	2.60230e+11	9.51715e+03	1.04407e+06
1.20226e+14	2.32240e+18	2.01873e+10	2.09001e+12	4.97103e+12	1.61980e+09	3.64878e+11	3.27606e+12	1.66313e+05	9.83365e+11	2.44809e+13	2.30232e+13	2.27710e+06	3.74383e+07	1.46047e+09	4.73023e+09	2.72730e+11	1.14584e+04	1.22524e+06
1.20226e+14	2.20160e+18	2.16189e+10	2.17651e+12	4.98367e+12	1.74659e+09	3.82810e+11	3.17173e+12	1.85548e+05	1.03462e+12	2.27233e+13	2.03894e+13	2.62876e+06	4.34860e+07	1.66649e+09	5.22577e+09	2.85398e+11	1.37805e+04	1.43502e+06
1.20226e+14	2.08719e+18	2.31252e+10	2.26382e+12	4.99058e+12	1.88060e+09	4.00988e+11	3.06480e+12	2.06944e+05	1.08689e+12	2.10473e+13	1.80221e+13	3.02924e+06	5.04127e+07	1.89859e+09	5.76486e+09	2.98203e+11	1.65552e+04	1.67753e+06
1.20226e+14	1.97883e+18	2.47078e+10	2.35177e+12	4.99169e+12	2.02193e+09	4.19354e+11	2.95570e+12	2.30746e+05	1.14008e+12	1.94542e+13	1.58993e+13	3.48444e+06	5.83295e+07	2.15961e+09	6.35033e+09	3.11107e+11	1.98668e+04	1.95737e+06
1.20226e+14	1.87619e+18	2.63679e+10	2.44012e+12	4.98693e+12	2.17069e+09	4.37850e+11	2.84485e+12	2.57235e+05	1.19409e+12	1.79446e+13	1.40001e+13	4.00088e+06	6.73588e+07	2.45265e+09	6.98509e+09	3.24071e+11	2.38142e+04	2.27971e+06
