H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.65958e+17	8.78989e+20	6.22169e+15	8.41829e+17	6.01247e+17	7.11199e+14	1.52615e+17	1.10222e+17	1.31863e+12	1.77982e+18	4.35775e+17	1.83160e+17	7.86643e+12	9.49654e+14	1.09168e+16	6.36546e+16	8.91440e+16	8.60677e+11	3.23680e+13
1.65964e+17	8.31301e+20	6.36035e+15	8.25028e+17	5.73646e+17	7.23345e+14	1.50407e+17	1.02931e+17	1.37742e+12	1.71423e+18	3.90413e+17	1.55141e+17	8.01281e+12	9.71372e+14	1.08046e+16	6.07940e+16	8.58272e+16	8.93501e+11	3.32476e+13
1.65958e+17	7.85493e+20	6.50820e+15	8.08680e+17	5.46136e+17	7.36083e+14	1.48189e+17	9.57877e+16	1.44018e+12	1.65036e+18	3.47880e+17	1.30325e+17	8.15930e+12	9.92443e+14	1.06837e+16	5.80253e+16	8.26281e+16	9.28174e+11	3.41506e+13
1.65963e+17	7.41326e+20	6.65656e+15	7.92018e+17	5.18920e+17	7.48430e+14	1.45825e+17	8.87914e+16	1.50456e+12	1.58793e+18	3.08075e+17	1.08411e+17	8.29377e+12	1.01151e+15	1.05408e+16	5.53353e+16	7.95233e+16	9.62659e+11	3.50184e+13
1.65962e+17	6.99026e+20	6.81430e+15	7.75642e+17	4.91853e+17	7.61653e+14	1.43416e+17	8.20402e+16	1.57483e+12	1.52631e+18	2.71067e+17	8.92079e+16	8.42838e+12	1.03058e+15	1.03918e+16	5.27351e+16	7.65304e+16	9.99945e+11	3.59179e+13
1.65960e+17	6.58374e+20	6.97713e+15	7.59095e+17	4.64906e+17	7.74513e+14	1.40852e+17	7.55233e+16	1.64688e+12	1.46595e+18	2.36828e+17	7.25545e+16	8.55359e+12	1.04697e+15	1.02251e+16	5.02315e+16	7.36169e+16	1.03709e+12	3.67848e+13
1.65964e+17	6.19339e+20	7.14909e+15	7.42593e+17	4.37968e+17	7.87885e+14	1.38191e+17	6.92512e+16	1.72403e+12	1.40675e+18	2.05236e+17	5.82057e+16	8.67522e+12	1.06219e+15	1.00494e+16	4.78256e+16	7.07712e+16	1.07611e+12	3.76528e+13
1.65958e+17	5.81704e+20	7.32778e+15	7.25474e+17	4.10975e+17	8.00883e+14	1.35286e+17	6.32405e+16	1.80373e+12	1.34831e+18	1.76300e+17	4.60243e+16	8.78574e+12	1.07439e+15	9.85692e+15	4.55112e+16	6.79477e+16	1.11489e+12	3.84764e+13
1.65963e+17	5.45761e+20	7.51619e+15	7.08323e+17	3.84342e+17	8.14539e+14	1.32266e+17	5.75566e+16	1.89048e+12	1.29062e+18	1.49807e+17	3.56021e+16	8.89697e+12	1.08594e+15	9.65760e+15	4.33000e+16	6.52010e+16	1.15643e+12	3.93090e+13
1.65958e+17	5.11242e+20	7.70856e+15	6.90029e+17	3.57720e+17	8.27293e+14	1.28893e+17	5.22206e+16	1.97973e+12	1.23338e+18	1.26199e+17	2.72373e+16	8.99341e+12	1.09392e+15	9.43875e+15	4.11794e+16	6.24362e+16	1.19703e+12	4.00592e+13
1.65965e+17	4.78610e+20	7.91169e+15	6.71676e+17	3.31607e+17	8.41268e+14	1.25432e+17	4.72775e+16	2.07934e+12	1.17703e+18	1.05161e+17	2.04303e+16	9.09777e+12	1.10219e+15	9.22224e+15	3.91712e+16	5.97336e+16	1.24204e+12	4.08307e+13
1.65958e+17	4.47309e+20	8.12735e+15	6.52171e+17	3.05559e+17	8.54673e+14	1.21633e+17	4.27193e+16	2.18338e+12	1.12072e+18	8.66710e+16	1.51192e+16	9.19739e+12	1.10655e+15	8.99619e+15	3.72725e+16	5.69873e+16	1.28712e+12	4.15624e+13
1.65969e+17	4.17320e+20	8.35800e+15	6.31852e+17	2.79968e+17	8.69280e+14	1.17618e+17	3.84513e+16	2.30038e+12	1.06571e+18	7.01522e+16	1.09370e+16	9.30712e+12	1.11019e+15	8.77107e+15	3.54628e+16	5.42149e+16	1.33664e+12	4.22945e+13
1.65960e+17	3.88936e+20	8.58055e+15	6.09344e+17	2.55434e+17	8.81552e+14	1.13162e+17	3.46397e+16	2.41746e+12	1.01054e+18	5.66738e+16	7.96515e+15	9.41450e+12	1.10917e+15	8.52154e+15	3.37530e+16	5.13690e+16	1.38231e+12	4.28890e+13
1.65962e+17	3.61619e+20	8.81356e+15	5.85494e+17	2.31624e+17	8.93875e+14	1.08415e+17	3.11527e+16	2.54403e+12	9.55393e+17	4.52157e+16	5.70227e+15	9.53671e+12	1.10494e+15	8.26735e+15	3.21315e+16	4.84724e+16	1.42971e+12	4.34510e+13
1.65957e+17	3.36698e+20	9.01431e+15	5.61601e+17	2.10159e+17	9.07351e+14	1.03823e+17	2.79618e+16	2.69106e+12	9.04881e+17	3.58469e+16	4.06925e+15	9.66070e+12	1.10767e+15	8.01306e+15	3.05949e+16	4.56970e+16	1.48398e+12	4.38699e+13
1.65973e+17	3.10863e+20	9.24044e+15	5.33487e+17	1.88235e+17	9.20413e+14	9.83613e+16	2.49527e+16	2.84845e+12	8.49748e+17	2.80979e+16	2.87915e+15	9.83922e+12	1.09931e+15	7.74530e+15	2.90727e+16	4.25569e+16	1.53673e+12	4.42623e+13
1.65962e+17	2.89358e+20	9.41086e+15	5.08634e+17	1.70372e+17	9.34407e+14	9.37465e+16	2.23651e+16	3.02524e+12	8.04041e+17	2.22764e+16	2.07770e+15	1.00043e+13	1.10377e+15	7.50039e+15	2.77195e+16	3.98778e+16	1.59757e+12	4.45418e+13
1.65960e+17	2.68986e+20	9.53729e+15	4.82432e+17	1.54260e+17	9.49643e+14	8.89960e+16	2.00209e+16	3.23363e+12	7.58562e+17	1.79293e+16	1.54509e+15	1.02088e+13	1.11375e+15	7.25371e+15	2.63790e+16	3.71751e+16	1.66814e+12	4.47273e+13
1.65961e+17	2.50340e+20	9.63527e+15	4.56984e+17	1.39913e+17	9.65858e+14	8.44819e+16	1.79181e+16	3.46547e+12	7.16027e+17	1.46146e+16	1.17664e+15	1.04351e+13	1.12808e+15	7.02065e+15	2.51260e+16	3.46040e+16	1.74562e+12	4.48464e+13
1.65973e+17	2.32967e+20	9.69956e+15	4.32016e+17	1.27011e+17	9.83862e+14	8.01376e+16	1.59962e+16	3.73261e+12	6.75487e+17	1.19736e+16	9.05398e+14	1.06901e+13	1.14864e+15	6.79580e+15	2.39191e+16	3.21209e+16	1.83443e+12	4.48988e+13
1.65967e+17	2.16749e+20	9.72901e+15	4.07541e+17	1.15433e+17	1.00260e+15	7.59208e+16	1.42731e+16	4.03111e+12	6.36509e+17	9.87931e+15	7.05342e+14	1.09628e+13	1.17351e+15	6.57468e+15	2.27581e+16	2.97395e+16	1.93178e+12	4.48436e+13
1.65957e+17	2.01652e+20	9.73169e+15	3.84064e+17	1.04922e+17	1.02314e+15	7.19363e+16	1.26918e+16	4.37054e+12	5.99696e+17	8.14470e+15	5.49498e+14	1.12565e+13	1.20468e+15	6.36525e+15	2.16511e+16	2.74644e+16	2.04207e+12	4.47370e+13
1.65970e+17	1.88210e+20	9.72963e+15	3.62865e+17	9.56016e+16	1.04515e+15	6.83994e+16	1.12808e+16	4.74067e+12	5.67033e+17	6.72901e+15	4.29507e+14	1.15655e+13	1.23958e+15	6.17433e+15	2.06443e+16	2.54046e+16	2.16182e+12	4.46664e+13
1.65962e+17	1.75207e+20	9.69598e+15	3.41587e+17	8.69284e+16	1.06863e+15	6.48584e+16	9.98103e+15	5.16257e+12	5.34628e+17	5.55400e+15	3.36123e+14	1.18952e+13	1.27959e+15	5.98529e+15	1.96442e+16	2.33658e+16	2.29517e+12	4.44861e+13
1.65958e+17	1.63445e+20	9.64555e+15	3.21793e+17	7.93289e+16	1.09233e+15	6.15562e+16	8.86355e+15	5.62539e+12	5.04379e+17	4.62348e+15	2.65967e+14	1.22294e+13	1.32410e+15	5.80468e+15	1.87060e+16	2.15016e+16	2.44101e+12	4.43222e+13
1.65957e+17	1.52129e+20	9.56748e+15	3.02228e+17	7.22732e+16	1.11739e+15	5.82810e+16	7.84039e+15	6.15158e+12	4.74690e+17	3.84071e+15	2.10264e+14	1.25733e+13	1.37435e+15	5.62554e+15	1.77782e+16	1.96805e+16	2.60352e+12	4.40799e+13
1.65959e+17	1.41889e+20	9.48446e+15	2.84273e+17	6.59738e+16	1.14304e+15	5.52764e+16	6.94083e+15	6.72707e+12	4.47514e+17	3.19870e+15	1.66745e+14	1.29232e+13	1.42808e+15	5.45564e+15	1.69114e+16	1.80195e+16	2.78016e+12	4.38872e+13
1.65958e+17	1.32457e+20	9.38439e+15	2.67349e+17	6.03800e+16	1.16813e+15	5.24126e+16	6.15874e+15	7.35241e+12	4.21847e+17	2.67487e+15	1.32990e+14	1.32645e+13	1.48450e+15	5.28569e+15	1.60847e+16	1.64864e+16	2.96934e+12	4.36866e+13
1.65970e+17	1.23576e+20	9.26840e+15	2.51134e+17	5.52478e+16	1.19452e+15	4.96523e+16	5.45488e+15	8.06126e+12	3.97234e+17	2.23725e+15	1.06170e+14	1.36027e+13	1.54740e+15	5.11882e+15	1.52766e+16	1.50338e+16	3.18236e+12	4.35019e+13
1.65957e+17	1.15449e+20	9.14600e+15	2.36085e+17	5.06489e+16	1.22061e+15	4.70673e+16	4.83782e+15	8.83354e+12	3.74327e+17	1.87731e+15	8.51036e+13	1.39281e+13	1.61304e+15	4.95579e+15	1.45097e+16	1.37046e+16	3.41259e+12	4.33623e+13
1.65959e+17	1.07879e+20	9.02039e+15	2.21916e+17	4.64239e+16	1.24748e+15	4.46186e+16	4.28193e+15	9.68546e+12	3.52833e+17	1.57309e+15	6.81102e+13	1.42532e+13	1.68136e+15	4.79754e+15	1.37721e+16	1.24638e+16	3.66347e+12	4.32558e+13
1.65964e+17	1.00886e+20	8.89451e+15	2.08689e+17	4.25792e+16	1.27454e+15	4.23140e+16	3.78748e+15	1.06101e+13	3.32796e+17	1.31823e+15	5.45118e+13	1.45735e+13	1.75050e+15	4.64312e+15	1.30688e+16	1.13198e+16	3.93308e+12	4.31890e+13
1.65964e+17	9.45436e+19	8.77517e+15	1.96582e+17	3.91338e+16	1.30133e+15	4.01822e+16	3.35731e+15	1.15997e+13	3.14414e+17	1.10828e+15	4.37833e+13	1.48899e+13	1.81831e+15	4.49264e+15	1.24099e+16	1.02890e+16	4.22031e+12	4.31809e+13
1.65970e+17	8.84367e+19	8.63653e+15	1.84757e+17	3.59139e+16	1.32928e+15	3.80722e+16	2.96540e+15	1.27378e+13	2.96351e+17	9.29845e+14	3.51039e+13	1.51740e+13	1.89456e+15	4.33929e+15	1.17454e+16	9.30226e+15	4.54814e+12	4.32028e+13
1.65961e+17	8.27748e+19	8.49847e+15	1.73700e+17	3.29697e+16	1.35715e+15	3.60758e+16	2.61813e+15	1.39792e+13	2.79426e+17	7.80013e+14	2.81258e+13	1.54421e+13	1.97117e+15	4.18752e+15	1.11078e+16	8.39606e+15	4.90323e+12	4.32701e+13
1.65959e+17	7.75691e+19	8.37098e+15	1.63482e+17	3.02693e+16	1.38534e+15	3.42129e+16	2.31016e+15	1.53214e+13	2.63793e+17	6.53616e+14	2.24903e+13	1.57103e+13	2.04563e+15	4.04038e+15	1.05044e+16	7.56999e+15	5.28359e+12	4.33819e+13
1.65961e+17	7.27369e+19	8.23968e+15	1.53895e+17	2.78219e+16	1.41330e+15	3.24377e+16	2.04120e+15	1.67976e+13	2.49003e+17	5.49148e+14	1.80484e+13	1.59487e+13	2.12161e+15	3.89178e+15	9.92179e+15	6.81673e+15	5.70168e+12	4.35559e+13
1.65958e+17	6.81878e+19	8.10474e+15	1.44794e+17	2.55600e+16	1.44138e+15	3.07295e+16	1.80090e+15	1.84273e+13	2.34900e+17	4.60670e+14	1.44560e+13	1.61600e+13	2.19847e+15	3.74191e+15	9.35404e+15	6.11951e+15	6.16035e+12	4.37644e+13
1.65967e+17	6.39698e+19	7.97415e+15	1.36301e+17	2.34838e+16	1.46957e+15	2.91156e+16	1.58847e+15	2.02130e+13	2.21676e+17	3.86478e+14	1.15748e+13	1.63512e+13	2.27484e+15	3.59435e+15	8.80990e+15	5.48397e+15	6.66213e+12	4.40336e+13
1.65958e+17	6.00075e+19	7.84332e+15	1.28266e+17	2.15638e+16	1.49777e+15	2.75676e+16	1.39954e+15	2.21773e+13	2.09089e+17	3.23864e+14	9.25544e+12	1.65150e+13	2.35000e+15	3.44582e+15	8.28231e+15	4.90038e+15	7.21286e+12	4.43361e+13
1.65968e+17	5.63318e+19	7.71765e+15	1.20769e+17	1.98005e+16	1.52611e+15	2.61047e+16	1.23303e+15	2.43283e+13	1.97281e+17	2.71424e+14	7.40504e+12	1.66584e+13	2.42355e+15	3.29918e+15	7.77850e+15	4.37053e+15	7.81868e+12	4.46968e+13
1.65961e+17	5.29031e+19	7.59378e+15	1.13734e+17	1.81784e+16	1.55421e+15	2.47137e+16	1.08591e+15	2.66747e+13	1.86137e+17	2.27323e+14	5.92178e+12	1.67747e+13	2.49415e+15	3.15275e+15	7.29578e+15	3.88959e+15	8.47989e+12	4.50920e+13
1.65959e+17	4.97070e+19	7.47391e+15	1.07141e+17	1.66830e+16	1.58214e+15	2.33939e+16	9.55842e+14	2.92337e+13	1.75626e+17	1.90242e+14	4.73242e+12	1.68681e+13	2.56144e+15	3.00754e+15	6.83371e+15	3.45440e+15	9.20036e+12	4.55284e+13
1.65958e+17	4.67339e+19	7.35849e+15	1.00972e+17	1.53102e+16	1.61004e+15	2.21422e+16	8.41731e+14	3.20351e+13	1.65704e+17	1.59346e+14	3.78828e+12	1.69361e+13	2.62483e+15	2.86407e+15	6.39263e+15	3.06292e+15	9.98767e+12	4.59978e+13
1.65968e+17	4.39820e+19	7.25067e+15	9.52384e+16	1.40478e+16	1.63766e+15	2.09659e+16	7.41332e+14	3.50685e+13	1.56420e+17	1.33474e+14	3.03309e+12	1.69869e+13	2.68346e+15	2.72425e+15	5.97498e+15	2.71253e+15	1.08407e+13	4.65099e+13
1.65958e+17	4.13645e+19	7.14024e+15	8.97530e+16	1.28700e+16	1.66497e+15	1.98272e+16	6.51245e+14	3.83904e+13	1.47484e+17	1.11388e+14	2.41867e+12	1.70057e+13	2.73766e+15	2.58354e+15	5.57016e+15	2.39195e+15	1.17718e+13	4.70281e+13
1.65960e+17	3.89449e+19	7.03663e+15	8.46556e+16	1.17950e+16	1.69180e+15	1.87570e+16	5.72775e+14	4.19756e+13	1.39115e+17	9.30690e+13	1.93216e+12	1.70048e+13	2.78572e+15	2.44604e+15	5.18877e+15	2.10874e+15	1.27791e+13	4.75811e+13
1.65958e+17	3.66652e+19	6.93560e+15	7.98308e+16	1.07950e+16	1.71841e+15	1.77329e+16	5.02967e+14	4.58882e+13	1.31133e+17	7.75914e+13	1.54023e+12	1.69803e+13	2.82825e+15	2.31066e+15	4.82380e+15	1.85307e+15	1.38772e+13	4.81463e+13
1.65958e+17	3.45365e+19	6.83951e+15	7.53050e+16	9.87256e+15	1.74463e+15	1.67621e+16	4.41506e+14	5.01271e+13	1.23589e+17	6.46396e+13	1.22725e+12	1.69363e+13	2.86446e+15	2.17872e+15	4.47840e+15	1.62540e+15	1.50684e+13	4.87273e+13
1.65966e+17	3.25506e+19	6.74793e+15	7.10627e+16	9.02424e+15	1.77046e+15	1.58430e+16	3.87506e+14	5.47089e+13	1.16466e+17	5.38232e+13	9.77795e+11	1.68738e+13	2.89428e+15	2.05046e+15	4.15267e+15	1.42345e+15	1.63595e+13	4.93239e+13
1.65961e+17	3.06907e+19	6.66037e+15	6.70712e+16	8.24092e+15	1.79563e+15	1.49698e+16	3.39944e+14	5.96516e+13	1.09714e+17	4.47774e+13	7.78660e+11	1.67922e+13	2.91711e+15	1.92603e+15	3.84516e+15	1.24425e+15	1.77557e+13	4.99215e+13
1.65958e+17	2.89501e+19	6.57745e+15	6.33186e+16	7.51814e+15	1.82033e+15	1.41415e+16	2.98066e+14	6.49851e+13	1.03321e+17	3.72151e+13	6.19710e+11	1.66945e+13	2.93317e+15	1.80586e+15	3.55572e+15	1.08563e+15	1.92674e+13	5.05209e+13
1.65958e+17	2.73163e+19	6.49702e+15	5.97795e+16	6.85218e+15	1.84435e+15	1.33532e+16	2.61174e+14	7.07334e+13	9.72537e+16	3.08901e+13	4.92765e+11	1.65776e+13	2.94255e+15	1.68964e+15	3.28327e+15	9.45340e+14	2.09029e+13	5.11177e+13
1.65965e+17	2.57949e+19	6.42224e+15	5.64688e+16	6.24095e+15	1.86785e+15	1.26100e+16	2.28868e+14	7.68970e+13	9.15413e+16	2.56354e+13	3.91964e+11	1.64500e+13	2.94536e+15	1.57882e+15	3.02925e+15	8.22398e+14	2.26672e+13	5.17133e+13
1.65963e+17	2.43733e+19	6.35024e+15	5.33598e+16	5.68160e+15	1.89048e+15	1.19065e+16	2.00569e+14	8.34750e+13	8.61477e+16	2.12654e+13	3.11812e+11	1.63074e+13	2.94165e+15	1.47281e+15	2.79246e+15	7.14784e+14	2.45632e+13	5.22967e+13
1.65959e+17	2.30282e+19	6.28177e+15	5.04053e+16	5.16094e+15	1.91240e+15	1.12332e+16	1.75462e+14	9.05690e+13	8.09926e+16	1.75977e+13	2.47544e+11	1.61506e+13	2.93122e+15	1.37122e+15	2.56939e+15	6.19418e+14	2.66172e+13	5.28583e+13
1.65960e+17	2.17862e+19	6.21717e+15	4.76630e+16	4.69161e+15	1.93358e+15	1.06038e+16	1.53734e+14	9.80669e+13	7.61872e+16	1.45827e+13	1.96943e+11	1.59853e+13	2.91557e+15	1.27557e+15	2.36464e+15	5.37379e+14	2.88135e+13	5.34153e+13
1.65965e+17	2.06211e+19	6.15564e+15	4.50776e+16	4.26120e+15	1.95388e+15	1.00066e+16	1.34668e+14	1.06058e+14	7.16391e+16	1.20763e+13	1.56683e+11	1.58085e+13	2.89425e+15	1.18483e+15	2.17426e+15	4.65840e+14	3.11763e+13	5.39566e+13
1.65961e+17	1.95219e+19	6.09735e+15	4.26280e+16	3.86264e+15	1.97327e+15	9.43767e+15	1.17795e+14	1.14581e+14	6.73124e+16	9.98129e+12	1.24468e+11	1.56231e+13	2.86740e+15	1.09909e+15	1.99658e+15	4.02836e+14	3.37160e+13	5.44602e+13
1.65959e+17	1.85034e+19	6.04161e+15	4.03459e+16	3.50417e+15	1.99175e+15	8.90439e+15	1.03190e+14	1.23543e+14	6.32724e+16	8.26014e+12	9.90831e+10	1.54305e+13	2.83646e+15	1.01881e+15	1.83402e+15	3.48916e+14	3.64248e+13	5.49497e+13
1.65966e+17	1.75343e+19	5.98851e+15	3.81654e+16	3.16974e+15	2.00925e+15	8.39261e+15	9.01710e+13	1.33133e+14	5.94013e+16	6.81462e+12	7.86633e+10	1.52288e+13	2.80055e+15	9.42888e+14	1.68154e+15	3.01118e+14	3.93465e+13	5.53997e+13
1.65961e+17	1.66250e+19	5.93762e+15	3.61096e+16	2.86468e+15	2.02556e+15	7.90791e+15	7.87750e+13	1.43242e+14	5.57470e+16	5.61903e+12	6.24612e+10	1.50199e+13	2.76054e+15	8.71829e+14	1.54093e+15	2.59731e+14	4.24666e+13	5.58128e+13
1.65960e+17	1.57705e+19	5.88809e+15	3.41685e+16	2.58670e+15	2.04074e+15	7.44815e+15	6.87857e+13	1.53902e+14	5.22938e+16	4.62857e+12	4.95784e+10	1.48036e+13	2.71708e+15	8.05259e+14	1.41119e+15	2.23863e+14	4.58019e+13	5.61936e+13
1.65959e+17	1.49677e+19	5.84051e+15	3.23360e+16	2.33332e+15	2.05470e+15	7.01251e+15	6.00378e+13	1.65114e+14	4.90345e+16	3.81017e+12	3.93547e+10	1.45818e+13	2.67049e+15	7.43198e+14	1.29174e+15	1.92838e+14	4.93616e+13	5.65373e+13
1.65964e+17	1.42123e+19	5.79430e+15	3.06039e+16	2.10260e+15	2.06745e+15	6.59924e+15	5.23730e+13	1.76902e+14	4.59555e+16	3.13349e+12	3.12319e+10	1.43544e+13	2.62120e+15	6.85339e+14	1.18177e+15	1.65996e+14	5.31611e+13	5.68427e+13
1.65961e+17	1.35015e+19	5.74910e+15	2.89670e+16	1.89303e+15	2.07878e+15	6.20751e+15	4.56651e+13	1.89225e+14	4.30511e+16	2.57502e+12	2.47839e+10	1.41221e+13	2.56957e+15	6.31535e+14	1.08072e+15	1.42835e+14	5.72013e+13	5.71084e+13
1.65959e+17	1.28334e+19	5.70515e+15	2.74213e+16	1.70294e+15	2.08880e+15	5.83663e+15	3.98022e+13	2.02100e+14	4.03150e+16	2.11472e+12	1.96695e+10	1.38863e+13	2.51613e+15	5.81637e+14	9.88042e+14	1.22877e+14	6.14956e+13	5.73318e+13
1.65959e+17	1.22030e+19	5.66172e+15	2.59570e+16	1.53037e+15	2.09734e+15	5.48452e+15	3.46653e+13	2.15531e+14	3.77315e+16	1.73477e+12	1.56042e+10	1.36461e+13	2.46103e+15	5.35298e+14	9.02868e+14	1.05641e+14	6.60584e+13	5.75139e+13
1.65963e+17	1.16086e+19	5.61905e+15	2.45709e+16	1.37393e+15	2.10446e+15	5.15059e+15	3.01726e+13	2.29536e+14	3.52945e+16	1.42180e+12	1.15922e+10	1.34028e+13	2.40466e+15	4.92387e+14	8.24763e+14	9.07779e+13	7.09037e+13	5.76504e+13
1.65960e+17	1.10491e+19	5.57662e+15	2.32611e+16	1.23283e+15	2.11001e+15	4.83465e+15	2.62527e+13	2.44032e+14	3.30034e+16	1.16464e+12	8.17708e+09	1.31571e+13	2.34752e+15	4.52732e+14	7.53300e+14	7.80145e+13	7.60252e+13	5.77466e+13
1.65959e+17	1.05229e+19	5.53466e+15	2.20250e+16	1.10577e+15	2.11419e+15	4.53605e+15	2.28351e+13	2.59038e+14	3.08518e+16	9.53508e+11	5.53760e+09	1.29102e+13	2.29009e+15	4.16139e+14	6.87992e+14	6.70653e+13	8.14424e+13	5.78067e+13
1.65959e+17	1.00253e+19	5.49230e+15	2.08526e+16	9.90952e+14	2.11672e+15	4.25266e+15	1.98459e+13	2.74565e+14	2.88226e+16	7.79745e+11	3.37498e+09	1.26605e+13	2.23220e+15	3.82277e+14	6.28100e+14	5.76331e+13	8.71680e+13	5.78242e+13
1.65959e+17	9.55517e+18	5.44996e+15	1.97418e+16	8.87338e+14	2.11765e+15	3.98420e+15	1.72355e+13	2.90587e+14	2.69129e+16	6.37061e+11	0	1.24097e+13	2.17418e+15	3.51033e+14	5.73285e+14	4.95237e+13	9.32082e+13	5.77991e+13
1.65965e+17	9.11113e+18	5.40770e+15	1.86899e+16	7.93964e+14	2.11701e+15	3.73008e+15	1.49577e+13	3.07094e+14	2.51173e+16	5.19992e+11	0	1.21585e+13	2.11632e+15	3.22233e+14	5.23154e+14	4.25530e+13	9.95735e+13	5.77338e+13
1.65962e+17	8.68990e+18	5.36435e+15	1.76903e+16	7.09787e+14	2.11450e+15	3.48888e+15	1.29682e+13	3.24057e+14	2.34243e+16	4.23905e+11	0	1.19051e+13	2.05848e+15	2.95620e+14	4.77208e+14	3.65500e+13	1.06267e+14	5.76229e+13
1.65960e+17	8.29182e+18	5.32070e+15	1.67439e+16	6.34155e+14	2.11037e+15	3.26087e+15	1.12354e+13	3.41440e+14	2.18349e+16	3.45272e+11	0	1.16520e+13	2.00118e+15	2.71125e+14	4.35235e+14	3.13993e+13	1.13292e+14	5.74740e+13
1.65960e+17	7.91688e+18	5.27698e+15	1.58511e+16	5.66525e+14	2.10476e+15	3.04615e+15	9.73088e+12	3.59192e+14	2.03482e+16	2.81135e+11	0	1.14011e+13	1.94486e+15	2.48646e+14	3.96996e+14	2.69960e+13	1.20649e+14	5.72961e+13
1.65960e+17	7.56026e+18	5.23189e+15	1.50017e+16	5.05638e+14	2.09730e+15	2.84241e+15	8.41722e+12	3.77354e+14	1.89465e+16	2.28532e+11	0	1.11490e+13	1.88899e+15	2.27866e+14	3.61931e+14	2.32010e+13	1.28354e+14	5.70769e+13
1.65959e+17	7.22209e+18	5.18610e+15	1.41958e+16	4.50969e+14	2.08808e+15	2.64986e+15	7.27419e+12	3.95868e+14	1.76303e+16	1.85577e+11	0	1.08978e+13	1.83387e+15	2.08751e+14	3.29885e+14	1.99393e+13	1.36399e+14	5.68199e+13
1.65960e+17	6.90115e+18	5.13945e+15	1.34310e+16	4.01921e+14	2.07712e+15	2.46793e+15	6.28016e+12	4.14719e+14	1.63941e+16	1.50519e+11	0	1.06475e+13	1.77958e+15	1.91162e+14	3.00599e+14	1.71353e+13	1.44786e+14	5.65253e+13
1.65960e+17	6.59644e+18	5.09179e+15	1.27054e+16	3.57984e+14	2.06442e+15	2.29618e+15	5.41651e+12	4.33860e+14	1.52340e+16	1.21938e+11	0	1.03986e+13	1.72622e+15	1.74980e+14	2.73838e+14	1.47273e+13	1.53506e+14	5.61955e+13
1.65960e+17	6.30611e+18	5.04278e+15	1.20150e+16	3.18537e+14	2.04984e+15	2.13380e+15	4.66548e+12	4.53287e+14	1.41433e+16	9.86279e+10	0	1.01502e+13	1.67364e+15	1.60069e+14	2.49345e+14	1.26523e+13	1.62555e+14	5.58269e+13
1.65959e+17	6.02951e+18	4.99227e+15	1.13585e+16	2.83197e+14	2.03342e+15	1.98046e+15	4.01334e+12	4.72966e+14	1.31185e+16	7.96455e+10	0	9.90266e+12	1.62195e+15	1.46334e+14	2.26938e+14	1.08673e+13	1.71922e+14	5.54220e+13
1.65959e+17	5.76642e+18	4.94063e+15	1.07356e+16	2.51606e+14	2.01527e+15	1.83609e+15	3.44840e+12	4.92842e+14	1.21584e+16	6.42321e+10	0	9.65721e+12	1.57133e+15	1.33711e+14	2.06477e+14	9.33395e+12	1.81587e+14	5.49860e+13
1.65959e+17	5.51584e+18	4.88763e+15	1.01439e+16	2.23378e+14	1.99538e+15	1.70020e+15	2.95924e+12	5.12886e+14	1.12586e+16	5.17251e+10	0	9.41369e+12	1.52175e+15	1.22105e+14	1.87783e+14	8.01624e+12	1.91531e+14	5.45191e+13
1.65959e+17	5.27699e+18	4.83328e+15	9.58201e+15	1.98163e+14	1.97376e+15	1.57242e+15	2.53627e+12	5.33061e+14	1.04158e+16	4.15930e+10	0	9.17230e+12	1.47323e+15	1.11444e+14	1.70713e+14	6.88398e+12	2.01725e+14	5.40204e+13
