H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.20226e+14	1.98732e+18	2.99151e+11	9.08441e+13	5.14184e+14	2.49244e+10	1.69848e+13	3.53741e+14	2.16337e+06	5.29888e+13	3.10217e+15	2.20324e+15	1.47436e+07	4.95562e+08	4.92923e+10	6.25140e+11	2.83017e+13	4.07627e+05	5.24820e+07
1.20226e+14	1.86060e+18	3.20538e+11	9.36311e+13	5.16342e+14	2.78505e+10	1.82362e+13	3.42298e+14	2.65390e+06	5.75471e+13	2.86468e+15	1.91891e+15	1.70678e+07	5.58037e+08	5.51887e+10	7.07666e+11	2.98421e+13	5.05848e+05	5.98407e+07
1.20226e+14	1.74039e+18	3.44428e+11	9.65102e+13	5.17727e+14	3.11966e+10	1.95668e+13	3.30225e+14	3.26343e+06	6.23725e+13	2.63486e+15	1.66376e+15	1.97905e+07	6.28395e+08	6.16881e+10	8.00468e+11	3.14087e+13	6.27620e+05	6.79131e+07
1.20226e+14	1.62620e+18	3.71313e+11	9.95185e+13	5.18285e+14	3.50339e+10	2.09787e+13	3.17523e+14	4.02195e+06	6.74575e+13	2.41323e+15	1.43562e+15	2.29929e+07	7.08156e+08	6.88636e+10	9.04835e+11	3.29956e+13	7.78666e+05	7.66918e+07
1.20226e+14	1.51724e+18	4.01813e+11	1.02695e+14	5.17953e+14	3.94548e+10	2.24763e+13	3.04163e+14	4.96991e+06	7.27993e+13	2.19987e+15	1.23160e+15	2.67748e+07	7.99119e+08	7.68029e+10	1.02262e+12	3.46005e+13	9.66508e+05	8.61228e+07
1.20226e+14	1.41304e+18	4.36793e+11	1.06109e+14	5.16632e+14	4.45681e+10	2.40616e+13	2.90136e+14	6.15751e+06	7.83788e+13	1.99510e+15	1.04984e+15	3.12700e+07	9.04212e+08	8.56447e+10	1.15576e+12	3.62162e+13	1.20048e+06	9.61282e+07
1.20226e+14	1.31318e+18	4.77471e+11	1.09862e+14	5.14209e+14	5.05125e+10	2.57366e+13	2.75438e+14	7.65062e+06	8.41704e+13	1.79932e+15	8.88412e+14	3.66595e+07	1.02780e+09	9.55965e+10	1.30653e+12	3.78339e+13	1.49277e+06	1.06602e+08
1.20226e+14	1.21715e+18	5.25457e+11	1.14083e+14	5.10520e+14	5.74525e+10	2.75003e+13	2.60047e+14	9.53462e+06	9.01298e+13	1.61267e+15	7.45552e+14	4.31861e+07	1.17639e+09	1.06970e+11	1.47779e+12	3.94435e+13	1.85909e+06	1.17403e+08
1.20226e+14	1.12422e+18	5.83119e+11	1.18952e+14	5.05331e+14	6.56114e+10	2.93521e+13	2.43905e+14	1.19282e+07	9.62001e+13	1.43498e+15	6.19315e+14	5.11950e+07	1.36010e+09	1.20257e+11	1.67351e+12	4.10347e+13	2.32121e+06	1.28377e+08
1.20226e+14	1.03339e+18	6.54111e+11	1.24741e+14	4.98294e+14	7.52948e+10	3.12895e+13	2.26891e+14	1.50011e+07	1.02296e+14	1.26564e+15	5.07786e+14	6.12044e+07	1.59564e+09	1.36266e+11	1.89965e+12	4.25974e+13	2.91016e+06	1.39420e+08
