H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
2.13796e+14	2.43372e+19	2.23927e+09	6.60726e+11	5.64474e+12	9.33133e+10	8.81476e+12	7.00752e+03	2.27044e+11	1.82938e+14	7.28810e+14	3.11562e+05	2.68402e+07	2.57623e+08	7.74292e+10
2.13796e+14	2.29500e+19	2.48645e+09	7.15154e+11	5.86505e+12	1.01006e+11	8.91811e+12	7.84194e+03	2.46796e+11	1.80102e+14	6.79186e+14	3.85065e+05	3.22047e+07	2.98296e+08	8.46370e+10
2.13796e+14	2.16488e+19	2.75586e+09	7.72674e+11	6.08441e+12	1.09224e+11	9.01013e+12	8.77626e+03	2.68095e+11	1.76999e+14	6.32043e+14	4.74627e+05	3.85571e+07	3.44719e+08	9.23612e+10
2.13796e+14	2.04278e+19	3.04911e+09	8.33361e+11	6.30232e+12	1.17997e+11	9.09059e+12	9.82331e+03	2.91050e+11	1.73641e+14	5.87326e+14	5.83489e+05	4.60641e+07	3.97603e+08	1.00624e+11
2.13796e+14	1.92816e+19	3.36793e+09	8.97287e+11	6.51820e+12	1.27359e+11	9.15930e+12	1.09976e+04	3.15770e+11	1.70042e+14	5.44975e+14	7.15496e+05	5.49183e+07	4.57732e+08	1.09448e+11
2.13796e+14	1.82052e+19	3.71414e+09	9.64528e+11	6.73157e+12	1.37343e+11	9.21609e+12	1.23153e+04	3.42369e+11	1.66216e+14	5.04926e+14	8.75199e+05	6.53413e+07	5.25972e+08	1.18854e+11
2.13796e+14	1.71939e+19	4.08970e+09	1.03515e+12	6.94192e+12	1.47985e+11	9.26081e+12	1.37947e+04	3.70960e+11	1.62179e+14	4.67114e+14	1.06797e+06	7.75880e+07	6.03273e+08	1.28863e+11
2.13796e+14	1.62435e+19	4.49669e+09	1.10922e+12	7.14877e+12	1.59319e+11	9.29333e+12	1.54564e+04	4.01660e+11	1.57945e+14	4.31469e+14	1.30013e+06	9.19507e+07	6.90678e+08	1.39495e+11
2.13796e+14	1.53498e+19	4.93728e+09	1.18680e+12	7.35163e+12	1.71383e+11	9.31355e+12	1.73236e+04	4.34585e+11	1.53533e+14	3.97919e+14	1.57914e+06	1.08765e+08	7.89333e+08	1.50769e+11
2.13796e+14	1.45091e+19	5.41382e+09	1.26796e+12	7.55006e+12	1.84211e+11	9.32138e+12	1.94219e+04	4.69846e+11	1.48960e+14	3.66391e+14	1.91372e+06	1.28414e+08	9.00484e+08	1.62703e+11
2.13796e+14	1.37179e+19	5.92864e+09	1.35274e+12	7.74364e+12	1.97838e+11	9.31677e+12	2.17788e+04	5.07545e+11	1.44244e+14	3.36809e+14	2.31412e+06	1.51336e+08	1.02551e+09	1.75313e+11
