# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
213796000000000.0 2.43372e+19 2239270000.0 660726000000.0 5644740000000.0 93313300000.0 8814760000000.0 7007.52 227044000000.0 182938000000000.0 728810000000000.0 311562.0 26840200.0 257623000.0 77429200000.0 -5.0 4.653 [-5.0]
213796000000000.0 2.295e+19 2486450000.0 715154000000.0 5865050000000.0 101006000000.0 8918110000000.0 7841.94 246796000000.0 180102000000000.0 679186000000000.0 385065.0 32204700.0 298296000.0 84637000000.0 -4.98 4.646 [-4.98]
213796000000000.0 2.16488e+19 2755860000.0 772674000000.0 6084410000000.0 109224000000.0 9010130000000.0 8776.26 268095000000.0 176999000000000.0 632043000000000.0 474627.0 38557100.0 344719000.0 92361200000.0 -4.96 4.64 [-4.96]
213796000000000.0 2.04278e+19 3049110000.0 833361000000.0 6302320000000.0 117997000000.0 9090590000000.0 9823.31 291050000000.0 173641000000000.0 587326000000000.0 583489.0 46064100.0 397603000.0 100624000000.0 -4.94 4.633 [-4.94]
213796000000000.0 1.92816e+19 3367930000.0 897287000000.0 6518200000000.0 127359000000.0 9159300000000.0 10997.6 315770000000.0 170042000000000.0 544975000000000.0 715496.0 54918300.0 457732000.0 109448000000.0 -4.92 4.627 [-4.92]
213796000000000.0 1.82052e+19 3714140000.0 964528000000.0 6731570000000.0 137343000000.0 9216090000000.0 12315.3 342369000000.0 166216000000000.0 504926000000000.0 875199.0 65341300.0 525972000.0 118854000000.0 -4.9 4.621 [-4.9]
213796000000000.0 1.71939e+19 4089700000.0 1035150000000.0 6941920000000.0 147985000000.0 9260810000000.0 13794.7 370960000000.0 162179000000000.0 467114000000000.0 1067970.0 77588000.0 603273000.0 128863000000.0 -4.88 4.615 [-4.88]
213796000000000.0 1.62435e+19 4496690000.0 1109220000000.0 7148770000000.0 159319000000.0 9293330000000.0 15456.4 401660000000.0 157945000000000.0 431469000000000.0 1300130.0 91950700.0 690678000.0 139495000000.0 -4.86 4.609 [-4.86]
213796000000000.0 1.53498e+19 4937280000.0 1186800000000.0 7351630000000.0 171383000000.0 9313550000000.0 17323.6 434585000000.0 153533000000000.0 397919000000000.0 1579140.0 108765000.0 789333000.0 150769000000.0 -4.84 4.604 [-4.84]
213796000000000.0 1.45091e+19 5413820000.0 1267960000000.0 7550060000000.0 184211000000.0 9321380000000.0 19421.9 469846000000.0 148960000000000.0 366391000000000.0 1913720.0 128414000.0 900484000.0 162703000000.0 -4.82 4.598 [-4.82]
213796000000000.0 1.37179e+19 5928640000.0 1352740000000.0 7743640000000.0 197838000000.0 9316770000000.0 21778.8 507545000000.0 144244000000000.0 336809000000000.0 2314120.0 151336000.0 1025510000.0 175313000000.0 -4.8 4.593 [-4.8]
213796000000000.0 1.29731e+19 6484540000.0 1441200000000.0 7931930000000.0 212303000000.0 9299680000000.0 24429.0 547809000000.0 139404000000000.0 309103000000000.0 2792290.0 178028000.0 1165870000.0 188614000000.0 -4.78 4.588 [-4.78]
213796000000000.0 1.22717e+19 7084170000.0 1533380000000.0 8114530000000.0 227640000000.0 9270120000000.0 27407.3 590730000000.0 134461000000000.0 283198000000000.0 3362160.0 209057000.0 1323170000.0 202617000000.0 -4.76 4.582 [-4.76]
213796000000000.0 1.16108e+19 7730480000.0 1629330000000.0 8291050000000.0 243881000000.0 9228070000000.0 30753.7 636398000000.0 129432000000000.0 259018000000000.0 4039990.0 245069000.0 1499180000.0 217334000000.0 -4.74 4.577 [-4.74]
213796000000000.0 1.09879e+19 8426470000.0 1729080000000.0 8461140000000.0 261058000000.0 9173600000000.0 34512.5 684900000000.0 124338000000000.0 236491000000000.0 4844560.0 286790000.0 1695770000.0 232772000000.0 -4.72 4.572 [-4.72]
213796000000000.0 1.04006e+19 9175240000.0 1832660000000.0 8624470000000.0 279200000000.0 9106790000000.0 38733.3 736310000000.0 119200000000000.0 215541000000000.0 5797720.0 335048000.0 1914980000.0 248937000000.0 -4.7 4.567 [-4.7]
213796000000000.0 9.84666e+18 9980010000.0 1940070000000.0 8780700000000.0 298331000000.0 9027730000000.0 43469.6 790687000000.0 114038000000000.0 196095000000000.0 6924640.0 390773000.0 2159010000.0 265832000000.0 -4.68 4.563 [-4.68]
213796000000000.0 9.32402e+18 10844500000.0 2051360000000.0 8929500000000.0 318480000000.0 8936570000000.0 48786.4 848107000000.0 108872000000000.0 178082000000000.0 8254460.0 455014000.0 2430180000.0 283455000000.0 -4.66 4.558 [-4.66]
213796000000000.0 8.83071e+18 11772300000.0 2166500000000.0 9070600000000.0 339660000000.0 8833490000000.0 54748.7 908592000000.0 103721000000000.0 161427000000000.0 9820610.0 528952000.0 2731040000.0 301803000000.0 -4.64 4.553 [-4.64]
213796000000000.0 8.36474e+18 12766100000.0 2285450000000.0 9203730000000.0 361870000000.0 8718670000000.0 61421.8 972114000000.0 98604200000000.0 146055000000000.0 11661300.0 613915000.0 3064380000.0 320873000000.0 -4.62 4.549 [-4.62]
213796000000000.0 7.92456e+18 13830200000.0 2408210000000.0 9328600000000.0 385124000000.0 8592390000000.0 68892.1 1038710000000.0 93540800000000.0 131899000000000.0 13820600.0 711385000.0 3433050000.0 340650000000.0 -4.6 4.545 [-4.6]
213796000000000.0 7.50866e+18 14968600000.0 2534740000000.0 9444980000000.0 409425000000.0 8454970000000.0 77252.3 1108380000000.0 88547900000000.0 118891000000000.0 16348700.0 823020000.0 3840120000.0 361119000000.0 -4.58 4.54 [-4.58]
213796000000000.0 7.11573e+18 16186300000.0 2665030000000.0 9552570000000.0 434784000000.0 8306760000000.0 86614.5 1181150000000.0 83642800000000.0 106965000000000.0 19302900.0 950669000.0 4288690000.0 382258000000.0 -4.56 4.536 [-4.56]
213796000000000.0 6.74415e+18 17485700000.0 2798940000000.0 9651180000000.0 461161000000.0 8148140000000.0 97072.4 1256880000000.0 78840000000000.0 96051300000000.0 22747900.0 1096390000.0 4782450000.0 404046000000.0 -4.54 4.532 [-4.54]
213796000000000.0 6.39267e+18 18871000000.0 2936370000000.0 9740580000000.0 488531000000.0 7979540000000.0 108747.0 1335530000000.0 74153800000000.0 86085700000000.0 26757300.0 1262480000.0 5325040000.0 426457000000.0 -4.52 4.528 [-4.52]
213796000000000.0 6.06013e+18 20346200000.0 3077220000000.0 9820540000000.0 516863000000.0 7801460000000.0 121771.0 1417000000000.0 69597100000000.0 77005900000000.0 31414100.0 1451470000.0 5920360000.0 449457000000.0 -4.5 4.523 [-4.5]
213796000000000.0 5.74542e+18 21915400000.0 3221370000000.0 9890880000000.0 546119000000.0 7614470000000.0 136293.0 1501190000000.0 65181200000000.0 68751600000000.0 36812100.0 1666170000.0 6572500000.0 473006000000.0 -4.48 4.519 [-4.48]
213796000000000.0 5.44748e+18 23582200000.0 3368630000000.0 9951400000000.0 576243000000.0 7419130000000.0 152477.0 1588000000000.0 60915300000000.0 61263700000000.0 43057300.0 1909690000.0 7285810000.0 497066000000.0 -4.46 4.515 [-4.46]
