H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
2.69153e+15	3.09451e+20	2.72631e+10	8.40262e+12	7.39126e+13	1.15224e+12	1.13741e+14	7.97807e+04	2.99907e+12	2.44085e+15	9.13088e+15	3.91729e+06	3.41405e+08	3.37692e+09	1.00294e+12
2.69153e+15	2.91870e+20	3.02570e+10	9.09095e+12	7.67764e+13	1.24751e+12	1.15055e+14	8.93073e+04	3.25898e+12	2.39974e+15	8.50367e+15	4.83635e+06	4.09392e+08	3.90856e+09	1.09604e+12
2.69153e+15	2.75380e+20	3.35206e+10	9.81820e+12	7.96265e+13	1.34940e+12	1.16222e+14	9.99971e+04	3.53931e+12	2.35510e+15	7.90858e+15	5.95522e+06	4.89848e+08	4.51497e+09	1.19575e+12
2.69153e+15	2.59905e+20	3.70737e+10	1.05853e+13	8.24562e+13	1.45829e+12	1.17240e+14	1.11997e+05	3.84142e+12	2.30712e+15	7.34476e+15	7.31412e+06	5.84875e+08	5.20537e+09	1.30238e+12
2.69153e+15	2.45376e+20	4.09378e+10	1.13933e+13	8.52584e+13	1.57460e+12	1.18106e+14	1.25479e+05	4.16667e+12	2.25598e+15	6.81145e+15	8.96076e+06	6.96894e+08	5.98988e+09	1.41620e+12
2.69153e+15	2.31730e+20	4.51355e+10	1.22431e+13	8.80267e+13	1.69878e+12	1.18818e+14	1.40636e+05	4.51656e+12	2.20190e+15	6.30773e+15	1.09515e+07	8.28693e+08	6.87967e+09	1.53748e+12
2.69153e+15	2.18908e+20	4.96944e+10	1.31365e+13	9.07545e+13	1.83138e+12	1.19375e+14	1.57685e+05	4.89254e+12	2.14512e+15	5.83269e+15	1.33533e+07	9.83489e+08	7.88706e+09	1.66647e+12
2.69153e+15	2.06854e+20	5.46330e+10	1.40725e+13	9.34358e+13	1.97262e+12	1.19775e+14	1.76859e+05	5.29610e+12	2.08591e+15	5.38536e+15	1.62440e+07	1.16494e+09	9.02545e+09	1.80345e+12
2.69153e+15	1.95517e+20	5.99819e+10	1.50530e+13	9.60645e+13	2.12309e+12	1.20016e+14	1.98432e+05	5.72864e+12	2.02445e+15	4.96483e+15	1.97164e+07	1.37726e+09	1.03096e+10	1.94865e+12
2.69153e+15	1.84850e+20	6.57696e+10	1.60787e+13	9.86349e+13	2.28323e+12	1.20097e+14	2.22707e+05	6.19164e+12	1.96105e+15	4.57009e+15	2.38786e+07	1.62527e+09	1.17557e+10	2.10228e+12
