# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
2691530000000000.0 3.09451e+20 27263100000.0 8402620000000.0 73912600000000.0 1152240000000.0 113741000000000.0 79780.7 2999070000000.0 2440850000000000.0 9130880000000000.0 3917290.0 341405000.0 3376920000.0 1002940000000.0 -5.0 4.641 [-5.0]
2691530000000000.0 2.9187e+20 30257000000.0 9090950000000.0 76776400000000.0 1247510000000.0 115055000000000.0 89307.3 3258980000000.0 2399740000000000.0 8503670000000000.0 4836350.0 409392000.0 3908560000.0 1096040000000.0 -4.98 4.634 [-4.98]
2691530000000000.0 2.7538e+20 33520600000.0 9818200000000.0 79626500000000.0 1349400000000.0 116222000000000.0 99997.1 3539310000000.0 2355100000000000.0 7908580000000000.0 5955220.0 489848000.0 4514970000.0 1195750000000.0 -4.96 4.628 [-4.96]
2691530000000000.0 2.59905e+20 37073700000.0 10585300000000.0 82456200000000.0 1458290000000.0 117240000000000.0 111997.0 3841420000000.0 2307120000000000.0 7344760000000000.0 7314120.0 584875000.0 5205370000.0 1302380000000.0 -4.94 4.622 [-4.94]
2691530000000000.0 2.45376e+20 40937800000.0 11393300000000.0 85258400000000.0 1574600000000.0 118106000000000.0 125479.0 4166670000000.0 2255980000000000.0 6811450000000000.0 8960760.0 696894000.0 5989880000.0 1416200000000.0 -4.92 4.616 [-4.92]
2691530000000000.0 2.3173e+20 45135500000.0 12243100000000.0 88026700000000.0 1698780000000.0 118818000000000.0 140636.0 4516560000000.0 2201900000000000.0 6307730000000000.0 10951500.0 828693000.0 6879670000.0 1537480000000.0 -4.9 4.61 [-4.9]
2691530000000000.0 2.18908e+20 49694400000.0 13136500000000.0 90754500000000.0 1831380000000.0 119375000000000.0 157685.0 4892540000000.0 2145120000000000.0 5832690000000000.0 13353300.0 983489000.0 7887060000.0 1666470000000.0 -4.88 4.604 [-4.88]
2691530000000000.0 2.06854e+20 54633000000.0 14072500000000.0 93435800000000.0 1972620000000.0 119775000000000.0 176859.0 5296100000000.0 2085910000000000.0 5385360000000000.0 16244000.0 1164940000.0 9025450000.0 1803450000000.0 -4.86 4.599 [-4.86]
2691530000000000.0 1.95517e+20 59981900000.0 15053000000000.0 96064500000000.0 2123090000000.0 120016000000000.0 198432.0 5728640000000.0 2024450000000000.0 4964830000000000.0 19716400.0 1377260000.0 10309600000.0 1948650000000.0 -4.84 4.593 [-4.84]
2691530000000000.0 1.8485e+20 65769600000.0 16078700000000.0 98634900000000.0 2283230000000.0 120097000000000.0 222707.0 6191640000000.0 1961050000000000.0 4570090000000000.0 23878600.0 1625270000.0 11755700000.0 2102280000000.0 -4.82 4.588 [-4.82]
