H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
5.37032e+14	6.13868e+19	5.54877e+09	1.65200e+12	1.42423e+13	2.32016e+11	2.22221e+13	1.71549e+04	5.71069e+11	4.64185e+14	1.83519e+15	7.74710e+05	6.69602e+07	6.47090e+08	1.94644e+11
5.37032e+14	5.78899e+19	6.16123e+09	1.78810e+12	1.47985e+13	2.51170e+11	2.24833e+13	1.91984e+04	6.20727e+11	4.56895e+14	1.71024e+15	9.57383e+05	8.03409e+07	7.49255e+08	2.12768e+11
5.37032e+14	5.46095e+19	6.82886e+09	1.93193e+12	1.53523e+13	2.71635e+11	2.27160e+13	2.14873e+04	6.74276e+11	4.48926e+14	1.59155e+15	1.17996e+06	9.61851e+07	8.65858e+08	2.32191e+11
5.37031e+14	5.15311e+19	7.55549e+09	2.08369e+12	1.59024e+13	2.93485e+11	2.29196e+13	2.40515e+04	7.31967e+11	4.40311e+14	1.47899e+15	1.45048e+06	1.14909e+08	9.98696e+08	2.52970e+11
5.37031e+14	4.86417e+19	8.34580e+09	2.24360e+12	1.64475e+13	3.16815e+11	2.30936e+13	2.69297e+04	7.94110e+11	4.31085e+14	1.37241e+15	1.77851e+06	1.36993e+08	1.14972e+09	2.75159e+11
5.37032e+14	4.59282e+19	9.20428e+09	2.41183e+12	1.69862e+13	3.41707e+11	2.32375e+13	3.01608e+04	8.60979e+11	4.21287e+14	1.27164e+15	2.17536e+06	1.62990e+08	1.32111e+09	2.98812e+11
5.37032e+14	4.33788e+19	1.01358e+10	2.58858e+12	1.75174e+13	3.68250e+11	2.33510e+13	3.37895e+04	9.32853e+11	4.10955e+14	1.17651e+15	2.65437e+06	1.93536e+08	1.51526e+09	3.23982e+11
5.37032e+14	4.09826e+19	1.11451e+10	2.77391e+12	1.80397e+13	3.96517e+11	2.34339e+13	3.78660e+04	1.01002e+12	4.00132e+14	1.08684e+15	3.23126e+06	2.29359e+08	1.73478e+09	3.50719e+11
5.37032e+14	3.87294e+19	1.22381e+10	2.96808e+12	1.85520e+13	4.26614e+11	2.34857e+13	4.24477e+04	1.09279e+12	3.88864e+14	1.00245e+15	3.92456e+06	2.71297e+08	1.98255e+09	3.79071e+11
5.37032e+14	3.66098e+19	1.34204e+10	3.17122e+12	1.90531e+13	4.58628e+11	2.35063e+13	4.75976e+04	1.18143e+12	3.77195e+14	9.23147e+14	4.75598e+06	3.20305e+08	2.26170e+09	4.09084e+11
5.37032e+14	3.46150e+19	1.46982e+10	3.38348e+12	1.95420e+13	4.92651e+11	2.34955e+13	5.33863e+04	1.27621e+12	3.65171e+14	8.48750e+14	5.75097e+06	3.77476e+08	2.57567e+09	4.40798e+11
5.37032e+14	3.27369e+19	1.60776e+10	3.60489e+12	2.00177e+13	5.28758e+11	2.34534e+13	5.98933e+04	1.37742e+12	3.52841e+14	7.79071e+14	6.93922e+06	4.44052e+08	2.92816e+09	4.74249e+11
5.37032e+14	3.09681e+19	1.75660e+10	3.83570e+12	2.04790e+13	5.67056e+11	2.33797e+13	6.72076e+04	1.48530e+12	3.40256e+14	7.13920e+14	8.35542e+06	5.21448e+08	3.32323e+09	5.09470e+11
5.37031e+14	2.93013e+19	1.91700e+10	4.07590e+12	2.09250e+13	6.07606e+11	2.32746e+13	7.54255e+04	1.60008e+12	3.27467e+14	6.53096e+14	1.00399e+07	6.11272e+08	3.76528e+09	5.46488e+11
5.37032e+14	2.77301e+19	2.08984e+10	4.32577e+12	2.13549e+13	6.50520e+11	2.31382e+13	8.46594e+04	1.72200e+12	3.14524e+14	5.96422e+14	1.20396e+07	7.15346e+08	4.25905e+09	5.85321e+11
5.37031e+14	2.62481e+19	2.27556e+10	4.58495e+12	2.17677e+13	6.95788e+11	2.29706e+13	9.50130e+04	1.85115e+12	3.01477e+14	5.43696e+14	1.44084e+07	8.35724e+08	4.80978e+09	6.25993e+11
5.37031e+14	2.48506e+19	2.47547e+10	4.85410e+12	2.21626e+13	7.43604e+11	2.27722e+13	1.06654e+05	1.98788e+12	2.88382e+14	4.94758e+14	1.72095e+07	9.74737e+08	5.42275e+09	6.68495e+11
5.37032e+14	2.35319e+19	2.69007e+10	5.13274e+12	2.25389e+13	7.93927e+11	2.25432e+13	1.19712e+05	2.13224e+12	2.75284e+14	4.49410e+14	2.05147e+07	1.13499e+09	6.10399e+09	7.12835e+11
5.37031e+14	2.22870e+19	2.92032e+10	5.42103e+12	2.28957e+13	8.46824e+11	2.22842e+13	1.34355e+05	2.28429e+12	2.62233e+14	4.07472e+14	2.44075e+07	1.31945e+09	6.85989e+09	7.59004e+11
5.37032e+14	2.11110e+19	3.16707e+10	5.71893e+12	2.32324e+13	9.02313e+11	2.19954e+13	1.50753e+05	2.44405e+12	2.49274e+14	3.68753e+14	2.89835e+07	1.53142e+09	7.69745e+09	8.06989e+11
5.37032e+14	2.00004e+19	3.43127e+10	6.02634e+12	2.35483e+13	9.60418e+11	2.16779e+13	1.69117e+05	2.61159e+12	2.36459e+14	3.33097e+14	3.43507e+07	1.77456e+09	8.62362e+09	8.56750e+11
5.37032e+14	1.89510e+19	3.71403e+10	6.34327e+12	2.38427e+13	1.02117e+12	2.13323e+13	1.89683e+05	2.78696e+12	2.23828e+14	3.00321e+14	4.06354e+07	2.05307e+09	9.64629e+09	9.08259e+11
5.37032e+14	1.79594e+19	4.01651e+10	6.66975e+12	2.41151e+13	1.08459e+12	2.09596e+13	2.12714e+05	2.97013e+12	2.11423e+14	2.70261e+14	4.79802e+07	2.37156e+09	1.07734e+10	9.61457e+11
5.37032e+14	1.70217e+19	4.33924e+10	7.00518e+12	2.43648e+13	1.15053e+12	2.05604e+13	2.38444e+05	3.16083e+12	1.99281e+14	2.42742e+14	5.65452e+07	2.73514e+09	1.20141e+10	1.01630e+12
5.37032e+14	1.61347e+19	4.68330e+10	7.34944e+12	2.45912e+13	1.21898e+12	2.01361e+13	2.67174e+05	3.35891e+12	1.87438e+14	2.17604e+14	6.65138e+07	3.14954e+09	1.33776e+10	1.07270e+12
5.37032e+14	1.52954e+19	5.04969e+10	7.70227e+12	2.47939e+13	1.28983e+12	1.96879e+13	2.99236e+05	3.56418e+12	1.75924e+14	1.94692e+14	7.80926e+07	3.62109e+09	1.48737e+10	1.13059e+12
5.37032e+14	1.45011e+19	5.43935e+10	8.06330e+12	2.49723e+13	1.36300e+12	1.92171e+13	3.34993e+05	3.77637e+12	1.64768e+14	1.73854e+14	9.15146e+07	4.15677e+09	1.65125e+10	1.18987e+12
5.37032e+14	1.37492e+19	5.85324e+10	8.43211e+12	2.51259e+13	1.43834e+12	1.87253e+13	3.74844e+05	3.99519e+12	1.53994e+14	1.54945e+14	1.07042e+08	4.76431e+09	1.83051e+10	1.25043e+12
5.37032e+14	1.30373e+19	6.29226e+10	8.80822e+12	2.52542e+13	1.51570e+12	1.82142e+13	4.19234e+05	4.22031e+12	1.43622e+14	1.37824e+14	1.24967e+08	5.45220e+09	2.02626e+10	1.31215e+12
5.37031e+14	1.23630e+19	6.75763e+10	9.19139e+12	2.53568e+13	1.59497e+12	1.76853e+13	4.68677e+05	4.45141e+12	1.33668e+14	1.22357e+14	1.45622e+08	6.22989e+09	2.23970e+10	1.37490e+12
