# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
537032000000000.0 6.13868e+19 5548770000.0 1652000000000.0 14242300000000.0 232016000000.0 22222100000000.0 17154.9 571069000000.0 464185000000000.0 1835190000000000.0 774710.0 66960200.0 647090000.0 194644000000.0 -5.0 4.651 [-5.0]
537032000000000.0 5.78899e+19 6161230000.0 1788100000000.0 14798500000000.0 251170000000.0 22483300000000.0 19198.4 620727000000.0 456895000000000.0 1710240000000000.0 957383.0 80340900.0 749255000.0 212768000000.0 -4.98 4.644 [-4.98]
537032000000000.0 5.46095e+19 6828860000.0 1931930000000.0 15352300000000.0 271635000000.0 22716000000000.0 21487.3 674276000000.0 448926000000000.0 1591550000000000.0 1179960.0 96185100.0 865858000.0 232191000000.0 -4.96 4.637 [-4.96]
537031000000000.0 5.15311e+19 7555490000.0 2083690000000.0 15902400000000.0 293485000000.0 22919600000000.0 24051.5 731967000000.0 440311000000000.0 1478990000000000.0 1450480.0 114909000.0 998696000.0 252970000000.0 -4.94 4.631 [-4.94]
537031000000000.0 4.86417e+19 8345800000.0 2243600000000.0 16447500000000.0 316815000000.0 23093600000000.0 26929.7 794110000000.0 431085000000000.0 1372410000000000.0 1778510.0 136993000.0 1149720000.0 275159000000.0 -4.92 4.625 [-4.92]
537032000000000.0 4.59282e+19 9204280000.0 2411830000000.0 16986200000000.0 341707000000.0 23237500000000.0 30160.8 860979000000.0 421287000000000.0 1271640000000000.0 2175360.0 162990000.0 1321110000.0 298812000000.0 -4.9 4.619 [-4.9]
537032000000000.0 4.33788e+19 10135800000.0 2588580000000.0 17517400000000.0 368250000000.0 23351000000000.0 33789.5 932853000000.0 410955000000000.0 1176510000000000.0 2654370.0 193536000.0 1515260000.0 323982000000.0 -4.88 4.613 [-4.88]
537032000000000.0 4.09826e+19 11145100000.0 2773910000000.0 18039700000000.0 396517000000.0 23433900000000.0 37866.0 1010020000000.0 400132000000000.0 1086840000000000.0 3231260.0 229359000.0 1734780000.0 350719000000.0 -4.86 4.607 [-4.86]
537032000000000.0 3.87294e+19 12238100000.0 2968080000000.0 18552000000000.0 426614000000.0 23485700000000.0 42447.7 1092790000000.0 388864000000000.0 1002450000000000.0 3924560.0 271297000.0 1982550000.0 379071000000.0 -4.84 4.602 [-4.84]
537032000000000.0 3.66098e+19 13420400000.0 3171220000000.0 19053100000000.0 458628000000.0 23506300000000.0 47597.6 1181430000000.0 377195000000000.0 923147000000000.0 4755980.0 320305000.0 2261700000.0 409084000000.0 -4.82 4.596 [-4.82]
