H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
6.16617e+17	1.06457e+22	3.33645e+14	6.67261e+16	8.42875e+16	2.55987e+13	1.11336e+16	6.08306e+15	2.40884e+10	2.89770e+17	2.77015e+16	2.88149e+16	3.65871e+11	3.03935e+13	1.44869e+15	3.34294e+15	1.15152e+16	2.53275e+10	5.48787e+12
6.16596e+17	1.01041e+22	3.41636e+14	6.54201e+16	7.95039e+16	2.64603e+13	1.10526e+16	5.80215e+15	2.53201e+10	2.77738e+17	2.55928e+16	2.55423e+16	3.79847e+11	3.16163e+13	1.47061e+15	3.26260e+15	1.08746e+16	2.69150e+10	5.71878e+12
6.16646e+17	9.59092e+21	3.49751e+14	6.41430e+16	7.49978e+16	2.73377e+13	1.09690e+16	5.52776e+15	2.66364e+10	2.66228e+17	2.36076e+16	2.26060e+16	3.94301e+11	3.28497e+13	1.49150e+15	3.18127e+15	1.02695e+16	2.85993e+10	5.95839e+12
6.16621e+17	9.10246e+21	3.57617e+14	6.28541e+16	7.07372e+16	2.82095e+13	1.08788e+16	5.26063e+15	2.80249e+10	2.55102e+17	2.17434e+16	1.99763e+16	4.08655e+11	3.40333e+13	1.50940e+15	3.09803e+15	9.69464e+15	3.03611e+10	6.19892e+12
6.16609e+17	8.63979e+21	3.65604e+14	6.15906e+16	6.67227e+16	2.91045e+13	1.07859e+16	5.00059e+15	2.95176e+10	2.44457e+17	1.99959e+16	1.76261e+16	4.23422e+11	3.52123e+13	1.52594e+15	3.01411e+15	9.15251e+15	3.22249e+10	6.44714e+12
6.16671e+17	8.20100e+21	3.73591e+14	6.03466e+16	6.29353e+16	3.00062e+13	1.06893e+16	4.74751e+15	3.11126e+10	2.34257e+17	1.83602e+16	1.55295e+16	4.38596e+11	3.63813e+13	1.54096e+15	2.92954e+15	8.64109e+15	3.41952e+10	6.70283e+12
6.16642e+17	7.78464e+21	3.81561e+14	5.91087e+16	5.93577e+16	3.09287e+13	1.05885e+16	4.50209e+15	3.28270e+10	2.24451e+17	1.68331e+16	1.36634e+16	4.53898e+11	3.75075e+13	1.55355e+15	2.84412e+15	8.15791e+15	3.62660e+10	6.96195e+12
6.16625e+17	7.38863e+21	3.89292e+14	5.78704e+16	5.59771e+16	3.18426e+13	1.04816e+16	4.26442e+15	3.46462e+10	2.15000e+17	1.54106e+16	1.20035e+16	4.69258e+11	3.85827e+13	1.56352e+15	2.75803e+15	7.70139e+15	3.84399e+10	7.22384e+12
6.16664e+17	7.01336e+21	3.97089e+14	5.66557e+16	5.27859e+16	3.27703e+13	1.03719e+16	4.03382e+15	3.66091e+10	2.05969e+17	1.40862e+16	1.05292e+16	4.85156e+11	3.96462e+13	1.57218e+15	2.67201e+15	7.27225e+15	4.07423e+10	7.49451e+12
6.16686e+17	6.65777e+21	4.04817e+14	5.54514e+16	4.97744e+16	3.37130e+13	1.02582e+16	3.81188e+15	3.87155e+10	1.97296e+17	1.28587e+16	9.22487e+15	5.01235e+11	4.06622e+13	1.57857e+15	2.58597e+15	6.86849e+15	4.31607e+10	7.76872e+12
6.16665e+17	6.32002e+21	4.12491e+14	5.42547e+16	4.69268e+16	3.46702e+13	1.01401e+16	3.59739e+15	4.09813e+10	1.88968e+17	1.17208e+16	8.07096e+15	5.17534e+11	4.16277e+13	1.58272e+15	2.50013e+15	6.48823e+15	4.57085e+10	8.04692e+12
6.16654e+17	5.99982e+21	4.20104e+14	5.30715e+16	4.42361e+16	3.56349e+13	1.00182e+16	3.39094e+15	4.34166e+10	1.80981e+17	1.06681e+16	7.05167e+15	5.34193e+11	4.25551e+13	1.58502e+15	2.41466e+15	6.13108e+15	4.83939e+10	8.33085e+12
6.16629e+17	5.69543e+21	4.27442e+14	5.18904e+16	4.16920e+16	3.65906e+13	9.89103e+15	3.19240e+15	4.60172e+10	1.73296e+17	9.69629e+15	6.15237e+15	5.50912e+11	4.34142e+13	1.58476e+15	2.32973e+15	5.79517e+15	5.12132e+10	8.61599e+12
6.16629e+17	5.40720e+21	4.34883e+14	5.07257e+16	3.92885e+16	3.75807e+13	9.76124e+15	3.00182e+15	4.88399e+10	1.65944e+17	8.80129e+15	5.36165e+15	5.68055e+11	4.42336e+13	1.58286e+15	2.24585e+15	5.48016e+15	5.41909e+10	8.90686e+12
