# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
26915300000000.0 7.28703e+17 2873610000.0 351383000000.0 1059180000000.0 220171000.0 58181600000.0 857620000000.0 18673.5 153117000000.0 8329300000000.0 10643800000000.0 197304.0 3087050.0 135578000.0 538938000.0 43867000000.0 781.166 95290.0 -5.0 [-5.0]
26915300000000.0 6.90395e+17 3098910000.0 368713000000.0 1069640000000.0 239294000.0 61600800000.0 840048000000.0 20871.8 162640000000.0 7839190000000.0 9544800000000.0 230333.0 3630160.0 156268000.0 601083000.0 46344800000.0 945.441 113110.0 -4.98 [-4.98]
26915300000000.0 6.54175e+17 3338280000.0 386439000000.0 1078980000000.0 259788000.0 65134500000.0 821401000000.0 23322.4 172504000000.0 7361730000000.0 8542410000000.0 268426.0 4260570.0 179833000.0 669386000.0 48890300000.0 1143.19 133961.0 -4.96 [-4.96]
26915300000000.0 6.1992e+17 3592230000.0 404535000000.0 1087150000000.0 281706000.0 68776400000.0 801743000000.0 26052.5 182694000000.0 6898240000000.0 7630290000000.0 312274.0 4990820.0 206625000.0 744338000.0 51499300000.0 1380.98 158309.0 -4.94 [-4.94]
26915300000000.0 5.87516e+17 3861350000.0 422978000000.0 1094140000000.0 305105000.0 72520100000.0 781143000000.0 29093.8 193199000000.0 6449860000000.0 6802210000000.0 362656.0 5835000.0 237037000.0 826451000.0 54166900000.0 1666.59 186684.0 -4.92 [-4.92]
26915300000000.0 5.5685e+17 4145980000.0 441733000000.0 1099920000000.0 330017000.0 76355700000.0 759674000000.0 32478.4 203998000000.0 6017540000000.0 6052050000000.0 420418.0 6808820.0 271499000.0 916279000.0 56888100000.0 2009.23 219691.0 -4.9 [-4.9]
26915300000000.0 5.27826e+17 4446650000.0 460769000000.0 1104470000000.0 356492000.0 80274300000.0 737418000000.0 36245.4 215075000000.0 5602130000000.0 5374140000000.0 486519.0 7929860.0 310485000.0 1014380000.0 59656600000.0 2419.81 258013.0 -4.88 [-4.88]
26915300000000.0 5.0035e+17 4763780000.0 480049000000.0 1107770000000.0 384567000.0 84265300000.0 714459000000.0 40437.2 226410000000.0 5204250000000.0 4762920000000.0 562017.0 9217670.0 354512000.0 1121340000.0 62465900000.0 2911.25 302424.0 -4.86 [-4.86]
26915300000000.0 4.74335e+17 5097720000.0 499531000000.0 1109800000000.0 414271000.0 88316500000.0 690885000000.0 45101.0 237982000000.0 4824380000000.0 4213060000000.0 648072.0 10693900.0 404149000.0 1237780000.0 65308700000.0 3498.73 353798.0 -4.84 [-4.84]
26915300000000.0 4.49693e+17 5448630000.0 519165000000.0 1110540000000.0 445612000.0 92413900000.0 666789000000.0 50287.5 249765000000.0 4462850000000.0 3719530000000.0 745941.0 12382500.0 460010000.0 1364340000.0 68177100000.0 4200.15 413124.0 -4.82 [-4.82]
