H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
2.75423e+15	1.21783e+20	1.39763e+11	2.42619e+13	1.06174e+14	3.66826e+12	1.06694e+14	6.34108e+05	1.00474e+13	1.39928e+15	2.46668e+15	8.18945e+07	4.46719e+09	2.44086e+10	3.03136e+12
2.75423e+15	1.15275e+20	1.51993e+11	2.56884e+13	1.08134e+14	3.91974e+12	1.05761e+14	7.10667e+05	1.07763e+13	1.33677e+15	2.24468e+15	9.77314e+07	5.20967e+09	2.75267e+10	3.23730e+12
2.75423e+15	1.09138e+20	1.65127e+11	2.71654e+13	1.09997e+14	4.18450e+12	1.04679e+14	7.96643e+05	1.15453e+13	1.27439e+15	2.03912e+15	1.16401e+08	6.06546e+09	3.09919e+10	3.45207e+12
2.75423e+15	1.03344e+20	1.79202e+11	2.86920e+13	1.11761e+14	4.46244e+12	1.03451e+14	8.92935e+05	1.23542e+13	1.21239e+15	1.84905e+15	1.38364e+08	7.05026e+09	3.48379e+10	3.67567e+12
2.75423e+15	9.78741e+19	1.94270e+11	3.02677e+13	1.13421e+14	4.75368e+12	1.02078e+14	1.00075e+06	1.32029e+13	1.15097e+15	1.67366e+15	1.64152e+08	8.18168e+09	3.90996e+10	3.90798e+12
2.75423e+15	9.27085e+19	2.10393e+11	3.18923e+13	1.14973e+14	5.05838e+12	1.00565e+14	1.12148e+06	1.40921e+13	1.09036e+15	1.51217e+15	1.94371e+08	9.47942e+09	4.38137e+10	4.14887e+12
2.75423e+15	8.78283e+19	2.27623e+11	3.35648e+13	1.16415e+14	5.37645e+12	9.89167e+13	1.25657e+06	1.50213e+13	1.03077e+15	1.36376e+15	2.29713e+08	1.09655e+10	4.90201e+10	4.39816e+12
2.75423e+15	8.32144e+19	2.45995e+11	3.52833e+13	1.17742e+14	5.70743e+12	9.71359e+13	1.40741e+06	1.59893e+13	9.72371e+14	1.22760e+15	2.70957e+08	1.26645e+10	5.47626e+10	4.65562e+12
2.75423e+15	7.88529e+19	2.65582e+11	3.70470e+13	1.18950e+14	6.05131e+12	9.52285e+13	1.57606e+06	1.69966e+13	9.15363e+14	1.10294e+15	3.18997e+08	1.46035e+10	6.10842e+10	4.92090e+12
2.75423e+15	7.47278e+19	2.86428e+11	3.88539e+13	1.20038e+14	6.40755e+12	9.32003e+13	1.76433e+06	1.80416e+13	8.59880e+14	9.89056e+14	3.74838e+08	1.68130e+10	6.80334e+10	5.19367e+12
2.75423e+15	7.08255e+19	3.08583e+11	4.07019e+13	1.21001e+14	6.77563e+12	9.10578e+13	1.97438e+06	1.91232e+13	8.06060e+14	8.85251e+14	4.39615e+08	1.93264e+10	7.56607e+10	5.47352e+12
2.75423e+15	6.71326e+19	3.32099e+11	4.25886e+13	1.21838e+14	7.15493e+12	8.88083e+13	2.20862e+06	2.02399e+13	7.54024e+14	7.90820e+14	5.14603e+08	2.21810e+10	8.40190e+10	5.75997e+12
2.75423e+15	6.36374e+19	3.57023e+11	4.45113e+13	1.22545e+14	7.54467e+12	8.64597e+13	2.46972e+06	2.13903e+13	7.03873e+14	7.05115e+14	6.01234e+08	2.54174e+10	9.31637e+10	6.05247e+12
2.75423e+15	6.03285e+19	3.83406e+11	4.64672e+13	1.23120e+14	7.94402e+12	8.40202e+13	2.76068e+06	2.25726e+13	6.55690e+14	6.27491e+14	7.01111e+08	2.90807e+10	1.03153e+11	6.35042e+12
2.75423e+15	5.71954e+19	4.11295e+11	4.84529e+13	1.23561e+14	8.35202e+12	8.14989e+13	3.08487e+06	2.37850e+13	6.09542e+14	5.57340e+14	8.16025e+08	3.32204e+10	1.14047e+11	6.65313e+12
2.75423e+15	5.42280e+19	4.40716e+11	5.04639e+13	1.23865e+14	8.76736e+12	7.89053e+13	3.44583e+06	2.50250e+13	5.65486e+14	4.94065e+14	9.47937e+08	3.78898e+10	1.25909e+11	6.95985e+12
2.75423e+15	5.14171e+19	4.71710e+11	5.24964e+13	1.24031e+14	9.18891e+12	7.62492e+13	3.84770e+06	2.62904e+13	5.23544e+14	4.37136e+14	1.09906e+09	4.31479e+10	1.38804e+11	7.26977e+12
2.75423e+15	4.87543e+19	5.04316e+11	5.45461e+13	1.24057e+14	9.61540e+12	7.35410e+13	4.29518e+06	2.75788e+13	4.83733e+14	3.86031e+14	1.27181e+09	4.90587e+10	1.52799e+11	7.58198e+12
2.75423e+15	4.62314e+19	5.38565e+11	5.66080e+13	1.23941e+14	1.00454e+13	7.07913e+13	4.79351e+06	2.88880e+13	4.46056e+14	3.40249e+14	1.46889e+09	5.56916e+10	1.67960e+11	7.89555e+12
2.75423e+15	4.38409e+19	5.74481e+11	5.86768e+13	1.23683e+14	1.04775e+13	6.80109e+13	5.34856e+06	3.02151e+13	4.10500e+14	2.99328e+14	1.69322e+09	6.31216e+10	1.84359e+11	8.20945e+12
2.75423e+15	4.15757e+19	6.12087e+11	6.07473e+13	1.23281e+14	1.09102e+13	6.52105e+13	5.96692e+06	3.15576e+13	3.77037e+14	2.62836e+14	1.94804e+09	7.14299e+10	2.02063e+11	8.52259e+12
2.75423e+15	3.94289e+19	6.51397e+11	6.28132e+13	1.22735e+14	1.13419e+13	6.24011e+13	6.65606e+06	3.29127e+13	3.45633e+14	2.30360e+14	2.23686e+09	8.07033e+10	2.21145e+11	8.83383e+12
2.75423e+15	3.73944e+19	6.92418e+11	6.48682e+13	1.22045e+14	1.17709e+13	5.95934e+13	7.42436e+06	3.42775e+13	3.16238e+14	2.01525e+14	2.56351e+09	9.10352e+10	2.41672e+11	9.14197e+12
2.75423e+15	3.54661e+19	7.35153e+11	6.69057e+13	1.21211e+14	1.21957e+13	5.67978e+13	8.28132e+06	3.56492e+13	2.88797e+14	1.75979e+14	2.93215e+09	1.02525e+11	2.63715e+11	9.44576e+12
2.75423e+15	3.36384e+19	7.79596e+11	6.89188e+13	1.20233e+14	1.26145e+13	5.40246e+13	9.23765e+06	3.70247e+13	2.63245e+14	1.53397e+14	3.34726e+09	1.15279e+11	2.87340e+11	9.74389e+12
2.75423e+15	3.19061e+19	8.25733e+11	7.09002e+13	1.19112e+14	1.30259e+13	5.12833e+13	1.03055e+07	3.84013e+13	2.39512e+14	1.33480e+14	3.81369e+09	1.29410e+11	3.12612e+11	1.00351e+13
2.75423e+15	3.02641e+19	8.73547e+11	7.28426e+13	1.17851e+14	1.34281e+13	4.85832e+13	1.14985e+07	3.97761e+13	2.17523e+14	1.15949e+14	4.33665e+09	1.45036e+11	3.39593e+11	1.03179e+13
2.75423e+15	2.87076e+19	9.23005e+11	7.47383e+13	1.16449e+14	1.38196e+13	4.59329e+13	1.28324e+07	4.11461e+13	1.97201e+14	1.00549e+14	4.92165e+09	1.62282e+11	3.68337e+11	1.05909e+13
2.75423e+15	2.72322e+19	9.74069e+11	7.65796e+13	1.14911e+14	1.41990e+13	4.33403e+13	1.43246e+07	4.25085e+13	1.78463e+14	8.70484e+13	5.57463e+09	1.81278e+11	3.98898e+11	1.08528e+13
2.75423e+15	2.58336e+19	1.02669e+12	7.83584e+13	1.13239e+14	1.45647e+13	4.08126e+13	1.59950e+07	4.38604e+13	1.61226e+14	7.52364e+13	6.30188e+09	2.02161e+11	4.31320e+11	1.11021e+13
2.75423e+15	2.45079e+19	1.08082e+12	8.00670e+13	1.11437e+14	1.49155e+13	3.83562e+13	1.78664e+07	4.51992e+13	1.45405e+14	6.49218e+13	7.11005e+09	2.25072e+11	4.65639e+11	1.13374e+13
2.75423e+15	2.32512e+19	1.13639e+12	8.16976e+13	1.09509e+14	1.52500e+13	3.59769e+13	1.99641e+07	4.65219e+13	1.30918e+14	5.59350e+13	8.00613e+09	2.50156e+11	5.01883e+11	1.15572e+13
2.75423e+15	2.20600e+19	1.19333e+12	8.32425e+13	1.07459e+14	1.55672e+13	3.36793e+13	2.23168e+07	4.78258e+13	1.17679e+14	4.81211e+13	8.99744e+09	2.77561e+11	5.40069e+11	1.17603e+13
2.75423e+15	2.09309e+19	1.25154e+12	8.46939e+13	1.05292e+14	1.58659e+13	3.14674e+13	2.49571e+07	4.91081e+13	1.05608e+14	4.13388e+13	1.00916e+10	3.07437e+11	5.80203e+11	1.19453e+13
2.75423e+15	1.98605e+19	1.31094e+12	8.60444e+13	1.03016e+14	1.61452e+13	2.93446e+13	2.79217e+07	5.03664e+13	9.46244e+13	3.54621e+13	1.12965e+10	3.39938e+11	6.22277e+11	1.21109e+13
2.75423e+15	1.88458e+19	1.37140e+12	8.72871e+13	1.00636e+14	1.64041e+13	2.73131e+13	3.12522e+07	5.15980e+13	8.46503e+13	3.03784e+13	1.26202e+10	3.75212e+11	6.66268e+11	1.22558e+13
2.75423e+15	1.78839e+19	1.43283e+12	8.84150e+13	9.81595e+13	1.66419e+13	2.53746e+13	3.49953e+07	5.28005e+13	7.56110e+13	2.59880e+13	1.40711e+10	4.13411e+11	7.12139e+11	1.23789e+13
2.75423e+15	1.69718e+19	1.49506e+12	8.94208e+13	9.55929e+13	1.68577e+13	2.35298e+13	3.92041e+07	5.39707e+13	6.74342e+13	2.22019e+13	1.56575e+10	4.54673e+11	7.59827e+11	1.24790e+13
2.75423e+15	1.61072e+19	1.55799e+12	9.03002e+13	9.29457e+13	1.70512e+13	2.17791e+13	4.39381e+07	5.51072e+13	6.00522e+13	1.89424e+13	1.73879e+10	4.99142e+11	8.09263e+11	1.25552e+13
2.75423e+15	1.52874e+19	1.62146e+12	9.10477e+13	9.02266e+13	1.72220e+13	2.01222e+13	4.92639e+07	5.62073e+13	5.34003e+13	1.61405e+13	1.92705e+10	5.46943e+11	8.60345e+11	1.26066e+13
2.75423e+15	1.45103e+19	1.68533e+12	9.16592e+13	8.74446e+13	1.73696e+13	1.85582e+13	5.52570e+07	5.72690e+13	4.74170e+13	1.37355e+13	2.13137e+10	5.98193e+11	9.12956e+11	1.26325e+13
2.75423e+15	1.37735e+19	1.74942e+12	9.21305e+13	8.46089e+13	1.74938e+13	1.70856e+13	6.20020e+07	5.82900e+13	4.20445e+13	1.16741e+13	2.35253e+10	6.52993e+11	9.66955e+11	1.26321e+13
2.75423e+15	1.30748e+19	1.81356e+12	9.24589e+13	8.17293e+13	1.75945e+13	1.57024e+13	6.95939e+07	5.92682e+13	3.72287e+13	9.90975e+12	2.59126e+10	7.11422e+11	1.02217e+12	1.26049e+13
2.75423e+15	1.24123e+19	1.87758e+12	9.26419e+13	7.88155e+13	1.76715e+13	1.44063e+13	7.81393e+07	6.02014e+13	3.29191e+13	8.40164e+12	2.84826e+10	7.73538e+11	1.07842e+12	1.25507e+13
2.75423e+15	1.17840e+19	1.94130e+12	9.26788e+13	7.58777e+13	1.77249e+13	1.31948e+13	8.77582e+07	6.10878e+13	2.90688e+13	7.11433e+12	3.12413e+10	8.39373e+11	1.13547e+12	1.24691e+13
2.75423e+15	1.11882e+19	2.00456e+12	9.25693e+13	7.29259e+13	1.77549e+13	1.20648e+13	9.85849e+07	6.19255e+13	2.56344e+13	6.01695e+12	3.41942e+10	9.08926e+11	1.19309e+12	1.23601e+13
2.75423e+15	1.06231e+19	2.06716e+12	9.23140e+13	6.99699e+13	1.77617e+13	1.10134e+13	1.10769e+08	6.27126e+13	2.25757e+13	5.08269e+12	3.73451e+10	9.82164e+11	1.25099e+12	1.22238e+13
2.75423e+15	1.00871e+19	2.12892e+12	9.19140e+13	6.70197e+13	1.77454e+13	1.00370e+13	1.24480e+08	6.34473e+13	1.98558e+13	4.28830e+12	4.06965e+10	1.05900e+12	1.30888e+12	1.20605e+13
2.75423e+15	9.57858e+18	2.18964e+12	9.13716e+13	6.40847e+13	1.77064e+13	9.13237e+12	1.39904e+08	6.41278e+13	1.74407e+13	3.61367e+12	4.42494e+10	1.13932e+12	1.36643e+12	1.18707e+13
2.75423e+15	9.09561e+18	2.24872e+12	9.06830e+13	6.11739e+13	1.76443e+13	8.29573e+12	1.57246e+08	6.47506e+13	1.52988e+13	3.04113e+12	4.79976e+10	1.22286e+12	1.42341e+12	1.16547e+13
2.75423e+15	8.63789e+18	2.30685e+12	8.98670e+13	5.82969e+13	1.75613e+13	7.52392e+12	1.76753e+08	6.53179e+13	1.34030e+13	2.55646e+12	5.19490e+10	1.30956e+12	1.47923e+12	1.14140e+13
2.75423e+15	8.20353e+18	2.36343e+12	8.89208e+13	5.54617e+13	1.74571e+13	6.81316e+12	1.98677e+08	6.58262e+13	1.17270e+13	2.14636e+12	5.60932e+10	1.39906e+12	1.53363e+12	1.11493e+13
2.75423e+15	7.79131e+18	2.41828e+12	8.78502e+13	5.26761e+13	1.73323e+13	6.15991e+12	2.23312e+08	6.62741e+13	1.02473e+13	1.79980e+12	6.04229e+10	1.49101e+12	1.58619e+12	1.08619e+13
2.75423e+15	7.40005e+18	2.47129e+12	8.66615e+13	4.99473e+13	1.71874e+13	5.56068e+12	2.50981e+08	6.66603e+13	8.94267e+12	1.50729e+12	6.49283e+10	1.58502e+12	1.63649e+12	1.05532e+13
2.75423e+15	7.02866e+18	2.52233e+12	8.53619e+13	4.72819e+13	1.70234e+13	5.01203e+12	2.82043e+08	6.69834e+13	7.79400e+12	1.26070e+12	6.95968e+10	1.68063e+12	1.68411e+12	1.02248e+13
2.75423e+15	6.67610e+18	2.57126e+12	8.39584e+13	4.46859e+13	1.68409e+13	4.51063e+12	3.16898e+08	6.72422e+13	6.78398e+12	1.05308e+12	7.44131e+10	1.77730e+12	1.72864e+12	9.87845e+12
2.75423e+15	6.34136e+18	2.61797e+12	8.24590e+13	4.21644e+13	1.66407e+13	4.05325e+12	3.55990e+08	6.74355e+13	5.89706e+12	8.78477e+11	7.93592e+10	1.87447e+12	1.76966e+12	9.51618e+12
2.75423e+15	6.02351e+18	2.66237e+12	8.08717e+13	3.97219e+13	1.64236e+13	3.63677e+12	3.99810e+08	6.75622e+13	5.11926e+12	7.31827e+11	8.44146e+10	1.97149e+12	1.80678e+12	9.14005e+12
2.75423e+15	5.72168e+18	2.70440e+12	7.92050e+13	3.73622e+13	1.61906e+13	3.25821e+12	4.48904e+08	6.76215e+13	4.43807e+12	6.08816e+11	8.95563e+10	2.06770e+12	1.83960e+12	8.75230e+12
2.75423e+15	5.43505e+18	2.74399e+12	7.74676e+13	3.50884e+13	1.59425e+13	2.91473e+12	5.03868e+08	6.76124e+13	3.84229e+12	5.05765e+11	9.47594e+10	2.16239e+12	1.86777e+12	8.35527e+12
2.75423e+15	5.16284e+18	2.78112e+12	7.56681e+13	3.29028e+13	1.56803e+13	2.60361e+12	5.65368e+08	6.75343e+13	3.32190e+12	4.19550e+11	9.99973e+10	2.25481e+12	1.89099e+12	7.95137e+12
2.75423e+15	4.90414e+18	2.81551e+12	7.38122e+13	3.08070e+13	1.54047e+13	2.32226e+12	6.34138e+08	6.73855e+13	2.86788e+12	3.47493e+11	1.05234e+11	2.34411e+12	1.90903e+12	7.54286e+12
2.75423e+15	4.65859e+18	2.84768e+12	7.19147e+13	2.88022e+13	1.51173e+13	2.06834e+12	7.10973e+08	6.71677e+13	2.47248e+12	2.87400e+11	1.10456e+11	2.42977e+12	1.92154e+12	7.13266e+12
2.75423e+15	4.42534e+18	2.87735e+12	6.99804e+13	2.68887e+13	1.48187e+13	1.83951e+12	7.96761e+08	6.68794e+13	2.12851e+12	2.37332e+11	1.15625e+11	2.51091e+12	1.92843e+12	6.72297e+12
