# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
758577000000000.0 3.32561e+19 39303100000.0 6621480000000.0 28449900000000.0 1013970000000.0 28911000000000.0 185310.0 2664080000000.0 375531000000000.0 686449000000000.0 22590900.0 1221050000.0 6534390000.0 818464000000.0 -5.0 4.565 [-5.0]
758577000000000.0 3.1476e+19 42742300000.0 7011910000000.0 28980200000000.0 1083210000000.0 28663600000000.0 207575.0 2858650000000.0 359174000000000.0 624704000000000.0 26969000.0 1424440000.0 7371580000.0 874269000000.0 -4.98 4.56 [-4.98]
758577000000000.0 2.97968e+19 46431500000.0 7416030000000.0 29484900000000.0 1156020000000.0 28375600000000.0 232514.0 3063850000000.0 342807000000000.0 567471000000000.0 32131000.0 1658940000.0 8302600000.0 932494000000.0 -4.96 4.556 [-4.96]
758577000000000.0 2.82119e+19 50383800000.0 7833770000000.0 29962900000000.0 1232440000000.0 28047800000000.0 260425.0 3279790000000.0 326494000000000.0 514512000000000.0 38204900.0 1928880000.0 9336370000.0 993130000000.0 -4.94 4.551 [-4.94]
758578000000000.0 2.67146e+19 54607700000.0 8264660000000.0 30413100000000.0 1312400000000.0 27680600000000.0 291570.0 3506180000000.0 310292000000000.0 465592000000000.0 45337000.0 2239090000.0 10482900000.0 1056170000000.0 -4.92 4.546 [-4.92]
758578000000000.0 2.53018e+19 59130300000.0 8709110000000.0 30834400000000.0 1396110000000.0 27275500000000.0 326485.0 3743730000000.0 294267000000000.0 420543000000000.0 53696400.0 2594980000.0 11751100000.0 1121540000000.0 -4.9 4.542 [-4.9]
758577000000000.0 2.39677e+19 63963900000.0 9166760000000.0 31226000000000.0 1483500000000.0 26833400000000.0 365556.0 3992210000000.0 278472000000000.0 379131000000000.0 63474600.0 3002600000.0 13152000000.0 1189200000000.0 -4.88 4.537 [-4.88]
758577000000000.0 2.27073e+19 69123500000.0 9637250000000.0 31586900000000.0 1574520000000.0 26355500000000.0 409238.0 4251430000000.0 262958000000000.0 341143000000000.0 74889700.0 3468720000.0 14697100000.0 1259080000000.0 -4.86 4.533 [-4.86]
758577000000000.0 2.15158e+19 74620500000.0 10120100000000.0 31916200000000.0 1669040000000.0 25843100000000.0 457992.0 4521050000000.0 247773000000000.0 306364000000000.0 88187800.0 4000870000.0 16398800000.0 1331120000000.0 -4.84 4.529 [-4.84]
758577000000000.0 2.03891e+19 80470300000.0 10614800000000.0 32213000000000.0 1766950000000.0 25297700000000.0 512386.0 4800850000000.0 232962000000000.0 274591000000000.0 103648000.0 4607390000.0 18270000000.0 1405210000000.0 -4.82 4.524 [-4.82]
