H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
3.09030e+13	1.35812e+18	1.61786e+09	2.69335e+11	1.14320e+12	4.15269e+10	1.17051e+12	7.75983e+03	1.06762e+11	1.52357e+13	2.82710e+13	9.06063e+05	4.88780e+07	2.59679e+08	3.28273e+10
3.09030e+13	1.28533e+18	1.75955e+09	2.85260e+11	1.16471e+12	4.43580e+10	1.16073e+12	8.68877e+03	1.14575e+11	1.45812e+13	2.57279e+13	1.08209e+06	5.70382e+07	2.93033e+08	3.50738e+10
3.09030e+13	1.21667e+18	1.91155e+09	3.01747e+11	1.18519e+12	4.73354e+10	1.14931e+12	9.72884e+03	1.22816e+11	1.39251e+13	2.33704e+13	1.28972e+06	6.64496e+07	3.30136e+08	3.74184e+10
3.09030e+13	1.15189e+18	2.07442e+09	3.18791e+11	1.20460e+12	5.04607e+10	1.13628e+12	1.08927e+04	1.31489e+11	1.32701e+13	2.11891e+13	1.53412e+06	7.72858e+07	3.71340e+08	3.98607e+10
3.09030e+13	1.09075e+18	2.24876e+09	3.36387e+11	1.22289e+12	5.37352e+10	1.12165e+12	1.21944e+04	1.40597e+11	1.26186e+13	1.91751e+13	1.82122e+06	8.97422e+07	4.17026e+08	4.23999e+10
3.09030e+13	1.03302e+18	2.43513e+09	3.54525e+11	1.24003e+12	5.71583e+10	1.10548e+12	1.36487e+04	1.50136e+11	1.19731e+13	1.73195e+13	2.15778e+06	1.04036e+08	4.67598e+08	4.50344e+10
3.09030e+13	9.78483e+17	2.63423e+09	3.73200e+11	1.25597e+12	6.07307e+10	1.08779e+12	1.52740e+04	1.60110e+11	1.13360e+13	1.56134e+13	2.55161e+06	1.20414e+08	5.23489e+08	4.77624e+10
3.09030e+13	9.26990e+17	2.84693e+09	3.92408e+11	1.27068e+12	6.44541e+10	1.06866e+12	1.70925e+04	1.70523e+11	1.07094e+13	1.40487e+13	3.01153e+06	1.39147e+08	5.85128e+08	5.05805e+10
3.09030e+13	8.78316e+17	3.07357e+09	4.12123e+11	1.28412e+12	6.83212e+10	1.04811e+12	1.91216e+04	1.81354e+11	1.00954e+13	1.26163e+13	3.54753e+06	1.60541e+08	6.53033e+08	5.34865e+10
3.09030e+13	8.32294e+17	3.31478e+09	4.32327e+11	1.29625e+12	7.23274e+10	1.02623e+12	2.13840e+04	1.92594e+11	9.49594e+12	1.13078e+13	4.17088e+06	1.84931e+08	7.27720e+08	5.64765e+10
3.09030e+13	7.88768e+17	3.57117e+09	4.52998e+11	1.30706e+12	7.64673e+10	1.00307e+12	2.39057e+04	2.04228e+11	8.91261e+12	1.01152e+13	4.89439e+06	2.12693e+08	8.09736e+08	5.95461e+10
3.09030e+13	7.47590e+17	3.84334e+09	4.74109e+11	1.31649e+12	8.07340e+10	9.78721e+11	2.67146e+04	2.16243e+11	8.34699e+12	9.03074e+12	5.73242e+06	2.44239e+08	8.99657e+08	6.26903e+10
3.09030e+13	7.08626e+17	4.13185e+09	4.95633e+11	1.32453e+12	8.51187e+10	9.53258e+11	2.98422e+04	2.28621e+11	7.80039e+12	8.04688e+12	6.70110e+06	2.80026e+08	9.98086e+08	6.59031e+10
3.09030e+13	6.71747e+17	4.43728e+09	5.17536e+11	1.33115e+12	8.96121e+10	9.26774e+11	3.33235e+04	2.41343e+11	7.27394e+12	7.15626e+12	7.81852e+06	3.20557e+08	1.10566e+09	6.91780e+10
3.09030e+13	6.36833e+17	4.76008e+09	5.39778e+11	1.33631e+12	9.42021e+10	8.99365e+11	3.71960e+04	2.54384e+11	6.76855e+12	6.35192e+12	9.10475e+06	3.66381e+08	1.22304e+09	7.25078e+10
3.09030e+13	6.03779e+17	5.10091e+09	5.62325e+11	1.34001e+12	9.88781e+10	8.71134e+11	4.15055e+04	2.67728e+11	6.28497e+12	5.62722e+12	1.05823e+07	4.18102e+08	1.35089e+09	7.58841e+10
3.09030e+13	5.72470e+17	5.45997e+09	5.85120e+11	1.34221e+12	1.03624e+11	8.42188e+11	4.62967e+04	2.81341e+11	5.82371e+12	4.97565e+12	1.22760e+07	4.76377e+08	1.48995e+09	7.92985e+10
3.09030e+13	5.42808e+17	5.83752e+09	6.08111e+11	1.34290e+12	1.08423e+11	8.12635e+11	5.16216e+04	2.95196e+11	5.38508e+12	4.39115e+12	1.42131e+07	5.41925e+08	1.64097e+09	8.27414e+10
3.09030e+13	5.14708e+17	6.23410e+09	6.31249e+11	1.34206e+12	1.13262e+11	7.82595e+11	5.75432e+04	3.09270e+11	4.96926e+12	3.86807e+12	1.64242e+07	6.15523e+08	1.80468e+09	8.62024e+10
3.09030e+13	4.88084e+17	6.64996e+09	6.54475e+11	1.33967e+12	1.18124e+11	7.52185e+11	6.41290e+04	3.23536e+11	4.57625e+12	3.40099e+12	1.89424e+07	6.98015e+08	1.98184e+09	8.96703e+10
3.09030e+13	4.62857e+17	7.08531e+09	6.77725e+11	1.33573e+12	1.22992e+11	7.21524e+11	7.14553e+04	3.37964e+11	4.20589e+12	2.98485e+12	2.18043e+07	7.90310e+08	2.17322e+09	9.31333e+10
