# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
2754230000000000.0 1.21783e+20 139763000000.0 24261900000000.0 106174000000000.0 3668260000000.0 106694000000000.0 634108.0 10047400000000.0 1399280000000000.0 2466680000000000.0 81894500.0 4467190000.0 24408600000.0 3031360000000.0 -5.0 4.559 [-5.0]
2754230000000000.0 1.15275e+20 151993000000.0 25688400000000.0 108134000000000.0 3919740000000.0 105761000000000.0 710667.0 10776300000000.0 1336770000000000.0 2244680000000000.0 97731400.0 5209670000.0 27526700000.0 3237300000000.0 -4.98 4.554 [-4.98]
2754230000000000.0 1.09138e+20 165127000000.0 27165400000000.0 109997000000000.0 4184500000000.0 104679000000000.0 796643.0 11545300000000.0 1274390000000000.0 2039120000000000.0 116401000.0 6065460000.0 30991900000.0 3452070000000.0 -4.96 4.549 [-4.96]
2754230000000000.0 1.03344e+20 179202000000.0 28692000000000.0 111761000000000.0 4462440000000.0 103451000000000.0 892935.0 12354200000000.0 1212390000000000.0 1849050000000000.0 138364000.0 7050260000.0 34837900000.0 3675670000000.0 -4.94 4.545 [-4.94]
2754230000000000.0 9.78741e+19 194270000000.0 30267700000000.0 113421000000000.0 4753680000000.0 102078000000000.0 1000750.0 13202900000000.0 1150970000000000.0 1673660000000000.0 164152000.0 8181680000.0 39099600000.0 3907980000000.0 -4.92 4.54 [-4.92]
2754230000000000.0 9.27085e+19 210393000000.0 31892300000000.0 114973000000000.0 5058380000000.0 100565000000000.0 1121480.0 14092100000000.0 1090360000000000.0 1512170000000000.0 194371000.0 9479420000.0 43813700000.0 4148870000000.0 -4.9 4.536 [-4.9]
2754230000000000.0 8.78283e+19 227623000000.0 33564800000000.0 116415000000000.0 5376450000000.0 98916700000000.0 1256570.0 15021300000000.0 1030770000000000.0 1363760000000000.0 229713000.0 10965500000.0 49020100000.0 4398160000000.0 -4.88 4.532 [-4.88]
2754230000000000.0 8.32144e+19 245995000000.0 35283300000000.0 117742000000000.0 5707430000000.0 97135900000000.0 1407410.0 15989300000000.0 972371000000000.0 1227600000000000.0 270957000.0 12664500000.0 54762600000.0 4655620000000.0 -4.86 4.527 [-4.86]
2754230000000000.0 7.88529e+19 265582000000.0 37047000000000.0 118950000000000.0 6051310000000.0 95228500000000.0 1576060.0 16996600000000.0 915363000000000.0 1102940000000000.0 318997000.0 14603500000.0 61084200000.0 4920900000000.0 -4.84 4.523 [-4.84]
2754230000000000.0 7.47278e+19 286428000000.0 38853900000000.0 120038000000000.0 6407550000000.0 93200300000000.0 1764330.0 18041600000000.0 859880000000000.0 989056000000000.0 374838000.0 16813000000.0 68033400000.0 5193670000000.0 -4.82 4.519 [-4.82]
2754230000000000.0 7.08255e+19 308583000000.0 40701900000000.0 121001000000000.0 6775630000000.0 91057800000000.0 1974380.0 19123200000000.0 806060000000000.0 885251000000000.0 439615000.0 19326400000.0 75660700000.0 5473520000000.0 -4.8 4.515 [-4.8]
2754230000000000.0 6.71326e+19 332099000000.0 42588600000000.0 121838000000000.0 7154930000000.0 88808300000000.0 2208620.0 20239900000000.0 754024000000000.0 790820000000000.0 514603000.0 22181000000.0 84019000000.0 5759970000000.0 -4.78 4.511 [-4.78]
2754230000000000.0 6.36374e+19 357023000000.0 44511300000000.0 122545000000000.0 7544670000000.0 86459700000000.0 2469720.0 21390300000000.0 703873000000000.0 705115000000000.0 601234000.0 25417400000.0 93163700000.0 6052470000000.0 -4.76 4.507 [-4.76]
2754230000000000.0 6.03285e+19 383406000000.0 46467200000000.0 123120000000000.0 7944020000000.0 84020200000000.0 2760680.0 22572600000000.0 655690000000000.0 627491000000000.0 701111000.0 29080700000.0 103153000000.0 6350420000000.0 -4.74 4.502 [-4.74]
2754230000000000.0 5.71954e+19 411295000000.0 48452900000000.0 123561000000000.0 8352020000000.0 81498900000000.0 3084870.0 23785000000000.0 609542000000000.0 557340000000000.0 816025000.0 33220400000.0 114047000000.0 6653130000000.0 -4.72 4.498 [-4.72]
2754230000000000.0 5.4228e+19 440716000000.0 50463900000000.0 123865000000000.0 8767360000000.0 78905300000000.0 3445830.0 25025000000000.0 565486000000000.0 494065000000000.0 947937000.0 37889800000.0 125909000000.0 6959850000000.0 -4.7 4.495 [-4.7]
2754230000000000.0 5.14171e+19 471710000000.0 52496400000000.0 124031000000000.0 9188910000000.0 76249200000000.0 3847700.0 26290400000000.0 523544000000000.0 437136000000000.0 1099060000.0 43147900000.0 138804000000.0 7269770000000.0 -4.68 4.491 [-4.68]
2754230000000000.0 4.87543e+19 504316000000.0 54546100000000.0 124057000000000.0 9615400000000.0 73541000000000.0 4295180.0 27578800000000.0 483733000000000.0 386031000000000.0 1271810000.0 49058700000.0 152799000000.0 7581980000000.0 -4.66 4.487 [-4.66]
2754230000000000.0 4.62314e+19 538565000000.0 56608000000000.0 123941000000000.0 10045400000000.0 70791300000000.0 4793510.0 28888000000000.0 446056000000000.0 340249000000000.0 1468890000.0 55691600000.0 167960000000.0 7895550000000.0 -4.64 4.483 [-4.64]
2754230000000000.0 4.38409e+19 574481000000.0 58676800000000.0 123683000000000.0 10477500000000.0 68010900000000.0 5348560.0 30215100000000.0 410500000000000.0 299328000000000.0 1693220000.0 63121600000.0 184359000000.0 8209450000000.0 -4.62 4.479 [-4.62]
2754230000000000.0 4.15757e+19 612087000000.0 60747300000000.0 123281000000000.0 10910200000000.0 65210500000000.0 5966920.0 31557600000000.0 377037000000000.0 262836000000000.0 1948040000.0 71429900000.0 202063000000.0 8522590000000.0 -4.6 4.475 [-4.6]
2754230000000000.0 3.94289e+19 651397000000.0 62813200000000.0 122735000000000.0 11341900000000.0 62401100000000.0 6656060.0 32912700000000.0 345633000000000.0 230360000000000.0 2236860000.0 80703300000.0 221145000000.0 8833830000000.0 -4.58 4.471 [-4.58]
2754230000000000.0 3.73944e+19 692418000000.0 64868200000000.0 122045000000000.0 11770900000000.0 59593400000000.0 7424360.0 34277500000000.0 316238000000000.0 201525000000000.0 2563510000.0 91035200000.0 241672000000.0 9141970000000.0 -4.56 4.467 [-4.56]
2754230000000000.0 3.54661e+19 735153000000.0 66905700000000.0 121211000000000.0 12195700000000.0 56797800000000.0 8281320.0 35649200000000.0 288797000000000.0 175979000000000.0 2932150000.0 102525000000.0 263715000000.0 9445760000000.0 -4.54 4.463 [-4.54]
2754230000000000.0 3.36384e+19 779596000000.0 68918800000000.0 120233000000000.0 12614500000000.0 54024600000000.0 9237650.0 37024700000000.0 263245000000000.0 153397000000000.0 3347260000.0 115279000000.0 287340000000.0 9743890000000.0 -4.52 4.46 [-4.52]
2754230000000000.0 3.19061e+19 825733000000.0 70900200000000.0 119112000000000.0 13025900000000.0 51283300000000.0 10305500.0 38401300000000.0 239512000000000.0 133480000000000.0 3813690000.0 129410000000.0 312612000000.0 10035100000000.0 -4.5 4.456 [-4.5]
2754230000000000.0 3.02641e+19 873547000000.0 72842600000000.0 117851000000000.0 13428100000000.0 48583200000000.0 11498500.0 39776100000000.0 217523000000000.0 115949000000000.0 4336650000.0 145036000000.0 339593000000.0 10317900000000.0 -4.48 4.452 [-4.48]
2754230000000000.0 2.87076e+19 923005000000.0 74738300000000.0 116449000000000.0 13819600000000.0 45932900000000.0 12832400.0 41146100000000.0 197201000000000.0 100549000000000.0 4921650000.0 162282000000.0 368337000000.0 10590900000000.0 -4.46 4.448 [-4.46]
2754230000000000.0 2.72322e+19 974069000000.0 76579600000000.0 114911000000000.0 14199000000000.0 43340300000000.0 14324600.0 42508500000000.0 178463000000000.0 87048400000000.0 5574630000.0 181278000000.0 398898000000.0 10852800000000.0 -4.44 4.445 [-4.44]
2754230000000000.0 2.58336e+19 1026690000000.0 78358400000000.0 113239000000000.0 14564700000000.0 40812600000000.0 15995000.0 43860400000000.0 161226000000000.0 75236400000000.0 6301880000.0 202161000000.0 431320000000.0 11102100000000.0 -4.42 4.441 [-4.42]
2754230000000000.0 2.45079e+19 1080820000000.0 80067000000000.0 111437000000000.0 14915500000000.0 38356200000000.0 17866400.0 45199200000000.0 145405000000000.0 64921800000000.0 7110050000.0 225072000000.0 465639000000.0 11337400000000.0 -4.4 4.437 [-4.4]
2754230000000000.0 2.32512e+19 1136390000000.0 81697600000000.0 109509000000000.0 15250000000000.0 35976900000000.0 19964100.0 46521900000000.0 130918000000000.0 55935000000000.0 8006130000.0 250156000000.0 501883000000.0 11557200000000.0 -4.38 4.433 [-4.38]
2754230000000000.0 2.206e+19 1193330000000.0 83242500000000.0 107459000000000.0 15567200000000.0 33679300000000.0 22316800.0 47825800000000.0 117679000000000.0 48121100000000.0 8997440000.0 277561000000.0 540069000000.0 11760300000000.0 -4.36 4.43 [-4.36]
2754230000000000.0 2.09309e+19 1251540000000.0 84693900000000.0 105292000000000.0 15865900000000.0 31467400000000.0 24957100.0 49108100000000.0 105608000000000.0 41338800000000.0 10091600000.0 307437000000.0 580203000000.0 11945300000000.0 -4.34 4.426 [-4.34]
2754230000000000.0 1.98605e+19 1310940000000.0 86044400000000.0 103016000000000.0 16145200000000.0 29344600000000.0 27921700.0 50366400000000.0 94624400000000.0 35462100000000.0 11296500000.0 339938000000.0 622277000000.0 12110900000000.0 -4.32 4.422 [-4.32]
2754230000000000.0 1.88458e+19 1371400000000.0 87287100000000.0 100636000000000.0 16404100000000.0 27313100000000.0 31252200.0 51598000000000.0 84650300000000.0 30378400000000.0 12620200000.0 375212000000.0 666268000000.0 12255800000000.0 -4.3 4.419 [-4.3]
2754230000000000.0 1.78839e+19 1432830000000.0 88415000000000.0 98159500000000.0 16641900000000.0 25374600000000.0 34995300.0 52800500000000.0 75611000000000.0 25988000000000.0 14071100000.0 413411000000.0 712139000000.0 12378900000000.0 -4.28 4.415 [-4.28]
2754230000000000.0 1.69718e+19 1495060000000.0 89420800000000.0 95592900000000.0 16857700000000.0 23529800000000.0 39204100.0 53970700000000.0 67434200000000.0 22201900000000.0 15657500000.0 454673000000.0 759827000000.0 12479000000000.0 -4.26 4.412 [-4.26]
2754230000000000.0 1.61072e+19 1557990000000.0 90300200000000.0 92945700000000.0 17051200000000.0 21779100000000.0 43938100.0 55107200000000.0 60052200000000.0 18942400000000.0 17387900000.0 499142000000.0 809263000000.0 12555200000000.0 -4.24 4.408 [-4.24]
2754230000000000.0 1.52874e+19 1621460000000.0 91047700000000.0 90226600000000.0 17222000000000.0 20122200000000.0 49263900.0 56207300000000.0 53400300000000.0 16140500000000.0 19270500000.0 546943000000.0 860345000000.0 12606600000000.0 -4.22 4.405 [-4.22]
2754230000000000.0 1.45103e+19 1685330000000.0 91659200000000.0 87444600000000.0 17369600000000.0 18558200000000.0 55257000.0 57269000000000.0 47417000000000.0 13735500000000.0 21313700000.0 598193000000.0 912956000000.0 12632500000000.0 -4.2 4.401 [-4.2]
2754230000000000.0 1.37735e+19 1749420000000.0 92130500000000.0 84608900000000.0 17493800000000.0 17085600000000.0 62002000.0 58290000000000.0 42044500000000.0 11674100000000.0 23525300000.0 652993000000.0 966955000000.0 12632100000000.0 -4.18 4.398 [-4.18]
2754230000000000.0 1.30748e+19 1813560000000.0 92458900000000.0 81729300000000.0 17594500000000.0 15702400000000.0 69593900.0 59268200000000.0 37228700000000.0 9909750000000.0 25912600000.0 711422000000.0 1022170000000.0 12604900000000.0 -4.16 4.394 [-4.16]
2754230000000000.0 1.24123e+19 1877580000000.0 92641900000000.0 78815500000000.0 17671500000000.0 14406300000000.0 78139300.0 60201400000000.0 32919100000000.0 8401640000000.0 28482600000.0 773538000000.0 1078420000000.0 12550700000000.0 -4.14 4.391 [-4.14]
2754230000000000.0 1.1784e+19 1941300000000.0 92678800000000.0 75877700000000.0 17724900000000.0 13194800000000.0 87758200.0 61087800000000.0 29068800000000.0 7114330000000.0 31241300000.0 839373000000.0 1135470000000.0 12469100000000.0 -4.12 4.388 [-4.12]
2754230000000000.0 1.11882e+19 2004560000000.0 92569300000000.0 72925900000000.0 17754900000000.0 12064800000000.0 98584900.0 61925500000000.0 25634400000000.0 6016950000000.0 34194200000.0 908926000000.0 1193090000000.0 12360100000000.0 -4.1 4.384 [-4.1]
2754230000000000.0 1.06231e+19 2067160000000.0 92314000000000.0 69969900000000.0 17761700000000.0 11013400000000.0 110769000.0 62712600000000.0 22575700000000.0 5082690000000.0 37345100000.0 982164000000.0 1250990000000.0 12223800000000.0 -4.08 4.381 [-4.08]
2754230000000000.0 1.00871e+19 2128920000000.0 91914000000000.0 67019700000000.0 17745400000000.0 10037000000000.0 124480000.0 63447300000000.0 19855800000000.0 4288300000000.0 40696500000.0 1059000000000.0 1308880000000.0 12060500000000.0 -4.06 4.378 [-4.06]
2754230000000000.0 9.57858e+18 2189640000000.0 91371600000000.0 64084700000000.0 17706400000000.0 9132370000000.0 139904000.0 64127800000000.0 17440700000000.0 3613670000000.0 44249400000.0 1139320000000.0 1366430000000.0 11870700000000.0 -4.04 4.374 [-4.04]
2754230000000000.0 9.09561e+18 2248720000000.0 90683000000000.0 61173900000000.0 17644300000000.0 8295730000000.0 157246000.0 64750600000000.0 15298800000000.0 3041130000000.0 47997600000.0 1222860000000.0 1423410000000.0 11654700000000.0 -4.02 4.371 [-4.02]
2754230000000000.0 8.63789e+18 2306850000000.0 89867000000000.0 58296900000000.0 17561300000000.0 7523920000000.0 176753000.0 65317900000000.0 13403000000000.0 2556460000000.0 51949000000.0 1309560000000.0 1479230000000.0 11414000000000.0 -4.0 4.368 [-4.0]
2754230000000000.0 8.20353e+18 2363430000000.0 88920800000000.0 55461700000000.0 17457100000000.0 6813160000000.0 198677000.0 65826200000000.0 11727000000000.0 2146360000000.0 56093200000.0 1399060000000.0 1533630000000.0 11149300000000.0 -3.98 4.364 [-3.98]
2754230000000000.0 7.79131e+18 2418280000000.0 87850200000000.0 52676100000000.0 17332300000000.0 6159910000000.0 223312000.0 66274100000000.0 10247300000000.0 1799800000000.0 60422900000.0 1491010000000.0 1586190000000.0 10861900000000.0 -3.96 4.361 [-3.96]
2754230000000000.0 7.40005e+18 2471290000000.0 86661500000000.0 49947300000000.0 17187400000000.0 5560680000000.0 250981000.0 66660300000000.0 8942670000000.0 1507290000000.0 64928300000.0 1585020000000.0 1636490000000.0 10553200000000.0 -3.94 4.358 [-3.94]
2754230000000000.0 7.02866e+18 2522330000000.0 85361900000000.0 47281900000000.0 17023400000000.0 5012030000000.0 282043000.0 66983400000000.0 7794000000000.0 1260700000000.0 69596800000.0 1680630000000.0 1684110000000.0 10224800000000.0 -3.92 4.355 [-3.92]
